---,Type,Param1,Param2,Param3,Position,Rotation
GrapCollision_TwinSword_Grap_R05_03,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_TwinSword_Grap_R05_04,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_TwinSword_Grap_R05_05,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_TwinSword_Grap_L01_01,Sphere,800,0,0,"(X=200,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_TwinSword_Grap_L01_02,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_TwinSword_Grap_L01_03,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_TwinSword_Grap_L01_04,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_TwinSword_Grap_L01_05,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_TwinSword_Grap_L02_01,Sphere,1000,0,0,"(X=500,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_TwinSword_Grap_L02_02,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_TwinSword_Grap_L02_03,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_TwinSword_Grap_L02_04,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_TwinSword_Grap_L02_05,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_LargeSword_Grap01_01,MoveCapsule,1000,0,0,"(X=500,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_LargeSword_Grap01_02,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_LargeSword_Grap01_03,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_LargeSword_Grap01_04,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_LargeSword_Grap01_05,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_LargeSword_Grap02_01,Sphere,1000,0,0,"(X=500,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_LargeSword_Grap02_02,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_LargeSword_Grap02_03,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_LargeSword_Grap02_04,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_LargeSword_Grap02_05,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_Hammer_Grap01_01,Box,1100,2600,1850,"(X=900,Y=0,Z=300)","(X=0,Y=0,Z=0)"
GrapCollision_Hammer_Grap01_02,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_Hammer_Grap01_03,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_Hammer_Grap01_04,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_Hammer_Grap01_05,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_Hammer_Grap02_01,Sphere,1300,0,0,"(X=500,Y=100,Z=-100)","(X=0,Y=0,Z=0)"
GrapCollision_Hammer_Grap02_02,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_Hammer_Grap02_03,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_Hammer_Grap02_04,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_Hammer_Grap02_05,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_LargeBeamSaber_Grap01_01,Box,17000,1200,18000,"(X=10000,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_LargeBeamSaber_Grap01_02,Sphere,1000,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_LargeBeamSaber_Grap01_03,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_LargeBeamSaber_Grap01_04,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_LargeBeamSaber_Grap01_05,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_LargeBeamSaber_Grap02_01,Box,1200,12000,24000,"(X=12000,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_LargeBeamSaber_Grap02_02,Sphere,1000,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_LargeBeamSaber_Grap02_03,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_LargeBeamSaber_Grap02_04,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_LargeBeamSaber_Grap02_05,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_Pressure_01,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_MachineJack_01,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_LargeSword_L_01,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_Boss_LargeSword_Grap01_01,MoveCapsule,2500,0,0,"(X=500,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_Boss_LargeSword_Grap01_02,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_Boss_LargeSword_Grap01_03,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_Boss_LargeSword_Grap01_04,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_Boss_LargeSword_Grap01_05,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_Boss_LargeSword_Grap02_01,MoveCapsule,2000,0,0,"(X=500,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_Boss_LargeSword_Grap02_02,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_Boss_LargeSword_Grap02_03,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_Boss_LargeSword_Grap02_04,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_Boss_LargeSword_Grap02_05,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_Boss_MachineJack_01,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
GrapCollision_Skill_Pressure_01,None,0,0,0,"(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)"
