---,EmblemPartsId,Name,EmblemPartsType,DefaultEmblemPartsFlag,IsEditable,Texture,FlagTexture,Descprition
33,10029,スタードロップフレーム,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0029.Tex_Emblem_01_0029',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0029_Flag.Tex_Emblem_01_0029_Flag',
34,10030,フラワーフレーム,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0030.Tex_Emblem_01_0030',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0030_Flag.Tex_Emblem_01_0030_Flag',
35,10031,クラウドフレーム,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0031.Tex_Emblem_01_0031',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0031_Flag.Tex_Emblem_01_0031_Flag',
36,20001,アリエス,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0001.Tex_Emblem_02_0001',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0001_Flag.Tex_Emblem_02_0001_Flag',
37,20002,タウラス,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0002.Tex_Emblem_02_0002',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0002_Flag.Tex_Emblem_02_0002_Flag',
38,20003,ジェミニ,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0003.Tex_Emblem_02_0003',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0003_Flag.Tex_Emblem_02_0003_Flag',
39,20004,キャンサー,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0004.Tex_Emblem_02_0004',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0004_Flag.Tex_Emblem_02_0004_Flag',
40,20005,レオ,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0005.Tex_Emblem_02_0005',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0005_Flag.Tex_Emblem_02_0005_Flag',
41,20006,ヴァルゴ,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0006.Tex_Emblem_02_0006',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0006_Flag.Tex_Emblem_02_0006_Flag',
42,20007,リーブラ,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0007.Tex_Emblem_02_0007',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0007_Flag.Tex_Emblem_02_0007_Flag',
43,20008,スコルピオ,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0008.Tex_Emblem_02_0008',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0008_Flag.Tex_Emblem_02_0008_Flag',
44,20009,サジタリウス,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0009.Tex_Emblem_02_0009',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0009_Flag.Tex_Emblem_02_0009_Flag',
45,20010,カプリコーン,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0010.Tex_Emblem_02_0010',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0010_Flag.Tex_Emblem_02_0010_Flag',
46,20011,アクエリアス,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0011.Tex_Emblem_02_0011',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0011_Flag.Tex_Emblem_02_0011_Flag',
47,20012,ピスケス,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0012.Tex_Emblem_02_0012',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0012_Flag.Tex_Emblem_02_0012_Flag',
48,20013,1,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0013.Tex_Emblem_02_0013',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0013_Flag.Tex_Emblem_02_0013_Flag',
49,20014,2,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0014.Tex_Emblem_02_0014',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0014_Flag.Tex_Emblem_02_0014_Flag',
50,20015,3,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0015.Tex_Emblem_02_0015',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0015_Flag.Tex_Emblem_02_0015_Flag',
51,20016,4,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0016.Tex_Emblem_02_0016',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0016_Flag.Tex_Emblem_02_0016_Flag',
52,20017,5,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0017.Tex_Emblem_02_0017',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0017_Flag.Tex_Emblem_02_0017_Flag',
53,20018,6,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0018.Tex_Emblem_02_0018',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0018_Flag.Tex_Emblem_02_0018_Flag',
54,20019,7,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0019.Tex_Emblem_02_0019',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0019_Flag.Tex_Emblem_02_0019_Flag',
55,20020,8,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0020.Tex_Emblem_02_0020',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0020_Flag.Tex_Emblem_02_0020_Flag',
56,20021,9,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0021.Tex_Emblem_02_0021',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0021_Flag.Tex_Emblem_02_0021_Flag',
57,20022,10,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0022.Tex_Emblem_02_0022',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0022_Flag.Tex_Emblem_02_0022_Flag',
58,20023,ルーンｘ,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0023.Tex_Emblem_02_0023',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0023_Flag.Tex_Emblem_02_0023_Flag',
59,20024,ルーンｐ,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0024.Tex_Emblem_02_0024',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0024_Flag.Tex_Emblem_02_0024_Flag',
60,20025,ルーンｊ,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0025.Tex_Emblem_02_0025',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0025_Flag.Tex_Emblem_02_0025_Flag',
61,20026,ルーンｄ,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0026.Tex_Emblem_02_0026',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0026_Flag.Tex_Emblem_02_0026_Flag',
62,20027,ドラゴン,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0027.Tex_Emblem_02_0027',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0027_Flag.Tex_Emblem_02_0027_Flag',
63,20028,ドラゴンヘッド,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0028.Tex_Emblem_02_0028',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0028_Flag.Tex_Emblem_02_0028_Flag',
64,20029,ユニコーンヘッド,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0029.Tex_Emblem_02_0029',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0029_Flag.Tex_Emblem_02_0029_Flag',
65,20030,ポップユニコーン,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0030.Tex_Emblem_02_0030',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0030_Flag.Tex_Emblem_02_0030_Flag',
66,20031,フェニックス,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0031.Tex_Emblem_02_0031',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0031_Flag.Tex_Emblem_02_0031_Flag',
67,20032,イーグル,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0032.Tex_Emblem_02_0032',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0032_Flag.Tex_Emblem_02_0032_Flag',
68,20033,ピジョン,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0033.Tex_Emblem_02_0033',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0033_Flag.Tex_Emblem_02_0033_Flag',
69,20034,オウル,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0034.Tex_Emblem_02_0034',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0034_Flag.Tex_Emblem_02_0034_Flag',
70,20035,バタフライ,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0035.Tex_Emblem_02_0035',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0035_Flag.Tex_Emblem_02_0035_Flag',
71,20036,スコーピオン,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0036.Tex_Emblem_02_0036',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0036_Flag.Tex_Emblem_02_0036_Flag',
72,20037,ビー,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0037.Tex_Emblem_02_0037',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0037_Flag.Tex_Emblem_02_0037_Flag',
73,20038,スネークヘッド,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0038.Tex_Emblem_02_0038',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0038_Flag.Tex_Emblem_02_0038_Flag',
74,20039,ライオンヘッド,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0039.Tex_Emblem_02_0039',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0039_Flag.Tex_Emblem_02_0039_Flag',
75,20040,シャーク,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0040.Tex_Emblem_02_0040',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0040_Flag.Tex_Emblem_02_0040_Flag',
76,20041,ナインテイル,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0041.Tex_Emblem_02_0041',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0041_Flag.Tex_Emblem_02_0041_Flag',
77,20042,オシャレ猫,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0042.Tex_Emblem_02_0042',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0042_Flag.Tex_Emblem_02_0042_Flag',
78,20043,オシャレ犬,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0043.Tex_Emblem_02_0043',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0043_Flag.Tex_Emblem_02_0043_Flag',
79,20044,おすわり猫,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0044.Tex_Emblem_02_0044',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0044_Flag.Tex_Emblem_02_0044_Flag',
80,20045,うさぎ,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0045.Tex_Emblem_02_0045',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0045_Flag.Tex_Emblem_02_0045_Flag',
81,20046,猫,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0046.Tex_Emblem_02_0046',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0046_Flag.Tex_Emblem_02_0046_Flag',
82,20047,フライングひよこ,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0047.Tex_Emblem_02_0047',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0047_Flag.Tex_Emblem_02_0047_Flag',
83,20048,狐メン,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0048.Tex_Emblem_02_0048',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0048_Flag.Tex_Emblem_02_0048_Flag',
84,20049,月うさぎ,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0049.Tex_Emblem_02_0049',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0049_Flag.Tex_Emblem_02_0049_Flag',
85,20050,ドルフィン,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0050.Tex_Emblem_02_0050',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0050_Flag.Tex_Emblem_02_0050_Flag',
86,20051,バードゲージ,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0051.Tex_Emblem_02_0051',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0051_Flag.Tex_Emblem_02_0051_Flag',
87,20052,クジャク,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0052.Tex_Emblem_02_0052',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0052_Flag.Tex_Emblem_02_0052_Flag',
88,20053,フィーバー,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0053.Tex_Emblem_02_0053',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0053_Flag.Tex_Emblem_02_0053_Flag',
89,20054,鳳凰の構え,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0054.Tex_Emblem_02_0054',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0054_Flag.Tex_Emblem_02_0054_Flag',
90,20055,シップ,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0055.Tex_Emblem_02_0055',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0055_Flag.Tex_Emblem_02_0055_Flag',
91,20056,ハート,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0056.Tex_Emblem_02_0056',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0056_Flag.Tex_Emblem_02_0056_Flag',
92,20057,スペード,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0057.Tex_Emblem_02_0057',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0057_Flag.Tex_Emblem_02_0057_Flag',
93,20058,クラブ,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0058.Tex_Emblem_02_0058',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0058_Flag.Tex_Emblem_02_0058_Flag',
94,20059,ダイヤ,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0059.Tex_Emblem_02_0059',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0059_Flag.Tex_Emblem_02_0059_Flag',
95,20060,アイスクリスタル,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0060.Tex_Emblem_02_0060',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0060_Flag.Tex_Emblem_02_0060_Flag',
96,20061,ギア,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0061.Tex_Emblem_02_0061',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0061_Flag.Tex_Emblem_02_0061_Flag',
97,20062,スズランハート,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0062.Tex_Emblem_02_0062',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0062_Flag.Tex_Emblem_02_0062_Flag',
98,20063,リーフハート,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0063.Tex_Emblem_02_0063',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0063_Flag.Tex_Emblem_02_0063_Flag',
