---,LockOnDistance,HorizontalFieldOfView,VerticalFieldOfView,BoostGaugeRecvDisableSec,GrapProgressDataIndex01,GrapProgressDataIndex02,GrapProgressDataIndex03,MotionID01,MotionSpeed01,MotionSync01,MotionID02,MotionSpeed02,MotionSync02,MotionID03,MotionSpeed03,MotionSync03,AttackCollisionIndex01,AttackCollisionIndex02,AttackCollisionIndex03,AttackCollisionIndex04,AttackCollisionIndex05,SeFileName01,SeFileName02,SeFileName03,MoveDataID01,MoveDataID02,MoveDataID03,TargetNotice
Grap_Boss_LargeSword_Grap02,35000,0,0,0,0,0,0,2014,1,0.2,0,1,-1,0,1,-1,109,110,111,112,113,0,0,0,58,59,0,False
Grap_Boss_MachineJack,40000,75,0,0,52,0,0,40,0.4,-1,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,60,0,0,False
Grap_Boss_MachineJack2,40000,75,0,0,0,0,0,2147,0.8,-1,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,60,0,0,False
Grap_Lance2_StandBy,10000,75,75,0,54,0,0,2120,0.4,-1,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,61,0,0,False
Grap_Lance2_Homing,10000,75,75,0,55,56,0,2121,1,-1,0,1,-1,0,1,-1,21,22,23,24,25,Robot_Dash_Start,Robot_Dash_Loop,Wp_Slash_Lghit_Swing,62,0,0,False
Grap_Lance2_Grap01,10000,0,0,0,0,0,0,2122,1.2,-1,0,1,-1,0,1,-1,26,27,28,29,30,0,Robot_Dash_Loop,Wp_Slash_Lghit_Swing,63,64,0,False
Grap_Lance2_Miss,10000,0,0,0,55,0,0,2123,1,-1,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,65,0,0,False
Grap_Skill_Pressure,20000,75,0,0,58,0,0,40,0.5,-1,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,66,0,0,False
Grap_Skill_Pressure_2,20000,75,0,0,0,0,0,2147,0.8,-1,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,66,0,0,False
Empty_2on,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,False
Grap_BeamSaber_Grap01_2on,12000,75,75,0,61,0,0,2000,0.7,0,0,1,-1,0,1,-1,1,2,3,4,5,0,0,0,68,0,0,False
Grap_BeamSaber_Grap02_2on,12000,75,75,0,62,0,0,2001,1,0,0,1,-1,0,1,-1,6,7,8,9,10,Robot_Dash_Start,Robot_Dash_Loop,0,69,0,0,True
Grap_BeamSaber_Grap03_2on,12000,0,0,0,63,0,0,2002,1.7,0,0,1,-1,0,1,-1,11,12,13,14,15,0,0,0,70,0,74,False
Grap_BeamSaber_Grap04_2on,12000,0,0,0,64,0,0,2003,1.7,0,0,1,-1,0,1,-1,11,12,13,14,15,0,0,0,71,0,74,False
Grap_BeamSaber_Grap05_2on,12000,0,0,0,0,0,0,2004,1,0,0,1,-1,0,1,-1,11,12,13,14,15,0,0,0,72,73,74,False
Grap_Anchor_Grap01_2on,10000,75,75,0,0,0,0,2130,1,-1,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,75,0,0,False
Grap_BeamSickle_StandBy_2on,13000,75,75,0,67,68,0,2030,0.9,0,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,76,0,0,False
Grap_BeamSickle_Homing_2on,13000,75,75,0,68,0,0,2031,1,0,0,1,-1,0,1,-1,0,0,0,0,0,Robot_Dash_Start,Robot_Dash_Loop,0,77,0,0,True
Grap_BeamSickle_Grap01_2on,13000,0,0,0,0,0,0,2032,1.8,0,0,1,-1,0,1,-1,16,17,18,19,20,0,0,0,78,0,0,False
Grap_Lance_StandBy_2on,12000,75,75,0,70,0,0,2120,0.8,-1,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,79,0,0,False
Grap_Lance_Homing_2on,12000,75,75,0,71,72,0,2121,1,-1,0,1,-1,0,1,-1,21,22,23,24,25,Robot_Dash_Start,Robot_Dash_Loop,Wp_Slash_Lghit_Swing,80,0,0,False
Grap_Lance_Grap01_2on,12000,0,0,0,0,0,0,2122,1.2,-1,0,1,-1,0,1,-1,26,27,28,29,30,0,Robot_Dash_Loop,Wp_Slash_Lghit_Swing,81,82,0,False
Grap_Lance_Miss_2on,12000,0,0,0,71,0,0,2123,1,-1,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,83,0,0,False
Grap_Whip_StandBy_2on,8000,75,75,0,15,0,0,2040,0.95,-1,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,84,0,0,False
Grap_Whip_Grap01_2on,8000,75,75,0,0,0,0,2042,0.95,-1,0,1,-1,0,1,-1,31,32,33,34,35,0,0,0,85,0,0,False
Grap_TwinSword_StandBy_R_2on,10000,0,0,0,76,0,0,2140,1,-1,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,86,0,0,False
Grap_TwinSword_Homing_R_2on,10000,0,0,0,77,82,0,2141,1,-1,0,1,-1,0,1,-1,0,0,0,0,0,Robot_Dash_Start,Robot_Dash_Loop,0,87,0,0,False
Grap_TwinSword_Grap_R01_2on,10000,0,0,0,78,82,0,2142,0.7,-1,0,1,-1,0,1,-1,36,37,38,39,40,0,0,0,88,0,0,False
Grap_TwinSword_Grap_R02_2on,10000,0,0,0,79,82,0,2143,0.5,0.05,0,1,-1,0,1,-1,41,42,43,44,45,0,0,0,89,90,0,False
Grap_TwinSword_Grap_R03_2on,10000,0,0,0,80,82,0,2144,0.5,0.05,0,1,-1,0,1,-1,46,47,48,49,50,0,0,0,91,92,0,False
Grap_TwinSword_Grap_R04_2on,10000,0,0,0,81,82,0,2145,1.3,0.1,0,1,-1,0,1,-1,51,52,53,54,55,0,0,0,93,94,0,False
Grap_TwinSword_Grap_R05_2on,10000,0,0,0,0,0,0,2146,0.13,0.1,0,1,-1,0,1,-1,56,57,58,59,60,0,0,0,95,0,0,False
Grap_TwinSword_End_R_2on,10000,0,0,0,0,0,0,2147,2,-1,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,96,0,0,False
Grap_TwinSword_StandBy_L_2on,15000,0,0,0,84,0,0,2050,1.4,-1,2080,1.4,-1,0,1,-1,0,0,0,0,0,0,0,0,97,98,99,False
Grap_TwinSword_Homing_L_2on,15000,0,0,0,85,86,0,2051,1,-1,2081,1,-1,0,1,-1,61,62,63,64,65,Robot_Dash_Start,Robot_Dash_Loop,0,100,101,0,False
Grap_TwinSword_Grap_L01_2on,15000,0,0,0,86,0,0,0,1,-1,0,1,-1,0,1,-1,61,62,63,64,65,Robot_Dash_Start,Robot_Dash_Loop,0,102,103,0,False
Grap_TwinSword_Grap_L02_2on,15000,0,0,0,0,0,0,2052,2,0,2082,1.6,0,0,1,-1,66,67,68,69,70,0,0,0,104,0,0,False
Grap_LargeSword_StandBy_2on,18000,75,75,0,88,0,0,2010,2,0.5,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,105,0,0,False
Grap_LargeSword_Homing_2on,18000,75,75,0,89,0,0,2011,1,-1,0,1,-1,0,1,-1,0,0,0,0,0,Robot_Dash_Start,Robot_Dash_Loop,0,106,0,0,False
Grap_LargeSword_Grap01_2on,18000,0,0,0,90,0,0,2012,0.6,-1,0,1,-1,0,1,-1,71,72,73,74,75,0,0,0,107,0,0,False
Grap_LargeSword_Grap02_2on,18000,0,0,0,0,0,0,2014,0.5,0.2,0,1,-1,0,1,-1,76,77,78,79,80,0,0,0,108,109,0,False
Grap_HammerCanon_StandBy_2on,11000,75,75,0,92,0,0,2110,1.6,-1,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,110,0,0,False
Grap_HammerCanon_Homing_2on,11000,75,75,0,93,0,0,2113,1,0.2,0,1,-1,0,1,-1,0,0,0,0,0,Robot_Dash_Start,Robot_Dash_Loop,0,111,112,0,False
Grap_HammerCanon_Grap01_2on,11000,75,75,0,0,0,0,2114,1,-1,0,1,-1,0,1,-1,81,82,83,84,85,0,0,0,113,0,0,False
Grap_LargeBeamSaber_StandBy_R_2on,22000,75,75,0,95,0,0,2020,1.6,-1,2021,10,-1,0,1,-1,0,0,0,0,0,Wp_BemaSlash_SetUp,0,0,114,0,0,False
Grap_LargeBeamSaber_Grap_R01_2on,22000,75,75,0,96,0,0,2022,1.6,-1,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,115,0,0,False
Grap_LargeBeamSaber_Grap_R02_2on,22000,75,75,0,0,0,0,2023,1,0.2,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,116,117,0,False
Grap_LargeBeamSaber_StandBy_L_2on,22000,75,75,0,98,0,0,2060,2.4,-1,2061,10,-1,0,1,-1,0,0,0,0,0,Wp_BemaSlash_SetUp,0,0,116,0,0,False
Grap_LargeBeamSaber_Grap_L01_2on,22000,75,75,0,99,0,0,2062,1.4,-1,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,117,0,0,False
Grap_LargeBeamSaber_Grap_L02_2on,22000,75,75,0,0,0,0,2022,1,-1,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,114,115,0,False
Grap_Pressure_2on,20000,75,0,0,101,0,0,40,0.5,-1,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,118,0,0,False
Grap_Pressure_2_2on,20000,75,0,0,0,0,0,2147,0.8,-1,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,118,0,0,False
Grap_MachineJack_2on,11000,75,0,0,103,0,0,40,0.78,-1,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,119,0,0,False
Grap_MachineJack2_2on,11000,75,0,0,0,0,0,2147,0.8,-1,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,120,0,0,False
Grap_LargeSword_L_2on,20000,75,0,0,105,0,0,40,1.4,-1,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,121,0,0,False
Grap_LargeSword_L2_2on,20000,75,0,0,0,0,0,2147,0.7,-1,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,121,0,0,False
Grap_Boss_LargeSword_StandBy_2on,35000,75,75,0,107,0,0,2010,0.8,-1,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,122,0,0,False
Grap_Boss_LargeSword_Homing_2on,35000,75,75,0,108,0,0,2011,1,-1,0,1,-1,0,1,-1,0,0,0,0,0,Robot_Dash_Start,Robot_Dash_Loop,0,123,0,0,False
Grap_Boss_LargeSword_Grap01_2on,35000,0,0,0,109,0,0,2012,0.5,0.2,0,1,-1,0,1,-1,104,105,106,107,108,0,0,0,124,0,0,False
Grap_Boss_LargeSword_Grap02_2on,35000,0,0,0,0,0,0,2014,1,0.2,0,1,-1,0,1,-1,109,110,111,112,113,0,0,0,125,126,0,False
Grap_Boss_MachineJack_2on,40000,75,0,0,111,0,0,40,0.4,-1,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,127,0,0,False
Grap_Boss_MachineJack2_2on,40000,75,0,0,0,0,0,2147,0.8,-1,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,127,0,0,False
Grap_Lance2_StandBy_2on,10000,75,75,0,113,0,0,2120,0.4,-1,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,128,0,0,False
Grap_Lance2_Homing_2on,10000,75,75,0,114,115,0,2121,1,-1,0,1,-1,0,1,-1,21,22,23,24,25,Robot_Dash_Start,Robot_Dash_Loop,Wp_Slash_Lghit_Swing,129,0,0,False
Grap_Lance2_Grap01_2on,10000,0,0,0,0,0,0,2122,1.2,-1,0,1,-1,0,1,-1,26,27,28,29,30,0,Robot_Dash_Loop,Wp_Slash_Lghit_Swing,130,131,0,False
Grap_Lance2_Miss_2on,10000,0,0,0,114,0,0,2123,1,-1,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,132,0,0,False
Grap_Skill_Pressure_2on,20000,75,0,0,117,0,0,40,0.5,-1,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,133,0,0,False
Grap_Skill_Pressure_2_2on,20000,75,0,0,0,0,0,2147,0.8,-1,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,133,0,0,False
