---,HeadId,Name,RobotMaker,HP,Cost,Weight,BoostSavingStart,BoostSavingLoop,FullDriveSavingStart,FullDriveSavingLoop,BlowOffTolerance,BlowOffBlowUpAdjust,FallActionMoveMaxSpeed,FallMoveActionMoveMaxSpeed,Barrier,LockRange,LockX,LockY,LockYExpansion,LockX2,LockY2,LockY2Expansion,LockOnSiteMinX_Assult,LockOnSiteMinY_Assult,LockOnSiteMinX_Vanguard,LockOnSiteMinY_Vanguard,LockOnSiteMinX_Support,LockOnSiteMinY_Support,LockOnSiteMinX_Ranger,LockOnSiteMinY_Ranger,LockObstacleCnt,LockSpeed,ScopeLockAdjust,GatlingLockSpeed,GatlingLockSize,AimPriorityPlayer,ReduceSkillLv,CameraSpeedX_Attack,CameraSpeedY_Attack,CameraSpeedX_NoAttack,CameraSpeedY_NoAttack,ARSkillGauge_100,ARSkillGauge_75,ARSkillGauge_50,ARSkillGauge_25,Team_ARSkillGauge_25,Team_ARSkill_LVUP,Fulldrive_HomingPower
11,11,ラピスヘッジ・H,RobotMaker003,150,0,0,0,0,0,0,-0.03,0,2500,2300,0,2600,500,350,0,500,350,0,90,90,90,90,90,90,90,90,0.5,0.6,1.1,0.1,275,1,0,1,1,1,1,1,1,1,1,1,0,0
12,12,パ・フェクト・H,RobotMaker003,70,0,0,0,0,0,0,0,0,2000,1800,0,2400,480,470,10,480,470,10,100,110,100,110,100,110,100,110,0.5,1,0.9,0.1,275,0,1,1,1,1,1,1,1,1,1,1,0,0
13,13,エタニティ・H,RobotMaker004,100,0,0,0,0,0,0,0.01,0,1900,1700,0,2500,420,320,10,420,320,10,170,160,170,160,170,160,170,160,0.5,0.5,1.1,0.1,275,1,0,1.2,1.2,1.2,1.2,1,1,1,1,1,0,0
14,14,オキサイド・H,RobotMaker004,50,0,0,0,0,0,0,-0.03,0,2300,2100,0,2550,700,400,10,700,400,10,140,140,140,140,140,140,140,140,2,0.7,0.9,0.1,275,1,0,1,1,1,1,1,1,1,1,1,0,0
15,15,オキサイド・H,RobotMaker004,0,0,0,-0.04,-0.04,0,0,-0.03,0,2300,2100,0,2350,670,480,10,670,480,10,140,140,140,140,140,140,140,140,0.5,0.6,0.9,0.1,275,0,0,1,1,1,1,1,1,1,1,1,0,0
16,16,Ｓオキサイド・H,RobotMaker004,0,0,0,-0.04,-0.04,0,0,-0.03,0,2300,2100,0,6000,1000,800,100,1000,800,100,400,400,400,400,400,400,400,400,0.5,1.5,1.5,1,275,0,0,1,1,1,1,1,1,1,1,1,0,0
17,17,ヘッドパラメーター上限,RobotMaker004,200,0,0,-0.04,-0.04,0,0,0,0,2000,1800,0,2650,670,480,10,670,480,10,120,120,120,120,120,120,120,120,0.5,1,1.3,1,275,1,1,1,1,1,1,1,1,1,1,1,1,1
18,101,ソリディア・H,RobotMaker001,0,3000,0,0,0,0,0,0,0,0,0,0,2500,660,470,10,660,470,10,135,135,135,135,135,135,135,135,0.5,0.6,1,0.25,275,0,0,1.12,1.09,1.12,1.09,1.05,1.1,1.15,1.2,1,0,10
19,201,カーディナル・H,RobotMaker002,0,3000,0,0,0,0,0,0,0,0,0,0,2100,730,560,20,780,560,20,135,135,135,135,135,135,135,135,0.5,0.6,1,0.25,275,0,0,1.2,1.15,1.2,1.15,1,1,1,1,1,0,15
20,301,スクラッパー・H,RobotMaker001,0,3000,0,0,0,0,0,0,0,0,0,0,2600,960,420,0,1030,350,0,135,135,125,125,125,125,125,125,0.5,0.6,1,0.25,275,0,0,1.12,1.09,1.12,1.09,1,1,1,1,1,0,5.5
21,401,サイトヘッド・H,RobotMaker003,0,3000,0,0,0,0,0,0,0,0,0,0,2800,500,380,10,450,330,10,135,135,90,90,90,90,90,90,0.5,0.6,1,0.25,275,0,0,1.12,1.09,1.12,1.09,1,1,1,1,1,0,8
22,501,CU・レイター・H,RobotMaker003,0,3000,0,0,0,0,0,0,0,0,0,0,2600,740,550,0,520,380,0,135,135,120,120,120,120,120,120,0.5,0.6,1,0.25,275,0,0,1.12,1.09,1.12,1.09,1,1,1,1,1,0,11
23,601,ゴールテン・D・H,RobotMaker001,0,3000,0,0,0,0,0,0,0,0,0,0,2400,610,660,80,590,640,80,135,135,140,140,140,140,140,140,0.5,0.6,1,0.25,275,0,0,1.04,1.03,1.04,1.03,1,1,1,1,1,0,7
24,701,アンゼロイ・H,RobotMaker002,0,3000,0,0,0,0,0,0,0,0,0,0,2300,560,470,10,530,470,10,135,135,125,125,125,125,125,125,2,0.6,1,0.25,275,0,0,1.2,1.15,1.2,1.15,1,1,1,1,1,0,20
25,801,ディスドス・H,RobotMaker002,0,3000,0,0,0,0,0,0,0,0,0,0,2700,560,470,10,660,340,10,135,135,100,100,100,100,100,100,0.5,0.6,1,0.25,275,0,0,1.04,1.03,1.04,1.03,1,1,1,1,1,0,8
26,901,サブライガ・H,RobotMaker002,0,3000,0,0,0,0,0,0,0,0,0,0,2200,620,500,10,660,460,10,135,135,220,160,220,160,220,160,0.5,0.6,1,0.25,275,0,0,1.12,1.09,1.12,1.09,1,1,1,1,1,0,12
27,1001,ファルマコン・H,RobotMaker001,0,3000,0,0,0,0,0,0,0,0,0,0,2000,550,550,90,510,660,90,135,135,100,160,100,160,100,160,0.5,0.6,1,0.25,275,0,0,1.2,1.15,1.2,1.15,1,1,1,1,1,0,10
28,1101,ラピスヘッジ・H,RobotMaker003,0,3000,0,0,0,0,0,0,0,0,0,0,2600,740,550,0,500,350,0,135,135,90,90,90,90,90,90,0.5,0.6,1,0.25,275,1,0,1.04,1.03,1.04,1.03,1,1,1,1,1,0,7
29,1201,パ・フェクト・H,RobotMaker003,0,3000,0,0,0,0,0,0,0,0,0,0,2500,660,470,10,660,470,10,135,135,135,135,135,135,135,135,0.5,0.6,1,0.25,275,0,0,1.12,1.09,1.12,1.09,1,1,1,1,1,0,100
30,1301,エタニティ・H,RobotMaker004,0,3000,0,0,0,0,0,0,0,0,0,0,2700,560,470,10,420,320,10,135,135,170,160,170,160,170,160,0.5,0.6,1,0.25,275,0,0,1.12,1.09,1.12,1.09,1,1,1,1,1,1,8
31,1401,オキサイド・H,RobotMaker004,0,3000,0,0,0,0,0,0,0,0,0,0,2500,840,600,10,10000,10000,10,135,135,135,135,135,135,135,135,0.5,0.6,1,0.25,275,0,0,1,1,1,1,1,1,1,1,1.25,0,13
