---,LineColorId,LineColorName,R,G,B,Texture,ReleaseLevel,LineColorDescprition,IsDefault
25,25,イタリアンレッド,120,3,10,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_24.Tex_Custom_AR_Sub_ColorIcon_24',999,,False
26,26,ヒカリカラー,28,16,250,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_25.Tex_Custom_AR_Sub_ColorIcon_25',999,,False
27,27,レイカカラー,6,20,255,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_26.Tex_Custom_AR_Sub_ColorIcon_26',999,,False
28,28,シャーリーカラー,120,25,112,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_27.Tex_Custom_AR_Sub_ColorIcon_27',999,,False
29,29,イサドラカラー,13,40,30,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_28.Tex_Custom_AR_Sub_ColorIcon_28',999,,False
30,30,ナギカラー,133,20,18,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_29.Tex_Custom_AR_Sub_ColorIcon_29',999,,False
31,31,カズマカラー,62,50,18,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_30.Tex_Custom_AR_Sub_ColorIcon_30',999,,False
32,32,ゴウゼンカラー,140,228,203,None,999,,False
33,33,キサラカラー,140,228,203,None,999,,False
100000,100000,None,0,0,0,None,999,※削除不可,False
100001,100001,装備なし,0,0,0,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_00.Tex_Custom_AR_Sub_ColorIcon_00',90,,True
100002,100002,レッド,130,5,5,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_01.Tex_Custom_AR_Sub_ColorIcon_01',999,,True
100003,100003,バーミリオン,140,12,3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_02.Tex_Custom_AR_Sub_ColorIcon_02',999,,False
100004,100004,オレンジ,140,30,3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_03.Tex_Custom_AR_Sub_ColorIcon_03',999,,False
100005,100005,イエロー,100,40,3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_04.Tex_Custom_AR_Sub_ColorIcon_04',999,,False
100006,100006,クリームイエロー,90,40,20,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_05.Tex_Custom_AR_Sub_ColorIcon_05',999,,False
100007,100007,リーフグリーン,80,70,5,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_06.Tex_Custom_AR_Sub_ColorIcon_06',999,,False
100008,100008,ライトグリーン,20,80,3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_07.Tex_Custom_AR_Sub_ColorIcon_07',999,,False
100009,100009,グリーン,5,60,5,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_08.Tex_Custom_AR_Sub_ColorIcon_08',999,,False
100010,100010,ビリジアン,5,60,20,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_09.Tex_Custom_AR_Sub_ColorIcon_09',999,,False
100011,100011,ピーコックグリーン,2,50,40,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_10.Tex_Custom_AR_Sub_ColorIcon_10',999,,False
100012,100012,ブルーグリーン,2,45,60,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_11.Tex_Custom_AR_Sub_ColorIcon_11',999,,False
100013,100013,ターコイズブルー,2,35,80,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_12.Tex_Custom_AR_Sub_ColorIcon_12',999,,False
100014,100014,スカイブルー,2,15,70,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_13.Tex_Custom_AR_Sub_ColorIcon_13',999,,False
100015,100015,ブルー,0,12,60,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_14.Tex_Custom_AR_Sub_ColorIcon_14',999,,True
100016,100016,コバルトブルー,0,5,50,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_15.Tex_Custom_AR_Sub_ColorIcon_15',999,,False
100017,100017,マリンブルー,5,2,100,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_16.Tex_Custom_AR_Sub_ColorIcon_16',999,,False
100018,100018,ウルトラマリン,10,3,200,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_17.Tex_Custom_AR_Sub_ColorIcon_17',999,,False
100019,100019,ディープパープル,15,3,200,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_18.Tex_Custom_AR_Sub_ColorIcon_18',999,,False
100020,100020,バイオレット,24,3,200,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_19.Tex_Custom_AR_Sub_ColorIcon_19',999,,False
100021,100021,ディープマゼンタ,40,5,160,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_20.Tex_Custom_AR_Sub_ColorIcon_20',999,,False
100022,100022,マゼンタ,70,5,120,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_21.Tex_Custom_AR_Sub_ColorIcon_21',999,,False
100023,100023,ローズ,80,5,10,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_22.Tex_Custom_AR_Sub_ColorIcon_22',999,,False
100024,100024,モンザレッド,100,5,10,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_23.Tex_Custom_AR_Sub_ColorIcon_23',999,,False
100025,100025,イタリアンレッド,120,3,10,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_24.Tex_Custom_AR_Sub_ColorIcon_24',999,,False
100026,100026,ヒカリカラー,28,16,250,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_25.Tex_Custom_AR_Sub_ColorIcon_25',999,,False
100027,100027,レイカカラー,6,20,255,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_26.Tex_Custom_AR_Sub_ColorIcon_26',999,,False
100028,100028,シャーリーカラー,120,25,112,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_27.Tex_Custom_AR_Sub_ColorIcon_27',999,,False
100029,100029,イサドラカラー,13,40,30,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_28.Tex_Custom_AR_Sub_ColorIcon_28',999,,False
100030,100030,ナギカラー,133,20,18,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_29.Tex_Custom_AR_Sub_ColorIcon_29',999,,False
100031,100031,カズマカラー,62,50,18,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Sub_ColorIcon_30.Tex_Custom_AR_Sub_ColorIcon_30',999,,False
100032,100032,ゴウゼンカラー,140,228,203,None,999,,False
100033,100033,キサラカラー,140,228,203,None,999,,False
