---,MechaPartDesignId,Name,MechaId,PartId,DesignId,IsDefault
107,20012,カーディナル・Ｂ\nソリディアカラー,2,2,1,False
108,20013,カーディナル・Ａ\nソリディアカラー,2,3,1,False
109,20014,カーディナル・Ｌ\nソリディアカラー,2,4,1,False
110,20015,カーディナル・Ｗ\nソリディアカラー,2,5,1,False
111,20031,カーディナル・Ｈ\nスクラッパーカラー,2,1,3,False
112,20032,カーディナル・Ｂ\nスクラッパーカラー,2,2,3,False
113,20033,カーディナル・Ａ\nスクラッパーカラー,2,3,3,False
114,20034,カーディナル・Ｌ\nスクラッパーカラー,2,4,3,False
115,20035,カーディナル・Ｗ\nスクラッパーカラー,2,5,3,False
116,20041,カーディナル・Ｈ\nサイトヘッドカラー,2,1,4,False
117,20042,カーディナル・Ｂ\nサイトヘッドカラー,2,2,4,False
118,20043,カーディナル・Ａ\nサイトヘッドカラー,2,3,4,False
119,20044,カーディナル・Ｌ\nサイトヘッドカラー,2,4,4,False
120,20045,カーディナル・Ｗ\nサイトヘッドカラー,2,5,4,False
121,20051,カーディナル・Ｈ\nCU・レイターカラー,2,1,5,False
122,20052,カーディナル・Ｂ\nCU・レイターカラー,2,2,5,False
123,20053,カーディナル・Ａ\nCU・レイターカラー,2,3,5,False
124,20054,カーディナル・Ｌ\nCU・レイターカラー,2,4,5,False
125,20055,カーディナル・Ｗ\nCU・レイターカラー,2,5,5,False
126,20061,カーディナル・Ｈ\nゴールテン・Dカラー,2,1,6,False
127,20062,カーディナル・Ｂ\nゴールテン・Dカラー,2,2,6,False
128,20063,カーディナル・Ａ\nゴールテン・Dカラー,2,3,6,False
129,20064,カーディナル・Ｌ\nゴールテン・Dカラー,2,4,6,False
130,20065,カーディナル・Ｗ\nゴールテン・Dカラー,2,5,6,False
131,20071,カーディナル・Ｈ\nアンゼロイカラー,2,1,7,False
132,20072,カーディナル・Ｂ\nアンゼロイカラー,2,2,7,False
133,20073,カーディナル・Ａ\nアンゼロイカラー,2,3,7,False
134,20074,カーディナル・Ｌ\nアンゼロイカラー,2,4,7,False
135,20075,カーディナル・Ｗ\nアンゼロイカラー,2,5,7,False
136,20081,カーディナル・Ｈ\nディスドスカラー,2,1,8,False
137,20082,カーディナル・Ｂ\nディスドスカラー,2,2,8,False
138,20083,カーディナル・Ａ\nディスドスカラー,2,3,8,False
139,20084,カーディナル・Ｌ\nディスドスカラー,2,4,8,False
140,20085,カーディナル・Ｗ\nディスドスカラー,2,5,8,False
141,20091,カーディナル・Ｈ\nサブライガカラー,2,1,9,False
142,20092,カーディナル・Ｂ\nサブライガカラー,2,2,9,False
143,20093,カーディナル・Ａ\nサブライガカラー,2,3,9,False
144,20094,カーディナル・Ｌ\nサブライガカラー,2,4,9,False
145,20095,カーディナル・Ｗ\nサブライガカラー,2,5,9,False
146,20101,カーディナル・Ｈ\nファルマコンカラー,2,1,10,False
147,20102,カーディナル・Ｂ\nファルマコンカラー,2,2,10,False
148,20103,カーディナル・Ａ\nファルマコンカラー,2,3,10,False
149,20104,カーディナル・Ｌ\nファルマコンカラー,2,4,10,False
150,20105,カーディナル・Ｗ\nファルマコンカラー,2,5,10,False
151,20111,カーディナル・Ｈ\nラピスヘッジカラー,2,1,11,False
152,20112,カーディナル・Ｂ\nラピスヘッジカラー,2,2,11,False
153,20113,カーディナル・Ａ\nラピスヘッジカラー,2,3,11,False
154,20114,カーディナル・Ｌ\nラピスヘッジカラー,2,4,11,False
155,20115,カーディナル・Ｗ\nラピスヘッジカラー,2,5,11,False
156,20121,カーディナル・Ｈ\nパ・フェクトカラー,2,1,12,False
157,20122,カーディナル・Ｂ\nパ・フェクトカラー,2,2,12,False
158,20123,カーディナル・Ａ\nパ・フェクトカラー,2,3,12,False
159,20124,カーディナル・Ｌ\nパ・フェクトカラー,2,4,12,False
160,20125,カーディナル・Ｗ\nパ・フェクトカラー,2,5,12,False
161,20131,カーディナル・Ｈ\nエタニティカラー,2,1,13,False
162,20132,カーディナル・Ｂ\nエタニティカラー,2,2,13,False
163,20133,カーディナル・Ａ\nエタニティカラー,2,3,13,False
164,20134,カーディナル・Ｌ\nエタニティカラー,2,4,13,False
165,20135,カーディナル・Ｗ\nエタニティカラー,2,5,13,False
166,20141,カーディナル・Ｈ\nオキサイドカラー,2,1,14,False
167,20142,カーディナル・Ｂ\nオキサイドカラー,2,2,14,False
168,20143,カーディナル・Ａ\nオキサイドカラー,2,3,14,False
169,20144,カーディナル・Ｌ\nオキサイドカラー,2,4,14,False
170,20145,カーディナル・Ｗ\nオキサイドカラー,2,5,14,False
171,21011,カーディナル・Ｈ\n深森,2,1,101,False
172,21012,カーディナル・Ｂ\n深森,2,2,101,False
173,21013,カーディナル・Ａ\n深森,2,3,101,False
174,21014,カーディナル・Ｌ\n深森,2,4,101,False
175,21015,カーディナル・Ｗ\n深森,2,5,101,False
176,21021,カーディナル・Ｈ\n岩塊,2,1,102,False
177,21022,カーディナル・Ｂ\n岩塊,2,2,102,False
178,21023,カーディナル・Ａ\n岩塊,2,3,102,False
179,21024,カーディナル・Ｌ\n岩塊,2,4,102,False
180,21025,カーディナル・Ｗ\n岩塊,2,5,102,False
181,21031,カーディナル・Ｈ\n土漠,2,1,103,False
182,21032,カーディナル・Ｂ\n土漠,2,2,103,False
183,21033,カーディナル・Ａ\n土漠,2,3,103,False
184,21034,カーディナル・Ｌ\n土漠,2,4,103,False
185,21035,カーディナル・Ｗ\n土漠,2,5,103,False
186,21041,カーディナル・Ｈ\n青碧,2,1,104,False
187,21042,カーディナル・Ｂ\n青碧,2,2,104,False
188,21043,カーディナル・Ａ\n青碧,2,3,104,False
189,21044,カーディナル・Ｌ\n青碧,2,4,104,False
190,21045,カーディナル・Ｗ\n青碧,2,5,104,False
191,21051,カーディナル・Ｈ\n海響,2,1,105,False
192,21052,カーディナル・Ｂ\n海響,2,2,105,False
193,21053,カーディナル・Ａ\n海響,2,3,105,False
194,21054,カーディナル・Ｌ\n海響,2,4,105,False
195,21055,カーディナル・Ｗ\n海響,2,5,105,False
196,21061,カーディナル・Ｈ\n桜花,2,1,106,False
197,21062,カーディナル・Ｂ\n桜花,2,2,106,False
198,21063,カーディナル・Ａ\n桜花,2,3,106,False
199,21064,カーディナル・Ｌ\n桜花,2,4,106,False
200,21065,カーディナル・Ｗ\n桜花,2,5,106,False
201,30031,スクラッパー・Ｈ,3,1,3,False
202,30032,スクラッパー・Ｂ,3,2,3,False
203,30033,スクラッパー・Ａ,3,3,3,False
204,30034,スクラッパー・Ｌ,3,4,3,False
205,30035,スクラッパー・Ｗ,3,5,3,False
206,30011,スクラッパー・Ｈ\nソリディアカラー,3,1,1,False
207,30012,スクラッパー・Ｂ\nソリディアカラー,3,2,1,False
208,30013,スクラッパー・Ａ\nソリディアカラー,3,3,1,False
209,30014,スクラッパー・Ｌ\nソリディアカラー,3,4,1,False
210,30015,スクラッパー・Ｗ\nソリディアカラー,3,5,1,False
211,30021,スクラッパー・Ｈ\nカーディナルカラー,3,1,2,False
212,30022,スクラッパー・Ｂ\nカーディナルカラー,3,2,2,False
213,30023,スクラッパー・Ａ\nカーディナルカラー,3,3,2,False
214,30024,スクラッパー・Ｌ\nカーディナルカラー,3,4,2,False
215,30025,スクラッパー・Ｗ\nカーディナルカラー,3,5,2,False
216,30041,スクラッパー・Ｈ\nサイトヘッドカラー,3,1,4,False
217,30042,スクラッパー・Ｂ\nサイトヘッドカラー,3,2,4,False
218,30043,スクラッパー・Ａ\nサイトヘッドカラー,3,3,4,False
219,30044,スクラッパー・Ｌ\nサイトヘッドカラー,3,4,4,False
220,30045,スクラッパー・Ｗ\nサイトヘッドカラー,3,5,4,False
221,30051,スクラッパー・Ｈ\nCU・レイターカラー,3,1,5,False
222,30052,スクラッパー・Ｂ\nCU・レイターカラー,3,2,5,False
223,30053,スクラッパー・Ａ\nCU・レイターカラー,3,3,5,False
224,30054,スクラッパー・Ｌ\nCU・レイターカラー,3,4,5,False
225,30055,スクラッパー・Ｗ\nCU・レイターカラー,3,5,5,False
226,30061,スクラッパー・Ｈ\nゴールテン・Dカラー,3,1,6,False
227,30062,スクラッパー・Ｂ\nゴールテン・Dカラー,3,2,6,False
228,30063,スクラッパー・Ａ\nゴールテン・Dカラー,3,3,6,False
229,30064,スクラッパー・Ｌ\nゴールテン・Dカラー,3,4,6,False
230,30065,スクラッパー・Ｗ\nゴールテン・Dカラー,3,5,6,False
231,30071,スクラッパー・Ｈ\nアンゼロイカラー,3,1,7,False
232,30072,スクラッパー・Ｂ\nアンゼロイカラー,3,2,7,False
233,30073,スクラッパー・Ａ\nアンゼロイカラー,3,3,7,False
234,30074,スクラッパー・Ｌ\nアンゼロイカラー,3,4,7,False
235,30075,スクラッパー・Ｗ\nアンゼロイカラー,3,5,7,False
236,30081,スクラッパー・Ｈ\nディスドスカラー,3,1,8,False
237,30082,スクラッパー・Ｂ\nディスドスカラー,3,2,8,False
238,30083,スクラッパー・Ａ\nディスドスカラー,3,3,8,False
239,30084,スクラッパー・Ｌ\nディスドスカラー,3,4,8,False
240,30085,スクラッパー・Ｗ\nディスドスカラー,3,5,8,False
241,30091,スクラッパー・Ｈ\nサブライガカラー,3,1,9,False
242,30092,スクラッパー・Ｂ\nサブライガカラー,3,2,9,False
243,30093,スクラッパー・Ａ\nサブライガカラー,3,3,9,False
244,30094,スクラッパー・Ｌ\nサブライガカラー,3,4,9,False
245,30095,スクラッパー・Ｗ\nサブライガカラー,3,5,9,False
246,30101,スクラッパー・Ｈ\nファルマコンカラー,3,1,10,False
247,30102,スクラッパー・Ｂ\nファルマコンカラー,3,2,10,False
248,30103,スクラッパー・Ａ\nファルマコンカラー,3,3,10,False
249,30104,スクラッパー・Ｌ\nファルマコンカラー,3,4,10,False
250,30105,スクラッパー・Ｗ\nファルマコンカラー,3,5,10,False
251,30111,スクラッパー・Ｈ\nラピスヘッジカラー,3,1,11,False
252,30112,スクラッパー・Ｂ\nラピスヘッジカラー,3,2,11,False
253,30113,スクラッパー・Ａ\nラピスヘッジカラー,3,3,11,False
254,30114,スクラッパー・Ｌ\nラピスヘッジカラー,3,4,11,False
255,30115,スクラッパー・Ｗ\nラピスヘッジカラー,3,5,11,False
256,30121,スクラッパー・Ｈ\nパ・フェクトカラー,3,1,12,False
257,30122,スクラッパー・Ｂ\nパ・フェクトカラー,3,2,12,False
258,30123,スクラッパー・Ａ\nパ・フェクトカラー,3,3,12,False
259,30124,スクラッパー・Ｌ\nパ・フェクトカラー,3,4,12,False
260,30125,スクラッパー・Ｗ\nパ・フェクトカラー,3,5,12,False
261,30131,スクラッパー・Ｈ\nエタニティカラー,3,1,13,False
262,30132,スクラッパー・Ｂ\nエタニティカラー,3,2,13,False
263,30133,スクラッパー・Ａ\nエタニティカラー,3,3,13,False
264,30134,スクラッパー・Ｌ\nエタニティカラー,3,4,13,False
265,30135,スクラッパー・Ｗ\nエタニティカラー,3,5,13,False
266,30141,スクラッパー・Ｈ\nオキサイドカラー,3,1,14,False
267,30142,スクラッパー・Ｂ\nオキサイドカラー,3,2,14,False
268,30143,スクラッパー・Ａ\nオキサイドカラー,3,3,14,False
269,30144,スクラッパー・Ｌ\nオキサイドカラー,3,4,14,False
270,30145,スクラッパー・Ｗ\nオキサイドカラー,3,5,14,False
271,31011,スクラッパー・Ｈ\n深森,3,1,101,False
272,31012,スクラッパー・Ｂ\n深森,3,2,101,False
273,31013,スクラッパー・Ａ\n深森,3,3,101,False
274,31014,スクラッパー・Ｌ\n深森,3,4,101,False
275,31015,スクラッパー・Ｗ\n深森,3,5,101,False
276,31021,スクラッパー・Ｈ\n岩塊,3,1,102,False
277,31022,スクラッパー・Ｂ\n岩塊,3,2,102,False
278,31023,スクラッパー・Ａ\n岩塊,3,3,102,False
279,31024,スクラッパー・Ｌ\n岩塊,3,4,102,False
280,31025,スクラッパー・Ｗ\n岩塊,3,5,102,False
281,31031,スクラッパー・Ｈ\n土漠,3,1,103,False
282,31032,スクラッパー・Ｂ\n土漠,3,2,103,False
283,31033,スクラッパー・Ａ\n土漠,3,3,103,False
284,31034,スクラッパー・Ｌ\n土漠,3,4,103,False
285,31035,スクラッパー・Ｗ\n土漠,3,5,103,False
286,31041,スクラッパー・Ｈ\n青碧,3,1,104,False
287,31042,スクラッパー・Ｂ\n青碧,3,2,104,False
288,31043,スクラッパー・Ａ\n青碧,3,3,104,False
289,31044,スクラッパー・Ｌ\n青碧,3,4,104,False
290,31045,スクラッパー・Ｗ\n青碧,3,5,104,False
291,31051,スクラッパー・Ｈ\n海響,3,1,105,False
292,31052,スクラッパー・Ｂ\n海響,3,2,105,False
293,31053,スクラッパー・Ａ\n海響,3,3,105,False
294,31054,スクラッパー・Ｌ\n海響,3,4,105,False
295,31055,スクラッパー・Ｗ\n海響,3,5,105,False
296,31061,スクラッパー・Ｈ\n桜花,3,1,106,False
297,31062,スクラッパー・Ｂ\n桜花,3,2,106,False
298,31063,スクラッパー・Ａ\n桜花,3,3,106,False
299,31064,スクラッパー・Ｌ\n桜花,3,4,106,False
300,31065,スクラッパー・Ｗ\n桜花,3,5,106,False
301,40041,サイトヘッド・Ｈ,4,1,4,False
302,40042,サイトヘッド・Ｂ,4,2,4,False
303,40043,サイトヘッド・Ａ,4,3,4,False
304,40044,サイトヘッド・Ｌ,4,4,4,False
305,40045,サイトヘッド・Ｗ,4,5,4,False
306,40011,サイトヘッド・Ｈ\nソリディアカラー,4,1,1,False
307,40012,サイトヘッド・Ｂ\nソリディアカラー,4,2,1,False
308,40013,サイトヘッド・Ａ\nソリディアカラー,4,3,1,False
309,40014,サイトヘッド・Ｌ\nソリディアカラー,4,4,1,False
310,40015,サイトヘッド・Ｗ\nソリディアカラー,4,5,1,False
311,40021,サイトヘッド・Ｈ\nカーディナルカラー,4,1,2,False
312,40022,サイトヘッド・Ｂ\nカーディナルカラー,4,2,2,False
313,40023,サイトヘッド・Ａ\nカーディナルカラー,4,3,2,False
314,40024,サイトヘッド・Ｌ\nカーディナルカラー,4,4,2,False
315,40025,サイトヘッド・Ｗ\nカーディナルカラー,4,5,2,False
316,40031,サイトヘッド・Ｈ\nスクラッパーカラー,4,1,3,False
317,40032,サイトヘッド・Ｂ\nスクラッパーカラー,4,2,3,False
318,40033,サイトヘッド・Ａ\nスクラッパーカラー,4,3,3,False
319,40034,サイトヘッド・Ｌ\nスクラッパーカラー,4,4,3,False
320,40035,サイトヘッド・Ｗ\nスクラッパーカラー,4,5,3,False
321,40051,サイトヘッド・Ｈ\nCU・レイターカラー,4,1,5,False
322,40052,サイトヘッド・Ｂ\nCU・レイターカラー,4,2,5,False
323,40053,サイトヘッド・Ａ\nCU・レイターカラー,4,3,5,False
324,40054,サイトヘッド・Ｌ\nCU・レイターカラー,4,4,5,False
325,40055,サイトヘッド・Ｗ\nCU・レイターカラー,4,5,5,False
326,40061,サイトヘッド・Ｈ\nゴールテン・Dカラー,4,1,6,False
327,40062,サイトヘッド・Ｂ\nゴールテン・Dカラー,4,2,6,False
328,40063,サイトヘッド・Ａ\nゴールテン・Dカラー,4,3,6,False
329,40064,サイトヘッド・Ｌ\nゴールテン・Dカラー,4,4,6,False
330,40065,サイトヘッド・Ｗ\nゴールテン・Dカラー,4,5,6,False
331,40071,サイトヘッド・Ｈ\nアンゼロイカラー,4,1,7,False
332,40072,サイトヘッド・Ｂ\nアンゼロイカラー,4,2,7,False
333,40073,サイトヘッド・Ａ\nアンゼロイカラー,4,3,7,False
334,40074,サイトヘッド・Ｌ\nアンゼロイカラー,4,4,7,False
335,40075,サイトヘッド・Ｗ\nアンゼロイカラー,4,5,7,False
336,40081,サイトヘッド・Ｈ\nディスドスカラー,4,1,8,False
337,40082,サイトヘッド・Ｂ\nディスドスカラー,4,2,8,False
338,40083,サイトヘッド・Ａ\nディスドスカラー,4,3,8,False
339,40084,サイトヘッド・Ｌ\nディスドスカラー,4,4,8,False
340,40085,サイトヘッド・Ｗ\nディスドスカラー,4,5,8,False
341,40091,サイトヘッド・Ｈ\nサブライガカラー,4,1,9,False
342,40092,サイトヘッド・Ｂ\nサブライガカラー,4,2,9,False
343,40093,サイトヘッド・Ａ\nサブライガカラー,4,3,9,False
344,40094,サイトヘッド・Ｌ\nサブライガカラー,4,4,9,False
345,40095,サイトヘッド・Ｗ\nサブライガカラー,4,5,9,False
346,40101,サイトヘッド・Ｈ\nファルマコンカラー,4,1,10,False
347,40102,サイトヘッド・Ｂ\nファルマコンカラー,4,2,10,False
348,40103,サイトヘッド・Ａ\nファルマコンカラー,4,3,10,False
349,40104,サイトヘッド・Ｌ\nファルマコンカラー,4,4,10,False
350,40105,サイトヘッド・Ｗ\nファルマコンカラー,4,5,10,False
351,40111,サイトヘッド・Ｈ\nラピスヘッジカラー,4,1,11,False
352,40112,サイトヘッド・Ｂ\nラピスヘッジカラー,4,2,11,False
353,40113,サイトヘッド・Ａ\nラピスヘッジカラー,4,3,11,False
354,40114,サイトヘッド・Ｌ\nラピスヘッジカラー,4,4,11,False
355,40115,サイトヘッド・Ｗ\nラピスヘッジカラー,4,5,11,False
356,40121,サイトヘッド・Ｈ\nパ・フェクトカラー,4,1,12,False
357,40122,サイトヘッド・Ｂ\nパ・フェクトカラー,4,2,12,False
358,40123,サイトヘッド・Ａ\nパ・フェクトカラー,4,3,12,False
359,40124,サイトヘッド・Ｌ\nパ・フェクトカラー,4,4,12,False
360,40125,サイトヘッド・Ｗ\nパ・フェクトカラー,4,5,12,False
361,40131,サイトヘッド・Ｈ\nエタニティカラー,4,1,13,False
362,40132,サイトヘッド・Ｂ\nエタニティカラー,4,2,13,False
363,40133,サイトヘッド・Ａ\nエタニティカラー,4,3,13,False
364,40134,サイトヘッド・Ｌ\nエタニティカラー,4,4,13,False
365,40135,サイトヘッド・Ｗ\nエタニティカラー,4,5,13,False
366,40141,サイトヘッド・Ｈ\nオキサイドカラー,4,1,14,False
367,40142,サイトヘッド・Ｂ\nオキサイドカラー,4,2,14,False
368,40143,サイトヘッド・Ａ\nオキサイドカラー,4,3,14,False
369,40144,サイトヘッド・Ｌ\nオキサイドカラー,4,4,14,False
370,40145,サイトヘッド・Ｗ\nオキサイドカラー,4,5,14,False
371,41011,サイトヘッド・Ｈ\n深森,4,1,101,False
372,41012,サイトヘッド・Ｂ\n深森,4,2,101,False
373,41013,サイトヘッド・Ａ\n深森,4,3,101,False
374,41014,サイトヘッド・Ｌ\n深森,4,4,101,False
375,41015,サイトヘッド・Ｗ\n深森,4,5,101,False
376,41021,サイトヘッド・Ｈ\n岩塊,4,1,102,False
377,41022,サイトヘッド・Ｂ\n岩塊,4,2,102,False
378,41023,サイトヘッド・Ａ\n岩塊,4,3,102,False
379,41024,サイトヘッド・Ｌ\n岩塊,4,4,102,False
380,41025,サイトヘッド・Ｗ\n岩塊,4,5,102,False
381,41031,サイトヘッド・Ｈ\n土漠,4,1,103,False
382,41032,サイトヘッド・Ｂ\n土漠,4,2,103,False
383,41033,サイトヘッド・Ａ\n土漠,4,3,103,False
384,41034,サイトヘッド・Ｌ\n土漠,4,4,103,False
385,41035,サイトヘッド・Ｗ\n土漠,4,5,103,False
386,41041,サイトヘッド・Ｈ\n青碧,4,1,104,False
387,41042,サイトヘッド・Ｂ\n青碧,4,2,104,False
388,41043,サイトヘッド・Ａ\n青碧,4,3,104,False
389,41044,サイトヘッド・Ｌ\n青碧,4,4,104,False
390,41045,サイトヘッド・Ｗ\n青碧,4,5,104,False
391,41051,サイトヘッド・Ｈ\n海響,4,1,105,False
392,41052,サイトヘッド・Ｂ\n海響,4,2,105,False
393,41053,サイトヘッド・Ａ\n海響,4,3,105,False
394,41054,サイトヘッド・Ｌ\n海響,4,4,105,False
395,41055,サイトヘッド・Ｗ\n海響,4,5,105,False
396,41061,サイトヘッド・Ｈ\n桜花,4,1,106,False
397,41062,サイトヘッド・Ｂ\n桜花,4,2,106,False
398,41063,サイトヘッド・Ａ\n桜花,4,3,106,False
399,41064,サイトヘッド・Ｌ\n桜花,4,4,106,False
400,41065,サイトヘッド・Ｗ\n桜花,4,5,106,False
401,50051,CU・レイター・Ｈ,5,1,5,False
402,50052,CU・レイター・Ｂ,5,2,5,False
403,50053,CU・レイター・Ａ,5,3,5,False
404,50054,CU・レイター・Ｌ,5,4,5,False
405,50055,CU・レイター・Ｗ,5,5,5,False
406,50011,CU・レイター・Ｈ\nソリディアカラー,5,1,1,False
407,50012,CU・レイター・Ｂ\nソリディアカラー,5,2,1,False
408,50013,CU・レイター・Ａ\nソリディアカラー,5,3,1,False
409,50014,CU・レイター・Ｌ\nソリディアカラー,5,4,1,False
410,50015,CU・レイター・Ｗ\nソリディアカラー,5,5,1,False
411,50021,CU・レイター・Ｈ\nカーディナルカラー,5,1,2,False
412,50022,CU・レイター・Ｂ\nカーディナルカラー,5,2,2,False
