---,LegId,Name,RobotMaker,HP,Cost,Weight,BoostSavingStart,BoostSavingLoop,FullDriveSavingStart,FullDriveSavingLoop,BlowOffTolerance,BlowOffBlowUpAdjust,FallActionMoveMaxSpeed,FallMoveActionMoveMaxSpeed,Barrier,MidStrongholdAttackAdjust,IdleBoostGaugeDecStart,IdleBoostGaugeDecDuration,IdleBoostGaugeRecvDisableSec,WalkMoveInitSpeed,WalkMoveLimitSpeed,WalkMoveAcceleration,WalkMoveAcceleEaseType,WalkMoveAcceleEaseExp,WalkMoveTurningAbility,WalkReverseAcceleration,WalkReverseInitSpeed,WalkBoostGaugeDecStart,WalkBoostGaugeDecDuration,WalkBoostGaugeRecvDisableSec,LandMinimumDuration,LandActionReservoirTime,LandActionDirRejecSec,LandBoostGaugeDecStart,LandBoostGaugeDecDuration,LandBoostGaugeRecvDisableSec,WallJumpUpMoveInitSpeed,WallJumpUpMoveLimitSpeed,WallJumpUpMoveAcceleration,WallJumpUpMoveAcceleEaseType,WallJumpUpMoveAcceleEaseExp,WallJumpUpMoveTurningAbility,WallJumpUpJumpInitSpeed,WallJumpUpJumpLimitSpeed,WallJumpUpJumpAcceleration,WallJumpUpJumpAcceleEaseType,WallJumpUpJumpAcceleEaseExp,WallJumpUpActionGravity,WallJumpUpActionMoveMaxSpeed,WallJumpUpMinimumDuration,WallJumpUpActionReservoirTime,WallJumpUpActionDirRejecSec,WallJumpUpBoostGaugeDecStart,WallJumpUpBoostGaugeDecDuration,WallJumpUpBoostGaugeRecvDisableSec,RotateDegSpdSec,RotateDegLimit,GetUpSec,GetUpJumpSec,GetUpJumpSpeed,OverHeatBoostGaugeAddPer,MidStrongholdDownAdjust,GutsVal1_Bonus,GutsVal2_Bonus,GutsVal3_Bonus,GutsVal4_Bonus,GutsVal5_Bonus,CameraOffsetRateX_adjust,CameraOffsetRateZ_adjust,PortAreaSizeBonus
11,11,ラピスヘッジ・L,RobotMaker003,220,0,0,0,0,0,0,-0.03,0,2500,2300,0,0.95,0,550,0,350,700,0.4,Linear,5,1,5,400,0,550,0,0.3,0,0,0,550,0,4500,5000,1,Linear,5,10,6500,2000,0.8,Linear,1,4.5,4000,0.45,0.1,0.15,-100,0,0.2,800,160,0.4,0.4,2000,1.15,0,0,0,0,0,0,0,0.6,0
12,12,パ・フェクト・L,RobotMaker003,140,0,0,-0.03,-0.03,-0.03,-0.03,0,0,2000,1800,0,1,0,550,0,300,700,0.25,Linear,5,10,50,400,0,200,0,0.4,0.1,0,0,550,0,5000,5500,0.5,Linear,5,100,7000,2500,0.8,Linear,5,2,2000,0.45,0.1,0.15,-100,0,0.2,800,160,0.4,0.5,2500,1,0,0,0,0,0,0,0,0,0
13,13,エタニティ・L,RobotMaker004,250,0,0,0,0,0,0,0.01,0,1900,1700,0,1.03,0,550,0,450,800,0.3,Linear,5,1,5,400,0,550,0,0.2,0,0,0,550,0,5000,3500,1,Linear,5,100,6500,1800,0.8,Linear,1,4.5,4000,0.45,0.1,0.15,-100,0,0.2,800,160,0.4,0.4,2000,0.9,0,0,0,0,0,0,0,0,0
14,14,オキサイド・L,RobotMaker004,150,0,0,0,0,0,0,-0.03,0,2500,2300,0,1,0,550,0,1000,3000,1,Linear,5,10,10,400,0,550,0,0,0,0,0,550,0,4500,3000,1,Linear,5,10,7200,2000,0.8,Linear,1,4.5,4000,0.45,0.1,0.15,-100,0,0.2,800,160,0.35,0.35,2500,1,0.2,0,0,0,0,0,0,0,100
15,15,オキサイド・L,RobotMaker004,0,0,0,0,0,0,0,-0.03,0,2300,2100,0,1,0,550,0,450,800,0.3,Linear,5,1,5,400,0,550,0,0.3,0,0,0,550,0,4500,3000,1,Linear,5,10,7200,2000,0.8,Linear,1,4.5,4000,0.45,0.1,0.15,-100,0,0.2,800,160,0.4,0.4,2000,1,0,0,0,0,0,0,0,0,0
16,16,Ｓオキサイド・L,RobotMaker004,0,0,0,0,0,0,0,-0.03,0,2300,2100,0,1,0,550,0,450,800,0.3,Linear,5,1,5,400,0,550,0,0.3,0,0,0,550,0,4500,3000,1,Linear,5,10,7200,2000,0.8,Linear,1,4.5,4000,0.45,0.1,0.15,-100,0,0.2,800,160,0.4,0.4,2000,1,0,0,0,0,0,0,0,0,0
17,17,レッグパラメーター上限,RobotMaker004,250,0,0,0,0,0,0,0,0,2000,1800,0,1,0,1000,0,450,800,0.3,Linear,5,1,5,400,0,550,0,0.2,0,0,0,1000,0,4500,3000,1,Linear,5,10,7200,2000,0.8,Linear,1,4.5,4000,0.45,0.1,0.15,-100,0,0.2,800,160,0.4,0.4,2000,10,1,5,10,10,15,25,1,1,25
18,101,ソリディア・L,RobotMaker001,0,0,0,0,0,0,0,0,0,0,0,0,1,0,750,0,600,1200,0.3,Linear,5,1,5,400,0,750,0,0.5,0,0,0,750,0,4500,3000,1,Linear,5,10,7200,2000,0.8,Linear,1,4.5,4000,0.45,0.1,0.15,0,0,0.1,800,160,0.4,0.4,2000,1,0,0,0,0,0,0,0,0,0
19,201,カーディナル・L,RobotMaker002,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,750,0,450,820,0.3,Linear,5,1,3,500,0,750,0,0.5,0,0,0,750,0,5200,3500,1,Linear,5,10,7500,3000,1,Linear,1,4.5,4000,0.45,0.1,0.15,0,0,0.5,800,160,0.4,0.4,1500,1,0,0,0,0,0,0,0,0,0
20,301,スクラッパー・L,RobotMaker001,0,0,0,0,0,0,0,0,0,0,0,0,1,0,750,0,450,800,0.3,Linear,5,1,5,400,0,750,0,0.5,0,0,0,750,0,4500,3000,1,Linear,5,10,7200,2000,0.8,Linear,1,4.5,4000,0.45,0.1,0.15,0,0,0.2,800,160,0.4,0.4,1000,1,0,0,0,0,0,0,0,0,0
21,401,サイトヘッド・L,RobotMaker003,0,0,0,0,0,0,0,0,0,0,0,0,1,0,750,0,550,700,1,EaseIn,2,1,1,800,0,750,0,0.5,0,0,0,750,0,5500,3000,1,Linear,5,1,4300,2000,1,Linear,5,4.5,4000,0.45,0.16,0.45,0,0,0,800,160,0.4,0.4,1500,1,0,0,0,0,0,0,0,0,0
22,501,CU・レイター・L,RobotMaker003,0,0,0,0,0,0,0,0,0,0,0,0,1,0,750,0,400,700,0.3,EaseIn,5,1,1,800,0,750,0,0.5,0,0,0,750,0,6000,4000,1,Linear,5,10,6000,2000,0.5,Linear,5,4.5,4000,0.45,0.1,0.15,0,0,0.2,800,160,0.4,0.4,1500,1,0,0,0,0,0,0,0,0,200
23,601,ゴールテン・D・L,RobotMaker001,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,750,0,1000,2000,1,EaseIn,5,1,1,1500,0,750,0,0.5,0,0,0,750,0,5500,3000,1,Linear,5,1,4300,2000,1,Linear,5,4.5,4000,0.45,0.16,0.45,0,0,0,800,160,0.4,0.4,1000,1,0,0,0,0,0,0,0,0,0
24,701,アンゼロイ・L,RobotMaker002,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0,750,0,450,800,0.3,Linear,5,1,5,400,0,750,0,0.5,0,0,0,750,0,3500,4500,0.4,Linear,5,10,7200,3000,0.7,Linear,1,4.5,4000,0.45,0.1,0.15,0,0,0.2,800,160,0.4,0.4,2000,1,0,0,0,0,0,0,0,0,0
25,801,ディスドス・L,RobotMaker002,0,0,0,0,0,0,0,0,0,0,0,0,1,0,750,0,450,800,0.3,Linear,5,1,5,400,0,750,0,0.5,0,0,0,750,0,5000,3000,1,Linear,5,10,7200,2300,0.8,Linear,1,4.5,4000,0.45,0.1,0.15,0,0,0.2,800,160,0.4,0.4,2000,1,0,0,0,0,0,0,0,0,0
26,901,サブライガ・L,RobotMaker002,0,0,0,0,0,0,0,0,0,0,0,0,1,0,750,0,450,800,0.3,Linear,5,1,5,400,0,750,0,0.5,0,0,0,750,0,4500,3000,1,Linear,5,10,7200,2000,0.8,Linear,1,4.5,4000,0.45,0.1,0.15,0,0,0.2,800,160,0.4,0.4,2000,1,0,0,0,0,0,0,0,0,0
27,1001,ファルマコン・L,RobotMaker001,0,0,0,0,0,0,0,0,0,0,0,0,1,0,750,0,400,800,0.3,EaseIn,5,1,3,800,0,750,0,0.5,0,0,0,750,0,6000,4000,1,Linear,5,10,8000,3000,1,Linear,5,4.5,4000,0.45,0.1,0.15,0,0,0.2,800,160,0.4,0.4,1500,1,0,0,0,0,0,0,0,0,0
28,1101,ラピスヘッジ・L,RobotMaker003,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,750,0,350,700,0.4,Linear,5,1,5,400,0,750,0,0.5,0,0,0,750,0,4500,5000,1,Linear,5,10,6500,2000,0.8,Linear,1,4.5,4000,0.45,0.1,0.15,0,0,0.2,800,160,0.4,0.4,2000,1,0,0,0,0,0,0,0,0.6,0
29,1201,パ・フェクト・L,RobotMaker003,0,0,0,0,0,0,0,0,0,0,0,0,1,0,750,0,450,800,0.3,Linear,5,1,5,400,0,750,0,0.5,0,0,0,750,0,4500,3000,1,Linear,5,10,7200,2000,0.8,Linear,1,4.5,4000,0.45,0.1,0.15,0,0,0.1,800,160,0.4,0.4,2000,1,0,0,0,0,0,0,0,0,0
30,1301,エタニティ・L,RobotMaker004,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0,750,0,450,800,0.3,Linear,5,1,5,400,0,750,0,0.5,0,0,0,750,0,5000,3500,1,Linear,5,100,6500,1800,0.8,Linear,1,4.5,4000,0.45,0.1,0.15,0,0,0.2,800,160,0.4,0.4,2000,1,0,0,0,0,0,0,0,0,0
31,1401,オキサイド・L,RobotMaker004,0,0,0,0,0,0,0,0,0,0,0,0,1,0,750,0,1000,3000,1,Linear,5,10,10,400,0,750,0,0.5,0,0,0,750,0,4500,3000,1,Linear,5,10,7200,2000,0.8,Linear,1,4.5,4000,0.45,0.1,0.15,0,0,0.2,800,160,0.4,0.4,2500,1,0,0,0,0,0,0,0,0,100
