---,Id,SkillId,SkillCategory,Texture,SkillName,SkillInfo,ReleaseLevel
13,13,13,0,Texture2D'/Game/GUI/Common/Tex/SkillIcon/Tex_Skill_BasesControlSpeed.Tex_Skill_BasesControlSpeed',ポート占拠速度上昇,ポートの占拠速度が上がる。\n\n発動条件：チームレベル６達成,999
14,14,14,0,Texture2D'/Game/GUI/Common/Tex/SkillIcon/Tex_Skill_WeaponChangeSpeedUp.Tex_Skill_WeaponChangeSpeedUp',武器切り替え速度上昇,武器の切り替え速度が上がる。\n\n発動条件：チームレベル４達成,999
15,15,15,0,Texture2D'/Game/GUI/Common/Tex/SkillIcon/Tex_Skill_RealBulletDefenseUp.Tex_Skill_RealBulletDefenseUp',対実弾防御力上昇,実弾系の被ダメージが減る。\n\n発動条件：チームレベル３達成,999
16,16,16,0,Texture2D'/Game/GUI/Common/Tex/SkillIcon/Tex_Skill_LaserDefenseUp.Tex_Skill_LaserDefenseUp',対ビーム防御力上昇,ビーム系の被ダメージが減る。\n\n発動条件：チームレベル３達成,999
17,17,17,0,Texture2D'/Game/GUI/Common/Tex/SkillIcon/Tex_Skill_FightingDefenseUp.Tex_Skill_FightingDefenseUp',対格闘防御力上昇,格闘系の被ダメージが減る。\n\n発動条件：チームレベル３達成,999
18,18,18,0,Texture2D'/Game/GUI/Common/Tex/SkillIcon/Tex_Skill_RealBulletAtkUp.Tex_Skill_RealBulletAtkUp',実弾攻撃力上昇,実弾系の与ダメージが増える。\n\n発動条件：チームレベル５達成,999
19,19,19,0,Texture2D'/Game/GUI/Common/Tex/SkillIcon/Tex_Skill_LaserAtkUp.Tex_Skill_LaserAtkUp',ビーム攻撃力上昇,ビーム系の与ダメージが増える。\n\n発動条件：チームレベル５達成,999
20,20,20,0,Texture2D'/Game/GUI/Common/Tex/SkillIcon/Tex_Skill_FightingAtkUp.Tex_Skill_FightingAtkUp',格闘攻撃力上昇,格闘系の与ダメージが増える。\n\n発動条件：チームレベル５達成,999
21,21,21,0,Texture2D'/Game/GUI/Common/Tex/SkillIcon/Tex_Skill_RecoveryUp.Tex_Skill_RecoveryUp',回復量上昇,ヒール系の回復量が上昇する。\n\n発動条件：チームレベル２達成,999
22,22,22,0,Texture2D'/Game/GUI/Common/Tex/SkillIcon/Tex_Skill_EquipmentTimeUp.Tex_Skill_EquipmentTimeUp',設置時間強化,フィールド上に設置する攻撃、\n妨害などの寿命が延びる。\n発動条件：チームレベル４達成,999
23,23,23,0,Texture2D'/Game/GUI/Common/Tex/SkillIcon/Tex_Skill_JammerTimeUp.Tex_Skill_JammerTimeUp',状態異常時間延長,相手の状態異常時間を\n延長する。\n発動条件：チームレベル４達成,999
24,24,24,0,Texture2D'/Game/GUI/Common/Tex/SkillIcon/Tex_Skill_TeamLevelExpUp.Tex_Skill_TeamLevelExpUp',経験値取得量上昇,チームレベルを上げやすくする。\n\n発動条件：常時発動,999
