---,PrjName,PrjAssetPath,AttackID,GrapID,HitGroup,HitCheckThis,HitCheckPlayer,HitCheckMob,HitCheckBuilding,HitCheckObject,HitCheckShield,InitSpeed,LimitSpeed,FinalSpeed,InitSpeedKeepTime,SpeedUpTime,LimitSpeedKeepTime,FinalSpeedUpTime,Gravity,InitPitch,InitYaw,ForceTargetPitch,ForceTargetYaw,ApplyOwnerPitch,ApplyOwnerYaw,ApplyOwnerRoll,InitSizeX,InitSizeY,InitSizeZ,InitRadius,InitScale,MaxScale,ScaleTime,LifeSpan,StopAfterLifeSpan,LimitMoveLength,AddLimitMoveLength,CrossBreakExtensionRate,MultiHitMaxPlayer,MultiHitMaxNotPlayer,MultiHitInterval,HitCharaProc,HitBGProc,HitBgCharaProc,HitShieldProc,LimitMoveLengthProc,DestroyOwnerDie,IgnorePreHitCheck,DistanceAttenuation,DistanceAttenuation_Max,DistanceAttenuation_MinDamageRate,StrongholdDistanceAttenuation,DodgeCheckEnable,IsHyperHoming,HomingNearOutLookAngle,HomingNearOutLookRange,HomingFarOutLookAngle,HomingFarOutLookRange,HorizontalHomingAbility_Start,HorizontalHomingAbility_End,HorizontalHomingAbility_Time,VerticalHomingAbility_Start,VerticalHomingAbility_End,VerticalHomingAbility_Time,HomingStartTime,HomingEndNearTargetRange,HomingEndTotalMovingDistance,HomingEndTime,IsHorizontalHomingSiteRate,IsVerticalHomingSiteRate,SuperHomingRate,TargetPositionOffset,MinRandomTargetOffset,MaxRandomTargetOffset,MinRandomTargetOffsetTime,MaxRandomTargetOffsetTime,RandomTargetOffsetNearLength,HorizontalVelocityRandomMin,HorizontalVelocityRandomMax,VerticalVelocityRandomMin,VerticalVelocityRandomMax,ShieldType,PrjVital,CoopProjectileID_LifeSpan,CoopProjectileID_HitChara,CoopProjectileID_HitBG,CoopProjectileID_Order,PierceEffectPath,IsObject,ShowHomingAlert,ReportFlag
PRJ_3WayBeam_Bullet01,ラーゴ　　　　　　　　　　　　（ワイドショット・SP）,/Game/Projectile/wp00006/BP_Prj3WayBeamBullet01.uasset,10,0,EnemyAll,Through,Enemy,Enemy,Enemy,Enemy,Enemy,10000,15000,0,-1,1,-1,-1,0,0,0,True,True,True,True,True,1,1,1,1,0.1,2,1,2,0,50000,0,1,0,0,0,Ignore,Die,Die,Die,Die,False,False,0,0,1,0,True,False,90,500,90,500,45,45,0,20,20,0,0,2000,0,0,True,False,1.2,None,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,,False,False,True
PRJ_BoundGun_Bullet01,バウンドガン(散弾1回目),/Game/Projectile/wp00007/BP_PrjBoundGunBullet01.uasset,11,0,EnemyAll,Through,Enemy,Enemy,Enemy,Enemy,Enemy,35000,20000,0,-1,1,-1,-1,0,0,0,False,False,True,True,True,1,1,1,1,1,1,0,1,0,50000,0,1,0,0,0,Ignore,Refract,Die,Ignore,Die,False,False,0,0,1,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,1.2,None,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,,False,False,True
PRJ_BoundGun_Bullet02,バウンドガン(散弾2回目),/Game/Projectile/wp00007/BP_PrjBoundGunBullet02.uasset,12,0,EnemyAll,Through,Enemy,Enemy,Enemy,Enemy,Enemy,37000,21500,0,-1,1,-1,-1,0,0,0,False,False,True,True,True,1,1,1,1,1,1,0,1,0,50000,0,1,0,0,0,Ignore,Refract,Die,Ignore,Die,False,False,0,0,1,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,1.2,None,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,,False,False,True
PRJ_BoundGun_Bullet03,バウンドガン(散弾3回目),/Game/Projectile/wp00007/BP_PrjBoundGunBullet03.uasset,13,0,EnemyAll,Through,Enemy,Enemy,Enemy,Enemy,Enemy,39000,23000,0,-1,1,-1,-1,0,0,0,False,False,True,True,True,1,1,1,1,1,1,0,1,0,50000,0,1,0,0,0,Ignore,Refract,Die,Ignore,Die,False,False,0,0,1,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,1.2,None,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,,False,False,True
PRJ_BoundGun_Bullet04,バウンドガン(散弾4回目),/Game/Projectile/wp00007/BP_PrjBoundGunBullet04.uasset,14,0,EnemyAll,Through,Enemy,Enemy,Enemy,Enemy,Enemy,41000,24500,0,-1,1,-1,-1,0,0,0,False,False,True,True,True,1,1,1,1,1,1,0,1,0,50000,0,1,0,0,0,Ignore,Refract,Die,Ignore,Die,False,False,0,0,1,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,1.2,None,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,,False,False,True
PRJ_BoundGun_Bullet05,バウンドガン(散弾5回目),/Game/Projectile/wp00007/BP_PrjBoundGunBullet05.uasset,15,0,EnemyAll,Through,Enemy,Enemy,Enemy,Enemy,Enemy,43000,26000,0,-1,1,-1,-1,0,0,0,False,False,True,True,True,1,1,1,1,1,1,0,1,0,50000,0,1,0,0,0,Ignore,Refract,Die,Ignore,Die,False,False,0,0,1,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,1.2,None,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,,False,False,True
PRJ_Pressure_Bullet01,ブートフィールド　　　　　　（プレッシャー・AS左）,/Game/Projectile/wp00008/BP_PrjPressureBullet01.uasset,16,41,EnemyAll,Through,Enemy,Enemy,Enemy,Enemy,Enemy,0,0,0,-1,0,-1,-1,0,0,0,False,False,False,False,False,1,1,1,450,0.001,20,1,1.2,0,0,0,1,0,0,0,Ignore,Ignore,Ignore,Ignore,Stop,False,True,0,0,1,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,0,None,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,,False,False,True
PRJ_ShotGun_Bullet01,レブンパレット(散弾1回目)　　（ショットガン・VG左）,/Game/Projectile/wp00009/BP_PrjShotGunBullet01.uasset,17,0,EnemyAll,Through,Enemy,Enemy,Enemy,Enemy,Enemy,55000,20000,0,0.1,0.1,-1,-1,0,0,0,True,True,True,True,True,1,1,1,1,1.2,1.2,0,1,0,13500,0,1,0,0,0,Die,Die,Die,Die,Die,False,False,0,0,1,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,1.1,None,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,,False,False,True
PRJ_ShotGun_Bullet02,レブンパレット(散弾2回目),/Game/Projectile/wp00009/BP_PrjShotGunBullet02.uasset,18,0,EnemyAll,Through,Enemy,Enemy,Enemy,Enemy,Enemy,57000,21500,0,0.1,0.1,-1,-1,0,0,0,True,True,True,True,True,1,1,1,1,1.2,1.2,0,1,0,10000,0,1,0,0,0,Die,Die,Die,Die,Die,False,False,0,0,1,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,1.1,None,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,,False,False,True
PRJ_ShotGun_Bullet03,レブンパレット(散弾3回目),/Game/Projectile/wp00009/BP_PrjShotGunBullet03.uasset,19,0,EnemyAll,Through,Enemy,Enemy,Enemy,Enemy,Enemy,59000,23000,0,0.1,0.1,-1,-1,0,0,0,True,True,True,True,True,1,1,1,1,1.2,1.2,0,1,0,12000,0,1,0,0,0,Die,Die,Die,Die,Die,False,False,0,0,1,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,1.1,None,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,,False,False,True
PRJ_ShotGun_Bullet04,レブンパレット(散弾4回目),/Game/Projectile/wp00009/BP_PrjShotGunBullet04.uasset,20,0,EnemyAll,Through,Enemy,Enemy,Enemy,Enemy,Enemy,61000,24500,0,0.1,0.1,-1,-1,0,0,0,True,True,True,True,True,1,1,1,1,1.2,1.2,0,1,0,11000,0,1,0,0,0,Die,Die,Die,Die,Die,False,False,0,0,1,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,1.1,None,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,,False,False,True
PRJ_ShotGun_Bullet05,レブンパレット(散弾5回目),/Game/Projectile/wp00009/BP_PrjShotGunBullet05.uasset,21,0,EnemyAll,Through,Enemy,Enemy,Enemy,Enemy,Enemy,63000,26000,0,0.1,0.1,-1,-1,0,0,0,True,True,True,True,True,1,1,1,1,1.2,1.2,0,1,0,13000,0,1,0,0,0,Die,Die,Die,Die,Die,False,False,0,0,1,0,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,1.1,None,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,,False,False,True
PRJ_BeamNet_Bullet01,電磁網弾 縛鎖　　　　　（飛ばすビームネット・AS左）,/Game/Projectile/wp00010/BP_PrjBeamNetBullet01.uasset,22,0,EnemyAll,Through,Enemy,Through,Through,Through,Enemy,10000,7000,0.5,0.5,0,-1,-1,0,0,0,True,True,True,True,True,1,1,1,1,0.001,3.75,0.5,4,0,50000,0,1,0,0,0,Stop,Stop,Stop,Stop,Die,False,True,0,0,1,0,True,False,90,500,90,500,5,5,0,5,5,0,0,2000,0,0,True,True,1.1,None,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,,False,False,True
PRJ_CoilGun_Bullet01,カラミッタ　　　　　　　　　　　（コイルガン・VG左）,/Game/Projectile/wp00011/BP_PrjCoilGunBullet01.uasset,23,0,EnemyAll,Through,Enemy,Enemy,Enemy,Enemy,Enemy,45000,45000,0,-1,0,-1,-1,0,0,0,True,True,True,True,True,1,1,1,1,1.5,1.5,0,3,0,12000,0,1,0,0,0,Die,Stop,Stop,Die,StopDie,False,False,0,0,1,0,True,False,90,0,90,0,45,45,0,45,45,0,0,2000,0,0,True,True,1.2,None,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,/Game/Effect/ACR_Effect/Weapon/wp00011/PT_ef_wp00011_pierce_loop_01.uasset,False,False,True
PRJ_MachineGunType02_Bullet01,ミトライユ・コルト　　　　　　　　（マシンガン・VG),/Game/Projectile/wp00012/BP_PrjMachineGunType02Bullet01.uasset,24,0,EnemyAll,Through,Enemy,Enemy,Enemy,Enemy,Enemy,50000,50000,0,-1,0,-1,-1,0,0,0,True,True,True,True,True,1,1,1,1,1,1,0,1.5,0,17500,0,1,0,0,0,Die,Die,Die,Die,Die,False,False,0,0,1,0,True,False,90,500,90,500,45,45,0,45,45,0,0,0,0,0,True,True,1.2,None,0,0,0,0,0,-2,2,-2,2,None,0,0,0,0,0,,False,False,True
PRJ_BeamMagnum_Bullet01,ブリリオン　　　　　　　　　　（ビームマグナム・AS）,/Game/Projectile/wp00013/BP_PrjBeamMagnumBullet01.uasset,25,0,EnemyAll,Through,Enemy,Enemy,Enemy,Enemy,Enemy,61000,64000,0,-1,0.2,-1,-1,0,0,0,True,True,True,True,True,1,1,1,1,3,3,0,2,0,50000,0,1,0,0,0,Ignore,Die,Die,Die,Die,False,False,0,0,1,0,True,False,45,5000,45,5000,25,25,0,25,25,0,0,2000,0,0,True,True,1.8,None,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,,False,False,True
PRJ_7WayBeam_Bullet01,斬絶弾　幻月　　　　　　　（大ワイドショット・AS左）,/Game/Projectile/wp00014/BP_Prj7WayBeamBullet01.uasset,26,0,EnemyAll,Through,Enemy,Enemy,Enemy,Enemy,Enemy,15000,7500,6,0.1,1,-1,-1,0,0,0,True,True,True,True,True,1,1,1,1,0.001,1,1,1.9,0,40000,0,1,3,1,0.1,Ignore,Die,Ignore,Die,Die,False,False,0,0,1,0,True,False,45,500,45,500,30,30,0,5,0,0,0,2000,0,0.5,True,False,1.2,None,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,,False,False,True
PRJ_MultipleGrenadeLauncher_Bullet01,多連装導弾 大蛇　　　　　　（マルチランチャー・AS）,/Game/Projectile/wp00015/BP_PrjMultipleGrenadeLauncherBullet01.uasset,27,0,EnemyAll,Through,Enemy,Enemy,Enemy,Enemy,Enemy,1000,15000,0,-1,1,-1,-1,0,0,0,True,True,True,True,True,1,1,1,1,1,3,1,5,0,50000,0,1,0,0,0,Die,Die,Die,Die,StopDie,False,False,0,0,1,0,True,False,120,50000,120,50000,91,121,0.1,91,121,0.1,0,0,0,0,True,True,1.2,None,4000,7000,1,2,10000,-1,1,-1,1,None,0,233,233,233,0,,False,True,True
PRJ_BeamMachineGun_Bullet01,ビームマシンガン【対人】,/Game/Projectile/wp00016/BP_PrjBeamMachineGunBullet01.uasset,28,0,EnemyAll,Through,Enemy,Enemy,Enemy,Enemy,Enemy,55000,55000,0,-1,0,-1,-1,0,0,0,True,True,True,True,True,1,1,1,1,1,1,0,3,0,20000,0,1,0,0,0,Ignore,Die,Die,Ignore,Die,False,False,0,0,1,0,True,False,15,500,15,500,15,15,0,15,15,0,0,3000,0,0,True,True,1.2,None,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,,False,False,True
PRJ_GatlingGun_Type02_Bullet01,デ・ディヴァルガン　　　　　　（盾付ガトリング・VG）,/Game/Projectile/wp00017/BP_PrjGatlingGunType02Bullet01.uasset,29,0,EnemyAll,Through,Enemy,Enemy,Enemy,Enemy,Enemy,75000,75000,0,-1,0,-1,-1,0,0,0,True,True,True,True,True,1,1,1,1,1,1,0,2,0,50000,0,1,0,0,0,Die,Die,Die,Die,Die,False,False,0,0,1,0,True,False,45,500,45,500,40,40,0,40,40,0,0,2500,0,0,True,True,1.2,None,0,0,0,0,0,-0.5,0.5,-0.5,0.5,None,0,0,0,0,0,,False,False,True
PRJ_GatlingGun_Type02_Bullet02,デ・ディヴァルガン　　のけぞりなし,/Game/Projectile/wp00017/BP_PrjGatlingGunType02Bullet02.uasset,30,0,EnemyAll,Through,Enemy,Enemy,Enemy,Enemy,Enemy,75000,75000,0,-1,0,-1,-1,0,0,0,True,True,True,True,True,1,1,1,1,1,1,0,2,0,50000,0,1,0,0,0,Die,Die,Die,Die,Die,False,False,0,0,1,0,True,False,45,500,45,500,40,40,0,40,40,0,0,2500,0,0,True,True,1.2,None,0,0,0,0,0,-0.5,0.5,-0.5,0.5,None,0,0,0,0,0,,False,False,True
PRJ_GatlingGun_Type02_Barrier01,デ・ディヴァルガン (盾),/Game/Projectile/wp00017/BP_PrjGatlingGunType02Barrier01.uasset,0,0,None,Through,Through,Through,Through,Through,Enemy,0,0,0,-1,0,-1,-1,0,0,0,False,False,False,False,False,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,Ignore,Ignore,Ignore,Die,Stop,True,False,0,0,1,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,1.2,None,0,0,0,0,0,0,0,0,0,DirectivityImmortalAllMighty,-1,0,0,0,0,,False,False,False
PRJ_HealGun_Bullet01,メディク　　　　　　　　　　　　（ヒールガン・SP左）,/Game/Projectile/wp00018/BP_PrjHealGunBullet01.uasset,31,0,FriendPlayer,Through,Friend,Through,Through,Through,Enemy,50000,50000,0,-1,0,-1,-1,0,0,0,True,True,True,True,True,1,1,1,1,1,2,0.3,10,0,50000,0,1,0,0,0,Die,Die,Die,Die,Die,False,False,0,0,1,0,False,True,180,100000,180,100000,180,180,0,180,180,0,0,0,0,0,True,True,1.2,None,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,,False,False,True
PRJ_PowerUpGun_Bullet01,フォルツァ-Ａ　　　　　　（パワーアップガン・SP左）,/Game/Projectile/wp00019/BP_PrjPowerUpGunBullet01.uasset,32,0,FriendPlayer,Through,Friend,Through,Through,Through,Enemy,40000,40000,0,-1,0.3,-1,-1,0,0,0,True,True,True,True,True,1,1,1,1,0.001,1,0.3,6.5,0,50000,0,1,0,0,0,Die,Die,Die,Die,Die,False,False,0,0,1,0,False,True,180,100000,180,100000,180,180,0,180,180,0,0,2000,0,0,True,True,1.2,None,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,,False,False,True
PRJ_GatlingGun_Bullet01,機関砲 騎神　　　　　　　　　（ガトリングガン・AS）,/Game/Projectile/wp00020/BP_PrjGatlingGunBullet01.uasset,33,0,EnemyAll,Through,Enemy,Enemy,Enemy,Enemy,Enemy,70000,70000,0,-1,0,-1,-1,0,0,0,True,True,True,True,True,1,1,1,1,1,1,0,2,0,55000,0,1,0,0,0,Die,Die,Die,Die,Die,False,False,0,0,1,0,True,False,20,1000,20,1000,20,20,0,20,20,0,0,1500,0,0,True,True,3,None,0,0,0,0,0,-0.5,0.5,-0.5,0.5,None,0,0,0,0,0,,False,False,True
PRJ_GatlingGun_Bullet02,機関砲 騎神　　　のけぞりなし,/Game/Projectile/wp00020/BP_PrjGatlingGunBullet02.uasset,34,0,EnemyAll,Through,Enemy,Enemy,Enemy,Enemy,Enemy,70000,70000,0,-1,0,-1,-1,0,0,0,True,True,True,True,True,1,1,1,1,1,1,0,2,0,55000,0,1,0,0,0,Die,Die,Die,Die,Die,False,False,0,0,1,0,True,False,20,1000,20,1000,20,20,0,20,20,0,0,1500,0,0,True,True,3,None,0,0,0,0,0,-0.5,0.5,-0.5,0.5,None,0,0,0,0,0,,False,False,True
PRJ_ReverseGun_Bullet01,反射銃(弾),,35,0,EnemyAll,Through,Enemy,Enemy,Enemy,Enemy,Enemy,25000,25000,0,-1,0,-1,-1,0,0,0,False,False,True,True,True,1,1,1,1,1,1,0,60,0,0,0,1,0,0,0,Ignore,Die,Die,Ignore,Die,False,False,0,0,1,0,True,False,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,True,True,1.2,None,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,,False,False,True
PRJ_ReverseGun_Etc01,反射銃(吸収),,0,0,EnemyAll,Through,Enemy,Enemy,Enemy,Enemy,Enemy,0,0,0,-1,0,-1,-1,0,0,0,False,False,True,True,True,1,1,1,1,1,1,0,60,0,0,0,1,0,0,0,Ignore,Die,Die,Ignore,Die,False,False,0,0,1,0,True,False,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,True,True,1.2,None,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,,False,False,True
PRJ_LaserRifle_Bullet01,レーザーライフルLv1【対人】,/Game/Projectile/wp00022/BP_PrjLaserRifleBullet01.uasset,36,0,EnemyAll,Through,Enemy,Enemy,Enemy,Enemy,Enemy,100000,100000,0,-1,0,-1,-1,0,0,0,False,False,True,True,True,1,1,1,1,1,1,0,2,0,50000,0,1,34,34,0.06,Ignore,Ignore,Die,Ignore,Extra,False,False,0,0,1,0,False,False,0,0,0,0,30,30,0,20,20,0,0,0,0,0,True,True,1.2,None,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,,False,False,True
PRJ_HandGun_Type02_Bullet01,拳銃 月牙　　　　　　　　　　　（ハンドガン・VG左）,/Game/Projectile/wp00023/BP_PrjHandGunType02Bullet01.uasset,37,0,EnemyAll,Through,Enemy,Enemy,Enemy,Enemy,Enemy,65000,65000,0,-1,0,-1,-1,0,0,0,True,True,True,True,True,1,1,1,1,1,1.25,0.15,1,0,50000,0,1,0,0,0,Die,Die,Die,Die,Die,False,False,0,0,1,0,True,False,45,500,45,500,45,45,0,45,45,0,0,2000,0,0,True,True,1.2,None,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,,False,False,True
PRJ_FlameThrower_Bullet01,火炎砲　散華　　　　　　　　　　（火炎放射器・VG）,/Game/Projectile/wp00024/BP_PrjFlameThrowerBullet01.uasset,38,0,EnemyAll,Through,Enemy,Enemy,Enemy,Enemy,Enemy,48000,38000,0,-1,0.5,-1,-1,0,0,0,False,False,True,True,True,1,1,1,1,0.5,4.7,0.3,5,0,18000,0,1,0,0,0,Ignore,Die,Die,Die,StopDie,False,False,0,0,1,0,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,1.2,None,0,0,0,0,0,-0.8,0.8,-0.2,0.3,None,0,0,0,0,0,,False,False,True
