---,RankId,EvalPoint,RankPoint
254,22,1,-175
255,22,2,-150
256,22,3,-125
257,22,4,-100
258,22,5,0
259,22,6,100
260,22,7,200
261,22,8,300
262,22,9,500
263,22,10,750
264,22,11,1000
265,23,0,-225
266,23,1,-175
267,23,2,-150
268,23,3,-125
269,23,4,-100
270,23,5,0
271,23,6,100
272,23,7,200
273,23,8,300
274,23,9,500
275,23,10,750
276,23,11,1000
277,24,0,-250
278,24,1,-200
279,24,2,-175
280,24,3,-150
281,24,4,-125
282,24,5,0
283,24,6,100
284,24,7,200
285,24,8,300
286,24,9,500
287,24,10,750
288,24,11,1000
289,25,0,-250
290,25,1,-200
291,25,2,-175
292,25,3,-150
293,25,4,-125
294,25,5,0
295,25,6,75
296,25,7,150
297,25,8,200
298,25,9,300
299,25,10,400
300,25,11,500
301,26,0,-280
302,26,1,-230
303,26,2,-205
304,26,3,-180
305,26,4,-155
306,26,5,0
307,26,6,75
308,26,7,150
309,26,8,200
310,26,9,300
311,26,10,400
312,26,11,500
313,27,0,-280
314,27,1,-230
315,27,2,-205
316,27,3,-180
317,27,4,-155
318,27,5,0
319,27,6,75
320,27,7,150
321,27,8,200
322,27,9,300
323,27,10,400
324,27,11,500
325,28,0,-300
326,28,1,-275
327,28,2,-250
328,28,3,-225
329,28,4,-200
330,28,5,0
331,28,6,75
332,28,7,150
333,28,8,200
334,28,9,300
335,28,10,400
336,28,11,500
337,29,0,-300
338,29,1,-275
339,29,2,-250
340,29,3,-225
341,29,4,-200
342,29,5,0
343,29,6,75
344,29,7,150
345,29,8,200
346,29,9,300
347,29,10,400
348,29,11,500
349,30,0,-275
350,30,1,-225
351,30,2,-200
352,30,3,-175
353,30,4,-150
354,30,5,0
355,30,6,50
356,30,7,100
357,30,8,150
358,30,9,200
359,30,10,300
360,30,11,400
361,31,0,-325
362,31,1,-275
363,31,2,-250
364,31,3,-225
365,31,4,-200
366,31,5,0
367,31,6,50
368,31,7,100
369,31,8,150
370,31,9,200
371,31,10,300
372,31,11,400
373,32,0,-400
374,32,1,-350
375,32,2,-325
376,32,3,-300
377,32,4,-275
378,32,5,0
379,32,6,50
380,32,7,100
381,32,8,150
382,32,9,200
383,32,10,300
384,32,11,400
385,33,0,-500
386,33,1,-450
387,33,2,-425
388,33,3,-400
389,33,4,-375
390,33,5,0
391,33,6,50
392,33,7,100
393,33,8,150
394,33,9,200
395,33,10,300
396,33,11,400
397,34,0,-500
398,34,1,-450
399,34,2,-425
400,34,3,-400
401,34,4,-375
402,34,5,0
403,34,6,50
404,34,7,100
405,34,8,150
406,34,9,200
407,34,10,300
408,34,11,400
