---,BodyId,Name,RobotMaker,HP,Cost,Weight,BoostSavingStart,BoostSavingLoop,FullDriveSavingStart,FullDriveSavingLoop,BlowOffTolerance,BlowOffBlowUpAdjust,FallActionMoveMaxSpeed,FallMoveActionMoveMaxSpeed,Barrier,BarrierRecvValPerSec,BarrierRecvWaitSec,CollisionRadius,CollisionHeight,CollisionOffsetH,CollisionOffsetV,GutsVal1_Vital,GutsVal1,GutsVal2_Vital,GutsVal2,GutsVal3_Vital,GutsVal3,GutsVal4_Vital,GutsVal4,GutsVal5_Vital,GutsVal5,AbnormalityResistance,CameraOffsetRateX,CameraOffsetRateZ,NoFlinchNotAR,InPortGuts,AntiBulletDamage,AntiBeamDamage,AntiGrapDamage,AntiTAGComboDamage
11,11,ラピスヘッジ・B,RobotMaker003,650,0,0,0,0,0,0,-0.03,0,2500,2300,0,30,20,80,180,30,10,0.5,4,0.4,5,0.3,7,0.2,9,0.1,12,1,1.1,1.1,0,0,1,1,1,1
12,12,パ・フェクト・B,RobotMaker003,240,0,0,0,0,0,0,0,0,2000,1800,120,300,12,60,185,0,0,0.6,5,0.5,10,0.4,10,0.3,15,0.2,25,1,1,1,0,0,0.9,1,1,1
13,13,エタニティ・B,RobotMaker004,250,0,0,0,0,0,0,0.01,0,1900,1700,180,70,18,64,190,0,0,0.7,5,0.5,8,0.4,10,0.3,13,0.2,18,1,1,1,0,15,1,1,1,1
14,14,オキサイド・B,RobotMaker004,300,0,0,0,0,0,0,-0.03,0,2400,2200,150,10,10,64,190,0,0,0.7,5,0.5,10,0.4,10,0.3,15,0.2,25,1,1.2,1.3,0,0,0.9,0.9,1.5,1.5
15,15,オキサイド・B,RobotMaker004,2500,0,0,0,0,0,0,-0.03,0,2300,2100,200,70,21,64,190,0,0,0.7,5,0.5,10,0.4,10,0.3,15,0.2,25,1,1,1,0,0,1,1,1,1
16,16,Ｓオキサイド・B,RobotMaker004,25000,0,0,0,0,0,0,-0.03,0,2300,2100,0,0,0,64,190,0,0,0.7,5,0.5,10,0.4,10,0.3,15,0.2,25,1,5,5,0,0,1,1,1,1
17,17,ボディパラメーター上限,RobotMaker004,300,0,0,0,0,0,0,0,0,2000,1800,200,70,14,64,190,0,0,0.7,5,0.5,10,0.4,10,0.3,15,0.2,25,1,1,1,1,1,1,1,1,1
18,101,ソリディア・B,RobotMaker001,1000,0,0,0,0,0,0,0,-0.25,10000,9000,0,50,8,64,190,0,0,0.8,5,0.55,10,0.3,15,0.15,20,0.05,25,1,1,1,0,0,1,1,1,1
19,201,カーディナル・B,RobotMaker002,800,0,0,0,0,0,0,0.1,-0.25,9000,8000,0,50,6,60,200,0,0,0.8,5,0.55,10,0.3,15,0.15,20,0.05,25,1,1,1,0,0,1,1,1,1.2
20,301,スクラッパー・B,RobotMaker001,900,0,0,0,0,0,0,-0.05,-0.25,11000,10000,0,20,15,64,190,0,0,0.8,5,0.55,10,0.3,15,0.15,20,0.05,25,1,1,1,0,0,1,1,1,1.1
21,401,サイトヘッド・B,RobotMaker003,900,0,0,0,0,0,0,-0.05,-0.25,11000,10000,0,50,10,60,190,0,0,0.8,5,0.55,10,0.3,15,0.15,20,0.05,25,1,1,1,0,0,1,1,1,1.1
22,501,CU・レイター・B,RobotMaker003,950,0,0,0,0,0,0,0.1,-0.25,8000,7000,0,50,10,64,190,0,0,0.8,5,0.55,10,0.3,15,0.15,20,0.05,25,1.5,1,1,0,0,1,1,1,1.05
23,601,ゴールテン・D・B,RobotMaker001,1100,0,0,0,0,0,0,-0.1,-0.25,13000,12000,0,50,0,80,180,30,10,0.8,5,0.55,10,0.3,15,0.15,20,0.05,25,1,1.1,1.1,0,0,1,1,1,1
24,701,アンゼロイ・B,RobotMaker002,750,0,0,0,0,0,0,0.05,-0.25,9500,8500,0,70,17,60,200,0,0,0.8,5,0.55,10,0.3,15,0.15,20,0.05,25,1,1,1,0,0,1,1,1,1.3
25,801,ディスドス・B,RobotMaker002,1100,0,0,0,0,0,0,-0.1,-0.25,12000,11000,0,12,6,80,160,30,20,0.8,5,0.55,10,0.3,15,0.15,20,0.05,25,1,1.1,1.1,0,0,1,1,1,1
26,901,サブライガ・B,RobotMaker002,950,0,0,0,0,0,0,0,-0.25,10000,9000,0,50,6,60,190,0,0,0.8,5,0.55,10,0.3,15,0.15,20,0.05,25,1,1,1,0,0,1,1,1,1.05
27,1001,ファルマコン・B,RobotMaker001,850,0,0,0,0,0,0,0.15,-0.25,8500,7500,0,6,2,64,190,0,0,0.8,5,0.55,10,0.3,15,0.15,20,0.05,25,1,1,1,0,0,1,1,1,1.2
28,1101,ラピスヘッジ・B,RobotMaker003,1200,0,0,0,0,0,0,-0.15,-0.25,12500,11500,0,30,20,80,180,30,10,0.8,5,0.55,10,0.3,15,0.15,20,0.05,25,1,1.1,1.1,0,0,1,1,1,0.85
29,1201,パ・フェクト・B,RobotMaker003,1000,0,0,0,0,0,0,0,-0.25,10000,9000,0,0,0,64,190,0,0,0.8,5,0.55,10,0.3,15,0.15,20,0.05,25,1,1,1,0,0,1,1,1,1
30,1301,エタニティ・B,RobotMaker004,1000,0,0,0,0,0,0,0.1,-0.25,9000,8000,0,60,15,60,200,0,0,0.8,5,0.55,10,0.3,15,0.15,20,0.05,25,1,1,1,0,0,1,1,1,1
31,1401,オキサイド・B,RobotMaker004,1100,0,0,0,0,0,0,0,-0.25,10000,9000,0,40,5,64,190,0,0,0.8,5,0.55,10,0.3,15,0.15,20,0.05,25,1,1,1,0,0,1,1,1,1
