---,QuestId,QuestReleaseId,QuestReleaseItemId,IntValue,TimeValue
108,1058,1,11,0,2019-08-07 06:00:00
109,1058,1,3,5,0001-01-01 00:00:00
110,1059,1,11,0,2019-08-07 06:00:00
111,1059,2,1,1058,0001-01-01 00:00:00
112,1060,1,11,0,2019-08-07 06:00:00
113,1060,2,1,1059,0001-01-01 00:00:00
114,1061,1,11,0,2019-08-07 06:00:00
115,1061,2,1,1060,0001-01-01 00:00:00
116,1066,1,11,0,2019-09-11 08:00:00
117,1066,1,12,0,2019-10-11 06:00:00
118,1067,1,1,1066,2019-09-11 08:00:00
119,1067,1,12,0,2019-10-11 06:00:00
120,1068,1,1,1067,2019-09-11 08:00:00
121,1068,1,12,0,2019-10-11 06:00:00
122,1069,1,1,1068,2019-09-11 08:00:00
123,1069,1,12,0,2019-10-11 06:00:00
124,1070,1,11,0,2019-10-16 08:00:00
125,1070,1,12,0,2019-11-15 06:00:00
126,1071,1,1,1070,2019-10-16 08:00:00
127,1071,1,12,0,2019-11-15 06:00:00
128,1072,1,1,1071,2019-10-16 08:00:00
129,1072,1,12,0,2019-11-15 06:00:00
130,1073,1,1,1072,2019-10-16 08:00:00
131,1073,1,12,0,2019-11-15 06:00:00
132,1074,1,11,0,2019-10-30 08:00:00
133,1074,1,12,0,2036-01-01 08:00:00
134,1075,1,11,0,2019-11-06 08:00:00
135,1075,1,1,1074,0001-01-01 00:00:00
136,1075,1,12,0,2036-01-01 08:00:00
137,1076,1,11,0,2019-11-13 08:00:00
138,1076,1,1,1075,0001-01-01 00:00:00
139,1076,1,12,0,2036-01-01 08:00:00
140,1077,1,11,0,2019-11-20 08:00:00
141,1077,1,1,1076,0001-01-01 00:00:00
142,1077,1,12,0,2036-01-01 08:00:00
143,1078,1,11,0,2019-11-27 08:00:00
144,1078,1,1,1077,0001-01-01 00:00:00
145,1078,1,12,0,2036-01-01 08:00:00
146,1079,1,11,0,2019-12-04 08:00:00
147,1079,1,1,1078,0001-01-01 00:00:00
148,1079,1,12,0,2036-01-01 08:00:00
149,1080,1,11,0,2019-12-11 08:00:00
150,1080,1,1,1079,0001-01-01 00:00:00
151,1080,1,12,0,2036-01-01 08:00:00
152,1081,1,11,0,2019-11-13 08:00:00
153,1081,1,1,1057,0001-01-01 00:00:00
154,1082,1,11,0,2019-12-04 08:00:00
155,1082,1,1,1081,0001-01-01 00:00:00
156,1083,1,11,0,2020-01-22 08:00:00
157,1083,1,1,1082,0001-01-01 00:00:00
158,1084,1,11,0,2019-12-18 08:00:00
159,1084,1,12,0,2019-12-30 06:00:00
160,1085,1,1,1084,0001-01-01 00:00:00
161,1085,1,12,0,2019-12-30 06:00:00
162,1086,1,1,1085,0001-01-01 00:00:00
163,1086,1,12,0,2019-12-30 06:00:00
164,1087,1,1,1086,0001-01-01 00:00:00
165,1087,1,12,0,2019-12-30 06:00:00
166,1088,1,11,0,2020-01-01 08:00:00
167,1088,1,12,0,2020-01-22 06:00:00
168,1089,1,1,1088,0001-01-01 00:00:00
169,1089,1,12,0,2020-01-22 06:00:00
170,1090,1,1,1089,0001-01-01 00:00:00
171,1090,1,12,0,2020-01-22 06:00:00
172,1091,1,1,1090,0001-01-01 00:00:00
173,1091,1,12,0,2020-01-22 06:00:00
174,1092,1,11,0,2020-02-05 08:00:00
175,1092,1,12,0,2020-02-19 06:00:00
176,1093,1,1,1092,0001-01-01 00:00:00
177,1093,1,12,0,2020-02-19 06:00:00
178,1094,1,1,1093,0001-01-01 00:00:00
179,1094,1,12,0,2020-02-19 06:00:00
180,1095,1,1,1094,0001-01-01 00:00:00
181,1095,1,12,0,2020-02-19 06:00:00
182,1100,1,11,0,2020-02-12 08:00:00
183,1100,1,1,1083,0001-01-01 00:00:00
184,1101,1,11,0,2020-02-26 08:00:00
185,1101,1,1,1100,0001-01-01 00:00:00
186,1102,1,11,0,2020-03-11 08:00:00
187,1102,1,1,1101,0001-01-01 00:00:00
188,1103,1,11,0,2020-03-25 08:00:00
189,1103,1,1,1102,0001-01-01 00:00:00
190,1104,1,11,0,2020-02-19 08:00:00
191,1104,1,12,0,2020-03-04 06:00:00
192,1105,1,1,1104,0001-01-01 00:00:00
193,1105,1,12,0,2020-03-04 06:00:00
194,1106,1,1,1105,0001-01-01 00:00:00
195,1106,1,12,0,2020-03-04 06:00:00
196,1107,1,1,1106,0001-01-01 00:00:00
197,1107,1,12,0,2020-03-04 06:00:00
198,1108,1,11,0,2010-04-22 08:00:00
199,1108,1,12,0,2010-05-06 06:00:00
200,1109,1,1,1108,0001-01-01 00:00:00
201,1109,1,12,0,2010-05-06 06:00:00
202,1110,1,1,1109,0001-01-01 00:00:00
203,1110,1,12,0,2010-05-06 06:00:00
204,1111,1,1,1110,0001-01-01 00:00:00
205,1111,1,12,0,2010-05-06 06:00:00
206,1112,1,11,0,2020-06-10 08:00:00
207,1112,1,12,0,2020-06-24 06:00:00
208,1113,1,1,1112,0001-01-01 00:00:00
209,1113,1,12,0,2020-06-24 06:00:00
210,1114,1,1,1113,0001-01-01 00:00:00
211,1114,1,12,0,2020-06-24 06:00:00
212,1115,1,1,1114,0001-01-01 00:00:00
213,1115,1,12,0,2020-06-24 06:00:00
214,1116,1,11,0,2020-08-05 08:00:00
215,1116,1,12,0,2020-08-19 06:00:00
216,1117,1,1,1116,0001-01-01 00:00:00
217,1117,1,12,0,2020-08-19 06:00:00
218,1118,1,1,1117,0001-01-01 00:00:00
219,1118,1,12,0,2020-08-19 06:00:00
220,1119,1,1,1118,0001-01-01 00:00:00
221,1119,1,12,0,2020-08-19 06:00:00
222,1120,1,11,0,2020-03-11 08:00:00
223,1120,1,12,0,2020-04-01 06:00:00
224,1121,1,1,1120,0001-01-01 00:00:00
225,1121,1,12,0,2020-04-01 06:00:00
226,1122,1,1,1121,0001-01-01 00:00:00
227,1122,1,12,0,2020-04-01 06:00:00
228,1123,1,1,1122,0001-01-01 00:00:00
229,1123,1,12,0,2020-04-01 06:00:00
230,1124,1,11,0,2020-04-01 08:00:00
231,1124,1,12,0,2020-04-15 06:00:00
232,1125,1,1,1124,0001-01-01 00:00:00
233,1125,1,12,0,2020-04-15 06:00:00
234,1126,1,1,1125,0001-01-01 00:00:00
235,1126,1,12,0,2020-04-15 06:00:00
236,1127,1,1,1126,0001-01-01 00:00:00
237,1127,1,12,0,2020-04-15 06:00:00
238,1128,1,11,0,2010-05-13 08:00:00
239,1128,1,12,0,2010-05-27 06:00:00
240,1129,1,1,1128,0001-01-01 00:00:00
241,1129,1,12,0,2010-05-27 06:00:00
242,1130,1,1,1129,0001-01-01 00:00:00
243,1130,1,12,0,2010-05-27 06:00:00
244,1131,1,1,1130,0001-01-01 00:00:00
245,1131,1,12,0,2010-05-27 06:00:00
246,1132,1,11,0,2020-07-01 08:00:00
247,1132,1,12,0,2020-07-15 06:00:00
248,1133,1,1,1132,0001-01-01 00:00:00
249,1133,1,12,0,2020-07-15 06:00:00
250,1134,1,1,1133,0001-01-01 00:00:00
251,1134,1,12,0,2020-07-15 06:00:00
252,1135,1,1,1134,0001-01-01 00:00:00
253,1135,1,12,0,2020-07-15 06:00:00
254,1136,1,11,0,2020-07-22 08:00:00
255,1136,1,12,0,2020-08-05 06:00:00
256,1137,1,1,1136,0001-01-01 00:00:00
257,1137,1,12,0,2020-08-05 06:00:00
258,1138,1,1,1137,0001-01-01 00:00:00
259,1138,1,12,0,2020-08-05 06:00:00
260,1139,1,1,1138,0001-01-01 00:00:00
261,1139,1,12,0,2020-08-05 06:00:00
262,1140,1,11,0,2020-08-12 08:00:00
263,1140,1,12,0,2020-08-26 06:00:00
264,1141,1,1,1140,0001-01-01 00:00:00
265,1141,1,12,0,2020-08-26 06:00:00
266,1142,1,1,1141,0001-01-01 00:00:00
267,1142,1,12,0,2020-08-26 06:00:00
268,1143,1,1,1142,0001-01-01 00:00:00
269,1143,1,12,0,2020-08-26 06:00:00
270,2001,1,3,5,0001-01-01 00:00:00
271,2002,1,3,5,0001-01-01 00:00:00
272,2003,1,3,5,0001-01-01 00:00:00
273,2004,1,3,6,0001-01-01 00:00:00
274,2005,1,3,6,0001-01-01 00:00:00
275,2006,1,3,6,0001-01-01 00:00:00
276,2007,1,3,6,0001-01-01 00:00:00
277,2008,1,3,7,0001-01-01 00:00:00
278,2009,1,3,7,0001-01-01 00:00:00
279,2010,1,2,2,0001-01-01 00:00:00
280,2011,1,2,3,0001-01-01 00:00:00
281,2012,1,11,0,2018-12-12 08:00:00
282,2012,1,2,3,0001-01-01 00:00:00
283,2012,2,1,2010,0001-01-01 00:00:00
284,2012,2,1,2011,0001-01-01 00:00:00
285,2013,1,11,7,2019-07-03 08:00:00
286,2013,1,1,2042,0001-01-01 00:00:00
287,2014,1,11,0,2018-12-12 08:00:00
288,2014,1,12,0,2018-12-26 06:00:00
289,2015,1,1,2014,0001-01-01 00:00:00
290,2015,1,11,0,2018-12-12 08:00:00
291,2015,1,12,0,2018-12-26 06:00:00
292,2016,1,1,2015,0001-01-01 00:00:00
293,2016,1,11,0,2018-12-12 08:00:00
294,2016,1,12,0,2018-12-26 06:00:00
295,2017,1,11,0,2019-01-01 08:00:00
296,2017,1,12,0,2019-02-01 06:00:00
297,2018,1,11,0,2019-01-09 08:00:00
298,2018,1,2,4,0001-01-01 00:00:00
299,2018,2,1,2012,0001-01-01 00:00:00
300,2019,1,11,2013,2036-01-01 08:00:00
301,2019,1,3,7,0001-01-01 00:00:00
302,2020,1,11,10,2036-01-01 08:00:00
303,2020,1,3,10,0001-01-01 00:00:00
304,2021,1,11,0,2019-02-20 08:00:00
305,2021,1,2,4,0001-01-01 00:00:00
306,2021,2,1,2018,0001-01-01 00:00:00
307,2022,1,11,0,2019-01-09 08:00:00
308,2022,1,3,7,0001-01-01 00:00:00
309,2022,2,1,2004,0001-01-01 00:00:00
310,2023,1,11,13,2036-01-01 08:00:00
311,2024,1,11,0,2019-03-27 08:00:00
312,2024,1,1,2021,0001-01-01 00:00:00
313,2025,1,11,7,2036-01-01 08:00:00
314,2026,1,11,16,2036-01-01 08:00:00
315,2027,1,11,4,2019-04-24 08:00:00
316,2027,1,1,2024,0001-01-01 00:00:00
317,2028,1,11,5,2036-01-01 08:00:00
318,2029,1,11,19,2036-01-01 08:00:00
319,2030,1,11,5,2036-01-01 08:00:00
320,2031,1,11,5,2036-01-01 08:00:00
321,2032,1,11,5,2036-01-01 08:00:00
322,2033,1,11,5,2036-01-01 08:00:00
323,2034,1,11,5,2036-01-01 08:00:00
324,2035,1,11,0,2019-02-01 08:00:00
325,2035,1,12,0,2019-02-15 06:00:00
326,2037,1,11,0,2020-02-19 08:00:00
327,2037,1,12,0,2020-03-04 06:00:00
328,2038,1,11,0,2020-02-19 08:00:00
329,2038,1,12,0,2020-03-04 06:00:00
330,2038,1,1,2037,0001-01-01 00:00:00
331,2039,1,11,0,2020-02-19 08:00:00
332,2039,1,12,0,2020-03-04 06:00:00
333,2039,1,1,2038,0001-01-01 00:00:00
334,2040,1,11,0,2020-02-19 08:00:00
335,2040,1,12,0,2020-03-04 06:00:00
336,2040,1,1,2039,0001-01-01 00:00:00
337,2041,1,11,0,2019-02-20 08:00:00
338,2041,1,3,8,0001-01-01 00:00:00
339,2042,1,11,0,2019-02-20 08:00:00
340,2042,1,3,7,0001-01-01 00:00:00
341,2042,2,1,2001,0001-01-01 00:00:00
342,2043,1,11,0,2019-03-27 08:00:00
343,2043,1,3,9,0001-01-01 00:00:00
344,2043,1,1,2005,0001-01-01 00:00:00
345,2044,1,11,0,2019-03-27 08:00:00
346,2044,1,3,9,0001-01-01 00:00:00
347,2044,1,1,2006,0001-01-01 00:00:00
348,2045,1,11,0,2019-03-27 08:00:00
349,2045,1,3,9,0001-01-01 00:00:00
350,2045,1,1,2007,0001-01-01 00:00:00
351,2046,1,11,0,2019-04-24 08:00:00
352,2046,1,1,2042,0001-01-01 00:00:00
353,2046,1,3,10,0001-01-01 00:00:00
354,2047,1,11,0,2019-05-29 08:00:00
355,2047,1,1,2027,0001-01-01 00:00:00
356,2048,1,11,0,2036-01-01 08:00:00
357,2048,2,2,6,0001-01-01 00:00:00
358,2049,1,3,5,0001-01-01 00:00:00
359,2049,1,12,0,2019-06-26 08:00:00
360,2050,1,1,2049,0001-01-01 00:00:00
361,2050,1,12,0,2019-06-26 08:00:00
362,2051,1,1,2050,0001-01-01 00:00:00
363,2051,1,12,0,2019-06-26 08:00:00
364,2052,1,3,5,0001-01-01 00:00:00
365,2052,1,12,0,2019-07-31 06:00:00
366,2053,1,1,2052,0001-01-01 00:00:00
367,2053,1,12,0,2019-07-31 06:00:00
368,2054,1,1,2053,0001-01-01 00:00:00
369,2054,1,12,0,2019-07-31 06:00:00
370,2055,1,1,2054,0001-01-01 00:00:00
371,2055,1,12,0,2019-07-31 06:00:00
372,2056,1,11,0,2019-08-07 06:00:00
373,2056,1,1,2047,0001-01-01 00:00:00
374,2057,1,11,0,2019-08-07 06:00:00
375,2057,1,1,2013,0001-01-01 00:00:00
376,2058,1,11,0,2019-08-07 06:00:00
377,2058,1,3,5,0001-01-01 00:00:00
378,2059,1,11,0,2019-08-07 06:00:00
379,2059,2,1,2058,0001-01-01 00:00:00
380,2060,1,11,0,2019-08-07 06:00:00
381,2060,2,1,2059,0001-01-01 00:00:00
382,2061,1,11,0,2019-08-07 06:00:00
383,2061,2,1,2060,0001-01-01 00:00:00
384,2066,1,11,0,2019-09-11 08:00:00
385,2066,1,12,0,2019-10-11 06:00:00
386,2067,1,1,2066,2019-09-11 08:00:00
387,2067,1,12,0,2019-10-11 06:00:00
388,2068,1,1,2067,2019-09-11 08:00:00
389,2068,1,12,0,2019-10-11 06:00:00
390,2069,1,1,2068,2019-09-11 08:00:00
391,2069,1,12,0,2019-10-11 06:00:00
392,2070,1,11,0,2019-10-16 08:00:00
393,2070,1,12,0,2019-11-15 06:00:00
394,2071,1,1,2070,2019-10-16 08:00:00
395,2071,1,12,0,2019-11-15 06:00:00
396,2072,1,1,2071,2019-10-16 08:00:00
397,2072,1,12,0,2019-11-15 06:00:00
398,2073,1,1,2072,2019-10-16 08:00:00
399,2073,1,12,0,2019-11-15 06:00:00
400,2074,1,11,0,2019-10-30 08:00:00
401,2074,1,12,0,2036-01-01 08:00:00
402,2075,1,11,0,2019-11-06 08:00:00
403,2075,1,1,2074,0001-01-01 00:00:00
404,2075,1,12,0,2036-01-01 08:00:00
405,2076,1,11,0,2019-11-13 08:00:00
406,2076,1,1,2075,0001-01-01 00:00:00
407,2076,1,12,0,2036-01-01 08:00:00
408,2077,1,11,0,2019-11-20 08:00:00
409,2077,1,1,2076,0001-01-01 00:00:00
410,2077,1,12,0,2036-01-01 08:00:00
411,2078,1,11,0,2019-11-27 08:00:00
412,2078,1,1,2077,0001-01-01 00:00:00
413,2078,1,12,0,2036-01-01 08:00:00
414,2079,1,11,0,2019-12-04 08:00:00
415,2079,1,1,2078,0001-01-01 00:00:00
416,2079,1,12,0,2036-01-01 08:00:00
417,2080,1,11,0,2019-12-11 08:00:00
418,2080,1,1,2079,0001-01-01 00:00:00
419,2080,1,12,0,2036-01-01 08:00:00
420,2081,1,11,0,2019-11-13 08:00:00
421,2081,1,1,2057,0001-01-01 00:00:00
422,2082,1,11,0,2019-12-04 08:00:00
423,2082,1,1,2081,0001-01-01 00:00:00
424,2083,1,11,0,2020-01-22 08:00:00
425,2083,1,1,2082,0001-01-01 00:00:00
426,2084,1,11,0,2019-12-18 08:00:00
427,2084,1,12,0,2019-12-30 06:00:00
428,2085,1,1,2084,0001-01-01 00:00:00
429,2085,1,12,0,2019-12-30 06:00:00
430,2086,1,1,2085,0001-01-01 00:00:00
431,2086,1,12,0,2019-12-30 06:00:00
432,2087,1,1,2086,0001-01-01 00:00:00
433,2087,1,12,0,2019-12-30 06:00:00
434,2088,1,11,0,2020-01-01 08:00:00
435,2088,1,12,0,2020-01-22 06:00:00
436,2089,1,1,2088,0001-01-01 00:00:00
437,2089,1,12,0,2020-01-22 06:00:00
438,2090,1,1,2089,0001-01-01 00:00:00
439,2090,1,12,0,2020-01-22 06:00:00
440,2091,1,1,2090,0001-01-01 00:00:00
441,2091,1,12,0,2020-01-22 06:00:00
442,2092,1,11,0,2020-02-05 08:00:00
443,2092,1,12,0,2020-02-19 06:00:00
444,2093,1,1,2092,0001-01-01 00:00:00
445,2093,1,12,0,2020-02-19 06:00:00
446,2094,1,1,2093,0001-01-01 00:00:00
447,2094,1,12,0,2020-02-19 06:00:00
448,2095,1,1,2094,0001-01-01 00:00:00
449,2095,1,12,0,2020-02-19 06:00:00
450,2100,1,11,0,2020-02-12 08:00:00
451,2100,1,1,2083,0001-01-01 00:00:00
452,2101,1,11,0,2020-02-26 08:00:00
453,2101,1,1,2100,0001-01-01 00:00:00
454,2102,1,11,0,2020-03-11 08:00:00
455,2102,1,1,2101,0001-01-01 00:00:00
456,2103,1,11,0,2020-03-25 08:00:00
457,2103,1,1,2102,0001-01-01 00:00:00
458,2104,1,11,0,2020-02-19 08:00:00
459,2104,1,12,0,2020-03-04 06:00:00
460,2105,1,1,2104,0001-01-01 00:00:00
461,2105,1,12,0,2020-03-04 06:00:00
462,2106,1,1,2105,0001-01-01 00:00:00
463,2106,1,12,0,2020-03-04 06:00:00
464,2107,1,1,2106,0001-01-01 00:00:00
465,2107,1,12,0,2020-03-04 06:00:00
466,2108,1,11,0,2010-04-22 08:00:00
467,2108,1,12,0,2010-05-06 06:00:00
468,2109,1,1,2108,0001-01-01 00:00:00
469,2109,1,12,0,2010-05-06 06:00:00
470,2110,1,1,2109,0001-01-01 00:00:00
471,2110,1,12,0,2010-05-06 06:00:00
472,2111,1,1,2110,0001-01-01 00:00:00
473,2111,1,12,0,2010-05-06 06:00:00
474,2112,1,11,0,2020-06-10 08:00:00
475,2112,1,12,0,2020-06-24 06:00:00
476,2113,1,1,2112,0001-01-01 00:00:00
477,2113,1,12,0,2020-06-24 06:00:00
478,2114,1,1,2113,0001-01-01 00:00:00
479,2114,1,12,0,2020-06-24 06:00:00
480,2115,1,1,2114,0001-01-01 00:00:00
481,2115,1,12,0,2020-06-24 06:00:00
482,2116,1,11,0,2020-08-05 08:00:00
483,2116,1,12,0,2020-08-19 06:00:00
484,2117,1,1,2116,0001-01-01 00:00:00
485,2117,1,12,0,2020-08-19 06:00:00
486,2118,1,1,2117,0001-01-01 00:00:00
487,2118,1,12,0,2020-08-19 06:00:00
488,2119,1,1,2118,0001-01-01 00:00:00
489,2119,1,12,0,2020-08-19 06:00:00
490,2120,1,11,0,2020-03-11 08:00:00
491,2120,1,12,0,2020-04-01 06:00:00
492,2121,1,1,2120,0001-01-01 00:00:00
493,2121,1,12,0,2020-04-01 06:00:00
494,2122,1,1,2121,0001-01-01 00:00:00
495,2122,1,12,0,2020-04-01 06:00:00
496,2123,1,1,2122,0001-01-01 00:00:00
497,2123,1,12,0,2020-04-01 06:00:00
498,2124,1,11,0,2020-04-01 08:00:00
499,2124,1,12,0,2020-04-15 06:00:00
500,2125,1,1,2124,0001-01-01 00:00:00
501,2125,1,12,0,2020-04-15 06:00:00
502,2126,1,1,2125,0001-01-01 00:00:00
503,2126,1,12,0,2020-04-15 06:00:00
504,2127,1,1,2126,0001-01-01 00:00:00
505,2127,1,12,0,2020-04-15 06:00:00
506,2128,1,11,0,2010-05-13 08:00:00
507,2128,1,12,0,2010-05-27 06:00:00
508,2129,1,1,2128,0001-01-01 00:00:00
509,2129,1,12,0,2010-05-27 06:00:00
510,2130,1,1,2129,0001-01-01 00:00:00
511,2130,1,12,0,2010-05-27 06:00:00
512,2131,1,1,2130,0001-01-01 00:00:00
513,2131,1,12,0,2010-05-27 06:00:00
514,2132,1,11,0,2020-07-01 08:00:00
515,2132,1,12,0,2020-07-15 06:00:00
516,2133,1,1,2132,0001-01-01 00:00:00
517,2133,1,12,0,2020-07-15 06:00:00
518,2134,1,1,2133,0001-01-01 00:00:00
519,2134,1,12,0,2020-07-15 06:00:00
520,2135,1,1,2134,0001-01-01 00:00:00
521,2135,1,12,0,2020-07-15 06:00:00
522,2136,1,11,0,2020-07-22 08:00:00
523,2136,1,12,0,2020-08-05 06:00:00
524,2137,1,1,2136,0001-01-01 00:00:00
525,2137,1,12,0,2020-08-05 06:00:00
526,2138,1,1,2137,0001-01-01 00:00:00
527,2138,1,12,0,2020-08-05 06:00:00
528,2139,1,1,2138,0001-01-01 00:00:00
529,2139,1,12,0,2020-08-05 06:00:00
530,2140,1,11,0,2020-08-12 08:00:00
531,2140,1,12,0,2020-08-26 06:00:00
532,2141,1,1,2140,0001-01-01 00:00:00
533,2141,1,12,0,2020-08-26 06:00:00
534,2142,1,1,2141,0001-01-01 00:00:00
535,2142,1,12,0,2020-08-26 06:00:00
536,2143,1,1,2142,0001-01-01 00:00:00
537,2143,1,12,0,2020-08-26 06:00:00
538,3001,1,3,5,0001-01-01 00:00:00
539,3002,1,3,5,0001-01-01 00:00:00
540,3003,1,3,5,0001-01-01 00:00:00
541,3004,1,3,6,0001-01-01 00:00:00
542,3005,1,3,6,0001-01-01 00:00:00
543,3006,1,3,6,0001-01-01 00:00:00
544,3007,1,3,6,0001-01-01 00:00:00
545,3008,1,3,7,0001-01-01 00:00:00
546,3009,1,3,7,0001-01-01 00:00:00
547,3010,1,2,2,0001-01-01 00:00:00
548,3011,1,2,3,0001-01-01 00:00:00
549,3012,1,11,0,2018-12-12 08:00:00
550,3012,1,2,3,0001-01-01 00:00:00
551,3012,2,1,3010,0001-01-01 00:00:00
552,3012,2,1,3011,0001-01-01 00:00:00
553,3013,1,11,7,2019-07-03 08:00:00
554,3013,1,1,3042,0001-01-01 00:00:00
555,3014,1,11,0,2018-12-12 08:00:00
556,3014,1,12,0,2018-12-26 06:00:00
557,3015,1,1,3014,0001-01-01 00:00:00
558,3015,1,11,0,2018-12-12 08:00:00
559,3015,1,12,0,2018-12-26 06:00:00
560,3016,1,1,3015,0001-01-01 00:00:00
561,3016,1,11,0,2018-12-12 08:00:00
562,3016,1,12,0,2018-12-26 06:00:00
563,3017,1,11,0,2019-01-01 08:00:00
564,3017,1,12,0,2019-02-01 06:00:00
565,3018,1,11,0,2019-01-09 08:00:00
566,3018,1,2,4,0001-01-01 00:00:00
567,3018,2,1,3012,0001-01-01 00:00:00
568,3019,1,11,3013,2036-01-01 08:00:00
569,3019,1,3,7,0001-01-01 00:00:00
570,3020,1,11,10,2036-01-01 08:00:00
571,3020,1,3,10,0001-01-01 00:00:00
572,3021,1,11,0,2019-02-20 08:00:00
