---,Id,Name,TexturePtr,InitialPoint,RequiredPoint,RankTypeId,RankGradeTypeId,InitialPoint_2on2,RequiredPoint_2on2,RankTypeId_2on2,RankGradeTypeId_2on2
18,18,ファイブスター,Texture2D'/Game/GUI/Common/Tex/Rank/Tex_RankIcon_5S_3.Tex_RankIcon_5S_3',480000,500000,2,3,173000,180000,2,3
19,19,ノヴァ,Texture2D'/Game/GUI/Common/Tex/Rank/Tex_RankIcon_Nova_1.Tex_RankIcon_Nova_1',510000,530000,2,3,183000,190000,2,3
20,20,ノヴァ,Texture2D'/Game/GUI/Common/Tex/Rank/Tex_RankIcon_Nova_2.Tex_RankIcon_Nova_2',540000,560000,2,3,193000,200000,2,3
21,21,ノヴァ,Texture2D'/Game/GUI/Common/Tex/Rank/Tex_RankIcon_Nova_3.Tex_RankIcon_Nova_3',570000,590000,2,3,203000,210000,2,3
22,22,スーパーノヴァ,Texture2D'/Game/GUI/Common/Tex/Rank/Tex_RankIcon_SNova_1.Tex_RankIcon_SNova_1',600000,620000,2,3,213000,220000,2,3
23,23,スーパーノヴァ,Texture2D'/Game/GUI/Common/Tex/Rank/Tex_RankIcon_SNova_2.Tex_RankIcon_SNova_2',630000,650000,2,3,223000,230000,2,3
24,24,スーパーノヴァ,Texture2D'/Game/GUI/Common/Tex/Rank/Tex_RankIcon_SNova_3.Tex_RankIcon_SNova_3',660000,680000,2,3,233000,240000,2,3
25,25,スターウィング,Texture2D'/Game/GUI/Common/Tex/Rank/Tex_RankIcon_SWing_1.Tex_RankIcon_SWing_1',690000,730000,2,3,243000,250000,2,3
26,26,スターウィング,Texture2D'/Game/GUI/Common/Tex/Rank/Tex_RankIcon_SWing_2.Tex_RankIcon_SWing_2',740000,780000,2,3,253000,260000,2,3
27,27,スターウィング,Texture2D'/Game/GUI/Common/Tex/Rank/Tex_RankIcon_SWing_3.Tex_RankIcon_SWing_3',790000,830000,2,3,263000,270000,2,3
28,28,スターウィング,Texture2D'/Game/GUI/Common/Tex/Rank/Tex_RankIcon_SWing_4.Tex_RankIcon_SWing_4',840000,880000,2,3,273000,280000,2,3
29,29,スターウィング,Texture2D'/Game/GUI/Common/Tex/Rank/Tex_RankIcon_SWing_5.Tex_RankIcon_SWing_5',890000,930000,2,3,283000,290000,2,3
30,30,スターウィング,Texture2D'/Game/GUI/Common/Tex/Rank/Tex_RankIcon_SWing_6.Tex_RankIcon_SWing_6',940000,980000,2,3,293000,300000,2,3
31,31,スターウィング,Texture2D'/Game/GUI/Common/Tex/Rank/Tex_RankIcon_SWing_7.Tex_RankIcon_SWing_7',990000,1030000,2,3,303000,310000,2,3
32,32,スターウィング,Texture2D'/Game/GUI/Common/Tex/Rank/Tex_RankIcon_SWing_8.Tex_RankIcon_SWing_8',1040000,1080000,2,3,313000,320000,2,3
33,33,スターウィング,Texture2D'/Game/GUI/Common/Tex/Rank/Tex_RankIcon_SWing_9.Tex_RankIcon_SWing_9',1090000,1130000,2,3,323000,330000,2,3
34,34,スターウィング,Texture2D'/Game/GUI/Common/Tex/Rank/Tex_RankIcon_SWing_10.Tex_RankIcon_SWing_10',1140000,1180000,2,3,333000,340000,2,3
