---,PlayerTitleId,PlayerTitleBigCategory,PlayerTitleSmallCategory,GradeId,PlateId,Text,Descprition,IsDefault,IsDefaultEquipped,GameModeId
74,2001,4,0,1,1,,ガンスリンガーストラトス　コラボレーション,False,False,0
75,2002,4,0,1,2,,クエスト「クリスマス作戦３」をクリア,False,False,0
76,99999,4,0,999,1,,称号確認用,False,False,0
77,76,3,32,6,101,ピカピカのお星様☆,ヒカリと全国対戦10回勝利,False,False,0
78,77,3,32,6,102,キラキラの流れ星☆,ヒカリと全国対戦30回勝利,False,False,0
79,78,3,32,6,103,ビッグスター,ヒカリと全国対戦60回勝利,False,False,0
80,79,3,32,6,104,戦場で輝く一番星,ヒカリと全国対戦100回勝利,False,False,0
81,80,3,32,6,105,,ヒカリと全国対戦600回勝利,False,False,0
82,81,3,32,6,201,風紀委員長,レイカと全国対戦10回勝利,False,False,0
83,82,3,32,6,202,クールビューティー,レイカと全国対戦30回勝利,False,False,0
84,83,3,32,6,203,氷獄の眼差し,レイカと全国対戦60回勝利,False,False,0
85,84,3,32,6,204,冷徹な戦乙女,レイカと全国対戦100回勝利,False,False,0
86,85,3,32,6,205,,レイカと全国対戦600回勝利,False,False,0
87,86,3,32,6,301,わがまま娘,シャーリーと全国対戦10回勝利,False,False,0
88,87,3,32,6,302,都会っ子倒すガール,シャーリーと全国対戦30回勝利,False,False,0
89,88,3,32,6,303,リトルビッグ,シャーリーと全国対戦60回勝利,False,False,0
90,89,3,32,6,304,黄金の魂,シャーリーと全国対戦100回勝利,False,False,0
91,90,3,32,6,305,,シャーリーと全国対戦600回勝利,False,False,0
92,91,3,32,6,401,大人のレディー,イサドラと全国対戦10回勝利,False,False,0
93,92,3,32,6,402,頼れる姉御肌,イサドラと全国対戦30回勝利,False,False,0
94,93,3,32,6,403,ハートスナイパー,イサドラと全国対戦60回勝利,False,False,0
95,94,3,32,6,404,シークレットスパイ,イサドラと全国対戦100回勝利,False,False,0
96,95,3,32,6,405,,イサドラと全国対戦600回勝利,False,False,0
97,96,3,32,6,501,まっすぐ男子,ナギと全国対戦10回勝利,False,False,0
98,97,3,32,6,502,爽やかイケメン,ナギと全国対戦30回勝利,False,False,0
99,98,3,32,6,503,バトルコック,ナギと全国対戦60回勝利,False,False,0
100,99,3,32,6,504,ジャスティスレッド,ナギと全国対戦100回勝利,False,False,0
101,100,3,32,6,505,,ナギと全国対戦600回勝利,False,False,0
102,101,3,32,6,601,はらぺこ漢,カズマと全国対戦10回勝利,False,False,0
103,102,3,32,6,602,熱血男子,カズマと全国対戦30回勝利,False,False,0
104,103,3,32,6,603,ハングリー精神,カズマと全国対戦60回勝利,False,False,0
105,104,3,32,6,604,暴飲暴食,カズマと全国対戦100回勝利,False,False,0
106,105,3,32,6,605,,カズマと全国対戦600回勝利,False,False,0
107,106,3,33,7,101,シューティングガール,ヒカリと全国対戦3連続勝利,False,False,0
108,107,3,33,7,102,輝き続ける一番星☆,ヒカリと全国対戦5連続勝利,False,False,0
109,108,3,33,7,103,,ヒカリと全国対戦10連続勝利,False,False,0
110,109,3,33,7,201,ツンデレ少女,レイカと全国対戦3連続勝利,False,False,0
111,110,3,33,7,202,ヴァルキュリア,レイカと全国対戦5連続勝利,False,False,0
112,111,3,33,7,203,,レイカと全国対戦10連続勝利,False,False,0
113,112,3,33,7,301,じゃじゃ馬娘,シャーリーと全国対戦3連続勝利,False,False,0
114,113,3,33,7,302,ゴールドラッシュ,シャーリーと全国対戦5連続勝利,False,False,0
115,114,3,33,7,303,,シャーリーと全国対戦10連続勝利,False,False,0
116,115,3,33,7,401,セクシークイーン,イサドラと全国対戦3連続勝利,False,False,0
117,116,3,33,7,402,勝利の女神,イサドラと全国対戦5連続勝利,False,False,0
118,117,3,33,7,403,,イサドラと全国対戦10連続勝利,False,False,0
119,118,3,33,7,501,ストレートボーイ,ナギと全国対戦3連続勝利,False,False,0
120,119,3,33,7,502,終わりなきお茶会,ナギと全国対戦5連続勝利,False,False,0
121,120,3,33,7,503,,ナギと全国対戦10連続勝利,False,False,0
122,121,3,33,7,601,あちー漢,カズマと全国対戦3連続勝利,False,False,0
123,122,3,33,7,602,燃え続ける炎,カズマと全国対戦5連続勝利,False,False,0
124,123,3,33,7,603,,カズマと全国対戦10連続勝利,False,False,0
125,124,1,33,101,101,クロックスター,全国対戦50時間プレイ,False,False,0
126,125,1,33,101,102,星の砂時計,全国対戦250時間プレイ,False,False,0
127,126,1,33,101,103,,全国対戦500時間プレイ,False,False,0
128,127,1,33,101,201,百戦錬磨,全国対戦100回プレイ,False,False,0
129,128,1,33,101,202,血に飢える騎士,全国対戦1000回プレイ,False,False,0
130,129,1,33,101,203,,全国対戦10000回プレイ,False,False,0
131,130,1,33,101,301,神頼み,願掛け10回成功,False,False,0
132,131,1,33,101,302,交通安全,願掛け50回成功,False,False,0
133,132,1,33,101,303,願い星,願掛け100回成功,False,False,0
134,133,1,33,101,304,無敗のお守り,願掛け500回成功,False,False,0
135,134,1,33,101,305,,願掛け1000回成功,False,False,0
136,135,2,33,3,101,闘いの鼓舞,全国対戦5回勝利,False,False,0
137,136,2,33,3,102,十字架を背負う死神,全国対戦10回勝利,False,False,0
138,137,2,33,3,103,百の星を砕く猛者,全国対戦100回勝利,False,False,0
139,138,2,33,3,104,一騎当千,全国対戦1000回勝利,False,False,0
140,139,2,33,3,105,,全国対戦3000回勝利,False,False,0
141,140,2,33,3,201,スコアゲッター,累計リザルトスコア100000達成,False,False,0
142,141,2,33,3,202,最高にハイスコア,累計リザルトスコア500000達成,False,False,0
143,142,2,33,3,203,オールラウンダー,累計リザルトスコア1000000達成,False,False,0
144,143,2,33,3,204,,累計リザルトスコア5000000達成,False,False,0
145,144,2,33,3,301,金メダリスト,リザルトスコア1位に3回なった,False,False,0
146,145,2,33,3,302,スーパースター,リザルトスコア1位に6回なった,False,False,0
147,146,2,33,3,303,王冠の継承者,リザルトスコア1位に10回なった,False,False,0
148,147,2,33,3,304,,リザルトスコア1位に30回なった,False,False,0
149,148,2,33,3,401,バーサーカー,累計アタックスコア20000達成,False,False,0
150,149,2,33,3,402,最強の矛,累計アタックスコア50000達成,False,False,0
151,150,2,33,3,403,,累計アタックスコア100000達成,False,False,0
152,151,2,33,3,501,キャンプ地とする,累計占拠スコア15000達成,False,False,0
153,152,2,33,3,502,世界征服,累計占拠スコア30000達成,False,False,0
154,153,2,33,3,503,,累計占拠スコア75000達成,False,False,0
155,154,2,33,3,601,お手伝いさん,累計アシストスコア15000達成,False,False,0
156,155,2,33,3,602,アシスタント,累計アシストスコア30000達成,False,False,0
157,156,2,33,3,603,,累計アシストスコア75000達成,False,False,0
158,157,2,33,3,701,グッドプレイヤー,1対戦でナイスプレイ15個達成,False,False,0
159,158,2,33,3,702,ナイスプレイヤー,1対戦でナイスプレイ25個達成,False,False,0
160,159,2,33,3,703,,1対戦でナイスプレイ40個達成,False,False,0
161,160,2,33,3,801,キラーマシン,累計キル数15回達成,False,False,0
162,161,2,33,3,802,ブラックホール注意！,累計キル数150回達成,False,False,0
163,162,2,33,3,803,,累計キル数300回達成,False,False,0
164,163,2,33,3,101,マグハンター,マグを累計100機撃破,False,False,0
165,164,2,33,3,102,マグマグハンター,マグを累計3000機撃破,False,False,0
166,165,2,33,3,103,最強のマグキラー,マグを累計10000機撃破,False,False,0
167,166,2,33,3,101,Sマグダメ,Sマグへ累計20000ダメージを与えた,False,False,0
168,167,2,33,3,102,Sマグすげーダメ,Sマグへ累計300000ダメージを与えた,False,False,0
169,168,2,33,3,103,Sマグ超ダメ,Sマグへ累計1000000ダメージを与えた,False,False,0
170,169,2,33,3,101,タワーダメ,タワーへ累計20000ダメージを与えた,False,False,0
171,170,2,33,3,102,タワーすげーダメ,タワーへ累計300000ダメージを与えた,False,False,0
172,171,2,33,3,103,タワー超ダメ,タワーへ累計1000000ダメージを与えた,False,False,0
173,172,2,33,3,101,グランデダメ,グランデへ累計20000ダメージを与えた,False,False,0
174,173,2,33,3,102,グランデすげーダメ,グランデへ累計300000ダメージを与えた,False,False,0
175,174,2,33,3,103,グランデ超ダメ,グランデへ累計1000000ダメージを与えた,False,False,0
176,175,2,33,3,101,コアダメ,コアへ累計20000ダメージを与えた,False,False,0
177,176,2,33,3,102,コアすげーダメ,コアへ累計300000ダメージを与えた,False,False,0
178,177,2,33,3,103,コア超ダメ,コアへ累計1000000ダメージを与えた,False,False,0
179,178,2,33,3,101,アサルト使い,アサルトで累計60分対戦した,False,False,0
180,179,2,33,3,102,ベテランアサルト,アサルトで累計450分対戦した,False,False,0
181,180,2,33,3,103,アサルトマスター,アサルトで累計1500分対戦した,False,False,0
182,181,2,33,3,101,ヴァン使い,ヴァンガードで累計60分対戦した,False,False,0
183,182,2,33,3,102,ベテランヴァン,ヴァンガードで累計450分対戦した,False,False,0
184,183,2,33,3,103,ヴァンガマスター,ヴァンガードで累計1500分対戦した,False,False,0
185,184,2,33,3,101,サポーター,サポートで累計60分対戦した,False,False,0
186,185,2,33,3,102,ベテランサポーター,サポートで累計450分対戦した,False,False,0
187,186,2,33,3,103,サポートマスター,サポートで累計1500分対戦した,False,False,0
188,187,1,31,100,101,期待のパイロット,累計25日ログイン,False,False,0
189,188,1,31,100,102,エースパイロット,累計50日ログイン,False,False,0
190,189,1,31,100,103,歴戦のパイロット,累計100日ログイン,False,False,0
191,190,1,31,100,104,,累計222日ログイン,False,False,0
192,191,1,31,100,103,一年星血戦争,累計365日ログイン,False,False,0
193,192,1,31,100,101,四つ星プレイヤー,連続4日ログイン,False,False,0
194,193,1,31,100,102,空に輝く五つ星,連続5日ログイン,False,False,0
195,194,1,31,100,103,ミルク・ディッパー,連続6日ログイン,False,False,0
196,195,1,31,100,204,北斗七星の煌めき,連続7日ログイン,False,False,0
197,196,1,33,2,101,パーツコレクター,メカパーツ30個獲得,False,False,0
198,197,1,33,2,102,パーツマニア,メカパーツ40個獲得,False,False,0
199,198,1,33,2,103,,メカパーツ50個獲得,False,False,0
200,199,1,33,2,101,ウェポンコレクター,武器25個獲得,False,False,0
201,200,1,33,2,202,ウェポンマニア,武器35個獲得,False,False,0
202,201,1,33,2,203,,武器45個獲得,False,False,0
203,202,1,33,2,101,タイトルコレクター,称号50個獲得,False,False,0
204,203,1,33,2,302,タイトルマニア,称号100個獲得,False,False,0
205,204,1,33,2,303,,称号150個獲得,False,False,0
206,205,1,33,2,101,エンブレムコレクター,エンブレムパーツ50個獲得,False,False,0
207,206,1,33,2,402,エンブレムマニア,エンブレムパーツ100個獲得,False,False,0
208,207,1,33,2,403,,エンブレムパーツ150個獲得,False,False,0
209,208,1,33,2,101,ラインコレクター,ラインカラー12個獲得,False,False,0
210,209,1,33,2,101,ポージングコレクター,勝利ポーズ30個獲得,False,False,0
211,210,1,33,2,101,スキルコレクター,アズワンスキル36個獲得,False,False,0
212,229,2,9,3,127,キザナのエース,ミッション「キザナ共闘戦線ミッション1」をクリア,False,False,0
213,230,2,9,3,127,星血の守護神,ミッション「キザナ共闘戦線ミッション2」をクリア,False,False,0
214,231,2,9,3,126,おそうじ名人,ミッション「キザナ共闘戦線ミッション3」をクリア,False,False,0
215,232,2,9,3,126,あれれ帰っちゃうの？,ミッション「キザナ共闘戦線ミッション4」をクリア,False,False,0
216,233,2,9,3,127,1周年おめでとう！,1周年記念ログインボーナス,False,False,0
217,234,2,9,3,128,愛機ソリディア,モバイル限定称号,False,False,0
218,235,2,34,3,102,バックラッシュ,クエスト「キザナ共闘戦線クエスト７」をクリア,False,False,0
219,236,2,9,3,126,もっと本気出してよ,ミッション「キザナ共闘戦線ミッション5」をクリア,False,False,0
220,237,2,9,3,127,俺に死角はねえ！,ミッション「キザナ共闘戦線ミッション6」をクリア,False,False,0
221,2003,4,9,1,3,,ミッション「バレンタインキャンペーン２」をクリア,False,False,0
222,2004,4,8,1,4,,ミッション「ディスドスキャンペーン４」をクリア,False,False,0
223,2005,4,8,1,5,,ミッション「スクラッパーキャンペーン４」をクリア,False,False,0
224,2006,4,8,1,6,,ミッション「ファルマコンキャンペーン４」をクリア,False,False,0
225,2007,4,8,1,7,,ミッション「ラピスヘッジキャンペーン」をすべてクリア,False,False,0
226,2008,4,8,1,8,,ミッション「パ・フェクトキャンペーン」をすべてクリア,False,False,0
227,2009,4,8,1,9,,ミッション「アンゼロイキャンペーン」をすべてクリア,False,False,0
228,2010,4,8,1,10,,ミッション「オキサイドキャンペーン」をすべてクリア,False,False,0
229,2011,4,8,1,11,,ミッション「エタニティキャンペーン」をすべてクリア,False,False,0
230,2012,4,8,1,12,,コトブキヤ「ソリディア通常版特典」,False,False,0
231,2013,4,8,1,13,,コトブキヤ「ソリディア限定版特典」,False,False,0
232,2020,4,9,1,20,,ミッション「ジューンブライドキャンペーン２」をクリア,False,False,0
233,2021,4,9,1,21,,ミッション「夏休みキャンペーン３」をクリア,False,False,0
234,2401,4,9,1,401,,クエスト「６月の花嫁３」をクリア,False,False,0
235,2402,4,9,1,402,,クエスト「６月の花嫁３」をクリア,False,False,0
236,2403,4,9,1,403,,クエスト「６月の花嫁３」をクリア,False,False,0
237,2404,4,9,1,404,,クエスト「６月の花嫁３」をクリア,False,False,0
238,2405,4,9,1,405,,クエスト「６月の花婿３」をクリア,False,False,0
239,2406,4,9,1,406,,クエスト「６月の花婿３」をクリア,False,False,0
240,2407,4,34,9,407,,クエスト「最の高なクリスマスを４【12/29まで】」をクリア,False,False,0
241,2408,4,34,9,408,,クエスト「お正月チャレンジクエスト４【1/21まで】」をクリア,False,False,0
242,2409,4,34,9,409,,クエスト「チョコっと甘～い出撃４【2/18まで】」をクリア,False,False,0
243,2410,4,9,1,410,,ミッション「5000ナイスプレイチャレンジ」をクリア,False,False,0
244,2411,4,34,9,411,,クエスト「お返しチョ～だい！」をクリア,False,False,0
245,2412,4,34,9,412,,クエスト「あっぱれ五月晴れ！」をクリア,False,False,0
246,2413,4,34,9,413,,クエスト「宇宙でめぐり会う二人」をクリア,False,False,0
247,2414,4,34,9,414,,クエスト「あっちぃーの夏盛り！」をクリア,False,False,0
248,3101,4,50,200,101,,公式プレイヤーとマッチングする,False,False,0
249,3102,4,50,200,102,,公式プレイヤーとマッチングした試合で1回勝利する,False,False,0
250,3103,4,50,200,103,,公式プレイヤーとマッチングした試合で5回勝利する,False,False,0
251,3104,4,50,200,104,,公式プレイヤーとマッチングした試合で10回勝利する,False,False,0
252,3201,4,50,200,201,,公式プレイヤーとマッチングする,False,False,0
253,3202,4,50,200,202,,公式プレイヤーとマッチングした試合で1回勝利する,False,False,0
254,3203,4,50,200,203,,公式プレイヤーとマッチングした試合で5回勝利する,False,False,0
255,3204,4,50,200,204,,公式プレイヤーとマッチングした試合で10回勝利する,False,False,0
256,3301,4,50,200,301,,公式プレイヤーとマッチングする,False,False,0
257,3302,4,50,200,302,,公式プレイヤーとマッチングした試合で1回勝利する,False,False,0
258,3303,4,50,200,303,,公式プレイヤーとマッチングした試合で5回勝利する,False,False,0
259,3304,4,50,200,304,,公式プレイヤーとマッチングした試合で10回勝利する,False,False,0
260,3401,4,50,200,401,,公式プレイヤーとマッチングする,False,False,0
261,3402,4,50,200,402,,公式プレイヤーとマッチングした試合で1回勝利する,False,False,0
262,3403,4,50,200,403,,公式プレイヤーとマッチングした試合で5回勝利する,False,False,0
263,3404,4,50,200,404,,公式プレイヤーとマッチングした試合で10回勝利する,False,False,0
264,3501,4,50,200,501,,公式プレイヤーとマッチングする,False,False,0
265,3502,4,50,200,502,,公式プレイヤーとマッチングした試合で1回勝利する,False,False,0
266,3503,4,50,200,503,,公式プレイヤーとマッチングした試合で5回勝利する,False,False,0
267,3504,4,50,200,504,,公式プレイヤーとマッチングした試合で10回勝利する,False,False,0
268,3601,4,50,200,601,,公式プレイヤーとマッチングする,False,False,0
269,3602,4,50,200,602,,公式プレイヤーとマッチングした試合で1回勝利する,False,False,0
270,3603,4,50,200,603,,公式プレイヤーとマッチングした試合で5回勝利する,False,False,0
271,3604,4,50,200,604,,公式プレイヤーとマッチングした試合で10回勝利する,False,False,0
272,3701,4,50,200,701,,公式プレイヤーとマッチングする,False,False,0
273,3702,4,50,200,702,,公式プレイヤーとマッチングした試合で1回勝利する,False,False,0
274,3703,4,50,200,703,,公式プレイヤーとマッチングした試合で5回勝利する,False,False,0
275,3704,4,50,200,704,,公式プレイヤーとマッチングした試合で10回勝利する,False,False,0
276,4001,4,50,201,1,,公式プレイヤーとマッチングする,False,False,0
277,4002,4,50,201,2,,公式プレイヤーとマッチングした試合で1回勝利する,False,False,0
278,4003,4,50,201,3,,公式プレイヤーとマッチングした試合で5回勝利する,False,False,0
279,4004,4,50,201,4,,公式プレイヤーとマッチングした試合で10回勝利する,False,False,0
280,4101,4,50,201,101,,公式プレイヤーとマッチングする,False,False,0
281,4102,4,50,201,102,,公式プレイヤーとマッチングした試合で1回勝利する,False,False,0
282,4103,4,50,201,103,,公式プレイヤーとマッチングした試合で5回勝利する,False,False,0
283,4104,4,50,201,104,,公式プレイヤーとマッチングした試合で10回勝利する,False,False,0
284,4201,4,50,201,201,,公式プレイヤーとマッチングする,False,False,0
285,4202,4,50,201,202,,公式プレイヤーとマッチングした試合で1回勝利する,False,False,0
286,4203,4,50,201,203,,公式プレイヤーとマッチングした試合で5回勝利する,False,False,0
287,4204,4,50,201,204,,公式プレイヤーとマッチングした試合で10回勝利する,False,False,0
288,5001,4,40,300,101,,翔握戦2019＃1　優勝,False,False,0
289,5002,4,40,300,102,,翔握戦2019＃1　準優勝,False,False,0
290,5003,4,40,300,103,,翔握戦2019＃1　三位,False,False,0
291,5004,4,40,300,104,,翔握戦2019＃2　優勝,False,False,0
292,5005,4,40,300,105,,翔握戦2019＃2　準優勝,False,False,0
293,5006,4,40,300,106,,翔握戦2019＃2　三位,False,False,0
294,5131,4,40,300,131,,翔握戦2019＃3　優勝,False,False,0
295,5132,4,40,300,132,,翔握戦2019＃3　準優勝,False,False,0
296,5133,4,40,300,133,,翔握戦2019＃3　三位,False,False,0
297,5141,4,40,300,141,,翔握戦2019＃4　優勝,False,False,0
298,5142,4,40,300,142,,翔握戦2019＃4　準優勝,False,False,0
299,5143,4,40,300,143,,翔握戦2019＃4　三位,False,False,0
300,5151,4,40,300,151,,翔握戦2019＃5　優勝,False,False,0
301,5152,4,40,300,152,,翔握戦2019＃5　準優勝,False,False,0
302,5153,4,40,300,153,,翔握戦2019＃5　三位,False,False,0
303,5161,4,40,300,161,,翔握戦2019＃6　優勝,False,False,0
304,5162,4,40,300,162,,翔握戦2019＃6　準優勝,False,False,0
305,5163,4,40,300,163,,翔握戦2019＃6　三位,False,False,0
306,5171,4,40,300,171,,翔握戦2019＃7　優勝,False,False,0
307,5172,4,40,300,172,,翔握戦2019＃7　準優勝,False,False,0
308,5173,4,40,300,173,,翔握戦2019＃7　三位,False,False,0
309,5181,4,40,300,181,,翔握戦2019＃8　優勝,False,False,0
310,5182,4,40,300,182,,翔握戦2019＃8　準優勝,False,False,0
311,5183,4,40,300,183,,翔握戦2019＃8　三位,False,False,0
312,5211,4,40,311,211,,翔握戦2020＃1　優勝,False,False,0
313,5212,4,40,311,212,,翔握戦2020＃1　準優勝,False,False,0
314,5213,4,40,311,213,,翔握戦2020＃1　三位,False,False,0
315,5221,4,40,311,221,,翔握戦2020＃2　優勝,False,False,0
316,5222,4,40,311,222,,翔握戦2020＃2　準優勝,False,False,0
317,5223,4,40,311,223,,翔握戦2020＃2　三位,False,False,0
318,5231,4,40,311,231,,翔握戦2020＃3　優勝,False,False,0
319,5232,4,40,311,232,,翔握戦2020＃3　準優勝,False,False,0
320,5233,4,40,311,233,,翔握戦2020＃3　三位,False,False,0
321,5241,4,40,311,241,,翔握戦2020＃4　優勝,False,False,0
322,5242,4,40,311,242,,翔握戦2020＃4　準優勝,False,False,0
323,5243,4,40,311,243,,翔握戦2020＃4　三位,False,False,0
324,211,1,20,4,122,,スターウィングに初めて到達,False,False,0
325,5801,4,40,310,101,,Round1Tournament2019＃1　優勝,False,False,0
326,5802,4,40,310,102,,Round1Tournament2019＃1　準優勝,False,False,0
327,5803,4,40,310,103,,Round1Tournament2019＃1　三位,False,False,0
328,5811,4,40,310,111,,Round1Tournament2019＃2　優勝,False,False,0
329,5812,4,40,310,112,,Round1Tournament2019＃2　準優勝,False,False,0
330,5813,4,40,310,113,,Round1Tournament2019＃2　三位,False,False,0
331,5821,4,40,310,121,,Round1Tournament2019＃3　優勝,False,False,0
332,5822,4,40,310,122,,Round1Tournament2019＃3　準優勝,False,False,0
333,5823,4,40,310,123,,Round1Tournament2019＃3　三位,False,False,0
334,5831,4,40,310,131,,Round1Tournament2019＃4　優勝,False,False,0
335,5832,4,40,310,132,,Round1Tournament2019＃4　準優勝,False,False,0
336,5833,4,40,310,133,,Round1Tournament2019＃4　三位,False,False,0
337,5841,4,40,310,141,,Round1Tournament2019＃5　優勝,False,False,0
338,5842,4,40,310,142,,Round1Tournament2019＃5　準優勝,False,False,0
339,5843,4,40,310,143,,Round1Tournament2019＃5　三位,False,False,0
340,6161,4,40,310,161,,Round1Tournament2019＃6　優勝,False,False,0
341,6162,4,40,310,162,,Round1Tournament2019＃6　準優勝,False,False,0
342,6163,4,40,310,163,,Round1Tournament2019＃6　三位,False,False,0
343,6171,4,40,310,171,,Round1Tournament2019＃7　優勝,False,False,0
344,6172,4,40,310,172,,Round1Tournament2019＃7　準優勝,False,False,0
345,6173,4,40,310,173,,Round1Tournament2019＃7　三位,False,False,0
346,6181,4,40,310,181,,Round1Tournament2019＃8　優勝,False,False,0
347,6182,4,40,310,182,,Round1Tournament2019＃8　準優勝,False,False,0
348,6183,4,40,310,183,,Round1Tournament2019＃8　三位,False,False,0
349,6191,4,40,310,191,,Round1Tournament2019＃9　優勝,False,False,0
350,6192,4,40,310,192,,Round1Tournament2019＃9　準優勝,False,False,0
351,6193,4,40,310,193,,Round1Tournament2019＃9　三位,False,False,0
