---,MissionGroupId,MissionGroupName,BeginAt,EndAt,HideAt
46,127,【共通】累計プレイ回数,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
47,128,【共通】累計願掛け回数,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
48,129,【共通】累計勝利数,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
49,130,【共通】累計リザルトスコア,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
50,131,【共通】累計撃破数,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
51,132,【共通】累計ログイン,2010-05-01 08:00:00,2020-01-01 06:00:00,2020-01-01 06:00:00
52,133,【共通】連続ログイン,2010-05-01 08:00:00,2020-01-01 06:00:00,2020-01-01 06:00:00
53,134,【共通】累計獲得勝号数,2010-05-01 08:00:00,2020-01-01 06:00:00,2020-01-01 06:00:00
54,135,【共通】スペシャルウェポン使用,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
55,136,【共通】クロスバースト成功,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
56,137,【AR】ソリディア累計時間,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
57,138,【AR】ソリディア累計プレイ回数,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
58,139,【AR】ソリディア累計勝利数,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
59,140,【AR】ソリディア連続,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
60,141,【AR】CU・レイター累計時間,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
61,142,【AR】CU・レイター累計プレイ回数,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
62,143,【AR】CU・レイター累計勝利数,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
63,144,【AR】CU・レイター連続,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
64,145,【AR】ゴールテン・D累計時間,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
65,146,【AR】ゴールテン・D累計プレイ回数,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
66,147,【AR】ゴールテン・D累計勝利数,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
67,148,【AR】ゴールテン・D連続,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
68,149,【AR】サイトヘッド累計時間,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
69,150,【AR】サイトヘッド累計プレイ回数,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
70,151,【AR】サイトヘッド累計勝利数,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
71,152,【AR】サイトヘッド連続,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
72,153,【AR】カーディナル累計時間,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
73,154,【AR】カーディナル累計プレイ回数,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
74,155,【AR】カーディナル累計勝利数,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
75,156,【AR】カーディナル連続,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
76,157,【AR】サブライガ累計時間,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
77,158,【AR】サブライガ累計プレイ回数,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
78,159,【AR】サブライガ累計勝利数,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
79,160,【AR】サブライガ連続,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
80,161,【AR】スクラッパー累計時間,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
81,162,【AR】スクラッパー累計プレイ回数,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
82,163,【AR】スクラッパー累計勝利数,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
83,164,【AR】スクラッパー連続,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
84,165,【AR】アンゼロイ累計時間,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
85,166,【AR】アンゼロイ累計プレイ回数,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
86,167,【AR】アンゼロイ累計勝利数,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
87,168,【AR】アンゼロイ連続,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
88,169,【AR】ディスドス累計時間,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
89,170,【AR】ディスドス累計プレイ回数,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
90,171,【AR】ディスドス累計勝利数,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
91,172,【AR】ディスドス連続,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
92,173,【AR】ファルマコン累計時間,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
93,174,【AR】ファルマコン累計プレイ回数,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
94,175,【AR】ファルマコン累計勝利数,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
95,176,【AR】ファルマコン連続,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
96,177,【AR】ラピスヘッジ累計時間,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
97,178,【AR】ラピスヘッジ累計プレイ回数,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
98,179,【AR】ラピスヘッジ累計勝利数,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
99,180,【AR】ラピスヘッジ連続,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
100,181,【AR】パ・フェクト累計時間,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
101,182,【AR】パ・フェクト累計プレイ回数,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
102,183,【AR】パ・フェクト累計勝利数,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
103,184,【AR】パ・フェクト連続,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
104,185,【AR】エタニティ累計時間,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
105,186,【AR】エタニティ累計プレイ回数,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
106,187,【AR】エタニティ累計勝利数,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
107,188,【AR】エタニティ連続,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
108,189,【AR】オキサイド累計時間,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
109,190,【AR】オキサイド累計プレイ回数,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
110,191,【AR】オキサイド累計勝利数,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
111,192,【AR】オキサイド連続,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
112,193,【アズワン】ヒカリDsPS,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
113,194,【アズワン】ヒカリ累計勝利数,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
114,195,【アズワン】ヒカリ連続勝利数,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
115,196,【アズワン】レイカDsPS,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
116,197,【アズワン】レイカ累計勝利数,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
117,198,【アズワン】レイカ連続勝利数,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
118,199,【アズワン】シャーリーDsPS,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
119,200,【アズワン】シャーリー累計勝利数,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
120,201,【アズワン】シャーリー連続勝利数,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
121,202,【アズワン】イサドラDsPS,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
122,203,【アズワン】イサドラ累計勝利数,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
123,204,【アズワン】イサドラ連続勝利数,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
124,205,【アズワン】ナギDsPS,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
125,206,【アズワン】ナギ累計勝利数,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
126,207,【アズワン】ナギ連続勝利数,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
127,208,【アズワン】カズマDsPS,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
128,209,【アズワン】カズマ累計勝利数,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
129,210,【アズワン】カズマ連続勝利数,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
130,211,リリース記念ミッション,2020-05-01 08:00:00,2030-01-01 06:00:00,2030-01-01 06:00:00
131,1000000,テストミッション（アズワン指定なし）,2000-05-01 08:00:00,2010-01-01 06:00:00,2011-01-01 06:00:00
132,1000001,テストミッション1（ヒカリ）,2000-05-01 08:00:00,2010-01-01 06:00:00,2011-01-01 06:00:00
133,1000002,テストミッション2（レイカ）,2000-05-01 08:00:00,2010-01-01 06:00:00,2011-01-01 06:00:00
134,1000003,テストミッション3（シャーリー）,2000-05-01 08:00:00,2010-01-01 06:00:00,2011-01-01 06:00:00
135,1000004,テストミッション4（イサドラ）,2000-05-01 08:00:00,2010-01-01 06:00:00,2011-01-01 06:00:00
136,1000005,テストミッション5（ナギ）,2000-05-01 08:00:00,2010-01-01 06:00:00,2011-01-01 06:00:00
137,1000006,テストミッション6（カズマ）,2000-05-01 08:00:00,2010-01-01 06:00:00,2011-01-01 06:00:00
138,1000007,テストミッション7（アズワン指定なし）,2000-05-01 08:00:00,2010-01-01 06:00:00,2011-01-01 06:00:00
139,1000008,テストミッション8（アズワン指定なし:8vs8）,2000-05-01 08:00:00,2010-01-01 06:00:00,2011-01-01 06:00:00
140,1000009,テストミッション9（アズワン指定なし:2on2）,2000-05-01 08:00:00,2010-01-01 06:00:00,2011-01-01 06:00:00
141,1000010,テストミッション10（ヒカリ）,2000-05-01 08:00:00,2010-01-01 06:00:00,2011-01-01 06:00:00
142,1000011,テストミッション11（レイカ）,2000-05-01 08:00:00,2010-01-01 06:00:00,2011-01-01 06:00:00
143,1000012,テストミッション12（シャーリー）,2000-05-01 08:00:00,2010-01-01 06:00:00,2011-01-01 06:00:00
144,1000013,テストミッション13（イサドラ）,2000-05-01 08:00:00,2010-01-01 06:00:00,2011-01-01 06:00:00
145,1000014,テストミッション14（ナギ）,2000-05-01 08:00:00,2010-01-01 06:00:00,2011-01-01 06:00:00
146,1000015,テストミッション15（カズマ）,2000-05-01 08:00:00,2010-01-01 06:00:00,2011-01-01 06:00:00
