---,Id,Name,LoginBonusTypeId,BeginAt,ReceptionEndAt,EndAt
30,30,【12月前半】ログインボーナス,1,2019-12-01 08:00:00,2019-12-16 06:00:00,2019-12-16 06:00:00
31,31,【12月後半】ログインボーナス,1,2019-12-16 08:00:00,2020-01-01 06:00:00,2020-01-01 06:00:00
32,32,【1月前半】ログインボーナス,1,2020-01-01 08:00:00,2020-01-16 06:00:00,2020-01-16 06:00:00
33,33,【1月後半】ログインボーナス,1,2020-01-16 08:00:00,2020-02-01 06:00:00,2020-02-01 06:00:00
34,34,【2月前半】ログインボーナス,1,2020-02-01 08:00:00,2020-02-16 06:00:00,2020-02-16 06:00:00
35,35,【2月後半】ログインボーナス,1,2020-02-16 08:00:00,2020-03-01 06:00:00,2020-03-01 06:00:00
36,36,【3月前半】ログインボーナス,1,2020-03-01 08:00:00,2020-03-16 06:00:00,2020-03-16 06:00:00
37,37,【3月後半】ログインボーナス,1,2020-03-16 08:00:00,2020-04-01 06:00:00,2020-04-01 06:00:00
38,38,【4月前半】ログインボーナス,1,2020-04-01 08:00:00,2020-04-16 06:00:00,2020-04-16 06:00:00
39,39,【4月後半】ログインボーナス,1,2020-04-16 08:00:00,2020-05-01 06:00:00,2020-05-01 06:00:00
40,40,【5月前半】ログインボーナス,1,2020-05-01 08:00:00,2020-05-16 06:00:00,2020-05-16 06:00:00
41,41,【5月後半】ログインボーナス,1,2020-05-16 08:00:00,2020-06-01 06:00:00,2020-06-01 06:00:00
42,42,【6月前半】ログインボーナス,1,2020-06-01 08:00:00,2020-06-16 06:00:00,2020-06-16 06:00:00
43,43,【6月後半】ログインボーナス,1,2020-06-16 08:00:00,2020-07-01 06:00:00,2020-07-01 06:00:00
44,44,【7月前半】ログインボーナス,1,2020-07-01 08:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00
45,45,【7月後半】ログインボーナス,1,2020-07-16 08:00:00,2020-08-01 06:00:00,2020-08-01 06:00:00
46,46,【8月前半】ログインボーナス,1,2020-08-01 08:00:00,2020-08-16 06:00:00,2020-08-16 06:00:00
47,47,【8月後半】ログインボーナス,1,2020-08-16 08:00:00,2020-09-01 06:00:00,2020-09-01 06:00:00
