---,RobotId,PartsId,ParamId,Text1,Text2,PartsInfoId,PartsInfoRankId
37,2,1,5,XKT-015(H),,0,0
38,2,2,5,XKT-015(B),,0,0
39,2,3,5,XKT-015(A),,0,0
40,2,4,5,XKT-015(L),,0,0
41,2,5,5,XKT-015(W),,0,0
42,3,1,3,,,0,0
43,3,2,3,ブースト消費量が少なくなる,,0,0
44,3,3,3,,,10,1
45,3,3,3,,,24,1
46,3,4,3,,,15,1
47,3,5,3,,,0,0
48,3,5,1,溜めダッシュ,,0,0
49,3,5,2,長距離持続,,0,0
50,3,1,4,ロックオン範囲が横に広い長方形タイプ。\n相手と同じ高度を維持することで\n横方向に逃げる敵を捉えやすい。,,0,0
51,3,2,4,癖のない標準的な性能の胴部。\n耐久値が高い代わりに、アーマー値が低い。,,0,0
52,3,3,4,ビーム系武器のリロードが速く\n耐久値も高いため\n継続的な射撃戦に適している。,,0,0
53,3,4,4,標準的な耐久値とポート占拠速度に加えて、\n接地時にブーストゲージの回復速度が\n速くなる特性を持つ。,,0,0
54,3,5,4,フルドライブの航続距離が非常に長く\n一気に敵コアへの奇襲をかける事ができる。\nダッシュは出がかりに時間を要するが\n高速での移動が可能。,,0,0
55,3,6,4,長距離移動からの奇襲が得意な、\nコア強襲型エア・リアル。\n高出力の巨大アームは、銃器の扱いや、\n単機での近接戦闘に向いている。,,0,0
56,3,6,5,XZM-020,,0,0
57,3,1,5,XZM-020(H),,0,0
58,3,2,5,XZM-020(B),,0,0
59,3,3,5,XZM-020(A),,0,0
60,3,4,5,XZM-020(L),,0,0
61,3,5,5,XZM-020(W),,0,0
62,4,1,3,ロックオンが遮蔽物に,阻まれた時に外れる時間が長い,0,0
63,4,2,3,,,0,0
64,4,3,3,,,6,3
65,4,3,3,,,43,2
66,4,4,3,,,31,3
67,4,5,3,ダッシュ持続で加速,,40,0
68,4,5,1,加速ダッシュ,,0,0
69,4,5,2,長距離スタンダード,,0,0
70,4,1,4,ロックオン範囲が狭いが、\nロックオン距離が非常に長い。イサドラの\n「敵の手の届かない位置からの狙撃がしたい」\nとの要望により実現した。,,0,0
71,4,2,4,イサドラが「狙撃とは如何にヤられずに\nヤれるか、よ」と発言したところ\nアーマー値を高く回復速度も\n基準的にすることにより継続的な戦闘を\n行うことを可能とした。,ブースト消費量が少し多くなる,0,0
72,4,3,4,耐久値が低い代わりに\n両手武器のリロードが速い。\n遠距離からの射撃武器と相性が良い。,,0,0
73,4,4,4,耐久値とダウン中でもポート占拠が可能な\n性能を兼ね備えた脚部。\nその性能を活かしてアグレッシブな戦闘が可能。,,0,0
74,4,5,4,耐久値の高さに加え、継続での\nダッシュ移動が加速される特性をもつ。\nその代わり、ダッシュ継続時には\nブーストゲージが減り続ける。,,0,0
75,4,6,4,独特な飛行能力で、滞空、小回り等が\n可能な戦術支援型エア・リアル。\n頭部自体がスコープの役割も果たし、\n超遠距離からの索敵、攻撃が可能。\n繊細な操作を得意とするイサドラの愛機。,,0,0
76,4,6,5,XIS-005,,0,0
77,4,1,5,XIS-005(H),,0,0
78,4,2,5,XIS-005(B),,0,0
79,4,3,5,XIS-005(A),,0,0
80,4,4,5,XIS-005(L),,0,0
81,4,5,5,XIS-005(W),,0,0
82,5,1,3,,,1,1
83,5,2,3,状態異常耐性　大,,4,1
84,5,3,3,,,12,3
85,5,3,3,,,13,2
86,5,4,3,,,47,2
87,5,5,3,,,41,1
88,5,5,1,短距離ダッシュ,,0,0
89,5,5,2,長距離スタンダード,,0,0
90,5,1,4,ロックオン距離が長く\nロックオン追従性能が高い。レイカ曰く\n「冷静に見渡せば敵味方問わず\n見失うこと無く支援することができます。」,,0,0
91,5,2,4,アーマー値が低いが回復待機時間が短く\n常にアーマー値がある状態での戦闘が可能。\nまた、状態異常耐性もあり\n継続的な支援もできる。,,0,0
92,5,3,4,回復武器、味方強化武器、妨害武器の\nリロード速度が速い。レイカ曰く\n「大・勝利のためには絶え間なく\n味方の支援をすることが必要です。」,,0,0
93,5,4,4,耐久値が低い代わりにポート占拠範囲が\n広い。シャープなフォルムが\n女性っぽさを醸し出している。,,0,0
94,5,5,4,ジャンプ力が高く常に空中に滞在する\nことができる。回避時のブースト消費量が\n少ないためオーバーヒートになりづらく\n扱いやすい。,,0,0
95,5,6,4,大空を支配する戦術支援型エア・リアル。\n滞空性能が高く小回りが利くので、\n空戦で捉えることは容易ではない。\nまるで女性のような美しいフォルムを持ち\n優雅に飛翔する。レイカの愛機。,,0,0
96,5,6,5,XIS-006,,0,0
97,5,1,5,XIS-006(H),,0,0
98,5,2,5,XIS-006(B),,0,0
99,5,3,5,XIS-006(A),,0,0
100,5,4,5,XIS-006(L),,0,0
101,5,5,5,XIS-006(W),,0,0
102,6,1,3,,,0,0
103,6,2,3,,,0,0
104,6,3,3,,,11,1
105,6,4,3,,,15,1
106,6,5,3,,,58,1
107,6,5,1,溜めダッシュ,,0,0
108,6,5,2,短距離加速,,0,0
109,6,1,4,耐久値が高い。\nロックオン範囲が縦に広いため\n上下に動く敵を見失いづらく\n高低差を活かした戦闘が得意。,,0,0
110,6,2,4,アーマー値がかなり高く、耐久値が低い。\n長期的な戦闘には向いておりシャーリーの\n「1秒でも長く戦場に居たいべ！」\nという要望を叶えた。,,0,0
111,6,3,4,実弾系統のリロード速度が速い。\nそれに加えて耐久値が高いため\n持続的な戦闘が行える。,,0,0
112,6,4,4,ポート占拠速度が遅い代わりに\n耐久値が高い。重量があり地上での\nブースト回復が早いため地上戦が得意である。,,0,0
113,6,5,4,シャーリーが「大きくても速く動きたい\nじゃない！」と溜めのあるダッシュ、\nフルドライブでトップスピードを\n速くすることに成功した。耐久値も多く\n長く戦場を駆け巡ることができる。,,0,0
114,6,6,4,高機動、高出力、高耐久で戦場を荒らす\nパワー型エア・リアル。\nシャーリーの愛機で、シャーリー自身も\n開発に関わっているため、他の開発者も\n知り得ない機構があるらしい。,,0,0
115,6,6,5,XZH-007,,0,0
116,6,1,5,XZH-007(H),,0,0
117,6,2,5,XZH-007(B),,0,0
118,6,3,5,XZH-007(A),,0,0
119,6,4,5,XZH-007(L),,0,0
120,6,5,5,XZH-007(W),,0,0
121,7,1,3,,,61,2
122,7,1,3,,,60,4
123,7,2,3,,,54,1
124,7,2,3,,,63,1
125,7,3,3,,,14,1
126,7,3,3,,,44,0
127,7,4,3,,,33,1
128,7,5,3,,,64,0
129,7,5,3,,,0,0
130,7,5,1,高速ダッシュ,,0,0
131,7,5,2,長距離高速,,0,0
132,7,1,4,耐久値が低い代わりに\nカメラの移動速度が速くなる。\nただし攻撃中はカメラの移動速度は遅くなる。,,0,0
133,7,2,4,耐久値は低いが\nビームへの防御力が高い特性に加え\nAR以外からの攻撃では怯みが発生しない。,,0,0
134,7,3,4,強制ダウンさせるまでに必要なヒット数が\n増える為、普段よりダメージを与え続ける事が可能となる。\nまた、マグ、タワー、コアに対しても\n攻撃力が高くなる特性を持つ。,,0,0
135,7,4,4,耐久値が低い代わりに\nポート占拠速度が速く\n短期的な戦闘を得意とする。,,0,0
136,7,5,4,耐久値が低いが、フルドライブの性能が高い。\nまた、特殊効果として、格闘等の全身行動を\nブーストダッシュ/回避でキャンセルする事が可能。,,0,0
137,7,6,4,【アンゼロイ一式装備時のみ発動する効果】\n　▲ブーストゲージ消費量軽減\n　▲アズワンスキル効果UP\n　▽耐久値100 DOWN,,0,0
138,7,6,5,XKT-101,,0,0
139,7,1,5,XKT-101(H),,0,0
140,7,2,5,XKT-101(B),,0,0
141,7,3,5,XKT-101(A),,0,0
142,7,4,5,XKT-101(L),,0,0
143,7,5,5,XKT-101(W),,0,0
144,8,1,3,,,3,2
145,8,2,3,,,23,2
146,8,3,3,,,17,3
147,8,3,3,,,18,3
148,8,4,3,,,22,2
149,8,5,3,,,37,0
150,8,5,3,,,41,2
151,8,5,1,短距離ダッシュ,,0,0
152,8,5,2,短距離スタンダード,,0,0
153,8,1,4,ロックオン距離は長く、\nロックオン範囲は少し横に広いが、全体的に狭い。\n中遠距離での戦闘を得意とする。,,0,0
154,8,2,4,耐久値、アーマー値共に標準より低いが、\n早いタイミングからアーマー値が徐々に回復。\n長期的な戦闘が見込まれる。,,0,0
155,8,3,4,耐久値は標準的な上、妨害武器、\n設置武器の効果時間を延長する性能がある。,,0,0
156,8,4,4,耐久値は標準的な上\nフルドライブ時の消費量が減るため\n長距離移動を得意とする。,,0,0
157,8,5,4,耐久値と移動性能は標準的であるが\n下方向への回避行動が可能。すぐさま\n相手の視界から外れることができる。,,0,0
158,8,6,4,エア・リアル同士の戦闘が激化する中、\n敵機体への妨害、状態異常を目的とした\nアンチ・エア・リアル機体。\n特徴的な大型バーニアが、巨体に似合わぬ\n急速移動を可能にしている。,,0,0
159,8,6,5,XKH-102,,0,0
160,8,1,5,XKH-102(H),,0,0
161,8,2,5,XKH-102(B),,0,0
162,8,3,5,XKH-102(A),,0,0
163,8,4,5,XKH-102(L),,0,0
164,8,5,5,XKH-102(W),,0,0
165,9,1,3,,,3,2
166,9,1,3,,,2,0
167,9,2,3,,,23,2
168,9,3,3,,,7,1
169,9,3,3,,,0,0
170,9,4,3,,,16,2
171,9,5,3,,,45,1
172,9,5,1,高速ダッシュ,,0,0
173,9,5,2,短距離スタンダード,,0,0
174,9,1,4,ロックオン距離が短いが、\n遮蔽物に隠れた相手を見失いづらい。\nまた、クリティカルの範囲が広い\n唯一無二の特性がある。,,0,0
175,9,2,4,標準的な耐久値、アーマー値を持つ。\nアーマー回復待機時間も短く扱いやすい。,,0,0
176,9,3,4,片手武器のリロード速度が速い。\nカズマの情熱的な想いから、\n様々な場面での活躍が見込める。,,0,0
177,9,4,4,カズマの熱血的な想いから\nブースト消費量がわずかながら\n緩和されている。,,0,0
178,9,5,4,ダッシュ移動での初速が速く\n溜めも少ないので瞬間的な速さが\n特徴的なウィング。,,0,0
179,9,6,4,カーディナルの対として製造された\n近接攻撃型エア・リアル。\n打たれ強く、長期戦に対応できる\n一騎当千の性能を持つ。\n前のめりなスタイルで戦うカズマの愛機。,,0,0
180,9,6,5,XKM-012,,0,0
181,9,1,5,XKM-012(H),,0,0
182,9,2,5,XKM-012(B),,0,0
183,9,3,5,XKM-012(A),,0,0
184,9,4,5,XKM-012(L),,0,0
185,9,5,5,XKM-012(W),,0,0
186,10,1,3,,,1,1
187,10,1,3,,,29,0
188,10,2,3,,,4,3
189,10,3,3,,,8,2
190,10,3,3,,,28,2
191,10,4,3,,,0,0
192,10,5,3,,,36,0
193,10,5,3,,,45,1
194,10,5,1,短距離ダッシュ,,0,0
195,10,5,2,短距離高速,,0,0
196,10,1,4,ロックオン距離は短いが\nロックオン追従性能が高い。\n一度捉えた敵をロックオンし\n続けることが可能。,,0,0
197,10,2,4,高い状態異常耐性と\nアーマー回復待機が短いことにより\n戦場により長く生存することができ\n影響を出し続けることが可能。,,0,0
198,10,3,4,格闘武器と片手左武器の\nリロード速度が速い。\n近距離での継続的な戦闘に適している。,,0,0
199,10,4,4,耐久値が高めの標準的な脚部。\n尖った足先のようなものが\n紳士っぽさを醸し出している。,,0,0
200,10,5,4,移動性能は標準的だが、回避行動の際に\n自身の機体を一時的に透明にし、\n相手を困惑させることができる。,,0,0
201,10,6,4,星血の研究から得られた数々の極秘成果を\n取り入れた、特殊な能力を持つ機体。\n姿を一時的に消せる他、状態異常耐性に\n長けている。,,0,0
202,10,6,5,XZS-025,,0,0
203,10,1,5,XZS-025(H),,0,0
204,10,2,5,XZS-025(B),,0,0
205,10,3,5,XZS-025(A),,0,0
206,10,4,5,XZS-025(L),,0,0
207,10,5,5,XZS-025(W),,0,0
208,11,1,3,,,29,0
209,11,2,3,,,0,0
210,11,3,3,,,34,1
211,11,3,3,,,35,4
212,11,4,3,,,33,2
213,11,5,3,,,40,0
214,11,5,1,加速ダッシュ,,0,0
215,11,5,2,短距離加速,,0,0
216,11,1,4,ロックオンサイズは狭いが、距離が長い。\nロック範囲内であればプレイヤーを優先的に\n狙う特性がある。,,0,0
217,11,2,4,アーマー値を犠牲に圧倒的な耐久力を持つ。\nアーマーが無くとも攻撃を耐える姿は\n圧巻の一言である。,,0,0
218,11,3,4,射撃の弾数を20％増やす効果があるが、\n射撃の攻撃力が低くなる特性を持つ。\n耐久値が高いのも魅力。,,0,0
219,11,4,4,ポート占拠速度を落とし、耐久値を高めた脚部。\nオーバーヒートの時間を短縮する特性を持つ。,,0,0
220,11,5,4,驚異的な耐久値を持ちつつ\n加速するダッシュ性能を持ち合わせている\n高水準なウィング。ただし消費は激しい。\nまた、高速旋回性能が高い。,,0,0
221,11,6,4,超高出力武器を使用した砲台の役割を\n果たす事が可能な、重撃型エア・リアル。\n高い耐久性と持続力を併せ持ち、\n動く要塞となって敵を爆撃する。,,0,0
222,11,6,5,XIH-014,,0,0
223,11,1,5,XIH-014(H),,0,0
224,11,2,5,XIH-014(B),,0,0
225,11,3,5,XIH-014(A),,0,0
226,11,4,5,XIH-014(L),,0,0
227,11,5,5,XIH-014(W),,0,0
228,12,1,3,,,30,0
229,12,1,3,,,1,1
230,12,2,3,,,53,1
231,12,3,3,,,49,2
232,12,3,3,,,52,2
233,12,4,3,,,22,1
234,12,4,3,,,16,1
235,12,5,3,,,56,0
236,12,5,3,,,0,0
237,12,5,1,短距離ダッシュ,,0,0
238,12,5,2,長距離スタンダード,,0,0
239,12,1,4,耐久値は低いが、アズワンスキルの発動までの必要チームレベルを1下げる特性がある。,,0,0
240,12,2,4,アーマー値は低いが、一定時間後に即回復する。また、実弾攻撃への耐久性が高い特性がある。,,0,0
241,12,3,4,1stは片手武器、2ndは両手武器のリロード速度を上げる特性がある。,,0,0
242,12,4,4,耐久値を犠牲に機動力を向上させた。フルドライブとブーストダッシュ時の消費量を減少させる為敵の追随を振り切る。,,0,0
243,12,5,4,フルドライブ中ウイングパーツが機体の周りを回転し、攻撃判定を伴う。,,0,0
244,12,6,4,軽やかな印象から、滞空力を持ちつつ\n機敏な動きを可能とした、多角的な\n戦況に対応する万能型エア・リアル。羽は\n時に攻撃手段として使うこともできるという。,,0,0
245,12,6,5,XIT-030,,0,0
246,12,1,5,XIT-030(H),,0,0
247,12,2,5,XIT-030(B),,0,0
248,12,3,5,XIT-030(A),,0,0
249,12,4,5,XIT-030(L),,0,0
250,12,5,5,XIT-030(W),,0,0
251,13,1,3,,,29,0
252,13,1,3,,,71,2
253,13,2,3,,,68,1
254,13,3,3,,,67,1
255,13,3,3,,,43,3
256,13,4,3,,,72,4
257,13,4,3,,,0,0
258,13,5,3,,,74,0
259,13,5,3,,,73,0
260,13,5,1,高速ダッシュ,,0,0
261,13,5,2,長距離直進,,0,0
262,13,1,4,索敵範囲が極端に狭いが、クリティカル範囲は広い。カメラの移動速度が速いため、自身で中心を狙う力が試される。,,0,0
263,13,2,4,赤ポートに入ると、根性値が高くなる特性を持つ。切り返しの戦いを得意とする。,,0,0
264,13,3,4,武器切替速度が速く、クリティカルダメージが高い。一瞬の隙を逃さない。,,0,0
265,13,4,4,耐久値が高く、ポート占拠速度が少し速い特性を持つが、オーバーヒート時のブーストゲージ回復速度が遅くなる。,,0,0
266,13,5,4,回避行動を行った際、状態異常時間を短くする効果を持つ。また、耐久値が半分以下になるとブーストゲージ消費量が軽減される特徴を持つ。,,0,0
267,13,6,4,対ソリディアとして造られたエア・リアル。ソリディアに秘められた、星血エネルギーとアズワンのシンクロによる力の増幅機能をコントロールできるという話だが……。,,0,0
268,13,6,5,XXM-010,,0,0
269,13,1,5,XXM-010(H),,0,0
270,13,2,5,XXM-010(B),,0,0
271,13,3,5,XXM-010(A),,0,0
272,13,4,5,XXM-010(L),,0,0
273,13,5,5,XXM-010(W),,0,0
274,14,1,3,,,3,3
275,14,1,3,,,29,0
276,14,2,3,,,69,1
277,14,2,3,,,70,6
278,14,3,3,,,66,1
279,14,4,3,,,31,1
280,14,4,3,,,47,1
281,14,5,3,,,38,0
282,14,5,1,円弧移動ダッシュ,,0,0
283,14,5,2,短距離加速,,0,0
284,14,1,4,耐久は低いが、長く広い索敵範囲と、高い対象ロスト耐性により敵を見つけたら、どこまでも追い続ける力を持つ。,,0,0
285,14,2,4,耐久値も高く、射撃に対しての防御力が高い。しかし、格闘に対して非常に弱いため、格闘機には気をつけろ。,,0,0
286,14,3,4,射撃武器の弾速が早くなる効果を持つため、早期の決着を狙える。,,0,0
287,14,4,4,ポート占拠範囲を広げ、ダウン中でも占拠可能な特性を持つ。また、地上移動も速い。,,0,0
288,14,5,4,ダッシュは、沈んで浮く円弧移動をする。回避やジャンプを織り交ぜて相手を撹乱することができる。ニュートラルで回避を行うと、前回避後に反転する。,,0,0
289,14,6,4,【オキサイド一式装備時のみ発動する効果】\nどちらかのチームがフェーズ３に入ると\nオーラを纏い、以下の効果が発動する。\n　▲フルドライブゲージ消費量軽減\n　▲攻撃力上昇,,0,0
290,14,6,5,XXH-020,,0,0
291,14,1,5,XXH-020(H),,0,0
292,14,2,5,XXH-020(B),,0,0
293,14,3,5,XXH-020(A),,0,0
294,14,4,5,XXH-020(L),,0,0
295,14,5,5,XXH-020(W),,0,0
