---,MechaSetId,MechaSetName,MechaId,DesignId,Texture
15,1101,ソリディアセット\n深森タイプ,1,101,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_01_Head.Tex_Com_RobotParts_01_Head'
16,1102,ソリディアセット\n岩塊タイプ,1,102,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_01_Head.Tex_Com_RobotParts_01_Head'
17,1103,ソリディアセット\n土漠タイプ,1,103,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_01_Head.Tex_Com_RobotParts_01_Head'
18,1104,ソリディアセット\n青碧タイプ,1,104,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_01_Head.Tex_Com_RobotParts_01_Head'
19,1105,ソリディアセット\n海響タイプ,1,105,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_01_Head.Tex_Com_RobotParts_01_Head'
20,1106,ソリディアセット\n桜花タイプ,1,106,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_01_Head.Tex_Com_RobotParts_01_Head'
21,2001,カーディナルセット\nソリディアタイプ,2,1,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_02_Head.Tex_Com_RobotParts_02_Head'
22,2002,カーディナルセット\nカーディナルタイプ,2,2,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_02_Head.Tex_Com_RobotParts_02_Head'
23,2003,カーディナルセット\nスクラッパータイプ,2,3,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_02_Head.Tex_Com_RobotParts_02_Head'
24,2004,カーディナルセット\nサイトヘッドタイプ,2,4,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_02_Head.Tex_Com_RobotParts_02_Head'
25,2005,カーディナルセット\nシーユー・レイタータイプ,2,5,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_02_Head.Tex_Com_RobotParts_02_Head'
26,2006,カーディナルセット\nゴールテン・ダータイプ,2,6,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_02_Head.Tex_Com_RobotParts_02_Head'
27,2007,カーディナルセット\nアンゼロイタイプ,2,7,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_02_Head.Tex_Com_RobotParts_02_Head'
28,2008,カーディナルセット\nディスドスタイプ,2,8,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_02_Head.Tex_Com_RobotParts_02_Head'
29,2009,カーディナルセット\nサブライガタイプ,2,9,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_02_Head.Tex_Com_RobotParts_02_Head'
30,2010,カーディナルセット\nファルマコンタイプ,2,10,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_02_Head.Tex_Com_RobotParts_02_Head'
31,2011,カーディナルセット\nラピスヘッジタイプ,2,11,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_02_Head.Tex_Com_RobotParts_02_Head'
32,2012,カーディナルセット\nパ・フェクトタイプ,2,12,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_02_Head.Tex_Com_RobotParts_02_Head'
33,2013,カーディナルセット\nエタニティタイプ,2,13,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_02_Head.Tex_Com_RobotParts_02_Head'
34,2014,カーディナルセット\nオキサイドタイプ,2,14,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_02_Head.Tex_Com_RobotParts_02_Head'
35,2101,カーディナルセット\n深森タイプ,2,101,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_02_Head.Tex_Com_RobotParts_02_Head'
36,2102,カーディナルセット\n岩塊タイプ,2,102,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_02_Head.Tex_Com_RobotParts_02_Head'
37,2103,カーディナルセット\n土漠タイプ,2,103,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_02_Head.Tex_Com_RobotParts_02_Head'
38,2104,カーディナルセット\n青碧タイプ,2,104,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_02_Head.Tex_Com_RobotParts_02_Head'
39,2105,カーディナルセット\n海響タイプ,2,105,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_02_Head.Tex_Com_RobotParts_02_Head'
40,2106,カーディナルセット\n桜花タイプ,2,106,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_02_Head.Tex_Com_RobotParts_02_Head'
41,3001,スクラッパーセット\nソリディアタイプ,3,1,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_03_Head.Tex_Com_RobotParts_03_Head'
42,3002,スクラッパーセット\nカーディナルタイプ,3,2,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_03_Head.Tex_Com_RobotParts_03_Head'
43,3003,スクラッパーセット\nスクラッパータイプ,3,3,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_03_Head.Tex_Com_RobotParts_03_Head'
44,3004,スクラッパーセット\nサイトヘッドタイプ,3,4,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_03_Head.Tex_Com_RobotParts_03_Head'
45,3005,スクラッパーセット\nシーユー・レイタータイプ,3,5,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_03_Head.Tex_Com_RobotParts_03_Head'
46,3006,スクラッパーセット\nゴールテン・ダータイプ,3,6,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_03_Head.Tex_Com_RobotParts_03_Head'
47,3007,スクラッパーセット\nアンゼロイタイプ,3,7,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_03_Head.Tex_Com_RobotParts_03_Head'
48,3008,スクラッパーセット\nディスドスタイプ,3,8,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_03_Head.Tex_Com_RobotParts_03_Head'
49,3009,スクラッパーセット\nサブライガタイプ,3,9,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_03_Head.Tex_Com_RobotParts_03_Head'
50,3010,スクラッパーセット\nファルマコンタイプ,3,10,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_03_Head.Tex_Com_RobotParts_03_Head'
51,3011,スクラッパーセット\nラピスヘッジタイプ,3,11,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_03_Head.Tex_Com_RobotParts_03_Head'
52,3012,スクラッパーセット\nパ・フェクトタイプ,3,12,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_03_Head.Tex_Com_RobotParts_03_Head'
53,3013,スクラッパーセット\nエタニティタイプ,3,13,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_03_Head.Tex_Com_RobotParts_03_Head'
54,3014,スクラッパーセット\nオキサイドタイプ,3,14,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_03_Head.Tex_Com_RobotParts_03_Head'
55,3101,スクラッパーセット\n深森タイプ,3,101,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_03_Head.Tex_Com_RobotParts_03_Head'
56,3102,スクラッパーセット\n岩塊タイプ,3,102,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_03_Head.Tex_Com_RobotParts_03_Head'
57,3103,スクラッパーセット\n土漠タイプ,3,103,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_03_Head.Tex_Com_RobotParts_03_Head'
58,3104,スクラッパーセット\n青碧タイプ,3,104,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_03_Head.Tex_Com_RobotParts_03_Head'
59,3105,スクラッパーセット\n海響タイプ,3,105,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_03_Head.Tex_Com_RobotParts_03_Head'
60,3106,スクラッパーセット\n桜花タイプ,3,106,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_03_Head.Tex_Com_RobotParts_03_Head'
61,4001,サイトヘッドセット\nソリディアタイプ,4,1,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_04_Head.Tex_Com_RobotParts_04_Head'
62,4002,サイトヘッドセット\nカーディナルタイプ,4,2,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_04_Head.Tex_Com_RobotParts_04_Head'
63,4003,サイトヘッドセット\nスクラッパータイプ,4,3,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_04_Head.Tex_Com_RobotParts_04_Head'
64,4004,サイトヘッドセット\nサイトヘッドタイプ,4,4,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_04_Head.Tex_Com_RobotParts_04_Head'
65,4005,サイトヘッドセット\nシーユー・レイタータイプ,4,5,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_04_Head.Tex_Com_RobotParts_04_Head'
66,4006,サイトヘッドセット\nゴールテン・ダータイプ,4,6,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_04_Head.Tex_Com_RobotParts_04_Head'
67,4007,サイトヘッドセット\nアンゼロイタイプ,4,7,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_04_Head.Tex_Com_RobotParts_04_Head'
68,4008,サイトヘッドセット\nディスドスタイプ,4,8,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_04_Head.Tex_Com_RobotParts_04_Head'
69,4009,サイトヘッドセット\nサブライガタイプ,4,9,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_04_Head.Tex_Com_RobotParts_04_Head'
70,4010,サイトヘッドセット\nファルマコンタイプ,4,10,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_04_Head.Tex_Com_RobotParts_04_Head'
71,4011,サイトヘッドセット\nラピスヘッジタイプ,4,11,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_04_Head.Tex_Com_RobotParts_04_Head'
72,4012,サイトヘッドセット\nパ・フェクトタイプ,4,12,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_04_Head.Tex_Com_RobotParts_04_Head'
73,4013,サイトヘッドセット\nエタニティタイプ,4,13,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_04_Head.Tex_Com_RobotParts_04_Head'
74,4014,サイトヘッドセット\nオキサイドタイプ,4,14,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_04_Head.Tex_Com_RobotParts_04_Head'
75,4101,サイトヘッドセット\n深森タイプ,4,101,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_04_Head.Tex_Com_RobotParts_04_Head'
76,4102,サイトヘッドセット\n岩塊タイプ,4,102,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_04_Head.Tex_Com_RobotParts_04_Head'
77,4103,サイトヘッドセット\n土漠タイプ,4,103,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_04_Head.Tex_Com_RobotParts_04_Head'
78,4104,サイトヘッドセット\n青碧タイプ,4,104,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_04_Head.Tex_Com_RobotParts_04_Head'
79,4105,サイトヘッドセット\n海響タイプ,4,105,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_04_Head.Tex_Com_RobotParts_04_Head'
80,4106,サイトヘッドセット\n桜花タイプ,4,106,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_04_Head.Tex_Com_RobotParts_04_Head'
81,5001,シーユー・レイターセット\nソリディアタイプ,5,1,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_05_Head.Tex_Com_RobotParts_05_Head'
82,5002,シーユー・レイターセット\nカーディナルタイプ,5,2,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_05_Head.Tex_Com_RobotParts_05_Head'
83,5003,シーユー・レイターセット\nスクラッパータイプ,5,3,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_05_Head.Tex_Com_RobotParts_05_Head'
84,5004,シーユー・レイターセット\nサイトヘッドタイプ,5,4,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_05_Head.Tex_Com_RobotParts_05_Head'
85,5005,シーユー・レイターセット\nシーユー・レイタータイプ,5,5,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_05_Head.Tex_Com_RobotParts_05_Head'
86,5006,シーユー・レイターセット\nゴールテン・ダータイプ,5,6,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_05_Head.Tex_Com_RobotParts_05_Head'
87,5007,シーユー・レイターセット\nアンゼロイタイプ,5,7,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_05_Head.Tex_Com_RobotParts_05_Head'
88,5008,シーユー・レイターセット\nディスドスタイプ,5,8,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_05_Head.Tex_Com_RobotParts_05_Head'
89,5009,シーユー・レイターセット\nサブライガタイプ,5,9,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_05_Head.Tex_Com_RobotParts_05_Head'
90,5010,シーユー・レイターセット\nファルマコンタイプ,5,10,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_05_Head.Tex_Com_RobotParts_05_Head'
91,5011,シーユー・レイターセット\nラピスヘッジタイプ,5,11,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_05_Head.Tex_Com_RobotParts_05_Head'
92,5012,シーユー・レイターセット\nパ・フェクトタイプ,5,12,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_05_Head.Tex_Com_RobotParts_05_Head'
93,5013,シーユー・レイターセット\nエタニティタイプ,5,13,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_05_Head.Tex_Com_RobotParts_05_Head'
94,5014,シーユー・レイターセット\nオキサイドタイプ,5,14,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_05_Head.Tex_Com_RobotParts_05_Head'
95,5101,シーユー・レイターセット\n深森タイプ,5,101,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_05_Head.Tex_Com_RobotParts_05_Head'
96,5102,シーユー・レイターセット\n岩塊タイプ,5,102,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_05_Head.Tex_Com_RobotParts_05_Head'
97,5103,シーユー・レイターセット\n土漠タイプ,5,103,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_05_Head.Tex_Com_RobotParts_05_Head'
98,5104,シーユー・レイターセット\n青碧タイプ,5,104,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_05_Head.Tex_Com_RobotParts_05_Head'
99,5105,シーユー・レイターセット\n海響タイプ,5,105,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_05_Head.Tex_Com_RobotParts_05_Head'
100,5106,シーユー・レイターセット\n桜花タイプ,5,106,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_05_Head.Tex_Com_RobotParts_05_Head'
101,6001,ゴールテン・ダーセット\nソリディアタイプ,6,1,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_06_Head.Tex_Com_RobotParts_06_Head'
102,6002,ゴールテン・ダーセット\nカーディナルタイプ,6,2,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_06_Head.Tex_Com_RobotParts_06_Head'
103,6003,ゴールテン・ダーセット\nスクラッパータイプ,6,3,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_06_Head.Tex_Com_RobotParts_06_Head'
104,6004,ゴールテン・ダーセット\nサイトヘッドタイプ,6,4,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_06_Head.Tex_Com_RobotParts_06_Head'
105,6005,ゴールテン・ダーセット\nシーユー・レイタータイプ,6,5,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_06_Head.Tex_Com_RobotParts_06_Head'
106,6006,ゴールテン・ダーセット\nゴールテン・ダータイプ,6,6,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_06_Head.Tex_Com_RobotParts_06_Head'
107,6007,ゴールテン・ダーセット\nアンゼロイタイプ,6,7,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_06_Head.Tex_Com_RobotParts_06_Head'
108,6008,ゴールテン・ダーセット\nディスドスタイプ,6,8,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_06_Head.Tex_Com_RobotParts_06_Head'
109,6009,ゴールテン・ダーセット\nサブライガタイプ,6,9,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_06_Head.Tex_Com_RobotParts_06_Head'
110,6010,ゴールテン・ダーセット\nファルマコンタイプ,6,10,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_06_Head.Tex_Com_RobotParts_06_Head'
111,6011,ゴールテン・ダーセット\nラピスヘッジタイプ,6,11,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_06_Head.Tex_Com_RobotParts_06_Head'
112,6012,ゴールテン・ダーセット\nパ・フェクトタイプ,6,12,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_06_Head.Tex_Com_RobotParts_06_Head'
113,6013,ゴールテン・ダーセット\nエタニティタイプ,6,13,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_06_Head.Tex_Com_RobotParts_06_Head'
114,6014,ゴールテン・ダーセット\nオキサイドタイプ,6,14,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_06_Head.Tex_Com_RobotParts_06_Head'
115,6101,ゴールテン・ダーセット\n深森タイプ,6,101,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_06_Head.Tex_Com_RobotParts_06_Head'
116,6102,ゴールテン・ダーセット\n岩塊タイプ,6,102,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_06_Head.Tex_Com_RobotParts_06_Head'
117,6103,ゴールテン・ダーセット\n土漠タイプ,6,103,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_06_Head.Tex_Com_RobotParts_06_Head'
118,6104,ゴールテン・ダーセット\n青碧タイプ,6,104,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_06_Head.Tex_Com_RobotParts_06_Head'
119,6105,ゴールテン・ダーセット\n海響タイプ,6,105,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_06_Head.Tex_Com_RobotParts_06_Head'
120,6106,ゴールテン・ダーセット\n桜花タイプ,6,106,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_06_Head.Tex_Com_RobotParts_06_Head'
121,7001,アンゼロイセット\nソリディアタイプ,7,1,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_07_Head.Tex_Com_RobotParts_07_Head'
122,7002,アンゼロイセット\nカーディナルタイプ,7,2,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_07_Head.Tex_Com_RobotParts_07_Head'
123,7003,アンゼロイセット\nスクラッパータイプ,7,3,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_07_Head.Tex_Com_RobotParts_07_Head'
124,7004,アンゼロイセット\nサイトヘッドタイプ,7,4,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_07_Head.Tex_Com_RobotParts_07_Head'
125,7005,アンゼロイセット\nシーユー・レイタータイプ,7,5,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_07_Head.Tex_Com_RobotParts_07_Head'
126,7006,アンゼロイセット\nゴールテン・ダータイプ,7,6,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_07_Head.Tex_Com_RobotParts_07_Head'
127,7007,アンゼロイセット\nアンゼロイタイプ,7,7,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_07_Head.Tex_Com_RobotParts_07_Head'
128,7008,アンゼロイセット\nディスドスタイプ,7,8,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_07_Head.Tex_Com_RobotParts_07_Head'
129,7009,アンゼロイセット\nサブライガタイプ,7,9,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_07_Head.Tex_Com_RobotParts_07_Head'
130,7010,アンゼロイセット\nファルマコンタイプ,7,10,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_07_Head.Tex_Com_RobotParts_07_Head'
131,7011,アンゼロイセット\nラピスヘッジタイプ,7,11,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_07_Head.Tex_Com_RobotParts_07_Head'
132,7012,アンゼロイセット\nパ・フェクトタイプ,7,12,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_07_Head.Tex_Com_RobotParts_07_Head'
133,7013,アンゼロイセット\nエタニティタイプ,7,13,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_07_Head.Tex_Com_RobotParts_07_Head'
134,7014,アンゼロイセット\nオキサイドタイプ,7,14,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_07_Head.Tex_Com_RobotParts_07_Head'
135,7101,アンゼロイセット\n深森タイプ,7,101,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_07_Head.Tex_Com_RobotParts_07_Head'
136,7102,アンゼロイセット\n岩塊タイプ,7,102,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_07_Head.Tex_Com_RobotParts_07_Head'
137,7103,アンゼロイセット\n土漠タイプ,7,103,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_07_Head.Tex_Com_RobotParts_07_Head'
138,7104,アンゼロイセット\n青碧タイプ,7,104,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_07_Head.Tex_Com_RobotParts_07_Head'
139,7105,アンゼロイセット\n海響タイプ,7,105,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_07_Head.Tex_Com_RobotParts_07_Head'
140,7106,アンゼロイセット\n桜花タイプ,7,106,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_07_Head.Tex_Com_RobotParts_07_Head'
141,8001,ディスドスセット\nソリディアタイプ,8,1,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_08_Head.Tex_Com_RobotParts_08_Head'
142,8002,ディスドスセット\nカーディナルタイプ,8,2,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_08_Head.Tex_Com_RobotParts_08_Head'
143,8003,ディスドスセット\nスクラッパータイプ,8,3,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_08_Head.Tex_Com_RobotParts_08_Head'
144,8004,ディスドスセット\nサイトヘッドタイプ,8,4,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_08_Head.Tex_Com_RobotParts_08_Head'
145,8005,ディスドスセット\nシーユー・レイタータイプ,8,5,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_08_Head.Tex_Com_RobotParts_08_Head'
146,8006,ディスドスセット\nゴールテン・ダータイプ,8,6,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_08_Head.Tex_Com_RobotParts_08_Head'
147,8007,ディスドスセット\nアンゼロイタイプ,8,7,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_08_Head.Tex_Com_RobotParts_08_Head'
148,8008,ディスドスセット\nディスドスタイプ,8,8,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_08_Head.Tex_Com_RobotParts_08_Head'
149,8009,ディスドスセット\nサブライガタイプ,8,9,Texture2D'/Game/GUI/Common/Tex/RobotParts/Tex_Com_RobotParts_08_Head.Tex_Com_RobotParts_08_Head'
