---,BuddyID,InitialIntimacyLevel,InitialIntimacyRank,InitialIntimacyVal,RequiredIntimacyVal
469,5,73,4,108000,111000
470,5,74,4,111000,114000
471,5,75,4,114000,117000
472,5,76,4,117000,120000
473,5,77,4,120000,123000
474,5,78,4,123000,126000
475,5,79,4,126000,129000
476,5,80,4,129000,133000
477,5,81,4,133000,137000
478,5,82,4,137000,141000
479,5,83,4,141000,145000
480,5,84,4,145000,149000
481,5,85,4,149000,153000
482,5,86,4,153000,157000
483,5,87,4,157000,161000
484,5,88,4,161000,165000
485,5,89,4,165000,169000
486,5,90,4,169000,174000
487,5,91,4,174000,179000
488,5,92,4,179000,184000
489,5,93,4,184000,189000
490,5,94,4,189000,194000
491,5,95,4,194000,199000
492,5,96,4,199000,204000
493,5,97,4,204000,209000
494,5,98,4,209000,214000
495,5,99,4,214000,999999
496,6,1,1,0,500
497,6,2,1,500,1000
498,6,3,1,1000,1500
499,6,4,2,1500,2000
500,6,5,2,2000,2500
501,6,6,2,2500,3000
502,6,7,2,3000,3500
503,6,8,2,3500,4000
504,6,9,2,4000,4500
505,6,10,2,4500,5000
506,6,11,2,5000,5500
507,6,12,3,5500,6000
508,6,13,3,6000,6500
509,6,14,3,6500,7000
510,6,15,3,7000,7500
511,6,16,3,7500,8000
512,6,17,3,8000,8500
513,6,18,3,8500,9000
514,6,19,3,9000,9500
515,6,20,4,9500,10000
516,6,21,4,10000,11000
517,6,22,4,11000,12000
518,6,23,4,12000,13000
519,6,24,4,13000,14000
520,6,25,4,14000,15000
521,6,26,4,15000,16000
522,6,27,4,16000,17000
523,6,28,4,17000,18000
524,6,29,4,18000,19000
525,6,30,4,19000,20000
526,6,31,4,20000,21000
527,6,32,4,21000,22000
528,6,33,4,22000,23000
529,6,34,4,23000,24000
530,6,35,4,24000,25000
531,6,36,4,25000,26000
532,6,37,4,26000,27000
533,6,38,4,27000,28000
534,6,39,4,28000,29000
535,6,40,4,29000,31000
536,6,41,4,31000,33000
537,6,42,4,33000,35000
538,6,43,4,35000,37000
539,6,44,4,37000,39000
540,6,45,4,39000,41000
541,6,46,4,41000,43000
542,6,47,4,43000,45000
543,6,48,4,45000,47000
544,6,49,4,47000,49000
545,6,50,4,49000,51000
546,6,51,4,51000,53000
547,6,52,4,53000,55000
548,6,53,4,55000,57000
549,6,54,4,57000,59000
550,6,55,4,59000,61000
551,6,56,4,61000,63000
552,6,57,4,63000,65000
553,6,58,4,65000,67000
554,6,59,4,67000,69000
555,6,60,4,69000,72000
556,6,61,4,72000,75000
557,6,62,4,75000,78000
558,6,63,4,78000,81000
559,6,64,4,81000,84000
560,6,65,4,84000,87000
561,6,66,4,87000,90000
562,6,67,4,90000,93000
563,6,68,4,93000,96000
564,6,69,4,96000,99000
565,6,70,4,99000,102000
566,6,71,4,102000,105000
567,6,72,4,105000,108000
568,6,73,4,108000,111000
569,6,74,4,111000,114000
570,6,75,4,114000,117000
571,6,76,4,117000,120000
572,6,77,4,120000,123000
573,6,78,4,123000,126000
574,6,79,4,126000,129000
575,6,80,4,129000,133000
576,6,81,4,133000,137000
577,6,82,4,137000,141000
578,6,83,4,141000,145000
579,6,84,4,145000,149000
580,6,85,4,149000,153000
581,6,86,4,153000,157000
582,6,87,4,157000,161000
583,6,88,4,161000,165000
584,6,89,4,165000,169000
585,6,90,4,169000,174000
586,6,91,4,174000,179000
587,6,92,4,179000,184000
588,6,93,4,184000,189000
589,6,94,4,189000,194000
590,6,95,4,194000,199000
591,6,96,4,199000,204000
592,6,97,4,204000,209000
593,6,98,4,209000,214000
594,6,99,4,214000,999999
