---,MinMoveTime,MaxMoveTime,EnableTargetRange,BoostGaugeDecStart,BoostGaugeDecDuration,BrakeRange,BrakeRate,BrakeMinSpeed,EnableVirtualWall,VirtualWallBrakeRange,EndFriction,InitSpeed,InitSpeedUseType,LimitSpeed,LimitSpeedArrivalTime,LimitSpeedArrivalEaseType,LimitSpeedArrivalEaseExp,MoveOffset,IgnorePitchMoveOffset,UpdateMoveOffset,BasisSelfMoveOffset,BasisSelfDirectionMoveOffset,UseControllerMoveOffset,HorizontalInitTurnSpeed,HorizontalLimitTurnSpeed,HorizontalLimitTurnSpeedArrivalTime,VerticalInitTurnSpeed,VerticalLimitTurnSpeed,VerticalLimitTurnSpeedArrivalTime,HorizontalDirectionOffset,VerticalDirectionOffset,DirectionOffsetTime,DirectionOffsetEaseType,DirectionOffsetEaseExp,HorizontalPrefetchingSec,VerticalPrefetchingSec,LookAtOffset,IgnorePitchLookAtOffset,UpdateLookAtOffset,HorizontalLookAtInitTurnSpeed,HorizontalLookAtLimitTurnSpeed,HorizontalLookAtLimitTurnSpeedArrivalTime,VerticalLookAtInitTurnSpeed,VerticalLookAtLimitTurnSpeed,VerticalLookAtLimitTurnSpeedArrivalTime,BestRange,BestMag
GrapMove_BeamSickle_Homing,0.4,0.75,1000,0,-40,500,0.1,0,False,0,2,12000,AbsImpact,14000,0.5,EaseIn,1,"(X=-700,Y=0,Z=0)",False,True,False,False,True,180,50,2,180,50,2,0,0,1,Linear,0,0.1,0.1,"(X=0,Y=0,Z=0)",False,False,180,50,1,360,50,2,0,0
GrapMove_BeamSickle_Grap01,0,0,0,0,-40,500,0.1,0,False,0,1,9000,Inherit,6000,0.3,Linear,0,"(X=0,Y=0,Z=0)",False,False,False,False,True,0,0,1,0,0,1,0,0,0,Linear,0,0.1,0.1,"(X=0,Y=0,Z=0)",False,False,0,0,1,0,0,1,0,0
GrapMove_Lance_StandBy,0.3,0.3,0,-100,-40,300,0,0,False,0,10,0,Inherit,3000,0.3,Linear,0,"(X=-2000,Y=0,Z=0)",False,False,True,False,True,5,5,1,5,5,1,0,0,0,Linear,0,0,0,"(X=0,Y=0,Z=0)",False,False,60,180,1,60,180,1,0,0
GrapMove_Lance_Homing,0.5,0.8,200,0,-40,100,0.1,1000,False,0,2,13500,AbsImpact,12000,0.5,Linear,0,"(X=100000,Y=0,Z=0)",False,True,False,False,True,180,50,1,180,50,1,0,0,1,Linear,0,0,0,"(X=0,Y=0,Z=0)",False,False,180,50,1,100,100,1,0,0
GrapMove_Lance_Grap01,0.5,2,0,0,-40,0,0,0,False,0,2,4000,AbsImpact,1000,1,Linear,0,"(X=100000,Y=0,Z=0)",False,False,False,True,True,180,180,1,180,180,1,0,0,0,Linear,0,0,0,"(X=100000,Y=0,Z=0)",False,False,180,180,1,180,180,1,0,0
GrapMove_Lance_Grap02,0,0.1,0,0,-40,0,0,0,False,0,1,5000,AbsImpact,0,1,Linear,0,"(X=100000,Y=0,Z=0)",True,False,False,True,True,0,0,1,60,60,1,0,0,0,Linear,0,0,0,"(X=100000,Y=0,Z=0)",True,False,0,0,1,60,60,1,0,0
GrapMove_Lance_Miss,0.2,0.2,0,0,-40,0,0,0,False,0,10,12000,Inherit,3000,0.5,Linear,0,"(X=0,Y=0,Z=0)",False,False,False,True,True,0,0,1,0,0,1,0,0,0,Linear,0,0,0,"(X=0,Y=0,Z=0)",False,False,0,0,1,0,0,1,0,0
GrapMove_Whip_StardBy,0,0,100,-100,-40,0,0,0,False,0,2,0,Inherit,0,0,Linear,0,"(X=0,Y=0,Z=0)",False,False,False,False,True,0,0,0,0,0,0,0,0,0,Linear,0,0,0,"(X=0,Y=0,Z=0)",False,False,0,0,0,0,0,0,0,0
GrapMove_Whip_Grap01,0,0,100,0,-40,0,0,0,False,0,2,0,Inherit,0,0,Linear,0,"(X=0,Y=0,Z=0)",False,False,False,False,True,0,0,0,0,0,0,0,0,0,Linear,0,0,0,"(X=0,Y=0,Z=0)",False,False,0,0,0,0,0,0,0,0
GrapMove_TwinSword_StandBy_R,0.5,1,0,-100,-40,0,0,0,False,0,2,0,Inherit,0,0.5,Linear,0,"(X=-300,Y=-400,Z=0)",False,True,False,False,True,180,180,1,360,360,1,0,0,0,Linear,0,0,0,"(X=-300,Y=-400,Z=0)",False,True,180,180,1,360,360,1,0,0
GrapMove_TwinSword_Homing_R,0.2,0.65,1000,0,-40,100,0.1,1000,False,0,2,13500,AbsImpact,13500,0,Linear,0,"(X=-300,Y=-400,Z=0)",False,True,False,False,True,180,50,2,360,50,2,0,0,1,Linear,0,0.1,0.1,"(X=-300,Y=-400,Z=0)",False,True,180,50,1,360,50,2,0,0
GrapMove_TwinSword_Grap_R01,0,0.3,100,0,-40,3,0.5,0,False,0,5,12000,AbsImpact,6000,0.2,Linear,0,"(X=2000,Y=0,Z=0)",False,False,False,True,True,100,100,1,100,100,1,0,0,0,Linear,0,0.1,0.1,"(X=2000,Y=-1000,Z=0)",False,False,100,100,1,100,100,1,0,0
GrapMove_TwinSword_Grap_R02_Wait,0,0.05,100,0,-40,0,0,0,False,0,10,0,AbsImpact,0,0.1,Linear,0,"(X=0,Y=0,Z=0)",False,False,False,False,True,100,100,1,100,100,1,0,0,0,Linear,0,0,0,"(X=0,Y=0,Z=0)",False,False,100,100,1,100,100,1,0,0
GrapMove_TwinSword_Grap_R02,0,0.3,100,0,-40,500,0.5,0,False,0,5,12000,AbsImpact,6000,0.2,Linear,0,"(X=2000,Y=0,Z=1000)",True,False,False,False,True,600,100,1,600,100,1,0,0,0,Linear,0,0,0,"(X=2000,Y=0,Z=1000)",True,False,600,100,1,600,100,1,0,0
GrapMove_TwinSword_Grap_R03_Wait,0,0.2,0,0,-40,0,0,0,False,0,10,0,AbsImpact,0,0.1,Linear,0,"(X=0,Y=0,Z=0)",False,False,False,False,True,100,100,1,100,100,1,0,0,0,Linear,0,0,0,"(X=0,Y=0,Z=0)",False,False,100,100,1,100,100,1,0,0
GrapMove_TwinSword_Grap_R03,0,0.3,100,0,-40,300,0,0,False,0,10,10000,AbsImpact,0,1,Linear,0,"(X=2000,Y=800,Z=-1000)",True,False,False,False,True,600,100,1,600,100,1,0,0,0,Linear,0,0,0,"(X=2000,Y=800,Z=-1000)",True,False,600,100,1,600,100,1,0,0
GrapMove_TwinSword_Grap_R04_Wait,0,0.2,0,0,-40,0,0,0,False,0,10,0,AbsImpact,0,0.1,Linear,0,"(X=0,Y=0,Z=0)",False,False,False,False,True,100,100,1,100,100,1,0,0,0,Linear,0,0,0,"(X=0,Y=0,Z=0)",False,False,100,100,1,100,100,1,0,0
GrapMove_TwinSword_Grap_R04,0,0.1,100,0,-40,300,0,0,False,0,10,10000,AbsImpact,0,0.2,Linear,0,"(X=-300,Y=0,Z=0)",True,False,False,False,True,600,600,1,600,600,1,0,0,0,Linear,0,0,0,"(X=0,Y=0,Z=0)",True,False,100,100,1,0,0,1,0,0
GrapMove_TwinSword_Grap_R05,0,0.5,100,0,-40,1000,0,0,False,0,10,8000,AbsImpact,0,0.5,Linear,0,"(X=-350,Y=0,Z=600)",True,True,False,False,True,10000,50,0.1,10000,50,0.1,0,0,0,Linear,0,0,0,"(X=0,Y=0,Z=0)",True,False,600,0,0.1,600,0,0.1,0,0
GrapMove_TwinSword_End_R,0.2,0.3,0,0,-40,0,0,0,False,0,2,5000,AbsImpact,0,0.3,EaseOut,0,"(X=0,Y=0,Z=5000)",True,False,True,False,True,0,0,1,18000,18000,1,0,0,0,Linear,0,0,0,"(X=1000,Y=0,Z=0)",True,False,0,0,1,0,0,1,0,0
GrapMove_TwinSword_StandBy_L,0,0,0,-100,-40,0,0,0,False,0,2,0,Inherit,0,0.5,Linear,0,"(X=0,Y=0,Z=0)",False,False,False,False,True,0,0,1,0,0,1,0,0,0,Linear,0,0,0,"(X=0,Y=0,Z=0)",False,False,180,180,1,360,360,1,0,0
GrapMove_TwinSword_Homing_L01_R,0.1,0.1,0,0,-40,0,0.1,0,True,2000,2,11000,AbsImpact,11000,0,Linear,0,"(X=-500,Y=0,Z=100)",True,False,False,False,True,30,30,1,30,30,1,65,0,1,Linear,0,0,0,"(X=0,Y=0,Z=0)",False,False,180,180,1,360,50,2,0,0
GrapMove_TwinSword_Homing_L01_L,0.1,0.1,0,0,-40,0,0.1,0,True,2000,2,11000,AbsImpact,11000,0,Linear,0,"(X=-500,Y=0,Z=100)",True,False,False,False,True,30,30,1,30,30,1,-65,0,1,Linear,0,0,0,"(X=0,Y=0,Z=0)",False,False,180,180,1,360,50,2,0,0
GrapMove_TwinSword_Homing_L02_R,1,1.35,1000,0,-40,1000,0.1,0,False,0,2,0,Inherit,13500,0.6,Linear,0,"(X=-500,Y=0,Z=100)",True,True,False,False,True,0,60,0.5,0,60,0.5,0,0,0,Linear,0,0.1,0.1,"(X=0,Y=0,Z=0)",False,False,180,180,1,60,60,1,0,0
GrapMove_TwinSword_Homing_L02_L,1,1.35,1000,0,-40,1000,0.1,0,False,0,2,0,Inherit,13500,0.6,Linear,0,"(X=-500,Y=0,Z=100)",True,True,False,False,True,0,60,0.5,0,60,0.5,0,0,0,Linear,0,0.1,0.1,"(X=0,Y=0,Z=0)",False,False,180,180,1,60,60,1,0,0
GrapMove_TwinSword_Grap_L01_R,0.4,0.45,0,0,-40,1000,0,0,False,0,2,0,Inherit,4000,0.5,Linear,0,"(X=-500,Y=0,Z=100)",True,True,False,False,True,30,100,0.5,10,10,1,0,0,0,Linear,0,0,0,"(X=0,Y=0,Z=0)",False,False,180,180,1,180,180,1,0,0
GrapMove_TwinSword_Grap_L01_L,0.4,0.45,0,0,-40,1000,0,0,False,0,2,0,Inherit,4000,0.5,Linear,0,"(X=-500,Y=0,Z=100)",True,True,False,False,True,30,100,0.5,10,10,1,0,0,0,Linear,0,0,0,"(X=0,Y=0,Z=0)",False,False,180,180,1,180,180,1,0,0
GrapMove_TwinSword_Grap_L02,0,0,0,0,-40,0,0,0,False,0,1,0,Inherit,0,0.5,Linear,0,"(X=-500,Y=0,Z=100)",True,True,False,False,True,0,0,1,0,0,1,0,0,0,Linear,0,0,0,"(X=1000,Y=0,Z=0)",True,False,600,0,1,60,0,1,0,0
GrapMove_LargeSword_StandBy,0,0,800,-100,-40,0,0,0,False,0,2,0,Inherit,0,0.5,Linear,0,"(X=0,Y=0,Z=0)",False,False,False,False,True,0,100,0.2,0,100,0.2,0,0,0,Linear,0,0,0,"(X=0,Y=0,Z=0)",False,False,500,500,1,500,500,1,0,0
GrapMove_LargeSword_Homing,0.2,1,800,0,-40,100,0.5,1000,False,0,2,0,Inherit,14500,0.5,Linear,0,"(X=-600,Y=0,Z=0)",False,False,False,False,True,0,150,0.5,0,150,0.5,0,0,1,Linear,0,0,0,"(X=0,Y=0,Z=0)",False,False,180,50,1,360,50,2,0,0
GrapMove_LargeSword_Grap01,0,0.3,0,0,-40,500,0,0,False,0,2,12000,Impact,5000,0.2,Linear,0,"(X=0,Y=-1000,Z=0)",False,False,False,False,True,100,0,0.3,100,0,0.3,0,0,0,Linear,0,0,0,"(X=2000,Y=-1000,Z=0)",False,False,100,100,1,100,100,1,0,0
GrapMove_LargeSword_Grap02_1,0.5,0.5,0,0,-40,500,0,0,False,0,10,0,Inherit,6000,0.3,Linear,0,"(X=-800,Y=0,Z=-200)",True,True,False,False,True,0,15,1,0,15,0.7,0,0,0,Linear,0,0,0,"(X=500,Y=0,Z=-500)",True,False,0,600,0.2,0,100,0.5,0,0
GrapMove_LargeSword_Grap02_2,0,0.2,0,0,-40,500,0,0,False,0,2,10000,AbsImpact,5000,0.2,Linear,0,"(X=2000,Y=0,Z=2000)",True,True,False,False,True,1000,0,0.1,1000,0,0.1,0,0,0,Linear,0,0,0,"(X=2000,Y=0,Z=2000)",True,False,100,0,0.5,100,0,0.5,0,0
GrapMove_HammerCanon_StandBy_1,0.4,0.5,0,-100,-40,0,0,0,True,5000,10,0,Inherit,0,0.5,Linear,0,"(X=0,Y=0,Z=0)",True,False,False,False,False,50,90,0.5,50,130,0.5,0,0,0,Linear,0,0,0,"(X=0,Y=0,Z=0)",False,False,150,150,1,200,200,1,0,0
GrapMove_HammerCanon_Homing01,0.1,0.25,0,0,-40,1000,0,0,True,5000,0,8000,AbsImpact,11000,0.3,Linear,0,"(X=-1000,Y=0,Z=1000)",True,False,False,False,False,140,140,0.5,150,150,0.5,0,65,0.25,Linear,0,0,0,"(X=0,Y=0,Z=0)",False,False,150,150,1,180,180,1,0,0
GrapMove_HammerCanon_Homing02_1,0.1,0.3,1500,0,-40,0,0.01,0,True,5000,0,0,Inherit,10000,0.4,Linear,0,"(X=-500,Y=0,Z=0)",False,False,False,False,False,140,140,0.5,180,180,0.5,0,0,0,Linear,0,0.1,0.1,"(X=0,Y=0,Z=0)",False,False,130,130,1,230,230,1,0,0
GrapMove_HammerCanon_Grap01,0,0.4,0,0,-40,500,0.01,0,False,0,2,8000,Impact,3000,0.13,EaseIn,1,"(X=500,Y=0,Z=-500)",False,False,False,False,False,150,150,0.1,150,150,1,0,0,0,Linear,0,0.1,0.1,"(X=1000,Y=0,Z=-1000)",False,False,180,180,0.1,180,180,0.1,0,0
GrapMove_LargeBeamSaber_Grap_R01,0,0.2,0,-100,-40,0,0,0,False,0,1,0,Inherit,1000,0.1,Linear,0,"(X=0,Y=2000,Z=0)",False,False,True,False,True,0,70,0.2,0,70,0.2,0,0,0,Linear,0,0,0,"(X=0,Y=0,Z=0)",False,False,30,30,1,60,60,1,0,0
GrapMove_LargeBeamSaber_Grap_R02,0,0.2,0,0,-40,0,0,0,False,0,2,0,Inherit,1000,0.1,Linear,0,"(X=0,Y=-2000,Z=0)",False,False,True,False,True,0,70,0.2,0,70,0.2,0,0,0,Linear,0,0,0,"(X=0,Y=0,Z=0)",False,False,0,0,0.5,0,0,0.5,0,0
GrapMove_LargeBeamSaber_Grap_L01,0,0.2,0,-100,-40,0,0,0,False,0,1,0,Inherit,1000,0.1,Linear,0,"(X=0,Y=0,Z=-2000)",False,False,True,False,True,0,70,0.2,0,70,0.2,0,0,0,Linear,0,0,0,"(X=0,Y=0,Z=0)",False,False,180,60,1,60,60,0.5,0,0
GrapMove_LargeBeamSaber_Grap_L02,0,0.2,0,0,-40,0,0,0,False,0,2,0,Inherit,1000,0.1,Linear,0,"(X=0,Y=0,Z=2000)",False,False,True,False,True,0,70,0.2,0,70,0.2,0,0,0,Linear,0,0,0,"(X=0,Y=0,Z=0)",False,False,0,0,0.5,0,0,0.5,0,0
GrapMove_Pressure_01,0,0.2,0,-100,-40,0,0,0,False,0,1,0,Default,0,0.1,Linear,0,"(X=0,Y=2000,Z=0)",False,False,True,False,True,0,70,0.2,0,70,0.2,0,0,0,Linear,0,0,0,"(X=0,Y=0,Z=0)",False,False,60,60,1,60,60,1,0,0
GrapMove_MachineJack_01,0,0.2,0,-100,-100,0,0,0,False,0,1,0,Default,0,0.1,Linear,0,"(X=0,Y=2000,Z=0)",False,False,True,False,True,0,70,0.2,0,70,0.2,0,0,0,Linear,0,0,0,"(X=0,Y=0,Z=0)",False,False,60,60,1,60,60,1,0,0
GrapMove_MachineJack_02,0,0.2,0,0,0,0,0,0,False,0,1,0,Default,0,0.1,Linear,0,"(X=0,Y=2000,Z=0)",False,False,True,False,True,0,70,0.2,0,70,0.2,0,0,0,Linear,0,0,0,"(X=0,Y=0,Z=0)",False,False,60,60,1,60,60,1,0,0
GrapMove_LargeSword_L,0,0.2,0,0,0,0,0,0,False,0,1,0,Default,0,0.1,Linear,0,"(X=0,Y=2000,Z=0)",False,False,True,False,True,0,70,0.2,0,70,0.2,0,0,0,Linear,0,0,0,"(X=0,Y=0,Z=0)",False,False,60,60,1,60,60,1,0,0
GrapMove_Boss_LargeSword_StandBy,0,0,1500,0,-40,0,0,0,False,0,2,0,Inherit,0,0.5,Linear,0,"(X=0,Y=0,Z=0)",False,False,False,False,True,0,100,0.2,0,100,0.2,0,0,0,Linear,0,0,0,"(X=0,Y=0,Z=0)",False,False,500,500,1,500,500,1,0,0
GrapMove_Boss_LargeSword_Homing,0.9,1.7,1500,0,-40,100,0.1,1000,False,0,2,0,Inherit,19000,0.3,Linear,0,"(X=-500,Y=200,Z=0)",False,False,False,False,True,0,150,0.5,0,150,0.5,0,0,1,Linear,0,0,0,"(X=0,Y=0,Z=0)",False,False,180,50,1,360,50,2,0,0
GrapMove_Boss_LargeSword_Grap01,0,0.3,0,0,-40,500,0,0,False,0,2,12000,Impact,5000,0.2,Linear,0,"(X=0,Y=-1000,Z=0)",False,False,False,False,True,100,0,0.3,100,0,0.3,0,0,0,Linear,0,0,0,"(X=2000,Y=-1000,Z=0)",False,False,100,100,1,100,100,1,0,0
GrapMove_Boss_LargeSword_Grap02_1,0.5,0.5,0,0,-40,500,0,0,False,0,10,0,Inherit,6000,0.3,Linear,0,"(X=-800,Y=0,Z=-200)",True,True,False,False,True,0,15,1,0,15,0.7,0,0,0,Linear,0,0,0,"(X=500,Y=0,Z=-500)",True,False,0,600,0.2,0,100,0.5,0,0
GrapMove_Boss_LargeSword_Grap02_2,0,0.2,0,0,-40,500,0,0,False,0,2,10000,AbsImpact,5000,0.2,Linear,0,"(X=2000,Y=0,Z=2000)",True,True,False,False,True,1000,0,0.1,1000,0,0.1,0,0,0,Linear,0,0,0,"(X=2000,Y=0,Z=2000)",True,False,100,0,0.5,100,0,0.5,0,0
GrapMove_Boss_MachineJack_01,0,0.2,0,-100,-40,0,0,0,False,0,1,0,Default,0,0.1,Linear,0,"(X=0,Y=2000,Z=0)",False,False,True,False,True,0,70,0.2,0,70,0.2,0,0,0,Linear,0,0,0,"(X=0,Y=0,Z=0)",False,False,60,60,1,60,60,1,0,0
GrapMove_Lance2_StandBy,0.3,0.3,0,-500,0,300,0,0,False,0,10,0,Inherit,3000,0.3,Linear,0,"(X=-2000,Y=0,Z=0)",False,False,True,False,True,5,5,1,5,5,1,0,0,0,Linear,0,0,0,"(X=0,Y=0,Z=0)",False,False,60,180,1,60,180,1,0,0
GrapMove_Lance2_Homing,0.4,0.6,200,0,0,100,0.1,1000,False,0,2,26000,AbsImpact,18000,0.2,Linear,0,"(X=100000,Y=0,Z=0)",False,True,False,False,True,180,50,1,180,50,1,0,0,1,Linear,0,0,0,"(X=0,Y=0,Z=0)",False,False,180,50,1,100,100,1,0,0
GrapMove_Lance2_Grap01,0.5,3,0,0,0,0,0,0,False,0,2,4000,AbsImpact,1000,1,Linear,0,"(X=100000,Y=0,Z=0)",False,False,False,True,True,180,180,1,180,180,1,0,0,0,Linear,0,0,0,"(X=100000,Y=0,Z=0)",False,False,180,180,1,180,180,1,0,0
GrapMove_Lance2_Grap02,0,0.1,0,0,0,0,0,0,False,0,1,5000,AbsImpact,0,1,Linear,0,"(X=100000,Y=0,Z=0)",True,False,False,True,True,0,0,1,60,60,1,0,0,0,Linear,0,0,0,"(X=100000,Y=0,Z=0)",True,False,0,0,1,60,60,1,0,0
GrapMove_Lance2_Miss,0.2,0.2,0,0,0,0,0,0,False,0,10,10000,Inherit,4500,0.1,Linear,0,"(X=0,Y=0,Z=0)",False,False,False,True,True,0,0,1,0,0,1,0,0,0,Linear,0,0,0,"(X=0,Y=0,Z=0)",False,False,0,0,1,0,0,1,0,0
GrapMove_Skill_Pressure_01,0,0.2,0,-100,-40,0,0,0,False,0,1,0,Default,0,0.1,Linear,0,"(X=0,Y=2000,Z=0)",False,False,True,False,True,0,70,0.2,0,70,0.2,0,0,0,Linear,0,0,0,"(X=0,Y=0,Z=0)",False,False,60,60,1,60,60,1,0,0
Empty_2on,0,0,100,0,0,0,0,0,False,0,0,0,Default,0,0,Linear,0,"(X=0,Y=0,Z=0)",False,False,False,False,True,0,0,0,0,0,0,0,0,0,Linear,0,0,0,"(X=0,Y=0,Z=0)",False,False,0,0,0,0,0,0,0,0
GrapMove_BeamSaber_StandBy_2on,0.5,1,0,-100,-40,0,0,0,False,0,2,0,Inherit,2000,0.5,Linear,0,"(X=-500,Y=200,Z=0)",False,False,False,False,True,0,90,1,0,180,1,0,0,0,Linear,0,0,0,"(X=0,Y=0,Z=0)",False,False,180,180,1,360,360,1,0,0
GrapMove_BeamSaber_Homing_2on,0.2,0.8,1000,0,-40,100,0.1,1000,False,0,2,14500,AbsImpact,14500,0.5,Linear,0,"(X=-500,Y=200,Z=0)",False,False,False,False,True,180,50,2,360,50,2,0,0,1,Linear,0,0,0,"(X=0,Y=0,Z=0)",False,False,180,50,1,360,50,2,0,0
GrapMove_BeamSaber_Grap01_2on,0,0.5,200,0,-40,300,0,0,False,0,10,14500,AbsImpact,6000,0.3,Linear,0,"(X=-100,Y=-400,Z=0)",False,False,False,False,True,100,100,1,100,100,1,0,0,0,Linear,0,0,0,"(X=0,Y=0,Z=0)",False,False,100,100,1,100,100,1,0,0
GrapMove_BeamSaber_Grap02_2on,0,0.3,50,0,-40,300,0,0,False,0,10,0,AbsImpact,6000,0.3,Linear,0,"(X=-300,Y=300,Z=0)",False,False,False,False,True,100,100,1,100,100,1,0,0,0,Linear,0,0,0,"(X=0,Y=0,Z=0)",False,False,100,100,1,100,100,1,0,0
GrapMove_BeamSaber_Grap03_1_2on,0,1,10,0,-40,300,0,0,False,0,10,4000,AbsImpact,4000,0.2,Linear,0,"(X=-200,Y=0,Z=500)",True,True,False,False,True,100,100,1,100,100,1,0,0,0,Linear,0,0,0,"(X=0,Y=0,Z=0)",False,False,100,100,1,100,100,1,0,0
GrapMove_BeamSaber_Grap03_2_2on,0,0.1,50,0,-40,0,0,0,False,0,3,6000,AbsImpact,6000,0.1,Linear,0,"(X=1500,Y=0,Z=-1500)",True,False,False,False,True,100,100,0.1,100,100,0.1,0,0,0,Linear,0,0,0,"(X=5000,Y=0,Z=0)",True,True,100,100,1,100,100,1,0,0
GrapMove_BeamSaber_Lost_2on,0,0.1,50,0,-40,0,0,0,False,0,2,6000,AbsImpact,0,0.2,Linear,0,"(X=0,Y=0,Z=0)",False,False,False,False,True,0,0,0,0,0,0,0,0,0,Linear,0,0,0,"(X=0,Y=0,Z=0)",False,False,100,100,1,100,100,1,0,0
GrapMove_Anchor_2on,0,3,2000,0,0,0,0,0,False,0,0,12000,AbsImpact,12000,1,Linear,0,"(X=0,Y=0,Z=0)",False,False,False,False,True,0,0,0,0,0,0,0,0,0,Linear,0,0,0,"(X=0,Y=0,Z=0)",False,False,0,0,0,0,0,1,0,0
GrapMove_BeamSickle_StandBy_2on,0.5,1,0,-100,-40,500,0,0,False,0,0,0,Inherit,0,1,Linear,0,"(X=-700,Y=0,Z=0)",False,True,False,False,True,0,90,1,0,180,1,0,0,0,Linear,0,0,0,"(X=0,Y=0,Z=0)",False,False,180,180,1,360,360,1,0,0
GrapMove_BeamSickle_Homing_2on,0.3,0.65,1000,0,-40,500,0.1,0,False,0,2,16000,AbsImpact,17000,0.5,EaseIn,1,"(X=-700,Y=0,Z=0)",False,True,False,False,True,180,50,2,180,50,2,0,0,1,Linear,0,0.1,0.1,"(X=0,Y=0,Z=0)",False,False,180,50,1,360,50,2,0,0
GrapMove_BeamSickle_Grap01_2on,0,0,0,0,-40,500,0.1,0,False,0,1,16000,Inherit,8000,0.3,Linear,0,"(X=0,Y=0,Z=0)",False,False,False,False,True,0,0,1,0,0,1,0,0,0,Linear,0,0.1,0.1,"(X=0,Y=0,Z=0)",False,False,0,0,1,0,0,1,0,0
