---,GachaId,RewardId,RewardName,GachaRealityId,Weight,Rate,ExchangeRewardId1,ExchangeRewardId2
63,201,6010028,スターフレーム,1,1,0.942857142857143,1000020,9000005
64,201,6020031,フェニックス,1,1,0.942857142857143,1000020,9000005
65,201,6020038,スネークヘッド,1,1,0.942857142857143,1000020,9000005
66,201,6020060,アイスクリスタル,1,1,0.942857142857143,1000020,9000005
67,201,6020078,ハートキー,1,1,0.942857142857143,1000020,9000005
68,201,6030022,アングリー,1,1,0.942857142857143,1000020,9000005
69,201,6030041,マインドライト,1,1,0.942857142857143,1000020,9000005
70,201,6030063,ひび割れハート,1,1,0.942857142857143,1000020,9000005
71,201,6030069,効果A,1,1,0.942857142857143,1000020,9000005
72,201,6010017,サーマルスクウェア,1,1,0.942857142857143,1000020,9000005
73,201,6010025,チェーンフレーム,1,1,0.942857142857143,1000020,9000005
74,201,6020050,ドルフィン,1,1,0.942857142857143,1000020,9000005
75,201,6020064,フローズン,1,1,0.942857142857143,1000020,9000005
76,201,6020076,ザ・マスク,1,1,0.942857142857143,1000020,9000005
77,201,6020079,ツインベル,1,1,0.942857142857143,1000020,9000005
78,201,6030004,バーニング,1,1,0.942857142857143,1000020,9000005
79,201,6030026,ダブルスター,1,1,0.942857142857143,1000020,9000005
80,201,6030058,シャイニングスター,1,1,0.942857142857143,1000020,9000005
81,201,6030073,リーパーサイス,1,1,0.942857142857143,1000020,9000005
82,201,3000004,グレイン-AS,2,1,1.26086956521739,1000030,9000005
83,201,3000035,ミトラーム,2,1,1.26086956521739,1000030,9000005
84,201,3000072,グルナード,2,1,1.26086956521739,1000030,9000005
85,201,3000042,ブランキアル,2,1,1.26086956521739,1000030,9000005
86,201,3000063,ファイアサイス,2,1,1.26086956521739,1000030,9000005
87,201,3000107,グレイスピラ,2,1,1.26086956521739,1000030,9000005
88,201,3000076,ボンバルド,2,1,1.26086956521739,1000030,9000005
89,201,3000125,インパルスショット,3,1,0.470588235294118,1000030,9000005
90,201,3000020,機関砲 騎神,3,1,0.470588235294118,1000030,9000005
91,201,3000100,ターレットMI,3,1,0.470588235294118,1000030,9000005
92,201,3000122,単装導弾 三皇,3,1,0.470588235294118,1000030,9000005
93,201,3000030,エスプロジオ,3,1,0.470588235294118,1000030,9000005
94,201,3000131,ディオグラント,3,1,0.470588235294118,1000030,9000005
95,201,3000033,爆撃砲 龍星,4,1,0.666666666666667,1000030,9000005
96,201,3000206,マーノムガン-AS,4,1,0.666666666666667,1000030,9000005
97,201,3000141,レイスレイヴ Xt-A,4,1,0.666666666666667,1000030,9000005
98,201,3000113,グラン・ラーゴ,4,1,0.666666666666667,1000030,9000005
99,201,3000067,ブレードジップ,2,1,1.26086956521739,1000030,9000005
100,201,3000069,ブラックスミス,2,1,1.26086956521739,1000030,9000005
101,201,3000012,ミトライユ・コルト,2,1,1.26086956521739,1000030,9000005
102,201,3000120,ディトーレ,2,1,1.26086956521739,1000030,9000005
103,201,3000128,烈火弾 煉獄,2,1,1.26086956521739,1000030,9000005
104,201,3000023,拳銃 月牙,2,1,1.26086956521739,1000030,9000005
105,201,3000060,ブーメラング,2,1,1.26086956521739,1000030,9000005
106,201,3000080,バースト・ボム,2,1,1.26086956521739,1000030,9000005
107,201,3000053,マーノムガン,3,1,0.470588235294118,1000030,9000005
108,201,3000065,飛翔拳 双天,3,1,0.470588235294118,1000030,9000005
109,201,3000024,火炎砲 散華,3,1,0.470588235294118,1000030,9000005
110,201,3000017,デ・ディヴァルガン,3,1,0.470588235294118,1000030,9000005
111,201,3000013,ブリリオン,3,1,0.470588235294118,1000030,9000005
112,201,3000202,多連装導弾 冥鎚,4,1,0.666666666666667,1000030,9000005
113,201,3000134,電導弾 虚無,4,1,0.666666666666667,1000030,9000005
114,201,3000142,レイスレイヴ Xt-V,4,1,0.666666666666667,1000030,9000005
115,201,3000143,フォルツパレット,4,1,0.666666666666667,1000030,9000005
116,201,3000038,エステジオン・ボム,2,1,1.26086956521739,1000030,9000005
117,201,3000097,シールドヴァイト,2,1,1.26086956521739,1000030,9000005
118,201,3000064,デトネイトランス,2,1,1.26086956521739,1000030,9000005
119,201,3000119,グレイン-SP,2,1,1.26086956521739,1000030,9000005
120,201,3000019,フォルツァ-Ａ,2,1,1.26086956521739,1000030,9000005
121,201,3000078,ジャメル,2,1,1.26086956521739,1000030,9000005
122,201,3000085,エレクトリット,2,1,1.26086956521739,1000030,9000005
123,201,3000118,ラジオパレット,2,1,1.26086956521739,1000030,9000005
124,201,3000018,メディク,3,1,0.470588235294118,1000030,9000005
125,201,3000084,テレ・ヴ二ール,3,1,0.470588235294118,1000030,9000005
126,201,3000052,斬縛弾 月読,3,1,0.470588235294118,1000030,9000005
127,201,3000074,ソワン・ヒーリア,3,1,0.470588235294118,1000030,9000005
128,201,3000049,フォルツァ-Ｂ,4,1,0.666666666666667,1000030,9000005
129,201,3000048,跳射爆弾 泡沫,4,1,0.666666666666667,1000030,9000005
130,201,3000093,レイスレイヴ Xt-S,4,1,0.666666666666667,1000030,9000005
131,201,3000040,ハープーン・エギユ,4,1,0.666666666666667,1000030,9000005
132,202,4060061,ゴールテン・D・Ｈ,3,1,0.450980392156863,1000040,9000005
133,202,4060062,ゴールテン・D・Ｂ,3,1,0.450980392156863,1000040,9000005
134,202,4060063,ゴールテン・D・Ａ,3,1,0.450980392156863,1000040,9000005
135,202,4060064,ゴールテン・D・Ｌ,3,1,0.450980392156863,1000040,9000005
136,202,4060065,ゴールテン・D・Ｗ,4,1,0.722222222222222,1000040,9000005
137,202,4090091,サブライガ・Ｈ,3,1,0.450980392156863,1000040,9000005
138,202,4090092,サブライガ・Ｂ,3,1,0.450980392156863,1000040,9000005
139,202,4090093,サブライガ・Ａ,3,1,0.450980392156863,1000040,9000005
140,202,4090094,サブライガ・Ｌ,3,1,0.450980392156863,1000040,9000005
141,202,4090095,サブライガ・Ｗ,4,1,0.722222222222222,1000040,9000005
142,202,4040041,サイトヘッド・Ｈ,3,1,0.450980392156863,1000040,9000005
143,202,4040042,サイトヘッド・Ｂ,3,1,0.450980392156863,1000040,9000005
144,202,4040043,サイトヘッド・Ａ,3,1,0.450980392156863,1000040,9000005
145,202,4040044,サイトヘッド・Ｌ,3,1,0.450980392156863,1000040,9000005
146,202,4040045,サイトヘッド・Ｗ,4,1,0.722222222222222,1000040,9000005
147,202,4080081,ディスドス・Ｈ,3,1,0.450980392156863,1000040,9000005
148,202,4080082,ディスドス・Ｂ,3,1,0.450980392156863,1000040,9000005
149,202,4080083,ディスドス・Ａ,3,1,0.450980392156863,1000040,9000005
150,202,4080084,ディスドス・Ｌ,3,1,0.450980392156863,1000040,9000005
151,202,4080085,ディスドス・Ｗ,4,1,0.722222222222222,1000040,9000005
152,202,4030031,スクラッパー・Ｈ,3,1,0.450980392156863,1000040,9000005
153,202,4030032,スクラッパー・Ｂ,3,1,0.450980392156863,1000040,9000005
154,202,4030033,スクラッパー・Ａ,3,1,0.450980392156863,1000040,9000005
155,202,4030034,スクラッパー・Ｌ,3,1,0.450980392156863,1000040,9000005
156,202,4030035,スクラッパー・Ｗ,4,1,0.722222222222222,1000040,9000005
157,202,4100101,ファルマコン・Ｈ,3,1,0.450980392156863,1000040,9000005
158,202,4100102,ファルマコン・Ｂ,3,1,0.450980392156863,1000040,9000005
159,202,4100103,ファルマコン・Ａ,3,1,0.450980392156863,1000040,9000005
160,202,4100104,ファルマコン・Ｌ,3,1,0.450980392156863,1000040,9000005
161,202,4100105,ファルマコン・Ｗ,4,1,0.722222222222222,1000040,9000005
162,202,4110111,ラピスヘッジ・Ｈ,3,1,0.450980392156863,1000040,9000005
163,202,4110112,ラピスヘッジ・Ｂ,3,1,0.450980392156863,1000040,9000005
164,202,4110113,ラピスヘッジ・Ａ,3,1,0.450980392156863,1000040,9000005
165,202,4110114,ラピスヘッジ・Ｌ,3,1,0.450980392156863,1000040,9000005
166,202,4110115,ラピスヘッジ・Ｗ,4,1,0.722222222222222,1000040,9000005
167,202,4120121,パ・フェクト・Ｈ,3,1,0.450980392156863,1000040,9000005
168,202,4120122,パ・フェクト・Ｂ,3,1,0.450980392156863,1000040,9000005
169,202,4120123,パ・フェクト・Ａ,3,1,0.450980392156863,1000040,9000005
170,202,4120124,パ・フェクト・Ｌ,3,1,0.450980392156863,1000040,9000005
171,202,4120125,パ・フェクト・Ｗ,4,1,0.722222222222222,1000040,9000005
172,202,4070071,アンゼロイ・Ｈ,3,1,0.450980392156863,1000040,9000005
173,202,4070072,アンゼロイ・Ｂ,3,1,0.450980392156863,1000040,9000005
174,202,4070073,アンゼロイ・Ａ,3,1,0.450980392156863,1000040,9000005
175,202,4070074,アンゼロイ・Ｌ,3,1,0.450980392156863,1000040,9000005
176,202,4070075,アンゼロイ・Ｗ,4,1,0.722222222222222,1000040,9000005
177,202,6010018,コントロールサークルA,1,1,0.861111111111111,1000020,9000005
178,202,6020028,ドラゴンヘッド,1,1,0.861111111111111,1000020,9000005
179,202,6020029,ユニコーンヘッド,1,1,0.861111111111111,1000020,9000005
180,202,6020037,ビー,1,1,0.861111111111111,1000020,9000005
181,202,6020039,ライオンヘッド,1,1,0.861111111111111,1000020,9000005
182,202,6020053,フィーバー,1,1,0.861111111111111,1000020,9000005
183,202,6020080,フォーリンラブ,1,1,0.861111111111111,1000020,9000005
184,202,6030007,ビーハウス,1,1,0.861111111111111,1000020,9000005
185,202,6030020,スプラッシュ,1,1,0.861111111111111,1000020,9000005
186,202,6030021,ダスト,1,1,0.861111111111111,1000020,9000005
187,202,6030030,ハナマル,1,1,0.861111111111111,1000020,9000005
188,202,6030031,音符記号,1,1,0.861111111111111,1000020,9000005
189,202,6030051,スペースサークル,1,1,0.861111111111111,1000020,9000005
190,202,6030062,ツインユニコーン,1,1,0.861111111111111,1000020,9000005
191,202,6030074,オールドクラウン,1,1,0.861111111111111,1000020,9000005
192,202,6010016,アンティークサークル,1,1,0.861111111111111,1000020,9000005
193,202,6010028,スターフレーム,1,1,0.861111111111111,1000020,9000005
194,202,6020031,フェニックス,1,1,0.861111111111111,1000020,9000005
195,202,6020038,スネークヘッド,1,1,0.861111111111111,1000020,9000005
196,202,6020060,アイスクリスタル,1,1,0.861111111111111,1000020,9000005
197,202,6020078,ハートキー,1,1,0.861111111111111,1000020,9000005
198,202,6030022,アングリー,1,1,0.861111111111111,1000020,9000005
199,202,6030041,マインドライト,1,1,0.861111111111111,1000020,9000005
200,202,6030063,ひび割れハート,1,1,0.861111111111111,1000020,9000005
201,202,6030069,効果A,1,1,0.861111111111111,1000020,9000005
202,202,6010017,サーマルスクウェア,1,1,0.861111111111111,1000020,9000005
203,202,6010025,チェーンフレーム,1,1,0.861111111111111,1000020,9000005
204,202,6020050,ドルフィン,1,1,0.861111111111111,1000020,9000005
205,202,6020064,フローズン,1,1,0.861111111111111,1000020,9000005
206,202,6020076,ザ・マスク,1,1,0.861111111111111,1000020,9000005
207,202,6020079,ツインベル,1,1,0.861111111111111,1000020,9000005
208,202,6030004,バーニング,1,1,0.861111111111111,1000020,9000005
209,202,6030026,ダブルスター,1,1,0.861111111111111,1000020,9000005
210,202,6030058,シャイニングスター,1,1,0.861111111111111,1000020,9000005
211,202,6030073,リーパーサイス,1,1,0.861111111111111,1000020,9000005
212,202,3000004,グレイン-AS,1,1,0.861111111111111,1000030,9000005
213,202,3000035,ミトラーム,2,1,1.08,1000030,9000005
214,202,3000072,グルナード,2,1,1.08,1000030,9000005
215,202,3000042,ブランキアル,2,1,1.08,1000030,9000005
216,202,3000063,ファイアサイス,2,1,1.08,1000030,9000005
217,202,3000107,グレイスピラ,2,1,1.08,1000030,9000005
218,202,3000076,ボンバルド,2,1,1.08,1000030,9000005
219,202,3000125,インパルスショット,2,1,1.08,1000030,9000005
220,202,3000020,機関砲 騎神,3,1,0.450980392156863,1000030,9000005
221,202,3000100,ターレットMI,3,1,0.450980392156863,1000030,9000005
222,202,3000122,単装導弾 三皇,3,1,0.450980392156863,1000030,9000005
223,202,3000030,エスプロジオ,3,1,0.450980392156863,1000030,9000005
224,202,3000131,ディオグラント,3,1,0.450980392156863,1000030,9000005
225,202,3000033,爆撃砲 龍星,3,1,0.450980392156863,1000030,9000005
226,202,3000206,マーノムガン-AS,4,1,0.722222222222222,1000030,9000005
227,202,3000141,レイスレイヴ Xt-A,4,1,0.722222222222222,1000030,9000005
228,202,3000113,グラン・ラーゴ,4,1,0.722222222222222,1000030,9000005
229,202,3000057,ブルームブラスター,5,1,2,1000030,9000005
230,202,3000067,ブレードジップ,2,1,1.08,1000030,9000005
231,202,3000069,ブラックスミス,2,1,1.08,1000030,9000005
232,202,3000012,ミトライユ・コルト,2,1,1.08,1000030,9000005
233,202,3000120,ディトーレ,2,1,1.08,1000030,9000005
234,202,3000128,烈火弾 煉獄,2,1,1.08,1000030,9000005
235,202,3000023,拳銃 月牙,2,1,1.08,1000030,9000005
236,202,3000060,ブーメラング,2,1,1.08,1000030,9000005
237,202,3000080,バースト・ボム,2,1,1.08,1000030,9000005
238,202,3000053,マーノムガン,2,1,1.08,1000030,9000005
239,202,3000065,飛翔拳 双天,3,1,0.450980392156863,1000030,9000005
240,202,3000024,火炎砲 散華,3,1,0.450980392156863,1000030,9000005
241,202,3000017,デ・ディヴァルガン,3,1,0.450980392156863,1000030,9000005
242,202,3000013,ブリリオン,3,1,0.450980392156863,1000030,9000005
243,202,3000202,多連装導弾 冥鎚,3,1,0.450980392156863,1000030,9000005
244,202,3000134,電導弾 虚無,4,1,0.722222222222222,1000030,9000005
245,202,3000142,レイスレイヴ Xt-V,4,1,0.722222222222222,1000030,9000005
246,202,3000143,フォルツパレット,4,1,0.722222222222222,1000030,9000005
247,202,3000011,カラミッタ,5,1,2,1000030,9000005
248,202,3000038,エステジオン・ボム,2,1,1.08,1000030,9000005
249,202,3000097,シールドヴァイト,2,1,1.08,1000030,9000005
250,202,3000064,デトネイトランス,2,1,1.08,1000030,9000005
251,202,3000119,グレイン-SP,2,1,1.08,1000030,9000005
252,202,3000019,フォルツァ-Ａ,2,1,1.08,1000030,9000005
253,202,3000078,ジャメル,2,1,1.08,1000030,9000005
254,202,3000085,エレクトリット,2,1,1.08,1000030,9000005
255,202,3000118,ラジオパレット,2,1,1.08,1000030,9000005
256,202,3000018,メディク,2,1,1.08,1000030,9000005
257,202,3000084,テレ・ヴ二ール,3,1,0.450980392156863,1000030,9000005
258,202,3000052,斬縛弾 月読,3,1,0.450980392156863,1000030,9000005
259,202,3000074,ソワン・ヒーリア,3,1,0.450980392156863,1000030,9000005
260,202,3000049,フォルツァ-Ｂ,3,1,0.450980392156863,1000030,9000005
261,202,3000048,跳射爆弾 泡沫,4,1,0.722222222222222,1000030,9000005
262,202,3000093,レイスレイヴ Xt-S,4,1,0.722222222222222,1000030,9000005
263,202,3000040,ハープーン・エギユ,4,1,0.722222222222222,1000030,9000005
264,202,3000096,ヘルシャフト,5,1,2,1000030,9000005
265,203,4060061,ゴールテン・D・Ｈ,3,1,0.470588235294118,1000040,9000005
266,203,4060062,ゴールテン・D・Ｂ,3,1,0.470588235294118,1000040,9000005
267,203,4060063,ゴールテン・D・Ａ,3,1,0.470588235294118,1000040,9000005
268,203,4060064,ゴールテン・D・Ｌ,3,1,0.470588235294118,1000040,9000005
269,203,4060065,ゴールテン・D・Ｗ,4,1,0.666666666666667,1000040,9000005
270,203,4090091,サブライガ・Ｈ,3,1,0.470588235294118,1000040,9000005
271,203,4090092,サブライガ・Ｂ,3,1,0.470588235294118,1000040,9000005
272,203,4090093,サブライガ・Ａ,3,1,0.470588235294118,1000040,9000005
273,203,4090094,サブライガ・Ｌ,3,1,0.470588235294118,1000040,9000005
274,203,4090095,サブライガ・Ｗ,4,1,0.666666666666667,1000040,9000005
275,203,4040041,サイトヘッド・Ｈ,3,1,0.470588235294118,1000040,9000005
276,203,4040042,サイトヘッド・Ｂ,3,1,0.470588235294118,1000040,9000005
277,203,4040043,サイトヘッド・Ａ,3,1,0.470588235294118,1000040,9000005
278,203,4040044,サイトヘッド・Ｌ,3,1,0.470588235294118,1000040,9000005
279,203,4040045,サイトヘッド・Ｗ,4,1,0.666666666666667,1000040,9000005
280,203,4080081,ディスドス・Ｈ,3,1,0.470588235294118,1000040,9000005
281,203,4080082,ディスドス・Ｂ,3,1,0.470588235294118,1000040,9000005
282,203,4080083,ディスドス・Ａ,3,1,0.470588235294118,1000040,9000005
283,203,4080084,ディスドス・Ｌ,3,1,0.470588235294118,1000040,9000005
284,203,4080085,ディスドス・Ｗ,4,1,0.666666666666667,1000040,9000005
285,203,4030031,スクラッパー・Ｈ,3,1,0.470588235294118,1000040,9000005
286,203,4030032,スクラッパー・Ｂ,3,1,0.470588235294118,1000040,9000005
287,203,4030033,スクラッパー・Ａ,3,1,0.470588235294118,1000040,9000005
288,203,4030034,スクラッパー・Ｌ,3,1,0.470588235294118,1000040,9000005
289,203,4030035,スクラッパー・Ｗ,4,1,0.666666666666667,1000040,9000005
290,203,4100101,ファルマコン・Ｈ,3,1,0.470588235294118,1000040,9000005
291,203,4100102,ファルマコン・Ｂ,3,1,0.470588235294118,1000040,9000005
292,203,4100103,ファルマコン・Ａ,3,1,0.470588235294118,1000040,9000005
293,203,4100104,ファルマコン・Ｌ,3,1,0.470588235294118,1000040,9000005
294,203,4100105,ファルマコン・Ｗ,4,1,0.666666666666667,1000040,9000005
295,203,4110111,ラピスヘッジ・Ｈ,3,1,0.470588235294118,1000040,9000005
296,203,4110112,ラピスヘッジ・Ｂ,3,1,0.470588235294118,1000040,9000005
297,203,4110113,ラピスヘッジ・Ａ,3,1,0.470588235294118,1000040,9000005
298,203,4110114,ラピスヘッジ・Ｌ,3,1,0.470588235294118,1000040,9000005
299,203,4110115,ラピスヘッジ・Ｗ,4,1,0.666666666666667,1000040,9000005
300,203,4120121,パ・フェクト・Ｈ,3,1,0.470588235294118,1000040,9000005
301,203,4120122,パ・フェクト・Ｂ,3,1,0.470588235294118,1000040,9000005
302,203,4120123,パ・フェクト・Ａ,3,1,0.470588235294118,1000040,9000005
303,203,4120124,パ・フェクト・Ｌ,3,1,0.470588235294118,1000040,9000005
304,203,4120125,パ・フェクト・Ｗ,4,1,0.666666666666667,1000040,9000005
305,203,4070071,アンゼロイ・Ｈ,3,1,0.470588235294118,1000040,9000005
306,203,4070072,アンゼロイ・Ｂ,3,1,0.470588235294118,1000040,9000005
307,203,4070073,アンゼロイ・Ａ,3,1,0.470588235294118,1000040,9000005
308,203,4070074,アンゼロイ・Ｌ,3,1,0.470588235294118,1000040,9000005
309,203,4070075,アンゼロイ・Ｗ,4,1,0.666666666666667,1000040,9000005
310,203,6010018,コントロールサークルA,1,1,0.942857142857143,1000020,9000005
311,203,6020028,ドラゴンヘッド,1,1,0.942857142857143,1000020,9000005
312,203,6020029,ユニコーンヘッド,1,1,0.942857142857143,1000020,9000005
313,203,6020037,ビー,1,1,0.942857142857143,1000020,9000005
314,203,6020039,ライオンヘッド,1,1,0.942857142857143,1000020,9000005
315,203,6020053,フィーバー,1,1,0.942857142857143,1000020,9000005
316,203,6020080,フォーリンラブ,1,1,0.942857142857143,1000020,9000005
317,203,6030007,ビーハウス,1,1,0.942857142857143,1000020,9000005
318,203,6030020,スプラッシュ,1,1,0.942857142857143,1000020,9000005
319,203,6030021,ダスト,1,1,0.942857142857143,1000020,9000005
320,203,6030030,ハナマル,1,1,0.942857142857143,1000020,9000005
321,203,6030031,音符記号,1,1,0.942857142857143,1000020,9000005
322,203,6030051,スペースサークル,1,1,0.942857142857143,1000020,9000005
323,203,6030062,ツインユニコーン,1,1,0.942857142857143,1000020,9000005
324,203,6030074,オールドクラウン,1,1,0.942857142857143,1000020,9000005
325,203,6010016,アンティークサークル,1,1,0.942857142857143,1000020,9000005
326,203,6010028,スターフレーム,1,1,0.942857142857143,1000020,9000005
327,203,6020031,フェニックス,1,1,0.942857142857143,1000020,9000005
328,203,6020038,スネークヘッド,1,1,0.942857142857143,1000020,9000005
329,203,6020060,アイスクリスタル,1,1,0.942857142857143,1000020,9000005
330,203,6020078,ハートキー,1,1,0.942857142857143,1000020,9000005
331,203,6030022,アングリー,1,1,0.942857142857143,1000020,9000005
332,203,6030041,マインドライト,1,1,0.942857142857143,1000020,9000005
333,203,6030063,ひび割れハート,1,1,0.942857142857143,1000020,9000005
334,203,6030069,効果A,1,1,0.942857142857143,1000020,9000005
335,203,6010017,サーマルスクウェア,1,1,0.942857142857143,1000020,9000005
336,203,6010025,チェーンフレーム,1,1,0.942857142857143,1000020,9000005
337,203,6020050,ドルフィン,1,1,0.942857142857143,1000020,9000005
338,203,6020064,フローズン,1,1,0.942857142857143,1000020,9000005
339,203,6020076,ザ・マスク,1,1,0.942857142857143,1000020,9000005
340,203,6020079,ツインベル,1,1,0.942857142857143,1000020,9000005
341,203,6030004,バーニング,1,1,0.942857142857143,1000020,9000005
342,203,6030026,ダブルスター,1,1,0.942857142857143,1000020,9000005
343,203,6030058,シャイニングスター,1,1,0.942857142857143,1000020,9000005
344,203,6030073,リーパーサイス,1,1,0.942857142857143,1000020,9000005
345,203,3000004,グレイン-AS,2,1,1.11538461538462,1000030,9000005
346,203,3000035,ミトラーム,2,1,1.11538461538462,1000030,9000005
347,203,3000072,グルナード,2,1,1.11538461538462,1000030,9000005
348,203,3000042,ブランキアル,2,1,1.11538461538462,1000030,9000005
349,203,3000063,ファイアサイス,2,1,1.11538461538462,1000030,9000005
350,203,3000107,グレイスピラ,2,1,1.11538461538462,1000030,9000005
351,203,3000076,ボンバルド,2,1,1.11538461538462,1000030,9000005
352,203,3000125,インパルスショット,2,1,1.11538461538462,1000030,9000005
353,203,3000020,機関砲 騎神,3,1,0.470588235294118,1000030,9000005
354,203,3000100,ターレットMI,3,1,0.470588235294118,1000030,9000005
355,203,3000122,単装導弾 三皇,3,1,0.470588235294118,1000030,9000005
356,203,3000030,エスプロジオ,3,1,0.470588235294118,1000030,9000005
357,203,3000131,ディオグラント,3,1,0.470588235294118,1000030,9000005
358,203,3000033,爆撃砲 龍星,3,1,0.470588235294118,1000030,9000005
359,203,3000206,マーノムガン-AS,4,1,0.666666666666667,1000030,9000005
360,203,3000141,レイスレイヴ Xt-A,4,1,0.666666666666667,1000030,9000005
361,203,3000113,グラン・ラーゴ,4,1,0.666666666666667,1000030,9000005
362,203,3000057,ブルームブラスター,4,1,0.666666666666667,1000030,9000005
363,203,3000067,ブレードジップ,2,1,1.11538461538462,1000030,9000005
364,203,3000069,ブラックスミス,2,1,1.11538461538462,1000030,9000005
365,203,3000012,ミトライユ・コルト,2,1,1.11538461538462,1000030,9000005
366,203,3000120,ディトーレ,2,1,1.11538461538462,1000030,9000005
367,203,3000128,烈火弾 煉獄,2,1,1.11538461538462,1000030,9000005
