---,NormalMissionId,NormalMissionName,NormalMissionTypeId,ValueInt,OptionNormalMissionTypeId,OptionValueInt,RewardId
128,8001001,1回全国対戦に同時出撃する,501,1,0,0,7000214
129,8001002,5回全国対戦に同時出撃する,501,5,0,0,7000215
130,8001003,15回全国対戦に同時出撃する,501,15,0,0,7000216
131,8001004,50回全国対戦に同時出撃する,501,50,0,0,7000217
132,8001005,150回全国対戦に同時出撃する,501,150,0,0,7000218
133,8001006,500回全国対戦に同時出撃する,501,500,0,0,7000219
134,8002001,全国対戦で、同一のプレイヤーと10回同時出撃する,504,10,0,0,7000220
135,8002002,全国対戦で、同一のプレイヤーと30回同時出撃する,504,30,0,0,7000221
136,8002003,全国対戦で、同一のプレイヤーと100回同時出撃する,504,100,0,0,7000222
137,8003001,全国対戦で、異なるプレイヤーと3回同時出撃する,505,3,0,0,7000223
138,8003002,全国対戦で、異なるプレイヤーと10回同時出撃する,505,10,0,0,7000224
139,8003003,全国対戦で、異なるプレイヤーと25回同時出撃する,505,25,0,0,7000225
140,8004001,5人の異なる所属都道府県のプレイヤーと同時出撃する,506,5,0,0,7000226
141,8004002,10人の異なる所属都道府県のプレイヤーと同時出撃する,506,10,0,0,7000227
142,8004003,15人の異なる所属都道府県のプレイヤーと同時出撃する,506,15,0,0,7000228
