---,MissionId,ConditionGroupId,ClearItemTypeId,ClearItemId
104,116002,1,102,10004
105,116002,1,102,60004
106,116002,1,102,30004
107,116002,1,102,100004
108,116003,1,102,10005
109,116003,1,102,60005
110,116003,1,102,30005
111,116003,1,102,100005
112,123001,1,102,20001
113,123001,1,102,40001
114,123002,1,102,20002
115,123002,1,102,40002
116,123003,1,102,20003
117,123003,1,102,40003
118,123004,1,102,20004
119,123004,1,102,40004
120,123005,1,102,20005
121,123005,1,102,40005
122,125011,1,102,130001
123,125011,1,102,130002
124,125011,1,102,130003
125,125011,1,102,130004
126,125011,1,102,130005
127,125012,1,102,130001
128,125012,1,102,130002
129,125012,1,102,130003
130,125012,1,102,130004
131,125012,1,102,130005
132,125013,1,102,130001
133,125013,1,102,130002
134,125013,1,102,130003
135,125013,1,102,130004
136,125013,1,102,130005
137,125021,1,102,130001
138,125021,1,102,130003
139,125022,1,102,130005
140,125023,1,102,130002
141,125023,1,102,130004
142,137001,1,102,10001
143,137002,1,102,10001
144,137003,1,102,10001
145,137004,1,102,10001
146,138001,1,102,10001
147,138002,1,102,10001
148,138003,1,102,10001
149,138004,1,102,10001
150,138005,1,102,10001
151,139001,1,102,10001
152,139002,1,102,10001
153,139003,1,102,10001
154,139004,1,102,10001
155,140001,1,102,10001
156,140002,1,102,10001
157,140003,1,102,10001
158,141001,1,102,50001
159,141002,1,102,50001
160,141003,1,102,50001
161,141004,1,102,50001
162,142001,1,102,50001
163,142002,1,102,50001
164,142003,1,102,50001
165,142004,1,102,50001
166,142005,1,102,50001
167,143001,1,102,50001
168,143002,1,102,50001
169,143003,1,102,50001
170,143004,1,102,50001
171,144001,1,102,50001
172,144002,1,102,50001
173,144003,1,102,50001
174,145001,1,102,60001
175,145002,1,102,60001
176,145003,1,102,60001
177,145004,1,102,60001
178,146001,1,102,60001
179,146002,1,102,60001
180,146003,1,102,60001
181,146004,1,102,60001
182,146005,1,102,60001
183,147001,1,102,60001
184,147002,1,102,60001
185,147003,1,102,60001
186,147004,1,102,60001
187,148001,1,102,60001
188,148002,1,102,60001
189,148003,1,102,60001
190,149001,1,102,40001
191,149002,1,102,40001
192,149003,1,102,40001
193,149004,1,102,40001
194,150001,1,102,40001
195,150002,1,102,40001
196,150003,1,102,40001
197,150004,1,102,40001
198,150005,1,102,40001
199,151001,1,102,40001
200,151002,1,102,40001
201,151003,1,102,40001
202,151004,1,102,40001
203,152001,1,102,40001
204,152002,1,102,40001
205,152003,1,102,40001
206,153001,1,102,20001
207,153002,1,102,20001
208,153003,1,102,20001
209,153004,1,102,20001
210,154001,1,102,20001
211,154002,1,102,20001
212,154003,1,102,20001
213,154004,1,102,20001
214,154005,1,102,20001
215,155001,1,102,20001
216,155002,1,102,20001
217,155003,1,102,20001
218,155004,1,102,20001
219,156001,1,102,20001
220,156002,1,102,20001
221,156003,1,102,20001
222,157001,1,102,90001
223,157002,1,102,90001
224,157003,1,102,90001
225,157004,1,102,90001
226,158001,1,102,90001
227,158002,1,102,90001
228,158003,1,102,90001
229,158004,1,102,90001
230,158005,1,102,90001
231,159001,1,102,90001
232,159002,1,102,90001
233,159003,1,102,90001
234,159004,1,102,90001
235,160001,1,102,90001
236,160002,1,102,90001
237,160003,1,102,90001
238,161001,1,102,30001
239,161002,1,102,30001
240,161003,1,102,30001
241,161004,1,102,30001
242,162001,1,102,30001
243,162002,1,102,30001
244,162003,1,102,30001
245,162004,1,102,30001
246,162005,1,102,30001
247,163001,1,102,30001
248,163002,1,102,30001
249,163003,1,102,30001
250,163004,1,102,30001
251,164001,1,102,30001
252,164002,1,102,30001
253,164003,1,102,30001
254,165001,1,102,70001
255,165002,1,102,70001
256,165003,1,102,70001
257,165004,1,102,70001
258,166001,1,102,70001
259,166002,1,102,70001
260,166003,1,102,70001
261,166004,1,102,70001
262,166005,1,102,70001
263,167001,1,102,70001
264,167002,1,102,70001
265,167003,1,102,70001
266,167004,1,102,70001
267,168001,1,102,70001
268,168002,1,102,70001
269,168003,1,102,70001
270,169001,1,102,80001
271,169002,1,102,80001
272,169003,1,102,80001
273,169004,1,102,80001
274,170001,1,102,80001
275,170002,1,102,80001
276,170003,1,102,80001
277,170004,1,102,80001
278,170005,1,102,80001
279,171001,1,102,80001
280,171002,1,102,80001
281,171003,1,102,80001
282,171004,1,102,80001
283,172001,1,102,80001
284,172002,1,102,80001
285,172003,1,102,80001
286,173001,1,102,100001
287,173002,1,102,100001
288,173003,1,102,100001
289,173004,1,102,100001
290,174001,1,102,100001
291,174002,1,102,100001
292,174003,1,102,100001
293,174004,1,102,100001
294,174005,1,102,100001
295,175001,1,102,100001
296,175002,1,102,100001
297,175003,1,102,100001
298,175004,1,102,100001
299,176001,1,102,100001
300,176002,1,102,100001
301,176003,1,102,100001
302,177001,1,102,110001
303,177002,1,102,110001
304,177003,1,102,110001
305,177004,1,102,110001
306,178001,1,102,110001
307,178002,1,102,110001
308,178003,1,102,110001
309,178004,1,102,110001
310,178005,1,102,110001
311,179001,1,102,110001
312,179002,1,102,110001
313,179003,1,102,110001
314,179004,1,102,110001
315,180001,1,102,110001
316,180002,1,102,110001
317,180003,1,102,110001
318,181001,1,102,120001
319,181002,1,102,120001
320,181003,1,102,120001
321,181004,1,102,120001
322,182001,1,102,120001
323,182002,1,102,120001
324,182003,1,102,120001
325,182004,1,102,120001
326,182005,1,102,120001
327,183001,1,102,120001
328,183002,1,102,120001
329,183003,1,102,120001
330,183004,1,102,120001
331,184001,1,102,120001
332,184002,1,102,120001
333,184003,1,102,120001
334,185001,1,102,130001
335,185002,1,102,130001
336,185003,1,102,130001
337,185004,1,102,130001
338,186001,1,102,130001
339,186002,1,102,130001
340,186003,1,102,130001
341,186004,1,102,130001
342,186005,1,102,130001
343,187001,1,102,130001
344,187002,1,102,130001
345,187003,1,102,130001
346,187004,1,102,130001
347,188001,1,102,130001
348,188002,1,102,130001
349,188003,1,102,130001
350,189001,1,102,140001
351,189002,1,102,140001
352,189003,1,102,140001
353,189004,1,102,140001
354,190001,1,102,140001
355,190002,1,102,140001
356,190003,1,102,140001
357,190004,1,102,140001
358,190005,1,102,140001
359,191001,1,102,140001
360,191002,1,102,140001
361,191003,1,102,140001
362,191004,1,102,140001
363,192001,1,102,140001
364,192002,1,102,140001
365,192003,1,102,140001
366,100000011,1,102,10001
367,100000012,1,102,10001
368,100000012,1,102,10002
369,100000013,1,102,10001
370,100000013,1,102,10002
371,100000013,2,102,10003
372,100000014,1,102,10001
373,100000014,1,102,10002
374,100000014,2,102,10003
375,100000014,2,102,10004
376,100000021,1,102,50001
377,100000022,1,102,50001
378,100000022,1,102,50002
379,100000023,1,102,50001
380,100000023,1,102,50002
381,100000023,2,102,50003
382,100000024,1,102,50001
383,100000024,1,102,50002
384,100000024,2,102,50003
385,100000024,2,102,50004
386,100000031,1,102,60001
387,100000032,1,102,60001
388,100000032,1,102,60002
389,100000033,1,102,60001
390,100000033,1,102,60002
391,100000033,2,102,60003
392,100000034,1,102,60001
393,100000034,1,102,60002
394,100000034,2,102,60003
395,100000034,2,102,60004
396,100000041,1,102,40001
397,100000042,1,102,40001
398,100000042,1,102,40002
399,100000043,1,102,40001
400,100000043,1,102,40002
401,100000043,2,102,40003
402,100000044,1,102,40001
403,100000044,1,102,40002
404,100000044,2,102,40003
405,100000044,2,102,40004
406,100000051,1,102,20001
407,100000052,1,102,20001
408,100000052,1,102,20002
409,100000053,1,102,20001
410,100000053,1,102,20002
411,100000053,2,102,20003
412,100000054,1,102,20001
413,100000054,1,102,20002
414,100000054,2,102,20003
415,100000054,2,102,20004
416,100000061,1,102,90001
417,100000062,1,102,90001
418,100000062,1,102,90002
419,100000063,1,102,90001
420,100000063,1,102,90002
421,100000063,2,102,90003
422,100000064,1,102,90001
423,100000064,1,102,90002
424,100000064,2,102,90003
425,100000064,2,102,90004
426,100000101,1,102,10001
427,100000102,1,102,10001
428,100000103,1,102,10001
429,100000104,1,102,10001
430,100000105,1,102,10001
431,100000106,1,102,10001
432,100000107,1,102,10001
433,100000108,1,102,10001
434,100000109,1,102,10001
435,100000110,1,102,10001
