---,SetID,Name,MainRWeaponID,MainLWeaponID,SubRWeaponID,SubLWeaponID,SpEffect01,SpEffect01Val,SpEffect02,SpEffect02Val,SpEffect03,SpEffect03Val,SpEffect04,SpEffect04Val,Text,EquipARID,IsRelease,IsDefault
WPSET_PL009_05,905,空き枠「サブライガ」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,9,False,False
WPSET_PL009_06,906,空き枠「サブライガ」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,9,False,False
WPSET_PL009_07,907,空き枠「サブライガ」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,9,False,False
WPSET_PL009_08,908,空き枠「サブライガ」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,9,False,False
WPSET_PL009_09,909,空き枠「サブライガ」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,9,False,False
WPSET_PL009_10,910,空き枠「サブライガ」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,9,False,False
WPSET_PL009_11,911,空き枠「サブライガ」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,9,False,False
WPSET_PL009_12,912,空き枠「サブライガ」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,9,False,False
WPSET_PL010_00,1000,ボマー,53,126,133,80,None,0,None,0,None,0,None,0,近距離向き。\n大量の投擲武器をばらまきつつ\n撃ち上げを狙える。,10,True,True
WPSET_PL010_01,1001,ボマーⅡ,35,100,133,218,None,0,None,0,None,0,None,0,近距離から中距離向き。\n設置型の武器で戦場を制圧し\n敵にプレッシャーを与え続ける。,10,True,True
WPSET_PL010_02,1002,ジョーカー,53,126,143,134,None,0,None,0,None,0,None,0,近距離向き。敵を翻弄しつつ\n至近距離で大ダメージを狙える。,10,True,True
WPSET_PL010_03,1003,ジョーカーⅡ,35,30,85,134,None,0,None,0,None,0,None,0,近距離から中距離向き。\n敵の動きを抑制することに\n特化している。,10,True,True
WPSET_PL010_04,1004,空き枠「ファルマコン」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,10,False,False
WPSET_PL010_05,1005,空き枠「ファルマコン」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,10,False,False
WPSET_PL010_06,1006,空き枠「ファルマコン」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,10,False,False
WPSET_PL010_07,1007,空き枠「ファルマコン」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,10,False,False
WPSET_PL010_08,1008,空き枠「ファルマコン」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,10,False,False
WPSET_PL010_09,1009,空き枠「ファルマコン」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,10,False,False
WPSET_PL010_10,1010,空き枠「ファルマコン」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,10,False,False
WPSET_PL010_11,1011,空き枠「ファルマコン」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,10,False,False
WPSET_PL010_12,1012,空き枠「ファルマコン」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,10,False,False
WPSET_PL011_00,1100,ソル・グラン,202,203,103,0,None,0,None,0,None,0,None,0,中距離向き。\n火力に優れた武器とチャージ\n攻撃で優位に攻め込める。,11,True,True
WPSET_PL011_01,1101,ソル・グランⅡ,219,28,103,0,None,0,None,0,None,0,None,0,中距離向き。\n弾持ちの良い武器とチャージ\n攻撃で持続的に戦える。,11,True,True
WPSET_PL011_02,1102,ステラ・グラン,219,203,20,0,None,0,None,0,None,0,None,0,中距離向き。\n継続的に射撃を行いつつ、\n誘導弾で敵を追い詰める。,11,True,True
WPSET_PL011_03,1103,ステラ・グランⅡ,202,14,32,0,None,0,None,0,None,0,None,0,中距離向き。\n圧倒的な弾幕により、絶えず\n攻撃を行うことが出来る。,11,True,True
WPSET_PL011_04,1104,空き枠「ラピスヘッジ」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,11,False,False
WPSET_PL011_05,1105,空き枠「ラピスヘッジ」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,11,False,False
WPSET_PL011_06,1106,空き枠「ラピスヘッジ」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,11,False,False
WPSET_PL011_07,1107,空き枠「ラピスヘッジ」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,11,False,False
WPSET_PL011_08,1108,空き枠「ラピスヘッジ」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,11,False,False
WPSET_PL011_09,1109,空き枠「ラピスヘッジ」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,11,False,False
WPSET_PL011_10,1110,空き枠「ラピスヘッジ」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,11,False,False
WPSET_PL011_11,1111,空き枠「ラピスヘッジ」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,11,False,False
WPSET_PL011_12,1112,空き枠「ラピスヘッジ」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,11,False,False
WPSET_PL012_00,1200,ガブリエ・ル,107,208,57,0,None,0,None,0,None,0,None,0,中距離から遠距離向き。\n攻撃と防衛を使い分けられる\n広範囲攻撃を持つ。,12,True,True
WPSET_PL012_01,1201,ガブリエ・ルⅡ,114,201,57,0,None,0,None,0,None,0,None,0,近距離から中距離向き。\n攻撃と防衛を使い分けられる\n広範囲攻撃を持つ。,12,True,True
WPSET_PL012_02,1202,ミカエ・ル,107,208,44,0,None,0,None,0,None,0,None,0,中距離から遠距離向き。\n高威力の照射攻撃により\n大ダメージを狙える。,12,True,True
WPSET_PL012_03,1203,ルシフェ・ル,35,138,34,0,None,0,None,0,None,0,None,0,中距離から遠距離向き。\n爆風を生む広範囲レーザーで\n一方的に撃ち上げを狙える。,12,True,True
WPSET_PL012_04,1204,空き枠「パ・フェクト」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,12,False,False
WPSET_PL012_05,1205,空き枠「パ・フェクト」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,12,False,False
WPSET_PL012_06,1206,空き枠「パ・フェクト」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,12,False,False
WPSET_PL012_07,1207,空き枠「パ・フェクト」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,12,False,False
WPSET_PL012_08,1208,空き枠「パ・フェクト」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,12,False,False
WPSET_PL012_09,1209,空き枠「パ・フェクト」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,12,False,False
WPSET_PL012_10,1210,空き枠「パ・フェクト」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,12,False,False
WPSET_PL012_11,1211,空き枠「パ・フェクト」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,12,False,False
WPSET_PL012_12,1212,空き枠「パ・フェクト」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,12,False,False
WPSET_PL013_00,1300,REAPER,215,138,132,0,None,0,None,0,None,0,None,0,中距離から遠距離向き。\n手数の多いビーム武器に加え\nダウン性能の高い攻撃を狙える。,13,True,True
WPSET_PL013_01,1301,REAPERⅡ,203,203,132,0,None,0,None,0,None,0,None,0,遠距離向き。\n誘導ミサイルで圧倒しながら\nダウン性能の高い攻撃を狙える。,13,True,True
WPSET_PL013_02,1302,RULER,215,71,105,0,None,0,None,0,None,0,None,0,中距離から遠距離向き。\nダウンの狙いやすさに加え\n瞬間火力に秀でた攻撃を持つ。,13,True,True
WPSET_PL013_03,1303,METEORITE-ET,29,0,0,0,None,0,None,0,None,0,None,0,近距離から中距離向き。\n追尾レーザーや高威力弾など\n膨大な戦略で敵をねじ伏せる。,13,True,True
WPSET_PL013_04,1304,空き枠「エタニティ」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,13,False,False
WPSET_PL013_05,1305,空き枠「エタニティ」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,13,False,False
WPSET_PL013_06,1306,空き枠「エタニティ」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,13,False,False
WPSET_PL013_07,1307,空き枠「エタニティ」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,13,False,False
WPSET_PL013_08,1308,空き枠「エタニティ」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,13,False,False
WPSET_PL013_09,1309,空き枠「エタニティ」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,13,False,False
WPSET_PL013_10,1310,空き枠「エタニティ」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,13,False,False
WPSET_PL013_11,1311,空き枠「エタニティ」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,13,False,False
WPSET_PL013_12,1312,空き枠「エタニティ」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,13,False,False
WPSET_PL014_00,1400,DESTROYER,113,96,68,0,None,0,None,0,None,0,None,0,近距離から中距離向き。\n広範囲への攻撃に加え、格闘\n攻撃で大ダメージを狙える。,14,True,True
WPSET_PL014_01,1401,DESTROYERⅡ,219,76,68,0,None,0,None,0,None,0,None,0,近距離から中距離向き。\n継続的にダメージを狙える。,14,True,True
WPSET_PL014_02,1402,GENOCIDER,113,38,76,76,None,0,None,0,None,0,None,0,中距離向き。\n複数の範囲攻撃によって、\n敵を追い込みながら戦う。,14,True,True
WPSET_PL014_03,1403,GUNGNIR-OX,113,96,47,0,None,0,None,0,None,0,None,0,中距離から遠距離向き。\n超高威力かつ超広範囲の\n極大レーザーを敵に浴びせる。,14,True,True
WPSET_PL014_04,1404,空き枠「オキサイド」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,14,False,False
WPSET_PL014_05,1405,空き枠「オキサイド」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,14,False,False
WPSET_PL014_06,1406,空き枠「オキサイド」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,14,False,False
WPSET_PL014_07,1407,空き枠「オキサイド」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,14,False,False
WPSET_PL014_08,1408,空き枠「オキサイド」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,14,False,False
WPSET_PL014_09,1409,空き枠「オキサイド」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,14,False,False
WPSET_PL014_10,1410,空き枠「オキサイド」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,14,False,False
WPSET_PL014_11,1411,空き枠「オキサイド」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,14,False,False
WPSET_PL014_12,1412,空き枠「オキサイド」,0,0,0,0,None,0,None,0,None,0,None,0,空き枠,14,False,False
