---,BuddyId,LevelId,RewardId
368,4,75,1003000
369,4,76,1003000
370,4,77,1003000
371,4,78,1003000
372,4,79,1003000
373,4,80,1003000
374,4,81,1003000
375,4,82,1003000
376,4,83,1003000
377,4,84,1003000
378,4,85,1003000
379,4,86,1003000
380,4,87,1003000
381,4,88,1003000
382,4,89,1003000
383,4,90,1003000
384,4,91,1003000
385,4,92,1003000
386,4,93,1003000
387,4,94,1003000
388,4,95,1003000
389,4,96,1003000
390,4,97,1003000
391,4,98,1003000
392,4,99,1003000
393,5,2,7000044
394,5,3,1001000
395,5,4,8005015
396,5,5,1001000
397,5,6,7000045
398,5,7,1001000
399,5,8,8005013
400,5,9,1001500
401,5,10,7000046
402,5,11,1001500
403,5,12,8005019
404,5,13,1001500
405,5,14,7000047
406,5,15,12005008
407,5,16,8005020
408,5,17,1001500
409,5,18,7000048
410,5,19,1001500
411,5,20,8005024
412,5,21,1002000
413,5,22,1002000
414,5,23,1002000
415,5,24,1002000
416,5,25,1002000
417,5,26,1002000
418,5,27,1002000
419,5,28,1002000
420,5,29,1002000
421,5,30,1002000
422,5,31,1002000
423,5,32,1002000
424,5,33,1002000
425,5,34,1002000
426,5,35,1002000
427,5,36,1002000
428,5,37,1002000
429,5,38,1002000
430,5,39,1002000
431,5,40,1002000
432,5,41,1002000
433,5,42,1002000
434,5,43,1002000
435,5,44,1002000
436,5,45,1002000
437,5,46,1002000
438,5,47,1002000
439,5,48,1002000
440,5,49,1002000
441,5,50,1002000
442,5,51,1002000
443,5,52,1002000
444,5,53,1002000
445,5,54,1002000
446,5,55,1002000
447,5,56,1002000
448,5,57,1002000
449,5,58,1002000
450,5,59,1002000
451,5,60,1003000
452,5,61,1003000
453,5,62,1003000
454,5,63,1003000
455,5,64,1003000
456,5,65,1003000
457,5,66,1003000
458,5,67,1003000
459,5,68,1003000
460,5,69,1003000
461,5,70,1003000
462,5,71,1003000
463,5,72,1003000
464,5,73,1003000
465,5,74,1003000
466,5,75,1003000
467,5,76,1003000
468,5,77,1003000
469,5,78,1003000
470,5,79,1003000
471,5,80,1003000
472,5,81,1003000
473,5,82,1003000
474,5,83,1003000
475,5,84,1003000
476,5,85,1003000
477,5,86,1003000
478,5,87,1003000
479,5,88,1003000
480,5,89,1003000
481,5,90,1003000
482,5,91,1003000
483,5,92,1003000
484,5,93,1003000
485,5,94,1003000
486,5,95,1003000
487,5,96,1003000
488,5,97,1003000
489,5,98,1003000
490,5,99,1003000
491,6,2,7000049
492,6,3,1001000
493,6,4,8006015
494,6,5,1001000
495,6,6,7000050
496,6,7,1001000
497,6,8,8006023
498,6,9,1001500
499,6,10,7000051
500,6,11,1001500
501,6,12,8006018
502,6,13,1001500
503,6,14,7000052
504,6,15,12006005
505,6,16,8006007
506,6,17,1001500
507,6,18,7000053
508,6,19,1001500
509,6,20,8006024
510,6,21,1002000
511,6,22,1002000
512,6,23,1002000
513,6,24,1002000
514,6,25,1002000
515,6,26,1002000
516,6,27,1002000
517,6,28,1002000
518,6,29,1002000
519,6,30,1002000
520,6,31,1002000
521,6,32,1002000
522,6,33,1002000
523,6,34,1002000
524,6,35,1002000
525,6,36,1002000
526,6,37,1002000
527,6,38,1002000
528,6,39,1002000
529,6,40,1002000
530,6,41,1002000
531,6,42,1002000
532,6,43,1002000
533,6,44,1002000
534,6,45,1002000
535,6,46,1002000
536,6,47,1002000
537,6,48,1002000
538,6,49,1002000
539,6,50,1002000
540,6,51,1002000
541,6,52,1002000
542,6,53,1002000
543,6,54,1002000
544,6,55,1002000
545,6,56,1002000
546,6,57,1002000
547,6,58,1002000
548,6,59,1002000
549,6,60,1003000
550,6,61,1003000
551,6,62,1003000
552,6,63,1003000
553,6,64,1003000
554,6,65,1003000
555,6,66,1003000
556,6,67,1003000
557,6,68,1003000
558,6,69,1003000
559,6,70,1003000
560,6,71,1003000
561,6,72,1003000
562,6,73,1003000
563,6,74,1003000
564,6,75,1003000
565,6,76,1003000
566,6,77,1003000
567,6,78,1003000
568,6,79,1003000
569,6,80,1003000
570,6,81,1003000
571,6,82,1003000
572,6,83,1003000
573,6,84,1003000
574,6,85,1003000
575,6,86,1003000
576,6,87,1003000
577,6,88,1003000
578,6,89,1003000
579,6,90,1003000
580,6,91,1003000
581,6,92,1003000
582,6,93,1003000
583,6,94,1003000
584,6,95,1003000
585,6,96,1003000
586,6,97,1003000
587,6,98,1003000
588,6,99,1003000
