---,MissionId,OptionClearTypeId,OptionClearNum,ClearTypeId,ClearNum,Text
112,103001,0,0,506,25000,全国対戦/キザナ共闘戦線で、「カーディナル・Ｈ」か「サブライガ・Ｈ」か「ディスドス・Ｈ」パーツを装備して、ポート占拠中の敵ARに25000ダメージ与える
113,103002,0,0,500,50,全国対戦/キザナ共闘戦線で、「カーディナル・Ａ」か「サブライガ・Ａ」か「ディスドス・Ａ」パーツを装備して、敵ARを50体撃破する
114,103003,0,0,1102,500,全国対戦/キザナ共闘戦線で、「カーディナル・Ｗ」か「サブライガ・Ｗ」か「ディスドス・Ｗ」パーツを装備して、ナイスプレイを500回達成する
115,104001,0,0,550,1000000,キザナ共闘戦線で、敵エース(フェーズ3)に1000000ダメージ与える
116,104002,102,10,3001,1,キザナ共闘戦線で、連続10試合A+ランク以上で勝利する
117,105001,0,0,700,300,全国対戦/キザナ共闘戦線で、ポート占拠時間を300秒達成する
118,105002,0,0,502,50000,全国対戦/キザナ共闘戦線で、射撃武器で50000ダメージ与える
119,105003,0,0,500,50,全国対戦/キザナ共闘戦線で、敵ARを50体撃破する
120,106001,0,0,1103,3,全国対戦で、3回出撃する
121,106002,101,3,100,20,全国対戦/キザナ共闘戦線で、3試合敵マグを20体撃破する
122,106003,0,0,1102,300,全国対戦/キザナ共闘戦線で、ナイスプレイを300回達成する
123,106004,0,0,504,30000,全国対戦/キザナ共闘戦線で、敵ARに30000ダメージ与える
124,106005,0,0,1101,1,全国対戦で1回勝利する
125,106011,0,0,701,20,全国対戦/キザナ共闘戦線で、「アンゼロイ」パーツをいずれか１つ装備して、ポートを20回占拠する
126,106012,0,0,500,30,全国対戦/キザナ共闘戦線で、「アンゼロイ」パーツをいずれか１つ装備して、敵ARを30体撃破する
127,106013,0,0,900,40,全国対戦/キザナ共闘戦線で、「アンゼロイ」パーツをいずれか１つ装備して、40回フルドライブする
128,106021,0,0,501,20,全国対戦/キザナ共闘戦線で、「アンゼロイ・Ｈ」か「アンゼロイ・Ａ」パーツを装備して、自機がポート内にいる状態で、敵ARを20体撃破する
129,106022,0,0,1103,3,全国対戦で、「アンゼロイ・Ｗ」パーツを装備して、3回出撃する
130,106023,0,0,700,3000,全国対戦/キザナ共闘戦線で、「アンゼロイ・Ｂ」か「アンゼロイ・Ｌ」パーツを装備して、ポート占拠時間を3000秒達成する
131,106101,0,0,2000,3,アンゼロイキャンペーンを3個、クリアする
132,106102,0,0,2000,5,アンゼロイキャンペーンを5個、クリアする
133,106103,0,0,2000,8,アンゼロイキャンペーンを8個、クリアする
134,106104,0,0,2000,11,アンゼロイキャンペーンを11個、クリアする
135,106105,0,0,2000,14,アンゼロイキャンペーンを14個、クリアする
136,106106,0,0,2000,16,アンゼロイキャンペーンを16個、クリアする
137,107001,0,0,507,50000,全国対戦/キザナ共闘戦線で、ビーム武器で50000ダメージ与える
138,107002,0,0,500,10,全国対戦/キザナ共闘戦線で、敵ARを10体撃破する
139,107003,0,0,601,100000,全国対戦/キザナ共闘戦線で、アサルトで100000ダメージ与える
140,108001,0,0,503,30000,全国対戦/キザナ共闘戦線で、格闘武器で30000ダメージ与える
141,108002,0,0,505,30000,全国対戦/キザナ共闘戦線で、自機がポート内にいる状態で敵ARに30000ダメージ与える
142,108003,0,0,611,100000,全国対戦/キザナ共闘戦線で、ヴァンガードで100000ダメージ与える
143,109001,0,0,505,30000,全国対戦/キザナ共闘戦線で、自機がポート内にいる状態で敵ARに30000ダメージ与える
144,109002,101,3,100,15,全国対戦/キザナ共闘戦線で、3試合敵マグを15体撃破する
145,109003,0,0,621,5000,全国対戦/キザナ共闘戦線で、味方ARの耐久値を5000回復する
146,110001,0,0,700,1000,全国対戦/キザナ共闘戦線で、ポート占拠時間を1000秒達成する
147,110002,0,0,601,30000,全国対戦/キザナ共闘戦線で、アサルトで30000ダメージ与える
148,110003,101,10,1200,1,全国対戦/キザナ共闘戦線で、10試合敵コアにダメージを与える
149,111001,0,0,505,30000,全国対戦/キザナ共闘戦線で、自機がポート内にいる状態で敵ARに30000ダメージ与える
150,111002,0,0,611,30000,全国対戦/キザナ共闘戦線で、ヴァンガードで30000ダメージ与える
151,111003,0,0,701,20,全国対戦/キザナ共闘戦線で、ポートを20回占拠する
152,112001,0,0,701,20,全国対戦/キザナ共闘戦線で、ポートを20回占拠する
153,112002,101,3,620,2,全国対戦/キザナ共闘戦線で、3試合サポートで2分対戦する
154,112003,0,0,504,50000,全国対戦/キザナ共闘戦線で、敵ARに50000ダメージ与える
155,113001,0,0,508,50000,全国対戦/キザナ共闘戦線で、実弾武器で50000ダメージ与える
156,113002,101,3,100,15,全国対戦/キザナ共闘戦線で、3試合敵マグを15体撃破する
157,113003,0,0,601,100000,全国対戦/キザナ共闘戦線で、アサルトで100000ダメージ与える
158,114001,0,0,507,50000,全国対戦/キザナ共闘戦線で、ビーム武器で50000ダメージ与える
159,114002,0,0,505,30000,全国対戦/キザナ共闘戦線で、自機がポート内にいる状態で敵ARに30000ダメージ与える
160,114003,0,0,700,1500,全国対戦/キザナ共闘戦線で、ポート占拠時間を1500秒達成する
161,115001,0,0,504,50000,全国対戦/キザナ共闘戦線で、敵ARに50000ダメージ与える
162,115002,101,3,620,2,全国対戦/キザナ共闘戦線で、3試合サポートで2分対戦する
163,115003,0,0,505,50000,全国対戦/キザナ共闘戦線で、自機がポート内にいる状態で敵ARに50000ダメージ与える
164,116001,0,0,611,20000,全国対戦/キザナ共闘戦線で、「ソリディア・Ｈ」か「ゴールテン・D・Ｈ」か「スクラッパー・Ｈ」か「ファルマコン・Ｈ」パーツを装備して、ヴァンガードで20000ダメージ与える
165,116002,0,0,701,30,全国対戦/キザナ共闘戦線で、「ソリディア・Ｌ」か「ゴールテン・D・Ｌ」か「スクラッパー・Ｌ」か「ファルマコン・Ｌ」パーツを装備して、ポートを30回占拠する
166,116003,0,0,501,50,全国対戦/キザナ共闘戦線で、「ソリディア・Ｗ」か「ゴールテン・D・Ｗ」か「スクラッパー・Ｗ」か「ファルマコン・Ｗ」パーツを装備して、自機がポート内にいる状態で、敵ARを50体撃破する
167,117001,0,0,506,50000,全国対戦/キザナ共闘戦線で、ポート占拠中の敵ARに50000ダメージ与える
168,117002,0,0,500,10,全国対戦/キザナ共闘戦線で、敵ARを10体撃破する
169,117003,0,0,601,100000,全国対戦/キザナ共闘戦線で、アサルトで100000ダメージ与える
170,118001,0,0,503,30000,全国対戦/キザナ共闘戦線で、格闘武器で30000ダメージ与える
171,118002,0,0,505,30000,全国対戦/キザナ共闘戦線で、自機がポート内にいる状態で敵ARに30000ダメージ与える
172,118003,0,0,611,100000,全国対戦/キザナ共闘戦線で、ヴァンガードで100000ダメージ与える
173,119001,0,0,504,50000,全国対戦/キザナ共闘戦線で、敵ARに50000ダメージ与える
174,119002,0,0,700,1500,全国対戦/キザナ共闘戦線で、ポート占拠時間を1500秒達成する
175,119003,101,5,620,2,全国対戦/キザナ共闘戦線で、5試合サポートで2分対戦する
176,120001,0,0,700,1000,全国対戦/キザナ共闘戦線で、ポート占拠時間を1000秒達成する
177,120002,0,0,503,50000,全国対戦/キザナ共闘戦線で、格闘武器で50000ダメージ与える
178,120003,0,0,505,100000,全国対戦/キザナ共闘戦線で、自機がポート内にいる状態で敵ARに100000ダメージ与える
179,121001,0,0,507,50000,全国対戦/キザナ共闘戦線で、ビーム武器で50000ダメージ与える
180,121002,0,0,502,100000,全国対戦/キザナ共闘戦線で、射撃武器で100000ダメージ与える
181,121003,0,0,500,100,全国対戦/キザナ共闘戦線で、敵ARを100体撃破する
182,122001,0,0,1003,3,キザナ共闘戦線で、3回願掛けを成功する
183,122002,0,0,1002,3,キザナ共闘戦線で、3回ブリーフィングで「あいさつ」する
184,122003,0,0,3001,3,キザナ共闘戦線で、A+ランク以上で3回勝利する
185,122004,0,0,500,10,キザナ共闘戦線で、敵ARを10体撃破する
186,122005,0,0,3005,1,キザナ共闘戦線で、1度も撃破されずに1回勝利する
187,122011,0,0,100,30,キザナ共闘戦線で、敵マグを30体撃破する
188,122012,0,0,251,8000,キザナ共闘戦線で、Xマグに8000ダメージ与える
189,122013,0,0,502,50000,キザナ共闘戦線で、射撃武器で50000ダメージ与える
190,122021,0,0,550,10000,キザナ共闘戦線で、敵エース(フェーズ3)に10000ダメージ与える
191,122022,0,0,550,30000,キザナ共闘戦線で、敵エース(フェーズ3)に30000ダメージ与える
192,122023,0,0,550,50000,キザナ共闘戦線で、敵エース(フェーズ3)に50000ダメージ与える
193,122101,0,0,2000,3,オキサイド鹵獲ミッションを3個、クリアする
194,122102,0,0,2000,5,オキサイド鹵獲ミッションを5個、クリアする
195,122103,0,0,2000,8,オキサイド鹵獲ミッションを8個、クリアする
196,122104,0,0,2000,11,オキサイド鹵獲ミッションを11個、クリアする
197,122105,0,0,2000,14,オキサイド鹵獲ミッションを14個、クリアする
198,122106,0,0,2000,16,オキサイド鹵獲ミッションを16個、クリアする
199,123001,0,0,1103,2,全国対戦/キザナ共闘戦線で、「カーディナル・Ｈ」か「サイトヘッド・Ｈ」パーツを装備して、2回出撃する
200,123002,0,0,1102,60,全国対戦/キザナ共闘戦線で、「カーディナル・Ｂ」か「サイトヘッド・Ｂ」パーツを装備して、ナイスプレイを60回達成する
201,123003,0,0,504,20000,全国対戦/キザナ共闘戦線で、「カーディナル・Ａ」か「サイトヘッド・Ａ」パーツを装備して、敵ARに20000ダメージ与える
202,123004,0,0,700,500,全国対戦/キザナ共闘戦線で、「カーディナル・Ｌ」か「サイトヘッド・Ｌ」パーツを装備して、ポート占拠時間を500秒達成する
203,123005,0,0,900,30,全国対戦/キザナ共闘戦線で、「カーディナル・Ｗ」か「サイトヘッド・Ｗ」パーツを装備して、30回フルドライブする
204,124001,0,0,1102,100,全国対戦で、ナイスプレイを100回達成する
205,124002,0,0,1102,500,全国対戦で、ナイスプレイを500回達成する
206,124003,0,0,1102,1000,全国対戦で、ナイスプレイを1000回達成する
207,124004,0,0,1102,2000,全国対戦で、ナイスプレイを2000回達成する
208,124005,0,0,1102,5000,全国対戦で、ナイスプレイを5000回達成する
209,125001,0,0,1103,3,全国対戦で、3回出撃する
210,125002,101,3,100,20,全国対戦/キザナ共闘戦線で、3試合敵マグを20体撃破する
211,125003,0,0,1102,300,全国対戦/キザナ共闘戦線で、ナイスプレイを300回達成する
212,125004,0,0,504,30000,全国対戦/キザナ共闘戦線で、敵ARに30000ダメージ与える
213,125005,0,0,1101,1,全国対戦で1回勝利する
214,125011,0,0,701,20,全国対戦/キザナ共闘戦線で、「エタニティ」パーツをいずれか１つ装備して、ポートを20回占拠する
215,125012,0,0,500,30,全国対戦/キザナ共闘戦線で、「エタニティ」パーツをいずれか１つ装備して、敵ARを30体撃破する
216,125013,0,0,900,20,全国対戦/キザナ共闘戦線で、「エタニティ」パーツをいずれか１つ装備して、20回フルドライブする
217,125021,0,0,501,20,全国対戦/キザナ共闘戦線で、「エタニティ・Ｈ」か「エタニティ・Ａ」パーツを装備して、自機がポート内にいる状態で、敵ARを20体撃破する
218,125022,0,0,1103,3,全国対戦で、「エタニティ・Ｗ」パーツを装備して、3回出撃する
219,125023,0,0,700,1500,全国対戦/キザナ共闘戦線で、「エタニティ・Ｂ」か「エタニティ・Ｌ」パーツを装備して、ポート占拠時間を1500秒達成する
220,125101,0,0,2000,3,エタニティキャンペーンを3個、クリアする
221,125102,0,0,2000,5,エタニティキャンペーンを5個、クリアする
222,125103,0,0,2000,8,エタニティキャンペーンを8個、クリアする
223,125104,0,0,2000,11,エタニティキャンペーンを11個、クリアする
224,125105,0,0,2000,14,エタニティキャンペーンを14個、クリアする
225,125106,0,0,2000,16,エタニティキャンペーンを16個、クリアする
226,126001,0,0,5020,180000,50時間対戦する
227,126002,0,0,5020,270000,75時間対戦する
228,126003,0,0,5020,360000,100時間対戦する
229,127001,0,0,1103,100,100回出撃する
230,127002,0,0,1103,10000,10000回出撃する
231,127003,0,0,1103,20000,20000回出撃する
232,128001,0,0,1003,100,100回願掛けを成功する
233,128002,0,0,1003,500,500回願掛けを成功する
234,128003,0,0,1003,1000,1000回願掛けを成功する
235,128004,0,0,1003,5000,5000回願掛けを成功する
236,128005,0,0,1003,10000,10000回願掛けを成功する
237,129001,0,0,1101,5,5回勝利する
238,129002,0,0,1101,10,10回勝利する
239,129003,0,0,1101,100,100回勝利する
240,129004,0,0,1101,1000,1000回勝利する
241,129005,0,0,1101,10000,10000回勝利する
242,130001,0,0,5022,10000000,累計リザルトスコア10000000を達成する
243,130002,0,0,5022,50000000,累計リザルトスコア50000000を達成する
244,130003,0,0,5022,100000000,累計リザルトスコア100000000を達成する
245,130004,0,0,5022,500000000,累計リザルトスコア500000000を達成する
246,131001,0,0,500,1000,敵ARを1000体撃破する
247,131002,0,0,500,5000,敵ARを5000体撃破する
248,131003,0,0,500,10000,敵ARを10000体撃破する
249,132001,0,0,5000,25,累計で25日ログインする
250,132002,0,0,5000,50,累計で50日ログインする
251,132003,0,0,5000,100,累計で100日ログインする
252,132004,0,0,5000,222,累計で222日ログインする
253,132005,0,0,5000,365,累計で365日ログインする
254,133001,0,0,5001,4,連続で4日ログインする
255,133002,0,0,5001,5,連続で5日ログインする
256,133003,0,0,5001,6,連続で6日ログインする
257,133004,0,0,5001,7,連続で7日ログインする
258,134001,0,0,5023,50,称号を50個獲得する
259,134002,0,0,5023,100,称号を100個獲得する
260,134003,0,0,5023,150,称号を150個獲得する
261,135001,0,0,4000,5,スペシャルウェポンを5回使用する
262,135002,0,0,4000,30,スペシャルウェポンを30回使用する
263,135003,0,0,4000,1000,スペシャルウェポンを1000回使用する
264,136001,0,0,4001,2,クロスバーストを2回成功する
265,136002,0,0,4001,10,クロスバーストを10回成功する
266,136003,0,0,4001,500,クロスバーストを500回成功する
267,137001,0,0,5020,3600,AR「ソリディア」で、1時間対戦する
268,137002,0,0,5020,36000,AR「ソリディア」で、10時間対戦する
269,137003,0,0,5020,108000,AR「ソリディア」で、30時間対戦する
270,137004,0,0,5020,180000,AR「ソリディア」で、50時間対戦する
271,138001,0,0,1103,100,AR「ソリディア」で、100回出撃する
272,138002,0,0,1103,200,AR「ソリディア」で、200回出撃する
273,138003,0,0,1103,300,AR「ソリディア」で、300回出撃する
274,138004,0,0,1103,500,AR「ソリディア」で、500回出撃する
275,138005,0,0,1103,1000,AR「ソリディア」で、1000回出撃する
276,139001,0,0,1101,100,AR「ソリディア」で、100回勝利する
277,139002,0,0,1101,200,AR「ソリディア」で、200回勝利する
278,139003,0,0,1101,300,AR「ソリディア」で、300回勝利する
279,139004,0,0,1101,500,AR「ソリディア」で、500回勝利する
280,140001,102,3,1101,1,AR「ソリディア」で、連続3試合勝利する
281,140002,102,5,1101,1,AR「ソリディア」で、連続5試合勝利する
282,140003,102,10,1101,1,AR「ソリディア」で、連続10試合勝利する
283,141001,0,0,5020,3600,AR「CU・レイター」で、1時間対戦する
284,141002,0,0,5020,36000,AR「CU・レイター」で、10時間対戦する
285,141003,0,0,5020,108000,AR「CU・レイター」で、30時間対戦する
286,141004,0,0,5020,180000,AR「CU・レイター」で、50時間対戦する
287,142001,0,0,1103,100,AR「CU・レイター」で、100回出撃する
288,142002,0,0,1103,200,AR「CU・レイター」で、200回出撃する
289,142003,0,0,1103,300,AR「CU・レイター」で、300回出撃する
290,142004,0,0,1103,500,AR「CU・レイター」で、500回出撃する
291,142005,0,0,1103,1000,AR「CU・レイター」で、1000回出撃する
292,143001,0,0,1101,100,AR「CU・レイター」で、100回勝利する
293,143002,0,0,1101,200,AR「CU・レイター」で、200回勝利する
294,143003,0,0,1101,300,AR「CU・レイター」で、300回勝利する
295,143004,0,0,1101,500,AR「CU・レイター」で、500回勝利する
296,144001,102,3,1101,1,AR「CU・レイター」で、連続3試合勝利する
297,144002,102,5,1101,1,AR「CU・レイター」で、連続5試合勝利する
298,144003,102,10,1101,1,AR「CU・レイター」で、連続10試合勝利する
299,145001,0,0,5020,3600,AR「ゴールテン・D」で、1時間対戦する
300,145002,0,0,5020,36000,AR「ゴールテン・D」で、10時間対戦する
301,145003,0,0,5020,108000,AR「ゴールテン・D」で、30時間対戦する
302,145004,0,0,5020,180000,AR「ゴールテン・D」で、50時間対戦する
303,146001,0,0,1103,100,AR「ゴールテン・D」で、100回出撃する
304,146002,0,0,1103,200,AR「ゴールテン・D」で、200回出撃する
305,146003,0,0,1103,300,AR「ゴールテン・D」で、300回出撃する
306,146004,0,0,1103,500,AR「ゴールテン・D」で、500回出撃する
307,146005,0,0,1103,1000,AR「ゴールテン・D」で、1000回出撃する
308,147001,0,0,1101,100,AR「ゴールテン・D」で、100回勝利する
309,147002,0,0,1101,200,AR「ゴールテン・D」で、200回勝利する
310,147003,0,0,1101,300,AR「ゴールテン・D」で、300回勝利する
311,147004,0,0,1101,500,AR「ゴールテン・D」で、500回勝利する
312,148001,102,3,1101,1,AR「ゴールテン・D」で、連続3試合勝利する
313,148002,102,5,1101,1,AR「ゴールテン・D」で、連続5試合勝利する
314,148003,102,10,1101,1,AR「ゴールテン・D」で、連続10試合勝利する
315,149001,0,0,5020,3600,AR「サイトヘッド」で、1時間対戦する
316,149002,0,0,5020,36000,AR「サイトヘッド」で、10時間対戦する
317,149003,0,0,5020,108000,AR「サイトヘッド」で、30時間対戦する
318,149004,0,0,5020,180000,AR「サイトヘッド」で、50時間対戦する
319,150001,0,0,1103,100,AR「サイトヘッド」で、100回出撃する
