---,Attribute,DamageValue,CrossBreakDamageRate,TAGComboStart,ArmorDamageValue,ShieldDamageValue,ShieldAreaDamageValue,MobDamageValue,MobBigDamageValue,MidStrongholdDamageValue,GuardStrongholdDamageValue,StrongholdDamageValue,DownValue,CrossBreakDownValueRate,HeadShotRate,CriticalHitRate,ScoreRate,ScoreRateNonPlayer,MyDamageRate,FriendDamageRate,VsBossDamageRate,VsBossDownValueRate,FlinchValue,ReactionType,DamageType,AbnormalStateType,AbnormalStateValue,AbnormalStateTime,BlowOffPowerValue,BlowOffType,BlowOffPitchDeg,BlowOffYawDeg,FlinchTime,KnockBackPowerValue,KnockBackPowerValueShield,PeculiarDamageType,PeculiarDamageValue,Mob3Damage,AttackHitStopTime,DamageHitStopTime,ShakeType,StrengthShake,ShakeRate
ATK_ShotGun_Bullet01,Bullet,10,1.8,15,10,10,10,20,4,0,2,6,50,75,0,1,1,1,1,1,3,1,350,Flinch,InvincibleBlowOff,None,0,0,0,Unit,0,0,0.4,1500,0,None,0,False,0,0.03,ImpactDynamic,0.2,1
ATK_ShotGun_Bullet02,Bullet,10,1.8,15,10,10,10,20,4,0,2,6,50,75,0,1,1,1,1,1,3,1,350,Flinch,InvincibleBlowOff,None,0,0,0,Unit,0,0,0.4,1500,0,None,0,False,0,0.03,ImpactDynamic,0.2,1
ATK_ShotGun_Bullet03,Bullet,10,1.8,15,10,10,10,20,2,0,1,6,50,75,0,1,1,1,1,1,3,1,350,Flinch,InvincibleBlowOff,None,0,0,0,Unit,0,0,0.4,1500,0,None,0,False,0,0.03,ImpactDynamic,0.2,1
ATK_ShotGun_Bullet04,Bullet,10,1.8,15,10,10,10,20,2,0,1,6,50,75,0,1,1,1,1,1,3,1,350,Flinch,InvincibleBlowOff,None,0,0,0,Unit,0,0,0.4,1500,0,None,0,False,0,0.03,ImpactDynamic,0.2,1
ATK_ShotGun_Bullet05,Bullet,10,1.8,15,10,10,10,20,2,0,1,6,50,75,0,1,1,1,1,1,3,1,350,Flinch,InvincibleBlowOff,None,0,0,0,Unit,0,0,0.4,1500,0,None,0,False,0,0.03,ImpactDynamic,0.2,1
ATK_BeamNet_Bullet01,Beam,40,1,60,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,None,InvincibleBlowOff,Palsy,1000,2.5,0,Unit,0,0,0,0,0,None,0,False,0,0.02,ImpactDynamic,1.5,1
ATK_CoilGun_Bullet01,Bullet,20,1.5,0,50,50,50,150,100,0,50,150,0,0,0,1,1,1,1,1,1.5,1,0,None,InvincibleBlowOff,Palsy,1000,2,0,Unit,0,0,0,0,0,None,0,False,0,0.1,ImpactStatic,5,1
ATK_MachineGun_Type02_Bullet01,Bullet,5,2.5,7.5,11,20,20,40,22,0,9,25,0,40,0,1,1,1,1,1,2,1,0,None,InvincibleBlowOff,None,0,0,0,Unit,0,0,0,0,0,None,0,False,0,0,ImpactStatic,0.1,0.7
ATK_BeamMagnum_Bullet01,Beam,80,2,120,120,200,230,180,200,0,100,240,0,500,0,1.05,1,1,1,1,1,1,0,None,InvincibleBlowOff,None,0,0,0,Unit,0,0,0.6,1500,0,None,0,False,0,0.06,DampedDynamic,2,1.5
ATK_7WayBeam_Bullet01,Beam,60,2.25,150,55,200,200,150,200,0,100,250,0,500,0,1,1,1,1,1,2,1,1000,Flinch,InvincibleBlowOff,None,0,0,0,Unit,0,0,0.6,2500,2500,None,0,True,0,0.02,DampedStatic,0.5,1
ATK_MultipleGrenadeLauncher_Bullet01,Rocket,25,1.5,50,40,80,60,80,50,0,20,70,100,100,0,1,1,1,1,1,1,1,0,None,InvincibleBlowOff,None,0,0,0,Unit,0,0,0,0,0,None,0,False,0,0.01,ImpactStatic,1,1
ATK_BeamMachineGun_Bullet01,Beam,20,1.5,20,20,20,20,20,30,0,20,40,0,80,0,1,1,1,1,1,1,1,0,None,InvincibleBlowOff,None,0,0,0,Unit,0,0,0,0,0,None,0,False,0,0,ImpactStatic,0.1,0.7
ATK_GatlingGun_Type02_Bullet01,Bullet,6,2.8,12,19,18,18,25,15,0,9,32,25,50,0,1,1,1,1,1,0.8,1,0,None,InvincibleBlowOff,None,0,0,0,Unit,0,0,0.5,2000,0,None,0,False,0,0,ImpactStatic,0.1,0.7
ATK_GatlingGun_Type02_Bullet02,Bullet,6,2.8,12,18,18,18,25,15,0,9,32,25,50,0,1,1,1,1,1,0.8,1,0,None,InvincibleBlowOff,None,0,0,0,Unit,0,0,0,0,0,None,0,False,0,0,ImpactStatic,0.1,0.7
ATK_HealGun_Bullet01,Heal,0,1,-100,0,0,0,0,0,0,0,0,0,0,0,1,0.45,1,1,1,1,1,0,None,InvincibleBlowOff,None,0,0,0,Unit,0,0,0,0,0,None,0,False,0,0,None,1,1
ATK_PowerUpGun_Bullet01,Normal,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,None,InvincibleBlowOff,BuffAtk,1000,6.5,0,Unit,0,0,0,0,0,UseException,1.5,False,0,0,None,1,1
ATK_GatlingGun_Bullet01,Bullet,6,2.9,12,13,22,18,20,8,0,6,16,25,50,0,1,1,1,1,1,0.8,1,0,None,InvincibleBlowOff,None,0,0,0,Unit,0,0,0.5,2000,0,None,0,False,0,0,ImpactStatic,0.1,0.7
ATK_GatlingGun_Bullet02,Bullet,6,2.9,12,12,20,15,17,7,0,4,13,25,50,0,1,1,1,1,1,0.8,1,0,None,InvincibleBlowOff,None,0,0,0,Unit,0,0,0,0,0,None,0,False,0,0,ImpactStatic,0.1,0.7
ATK_ReverseGun_Bullet01,Beam,20,1.5,24,15,40,40,10,15,0,10,20,0,96,0,1,1,1,1,1,1,1,0,None,InvincibleBlowOff,None,0,0,0,Unit,0,0,0,0,0,None,0,False,0,0.07,ImpactDynamic,1,1
ATK_LaserRifle_Bullet01,Laser,50,1.5,50,50,50,50,45,35,0,25,50,0,200,0,1,1,1,1,1,1,1,350,Flinch,InvincibleBlowOff,None,0,0,0,Unit,0,0,0,0,0,None,0,False,0,0.02,RapidDynamic,1,1
ATK_HandGun_Type02_Bullet01,Bullet,10.5,3.25,21,18,15,15,20,14,0,7,27,0,125,0,1,1,1,1,1,1,1,0,None,InvincibleBlowOff,None,0,0,0,Unit,0,0,0,500,0,None,0,False,0,0.06,ImpactStatic,0.1,0.7
ATK_FlameThrower_Bullet01,Normal,4,3.5,6,9,14,14,15,11,0,7,14,0,50,0,1,1.1,1,1,1,2,1,0,None,InvincibleBlowOff,Burning,1000,6,0,Unit,0,0,0,0,0,UseException,1,False,0,0,ImpactStatic,0.1,0.7
ATK_IceGun_Bullet01,Normal,110,1.5,70,150,100,100,150,232,0,116,285,0,280,0,1,1,1,1,1,1,1,0,None,InvincibleBlowOff,Freeze,1000,5,0,Unit,0,0,0,0,0,UseException,0.9,False,0,0.02,DampedDynamic,1,1
ATK_IceGun_Bullet02,Normal,75,1.5,47,75,75,75,0,0,0,0,0,0,188,0,1,1,1,1,1,1,1,0,None,InvincibleBlowOff,None,0,0,0,Unit,0,0,0,0,0,None,0,False,0,0.02,DampedDynamic,1,1
ATK_HealLaser_Bullet01,Heal,12,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,None,InvincibleBlowOff,None,0,0,0,Unit,0,0,0,0,0,None,0,False,0,0,None,1,1
ATK_BeamRifle_Type02_Bullet01,Beam,68,2.2,111,88,150,150,140,130,0,60,160,0,500,0,1,1,1,1,1,1,1,0,None,InvincibleBlowOff,None,0,0,0,Unit,0,0,0,0,0,None,0,False,0,0.02,ImpactStatic,1,1.2
ATK_RocketLauncher_Type02_Bullet01,Rocket,0,1.5,0,40,80,60,70,70,0,20,80,0,0,0,1,1,1,1,1,1,1,0,None,InvincibleBlowOff,None,0,0,0,Unit,0,0,0,0,0,None,0,False,0,0.03,ImpactStatic,1,1
ATK_BothBeamRifle_Bullet01,Beam,100,1.5,150,140,180,180,150,400,0,200,425,500,500,0,1,1,1,1,1,1,1,1000,Flinch,InvincibleBlowOff,None,0,0,7000,Unit,50,0,0.4,0,0,None,0,False,0,0.2,DampedDynamic,1,1
ATK_BothBeamRifle_Bullet02,Beam,100,1.5,150,140,180,180,150,400,0,200,425,500,500,0,1,1,1,1,1,1,1,1000,Flinch,InvincibleBlowOff,None,0,0,7000,Unit,50,0,0.4,0,0,None,0,False,0,0.2,DampedDynamic,1,1
ATK_BothBeamRifle_Bullet03,Beam,50,2,60,75,100,100,100,130,0,65,157,175,250,0,1,1,1,1,1,1,1,1000,BlowOff,InvincibleBlowOff,None,0,0,7000,Unit,40,0,0.8,0,0,None,0,False,0,0.1,DampedStatic,1,1.5
ATK_BothBeamRifle_Bullet05,Beam,24,2.5,48,40,125,125,150,60,0,30,95,75,200,0,1,1,1,1,1,1,1,1000,Flinch,InvincibleBlowOff,None,0,0,0,Unit,0,0,0.3,2000,0,None,0,False,0,0.02,DampedDynamic,1,1
ATK_PlasmaGun_Bullet01,Beam,100,1.8,80,100,45,45,25,30,0,10,110,600,600,0,1,1,1,1,1,1,1,0,None,InvincibleBlowOff,None,0,0,0,Unit,0,0,0,0,0,None,0,False,0,0,DampedDynamic,2,1
ATK_BothHandsRocketLauncher_Bullet01,Rocket,0,1.5,0,50,25,25,50,60,0,30,110,0,0,0,1,1,1,1,1,1,1,0,None,InvincibleBlowOff,None,0,0,0,Unit,0,0,1,4000,0,None,0,False,0,0.02,ImpactStatic,1,1
ATK_BothHandsRocketLauncher_Bullet02,Rocket,0,1.5,0,50,25,25,50,60,0,30,110,0,0,0,1,1,1,1,1,1,1,0,None,InvincibleBlowOff,None,0,0,0,Unit,0,0,1,4000,0,None,0,False,0,0.02,ImpactStatic,1,1
ATK_GatlingGunAndRocketLauncher_Bullet01,Bullet,24,1.9,60,20,20,20,50,22,0,11,24,100,175,0,1,1,1,1,1,1,1,0,None,InvincibleBlowOff,None,0,0,0,Unit,0,0,0,0,0,None,0,False,0,0.01,ImpactStatic,1,1
ATK_GatlingGunAndRocketLauncher_Bullet02,Bullet,6,2.75,12,17,17,17,22,14,0,7,19,25,50,0,1,1,1,1,1,1,1,0,None,InvincibleBlowOff,None,0,0,0,Unit,0,0,0,0,0,None,0,False,0,0,DampedDynamic,1,1
ATK_GatlingGunAndRocketLauncher_Bullet03,Bullet,6,2.75,12,17,17,17,22,14,0,7,19,25,50,0,1,1,1,1,1,1,1,0,None,InvincibleBlowOff,None,0,0,0,Unit,0,0,0,0,0,None,0,False,0,0,DampedDynamic,1,1
ATK_Cannon_Bullet01,Rocket,80,4.7,96,200,300,350,150,180,0,90,350,500,1000,0,1,1,1,1,1,1,1,1000,BlowOff,InvincibleBlowOff,None,0,0,10000,Unit,20,0,0,0,0,None,0,False,0,0,ImpactDynamic,1,1
ATK_Cannon_Bullet02,Rocket,0,1.5,0,0,350,450,150,40,0,20,200,0,0,0,1,1,1,1,1,1,1,0,None,InvincibleBlowOff,None,0,0,10000,Unit,30,0,0,0,0,None,0,False,0,0,ImpactDynamic,1,1
ATK_TwinBastardRifle_Bullet01,Laser,40,2,16,50,500,100,100,400,0,200,550,100,200,0,1,1,1,1,1,1,1,1000,Flinch,InvincibleBlowOff,None,0,0,0,Unit,0,0,0.8,800,0,None,0,False,0,0.02,RapidDynamic,1,1
ATK_BeamMachineGun_Type02_Bullet01,Beam,6.5,2.1,10,10,20,20,73,32,0,15,48,0,50,0,1,1,1,1,1,1,1,0,None,InvincibleBlowOff,None,0,0,0,Unit,0,0,0,0,0,None,0,False,0,0,ImpactStatic,0.1,0.7
ATK_HarpoonGun_Bullet01,Bullet,200,1.5,1000,200,500,500,290,600,0,300,600,0,1000,0,1,1,1,1,1,1,0.5,0,None,HarpoonBlowOff,None,0,0,30000,Unit,0,0,0,0,0,None,0,False,0,0.1,ImpactStatic,3,1
ATK_SnakeGun_Bullet01,Beam,25,1.5,40,35,35,35,25,25,0,20,20,0,160,0,1,1,1,1,1,1,1,0,None,InvincibleBlowOff,None,0,0,0,Unit,0,0,0,0,0,None,0,False,0,0.02,DampedDynamic,1,1
ATK_SniperRifle_Bullet01,Beam,360,1.65,288,500,1200,600,800,696,0,348,1000,1000,1000,0,1,1,1,1,1,0.6,0.3,0,None,InvincibleBlowOff,None,0,0,10000,UnitXY,30,0,0,0,0,None,0,False,0,0.15,ImpactStatic,1.2,1.4
ATK_BeamMagnum_Type02_Bullet01,Beam,200,1.5,175,200,200,200,240,160,0,110,225,0,700,0,1,1,1,1,1,1,1,0,None,InvincibleBlowOff,None,0,0,0,Unit,0,0,0.6,1500,0,None,0,False,0,0.3,DampedStatic,1,1.5
ATK_Laser_Bullet01,Laser,36,1.2,29,46,90,90,50,28,0,21,42,100,100,0,1,1,1,1,1,0.6,0.6,350,Flinch,InvincibleBlowOff,None,0,0,0,Unit,0,0,0.2,500,0,None,0,False,0,0.05,RapidDynamic,1,1
ATK_TacticalNuclear_Bullet01,Rocket,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.2,0.2,0,None,InvincibleBlowOff,None,0,0,0,Unit,0,0,0,0,0,None,0,False,0,0,None,1,1
ATK_SatelliteCannon_Bullet01,Laser,32,1.55,80,80,90,100,80,72,0,35,53,100,100,0,1,1,1,0,0,0.6,0.6,500,Flinch,InvincibleBlowOff,None,0,0,0,Unit,0,0,0,0,0,None,0,False,0,0.03,RapidDynamic,1,1
ATK_BoundBubble_Bullet01,Normal,145,1.5,190,160,200,250,500,166,0,83,200,0,760,0,1,1,1,1,1,1,1,1000,Flinch,InvincibleBlowOff,None,0,0,0,Unit,0,0,1,500,0,None,0,True,0,0.01,None,1,1
ATK_BoundBubble_Bullet02,Normal,145,1.5,190,160,200,250,500,166,0,83,200,0,760,0,1,1,1,1,1,1,1,1000,Flinch,InvincibleBlowOff,None,0,0,0,Unit,0,0,1,500,0,None,0,True,0,0.01,None,1,1
ATK_PowerUpGunType02_Bullet01,Normal,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,None,InvincibleBlowOff,BuffBooster,1000,9,0,Unit,0,0,0,0,0,UseException,0.6,False,0,0,None,1,1
ATK_MobHijackJammer_Bullet01,Normal,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,None,InvincibleBlowOff,None,0,0,0,Unit,0,0,0,0,0,MobHijack,0,False,0,0,None,1,1
ATK_RestraintWideShot_Bullet01,Beam,108,2.35,189,120,200,250,180,200,0,100,650,0,1000,0,1,1,1,1,1,1.5,1,0,None,InvincibleBlowOff,BondageAttack,1000,2.5,0,Unit,0,0,0,0,0,None,0,False,0,0.02,DampedDynamic,1,1
ATK_BeamHandGun_Bullet01,Beam,8,3.25,16,23,26,29,50,16,0,10,27,0,100,0,1,1,1,1,1,1,1,0,None,InvincibleBlowOff,None,0,0,0,Unit,0,0,0,0,0,None,0,False,0,0.03,ImpactStatic,0.1,0.7
ATK_LaserRifleType02_Bullet01,Laser,50,1.5,50,50,50,50,45,35,0,25,50,0,200,0,1,1,1,1,1,1,1,350,Flinch,InvincibleBlowOff,None,0,0,0,Unit,0,0,0,0,0,None,0,False,0,0.02,RapidDynamic,1,1
ATK_ChargeSpreadLaser_Bullet01,Laser,110,1.2,88,240,165,32,150,28,0,14,38,350,350,0,1,1,1,1,1,0.2,0.2,1000,Flinch,InvincibleBlowOff,None,0,0,7000,Unit,30,0,0.4,0,0,None,0,True,0,0.2,RapidDynamic,1,1
ATK_ChargeSpreadLaser_Bullet02,Laser,90,1.2,180,240,165,32,150,28,0,14,38,350,350,0,1,1,1,1,1,0.2,0.2,1000,BlowOff,InvincibleBlowOff,None,0,0,7000,Unit,30,0,0,0,0,None,0,True,0,0.2,RapidDynamic,1,1
ATK_BeamSaber_Grap01,BeamGrap,90,1.4,100,160,200,200,150,236,0,118,250,400,300,0,1,1,1,1,1,3,1.2,1000,Flinch,InvincibleBlowOff,None,0,0,0,Unit,0,0,1,2500,0,None,0,False,0,0,DampedDynamic,5,1
ATK_BeamSaber_Grap02,BeamGrap,80,1.4,0,140,200,200,80,218,0,109,170,0,200,0,1,1,1,1,1,3,1.2,1000,Flinch,InvincibleBlowOff,None,0,0,0,Unit,0,0,1,3500,0,None,0,False,0,0,DampedDynamic,5,1
ATK_BeamSaber_Grap03,BeamGrap,150,1.4,156,200,300,300,180,498,0,249,320,600,500,0,1,1,1,1,1,3,1.2,0,None,InvincibleBlowOff,None,0,0,15000,OwnerXY,-10,0,0,0,0,None,0,False,0.05,0.05,DampedDynamic,10,5
ATK_Boomerang_Bullet01,Beam,30,1.2,120,80,110,80,55,95,0,40,125,0,100,0,1,1,1,1,1,1,1,1000,Flinch,InvincibleBlowOff,None,0,0,0,Unit,0,0,0.4,800,0,None,0,False,0,0.2,ImpactDynamic,1,1
ATK_Boomerang_Bullet01_Atk02,Beam,30,1.2,120,80,110,80,55,95,0,40,125,0,100,0,1,1,1,1,1,1,1,1000,Flinch,InvincibleBlowOff,None,0,0,0,Unit,0,0,0.4,800,0,None,0,False,0,0.2,ImpactDynamic,1,1
ATK_RocketPunch_Bullet01,Rocket,200,1.5,300,400,400,500,250,578,0,289,650,0,1000,0,1,1,1,1,1,1,1,1000,BlowOff,InvincibleBlowOff,None,0,0,10000,Unit,25,0,0.4,6000,0,None,0,False,0,0.1,ImpactStatic,3,1
ATK_Anchor_Bullet01,Normal,0,1.5,100,0,0,0,0,0,0,0,0,0,400,0,1,1,1,1,1,1,1,0,None,InvincibleBlowOff,None,0,0,0,Unit,0,0,0,0,0,None,0,False,0,0,ImpactDynamic,1,1
ATK_Anchor_Grap01,Grap,200,1.5,125,150,200,200,100,150,0,100,200,0,500,0,1,1,1,1,1,1,1,1000,BlowOff,InvincibleBlowOff,None,0,0,0,Unit,50,0,0,0,0,None,0,False,0.1,0.1,ImpactDynamic,1,1
ATK_BeamSickle_Grap01,Grap,200,1.6,480,240,300,300,500,650,0,300,420,600,1000,0,1,1,1,1,1,3,1.2,1000,BlowOff,InvincibleBlowOff,None,0,0,10000,Owner,25,-10,0,0,0,None,0,False,0.25,0.25,ImpactDynamic,3,1
ATK_BeamSickle_Bullet01,Beam,24,3.5,96,40,100,100,150,90,0,35,120,0,350,0,1,1,1,1,1,1,1,0,None,InvincibleBlowOff,None,0,0,0,Unit,0,0,0.8,0,0,None,0,False,0,0.02,ImpactStatic,1,1.2
ATK_Lance_Grap01,Grap,40,1.3,0,120,100,100,400,740,0,370,700,400,400,0,1,1,1,1,1,10,5,0,None,InvincibleBlowOff,None,0,0,0,Unit,0,0,0,0,0,None,0,False,0.1,0.1,DampedDynamic,8,1
ATK_Lance_Grap02,Grap,10,1.3,20,12,20,20,0,0,0,0,0,0,0,0,1,1,1,1,1,0.1,1,0,None,InvincibleBlowOff,None,0,0,0,Unit,0,0,0,0,0,None,0,False,0,0,ImpactRandom,1,1
ATK_Lance_Grap03,Grap,100,1.3,200,180,180,180,0,0,0,0,0,600,600,0,1,1,1,1,1,0.1,1,0,None,InvincibleBlowOff,None,0,0,15000,OwnerXY,30,0,0,0,0,None,0,False,0,0,ImpactDynamic,5,1
ATK_DoubleRocketPunch_Bullet01,Rocket,160,1.2,200,300,450,500,460,290,0,200,460,500,500,0,1,1,1,1,1,1,1,1000,Flinch,InvincibleBlowOff,None,0,0,10000,Unit,30,0,0.4,6000,0,None,0,False,0,0.12,ImpactStatic,3,1
ATK_DoubleRocketPunch_Bullet02,Rocket,160,1.2,200,300,450,500,460,290,0,200,460,500,500,0,1,1,1,1,1,1,1,1000,Flinch,InvincibleBlowOff,None,0,0,10000,Unit,30,0,0.4,6000,0,None,0,False,0,0.12,ImpactStatic,3,1
ATK_Whip_Grap01,Grap,250,1.5,150,230,250,250,150,190,0,150,250,0,600,0,1,1,1,1,1,1,1,1000,Flinch,InvincibleBlowOff,None,0,0,0,Unit,90,0,1.5,0,0,None,0,False,0.1,0.1,ImpactDynamic,1,1
ATK_TwinSwordGrapR01,Grap,100,1.55,120,140,200,200,280,150,0,100,180,400,400,0,1,1,1,1,1,3,1,1000,Flinch,InvincibleBlowOff,None,0,0,0,Unit,0,0,1,0,0,None,0,False,0.1,0.1,ImpactStatic,2,2
ATK_TwinSwordGrapR02,Grap,50,1.55,0,60,150,150,210,125,0,80,100,0,0,0,1,1,1,1,1,3,1,1000,Flinch,InvincibleBlowOff,None,0,0,0,Unit,0,0,1,0,0,None,0,False,0.003,0.003,ImpactStatic,2,2
ATK_TwinSwordGrapR03,Grap,40,1.55,0,60,125,125,175,125,0,80,100,0,0,0,1,1,1,1,1,3,1,1000,Flinch,InvincibleBlowOff,None,0,0,0,Unit,0,0,1,0,0,None,0,False,0.003,0.003,ImpactStatic,2,2
ATK_TwinSwordGrapR04,Grap,30,1.55,0,80,100,100,140,125,0,80,150,0,0,0,1,1,1,1,1,3,1,1000,Flinch,InvincibleBlowOff,None,0,0,0,Unit,0,0,2,0,0,None,0,False,0.003,0.003,ImpactStatic,0.3,1
ATK_TwinSwordGrapR05,Grap,120,1.55,152,160,300,300,420,220,0,170,380,600,600,0,1,1,1,1,1,3,1,1000,None,InvincibleBlowOff,None,0,0,20000,OwnerXY,-70,0,1,5250,0,None,0,False,0.15,0.15,ImpactStatic,2,2
ATK_TwinSwordGrapL01,Grap,20,1,0,40,50,50,60,80,0,55,50,0,100,0,1,1,1,1,1,3,1,1000,Flinch,InvincibleBlowOff,None,0,0,0,Unit,0,0,1,3000,0,None,0,False,0.001,0,RapidStatic,0.7,1
ATK_TwinSwordGrapL02,Grap,200,1.5,600,120,120,120,180,160,0,135,70,0,1000,0,1,1,1,1,1,3,1,1000,BlowOff,InvincibleBlowOff,None,0,0,12000,OwnerXY,30,0,0,0,0,None,0,False,0.1,0.07,ImpactStatic,5,5
ATK_LargeSword_Grap01,Grap,80,1.5,0,130,80,80,100,180,0,90,280,200,200,0,1,1,1,1,1,3,1.2,1000,Flinch,InvincibleBlowOff,None,0,0,0,Unit,0,0,1.5,1000,0,None,0,True,0.01,0.01,DampedDynamic,1,1
ATK_LargeSword_Grap02,Grap,40,2,240,150,150,150,100,200,0,100,205,0,400,0,1,1,1,1,1,3,1.2,1000,BlowOff,InvincibleBlowOff,None,0,0,10000,OwnerXY,50,0,0,0,0,None,0,True,0.15,0.15,DampedDynamic,5,5
