---,ArmId,Name,RobotMaker,HP,Cost,Weight,BoostSavingStart,BoostSavingLoop,FullDriveSavingStart,FullDriveSavingLoop,BlowOffTolerance,BlowOffBlowUpAdjust,WeaponChangeTime,FallActionMoveMaxSpeed,FallMoveActionMoveMaxSpeed,Barrier,ReloadAdjustBoth,ReloadAdjustRight,ReloadAdjustLeft,ReloadAdjustBullet,ReloadAdjustBeam,ReloadAdjustGrap,ReloadAdjustHeal,ReloadAdjustBuff,ReloadAdjustDebuff,HitStopAdjust,AttackAdjustBeam,AttackAdjustBullet,AttackAdjustGrap,MagazineSize,AbnormalAdjust,InstallationAdjust,ReloadAdjust_1st,ReloadAdjust_1stL,ReloadAdjust_1stBoth,AttackAdjust_1st,ReloadAdjust_2nd,ReloadAdjust_2ndL,ReloadAdjust_2ndBoth,AttackAdjust_2nd,DownValueAdjust,CriticalDamageAdjust,AttackAdjust_AR,AttackAdjust_Mob,AttackAdjust_Tower,AttackAdjust_Core,BulletSpeed,TAGBlowOff_TimeAdjust,TAGComboValueWait_StopTimer,CrossBurstDamage_50,CrossBurstDamage_25,Partner_CrossBurst,Partner_ReloadAdjust_1st,Partner_ReloadAdjust_2nd,Partner_ReloadAdjust_CrossBurst,FullDrive_AttackAdjust,Team_ReloadAdjust_Gauge25,Team_CrossBurstDamage_2,Team_CrossBurstDamage_3,Team_CrossBurstDamage_4,Team_CrossBurstDamage_5
11,11,ラピスヘッジ・A,RobotMaker003,200,0,100,0,0,0,0,-0.03,0,0.9,2500,2300,0,1,1,1,1,1,1,1,1,1,1,0.95,0.95,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
12,12,パ・フェクト・A,RobotMaker003,150,0,0,0,0,0,0,0,0,0.9,2000,1800,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.1,1.1,1,1,1,1,1.12,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
13,13,エタニティ・A,RobotMaker004,130,0,100,0,0,0,0,0.01,0,0.5,1900,1700,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.12,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
14,14,オキサイド・A,RobotMaker004,150,0,0,0,0,0,0,-0.03,0,0.9,2300,2100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
15,15,オキサイド・A,RobotMaker004,0,0,0,0,0,0,0,-0.03,0,0.9,2300,2100,0,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
16,16,Ｓオキサイド・A,RobotMaker004,0,0,0,0,0,0,0,-0.03,0,0.1,2300,2100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
17,17,アームパラメーター上限,RobotMaker004,400,0,400,0,0,0,0,0,0,2,2000,1800,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1
18,101,ソリディア・A,RobotMaker001,0,0,0,0,0,0,0,0,0,0.6,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
19,201,カーディナル・A,RobotMaker002,0,0,0,0,0,0,0,0,0,0.6,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,0,1,1,1,1,1,1,1,1,1,1,1,1
20,301,スクラッパー・A,RobotMaker001,0,0,0,0,0,0,0,0,0,0.6,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1.1,1,1,1,1,1
21,401,サイトヘッド・A,RobotMaker003,0,0,0,0,0,0,0,0,0,0.6,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1.1,1.1,1,1,1,1,1,1,1
22,501,CU・レイター・A,RobotMaker003,0,0,0,0,0,0,0,0,0,0.6,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1.2,1,1,1,1,1,1
23,601,ゴールテン・D・A,RobotMaker001,0,0,0,0,0,0,0,0,0,0.6,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1.1,1.25,1,1,1,1,1,1,1,1,1,1
24,701,アンゼロイ・A,RobotMaker002,0,0,100,0,0,0,0,0,0,0.6,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.08,1.08,1.08,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
25,801,ディスドス・A,RobotMaker002,0,0,100,0,0,0,0,0,0,0.6,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1
26,901,サブライガ・A,RobotMaker002,0,0,100,0,0,0,0,0,0,0.6,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1.1,1,1,1,1,1,1,1,1,1
27,1001,ファルマコン・A,RobotMaker001,0,0,0,0,0,0,0,0,0,0.6,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1.2,1,1,1,1,1,1,1
28,1101,ラピスヘッジ・A,RobotMaker003,0,0,100,0,0,0,0,0,0,0.6,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
29,1201,パ・フェクト・A,RobotMaker003,0,0,0,0,0,0,0,0,0,0.6,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1.05,1.15,1.3,1.5
30,1301,エタニティ・A,RobotMaker004,0,0,100,0,0,0,0,0,0,0.6,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
31,1401,オキサイド・A,RobotMaker004,0,0,0,0,0,0,0,0,0,0.6,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1.5,1,1,1,1
