---,ID,NicePlayType,NicePlayScoreType,EvaluationType,NicePlayID,EvaluationTargetType,Description,NicePlayTitle,TexturePtr,Level,ScoreValue,IsTickcable,ThresholdCount,DisplayType
28,28,2,2,2,28,1,Sマグを合計2体撃破,Sマグを2体破壊,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Mug_01.HUD_NicePlay_Icon_Mug_01',5,120,1,2,0
29,29,2,2,1,29,1,Sマグに合計700ダメージ与えた,Sマグにダメージ,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Mug_01.HUD_NicePlay_Icon_Mug_01',1,30,1,700,0
30,30,2,2,1,30,1,味方ベース内にいる敵マグを撃破した,ベース内のマグを破壊,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Mug_01.HUD_NicePlay_Icon_Mug_01',1,30,1,1,0
31,31,2,2,1,31,1,ポート内から敵マグを合計30体撃破した,ポート内からマグを30体破壊,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Mug_01.HUD_NicePlay_Icon_Mug_01',2,50,1,30,0
32,32,2,4,1,32,1,経験値を合計300ポイント獲得した,獲得経験値が300を超えた,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Mug_01.HUD_NicePlay_Icon_Mug_01',2,30,0,300,0
33,33,2,4,2,33,1,経験値を合計1000ポイント獲得した,獲得経験値が1000を超えた,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Mug_01.HUD_NicePlay_Icon_Mug_01',4,100,0,1000,0
34,34,2,3,2,34,2,味方グランデが敵ベースへ攻撃した,グランデが敵コアを攻撃,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Mug_01.HUD_NicePlay_Icon_Mug_01',5,150,0,0,0
35,35,2,2,1,35,1,グランデに合計1000ダメージを与えた,グランデにダメージ,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Mug_01.HUD_NicePlay_Icon_Mug_01',2,80,1,1000,0
36,36,2,2,2,36,1,グランデに合計3000ダメージを与えた,グランデに大ダメージ,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Mug_01.HUD_NicePlay_Icon_Mug_01',4,150,1,3000,0
37,37,2,2,2,37,1,グランデを倒した,グランデを撃破,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Mug_01.HUD_NicePlay_Icon_Mug_01',5,120,1,700,0
38,38,3,5,1,38,1,ポートを1回占拠した,ポートを1回占拠,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Port_01.HUD_NicePlay_Icon_Port_01',1,10,1,1,0
39,39,3,5,1,39,1,ポートを3回占拠した,ポートを3回占拠,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Port_01.HUD_NicePlay_Icon_Port_01',2,40,1,3,0
40,40,3,5,2,40,1,ポートを5回占拠した,ポートを5回占拠,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Port_01.HUD_NicePlay_Icon_Port_01',3,80,1,5,0
41,41,3,5,2,41,1,ポートを10回占拠した,ポートを10回占拠,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Port_01.HUD_NicePlay_Icon_Port_01',4,150,1,10,0
42,42,3,5,2,42,1,ポートを20回占拠した,ポートを20回占拠,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Port_01.HUD_NicePlay_Icon_Port_01',5,300,1,20,0
43,43,3,5,2,43,1,1ライフでポートを3回占拠した,1出撃でポートを3回占拠,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Port_01.HUD_NicePlay_Icon_Port_01',3,120,1,3,0
44,44,3,5,2,44,1,敵ポートを中立ポートに5回変えた,ポートを5回中立化した,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Port_01.HUD_NicePlay_Icon_Port_01',3,100,1,5,0
45,45,3,5,2,45,1,敵ポートを味方ポートに3回変えた,ポートを3回奪還,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Port_01.HUD_NicePlay_Icon_Port_01',4,120,0,3,0
46,46,3,5,1,46,1,自分のみでポートを占拠した,ポートを単独占拠,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Port_01.HUD_NicePlay_Icon_Port_01',2,30,0,0,1
47,47,3,5,1,47,1,味方ARと協力してポートを占拠した,ポートを協力して占拠,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Port_01.HUD_NicePlay_Icon_Port_01',2,50,0,0,0
48,48,3,5,2,48,1,敵側の無人ポートを占拠した,無人のポートを占拠,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Port_01.HUD_NicePlay_Icon_Port_01',3,120,0,0,0
49,49,3,5,2,49,2,全てのポートを味方のポートした,全ポートを占拠,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Port_01.HUD_NicePlay_Icon_Port_01',5,200,0,0,0
50,50,3,5,1,50,1,ポート内に入った,ポート内に突入,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Port_01.HUD_NicePlay_Icon_Port_01',1,10,1,1,0
51,51,3,5,1,51,1,ポート内に5秒間滞在した,ポート占拠に少し貢献した,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Port_01.HUD_NicePlay_Icon_Port_01',1,20,1,5,0
52,52,3,5,1,52,1,ポート内に15秒間滞在した,ポート占拠に貢献した,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Port_01.HUD_NicePlay_Icon_Port_01',1,30,1,15,0
53,53,3,5,1,53,1,ポート内に30秒間滞在した,ポート占拠にかなり貢献した,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Port_01.HUD_NicePlay_Icon_Port_01',2,40,1,30,0
54,54,3,5,2,54,1,ポート内に60秒間滞在した,ポート占拠に大きく貢献した,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Port_01.HUD_NicePlay_Icon_Port_01',3,50,1,60,0
55,55,3,5,2,55,1,ポート内に120秒間滞在した,ポート占拠に多大に貢献した,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Port_01.HUD_NicePlay_Icon_Port_01',4,60,1,120,0
56,56,3,5,2,56,1,味方ポート内にいる敵ARの数が多い中、そのポート内に一定時間滞在する,多対1でポートを防衛,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Port_01.HUD_NicePlay_Icon_Port_01',4,180,0,7,0
57,57,3,5,1,57,1,敵が味方ポート占拠中に そのポートに入り、味方占拠状態で食い止めた,ポート占拠を阻止,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Port_01.HUD_NicePlay_Icon_Port_01',3,80,0,0,0
58,58,3,5,2,58,1,占拠中のポート内にいる敵ARを、ポート外に追い出して5秒経過するまで 滞在し続けた,敵ARをポート外へ追い出す,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Port_01.HUD_NicePlay_Icon_Port_01',3,80,0,0,0
59,59,3,2,1,59,1,敵タワーにダメージを与えた,タワーへ攻撃,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Port_01.HUD_NicePlay_Icon_Port_01',2,30,1,1500,0
60,60,3,2,2,60,1,敵タワーを破壊したときの貢献度（１位,タワーを破壊,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Port_01.HUD_NicePlay_Icon_Port_01',5,100,0,0,1
61,61,3,2,2,61,1,敵タワーを破壊したときの貢献度（２位,タワーを破壊,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Port_01.HUD_NicePlay_Icon_Port_01',4,75,0,0,1
62,62,3,2,2,62,1,敵タワーを破壊したときの貢献度（３位,タワーを破壊,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Port_01.HUD_NicePlay_Icon_Port_01',3,50,0,0,1
63,63,3,3,2,63,1,1番最初に敵ベースへダメージを与えた,最初に敵コアへ攻撃,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Port_01.HUD_NicePlay_Icon_Port_01',4,50,0,0,0
64,64,3,3,2,64,2,味方チームが敵チームより先に敵ベースへダメージを与えた,敵コアへ先制攻撃,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Port_01.HUD_NicePlay_Icon_Port_01',3,30,0,0,0
65,65,3,3,1,65,1,敵ベースに攻撃可能な時に、敵ベース内に入った,敵ベースに侵入成功,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Port_01.HUD_NicePlay_Icon_Port_01',1,30,0,0,0
66,66,3,5,2,66,1,ポートを占拠し、味方ベースへの攻撃を阻止した,味方コアへの攻撃阻止,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Port_01.HUD_NicePlay_Icon_Port_01',3,100,0,0,0
67,67,3,3,1,67,1,攻撃可能な状態の敵ベース内に一定時間滞在した,敵ベースに長居,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Port_01.HUD_NicePlay_Icon_Port_01',1,30,0,10,0
68,68,3,3,2,68,1,敵ベースに合計1500ダメージ与えた,敵コアへ甚大なダメージ,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Port_01.HUD_NicePlay_Icon_Port_01',3,70,1,1500,0
69,69,3,3,2,69,1,ベースへのラストアタックに成功した,ラストアタックに成功,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Port_01.HUD_NicePlay_Icon_Port_01',5,100,0,0,0
70,70,5,4,1,70,1,味方ARのHPを一定値回復した,味方ARを累計一定値回復,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Assist_01.HUD_NicePlay_Icon_Assist_01',1,50,1,1000,1
71,71,5,4,2,71,1,ポート内にいる味方ARを回復した,ポート内の味方ARを回復,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Assist_01.HUD_NicePlay_Icon_Assist_01',3,80,1,500,0
72,72,5,4,2,72,1,敵ベース内にいる味方ARを回復した,敵ベース内の味方ARを回復,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Assist_01.HUD_NicePlay_Icon_Assist_01',3,80,1,500,0
73,73,5,4,2,73,1,味方を5回強化した,味方ARを一定数強化,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Assist_01.HUD_NicePlay_Icon_Assist_01',2,70,1,5,1
74,74,5,4,2,74,1,味方を10回強化した,味方ARを10回強化,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Assist_01.HUD_NicePlay_Icon_Assist_01',4,25,0,9.99999999999e+11,0
75,75,5,4,2,75,1,敵に5回状態異常を与えた,敵ARを一定数状態異常化,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Assist_01.HUD_NicePlay_Icon_Assist_01',2,40,1,5,1
76,76,5,4,2,76,1,敵に10回状態異常を与えた,敵ARを10回状態異常化,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Assist_01.HUD_NicePlay_Icon_Assist_01',4,25,0,9.99999999999e+11,0
77,77,5,1,2,77,1,ロール「サポート」で敵ARをキルした,サポート使用中にARをキル,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Assist_01.HUD_NicePlay_Icon_Assist_01',2,10,1,1,0
78,78,4,1,2,78,1,フルドライブ中の敵をキルした,フルドライブ中のARをキル,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Technique_01.HUD_NicePlay_Icon_Technique_01',3,40,0,0,0
79,79,4,1,2,79,1,帰還中の敵をキルした,帰還中のARをキル,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Technique_01.HUD_NicePlay_Icon_Technique_01',3,30,0,0,0
80,80,4,4,1,80,1,瀕死状態で帰還に成功した,瀕死状態で帰還に成功,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Technique_01.HUD_NicePlay_Icon_Technique_01',2,30,1,1,0
81,81,4,4,1,81,1,3分間1位の状態でいた,1分間スコア1位を維持,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Technique_01.HUD_NicePlay_Icon_Technique_01',4,100,1,60,0
82,82,4,4,2,82,1,1位の状態で試合に勝利した,勝利チームでスコア1位,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Technique_01.HUD_NicePlay_Icon_Technique_01',5,100,1,0,0
83,83,4,4,2,83,1,3分間1度もキルされていない,3分間キルされていない,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Technique_01.HUD_NicePlay_Icon_Technique_01',4,30,1,181,0
84,84,4,4,1,84,2,敵チームのフェーズを2にした,敵チームをフェーズ2にした,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Technique_01.HUD_NicePlay_Icon_Technique_01',1,30,0,0,0
85,85,4,4,1,85,2,敵チームのフェーズを3にした,敵チームをフェーズ3にした,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Technique_01.HUD_NicePlay_Icon_Technique_01',2,30,0,0,0
86,86,4,4,2,86,2,敵チームのフェーズを先に3にした,先に敵をフェーズ3にした,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Technique_01.HUD_NicePlay_Icon_Technique_01',4,20,0,0,0
87,87,4,4,1,87,1,複数人にロックオンされた,複数の敵ARの注目を集めた,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Technique_01.HUD_NicePlay_Icon_Technique_01',2,50,0,2,0
88,88,4,4,2,88,1,複数人にロックオンされた,複数の敵ARの注目を集めた,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Technique_01.HUD_NicePlay_Icon_Technique_01',3,75,0,4,1
89,89,4,1,1,89,1,敵ARに一定値ダメージ与えた,敵ARに一定値ダメージ与えた,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Technique_01.HUD_NicePlay_Icon_Technique_01',1,10,1,1200,1
90,90,4,4,1,90,1,シールド系武器で敵の攻撃を合計1000ダメージ防いだ,攻撃を防御した,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Technique_01.HUD_NicePlay_Icon_Technique_01',1,50,1,1000,0
91,91,4,4,1,91,1,シールド系武器で敵の攻撃を合計3000ダメージ防いだ,攻撃をたくさん防御した,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Technique_01.HUD_NicePlay_Icon_Technique_01',2,40,1,3000,1
92,92,4,4,2,92,1,敵の設置物を5つ破壊した,敵の設置物を5回破壊,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Technique_01.HUD_NicePlay_Icon_Technique_01',3,100,1,5,0
93,93,3,4,2,93,1,ポート内で自軍色を維持しながら敵と戦う　（３０秒毎,ポートを防衛,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Port_01.HUD_NicePlay_Icon_Port_01',4,30,1,20,1
94,94,3,4,2,94,1,味方がコアを攻撃している最中にポートにいる　（３０秒毎,味方コア攻撃を支援,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Port_01.HUD_NicePlay_Icon_Port_01',4,20,1,10,1
95,95,5,4,1,95,2,チームレベル４　（全員に,チームレベル４,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Assist_01.HUD_NicePlay_Icon_Assist_01',1,20,0,0,0
96,96,5,4,1,96,2,チームレベル６　（全員に,チームレベル６,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Assist_01.HUD_NicePlay_Icon_Assist_01',2,30,0,0,0
97,97,5,4,1,97,2,チームレベル８　（全員に,チームレベル８,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Assist_01.HUD_NicePlay_Icon_Assist_01',4,50,0,0,0
98,98,5,4,2,98,2,チームレベル１０　（全員に,チームレベル１０,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Assist_01.HUD_NicePlay_Icon_Assist_01',5,70,0,0,0
99,99,4,4,2,99,1,2位の状態で試合に勝利した,勝利チームでスコア2位,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Technique_01.HUD_NicePlay_Icon_Technique_01',5,70,1,0,0
100,100,4,4,2,100,1,3位の状態で試合に勝利した,勝利チームでスコア3位,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Technique_01.HUD_NicePlay_Icon_Technique_01',5,50,1,0,0
101,101,4,4,2,101,1,4位の状態で試合に勝利した,勝利チームでスコア4位,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Technique_01.HUD_NicePlay_Icon_Technique_01',5,30,1,0,0
102,102,4,4,2,102,1,注目を集めて死亡,注目を集めて撃墜,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Technique_01.HUD_NicePlay_Icon_Technique_01',5,70,0,0,1
103,103,3,5,1,103,1,ポートを白くした,ポートを中立化,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Port_01.HUD_NicePlay_Icon_Port_01',1,10,1,1,1
104,104,3,5,1,104,1,敵ポート３つ以上のとき、ポートを白くした,ポートを中立化 劣勢時,Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Port_01.HUD_NicePlay_Icon_Port_01',3,20,1,1,1
105,105,6,6,2,105,1,敵エースに合計で1000ダメージを与えた,敵エースに1000ダメージ(フェーズ3),Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Boss_01.HUD_NicePlay_Icon_Boss_01',2,100,1,1000,0
106,106,6,6,2,106,1,敵エースに合計で3000ダメージを与えた,敵エースに3000ダメージ(フェーズ3),Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Boss_01.HUD_NicePlay_Icon_Boss_01',3,200,1,3000,0
107,107,6,6,2,107,1,敵エースに合計で5000ダメージを与えた,敵エースに5000ダメージ(フェーズ3),Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Boss_01.HUD_NicePlay_Icon_Boss_01',3,300,1,5000,0
108,108,6,6,2,108,1,一度の出撃で敵エースに1000ダメージ与えた（バトル終了時計測,撃墜されず敵エースに攻撃(フェーズ3),Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Boss_01.HUD_NicePlay_Icon_Boss_01',4,200,1,1000,0
109,109,6,6,2,109,1,一度の出撃で敵エースに2000ダメージ与えた（バトル終了時計測,撃墜されず敵エースに攻撃(フェーズ3),Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Boss_01.HUD_NicePlay_Icon_Boss_01',4,500,1,2000,0
110,110,6,6,2,110,1,一度の出撃で敵エースに3000ダメージ与えた（バトル終了時計測,撃墜されず敵エースに攻撃(フェーズ3),Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Boss_01.HUD_NicePlay_Icon_Boss_01',5,1000,1,3000,0
111,111,6,6,2,111,1,一度の出撃で敵エースに5000ダメージ与えた（バトル終了時計測,撃墜されず敵エースに攻撃(フェーズ3),Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Boss_01.HUD_NicePlay_Icon_Boss_01',5,2000,1,5000,0
112,112,6,6,2,112,1,敵エースに格闘を当てた,敵エースに格闘を当てた(フェーズ3),Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Boss_01.HUD_NicePlay_Icon_Boss_01',4,300,1,1,0
113,113,6,6,2,113,2,敵エースを撃破,敵エースを撃破(フェーズ3),Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Boss_01.HUD_NicePlay_Icon_Boss_01',4,150,0,0,0
114,114,6,6,2,114,1,敵エースに止めを刺した,敵エースに止めを刺した(フェーズ3),Texture2D'/Game/GUI/InGame/NicePlay/Tex/HUD_NicePlay_Icon_Boss_01.HUD_NicePlay_Icon_Boss_01',3,150,0,0,0
