---,EmblemPartsId,Name,EmblemPartsType,DefaultEmblemPartsFlag,IsEditable,Texture,FlagTexture,Descprition,GameModeId
10,10006,バニシングスクウェア,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0006.Tex_Emblem_01_0006',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0006_Flag.Tex_Emblem_01_0006_Flag',,0
11,10007,オメガサークル,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0007.Tex_Emblem_01_0007',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0007_Flag.Tex_Emblem_01_0007_Flag',,0
12,10008,コースターフレーム,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0008.Tex_Emblem_01_0008',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0008_Flag.Tex_Emblem_01_0008_Flag',,0
13,10009,リーフフレームA,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0009.Tex_Emblem_01_0009',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0009_Flag.Tex_Emblem_01_0009_Flag',,0
14,10010,リーフダイヤ,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0010.Tex_Emblem_01_0010',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0010_Flag.Tex_Emblem_01_0010_Flag',,0
15,10011,リーフフレームB,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0011.Tex_Emblem_01_0011',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0011_Flag.Tex_Emblem_01_0011_Flag',,0
16,10012,リーフシールド,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0012.Tex_Emblem_01_0012',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0012_Flag.Tex_Emblem_01_0012_Flag',,0
17,10013,プリンセスフレーム,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0013.Tex_Emblem_01_0013',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0013_Flag.Tex_Emblem_01_0013_Flag',,0
18,10014,ギアフレーム,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0014.Tex_Emblem_01_0014',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0014_Flag.Tex_Emblem_01_0014_Flag',,0
19,10015,ハートフレーム,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0015.Tex_Emblem_01_0015',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0015_Flag.Tex_Emblem_01_0015_Flag',,0
20,10016,アンティークサークル,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0016.Tex_Emblem_01_0016',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0016_Flag.Tex_Emblem_01_0016_Flag',,0
21,10017,サーマルスクウェア,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0017.Tex_Emblem_01_0017',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0017_Flag.Tex_Emblem_01_0017_Flag',,0
22,10018,コントロールサークルA,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0018.Tex_Emblem_01_0018',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0018_Flag.Tex_Emblem_01_0018_Flag',,0
23,10019,コネクトフレーム,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0019.Tex_Emblem_01_0019',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0019_Flag.Tex_Emblem_01_0019_Flag',,0
24,10020,送受信,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0020.Tex_Emblem_01_0020',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0020_Flag.Tex_Emblem_01_0020_Flag',,0
25,10021,ライトネット,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0021.Tex_Emblem_01_0021',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0021_Flag.Tex_Emblem_01_0021_Flag',,0
26,10022,プラグフレーム,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0022.Tex_Emblem_01_0022',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0022_Flag.Tex_Emblem_01_0022_Flag',,0
27,10023,フォースガード,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0023.Tex_Emblem_01_0023',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0023_Flag.Tex_Emblem_01_0023_Flag',,0
28,10024,イコライザーフレーム,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0024.Tex_Emblem_01_0024',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0024_Flag.Tex_Emblem_01_0024_Flag',,0
29,10025,チェーンフレーム,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0025.Tex_Emblem_01_0025',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0025_Flag.Tex_Emblem_01_0025_Flag',,0
30,10026,ピアノフレーム,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0026.Tex_Emblem_01_0026',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0026_Flag.Tex_Emblem_01_0026_Flag',,0
31,10027,ラブフレーム,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0027.Tex_Emblem_01_0027',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0027_Flag.Tex_Emblem_01_0027_Flag',,0
32,10028,スターフレーム,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0028.Tex_Emblem_01_0028',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0028_Flag.Tex_Emblem_01_0028_Flag',,0
33,10029,スタードロップフレーム,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0029.Tex_Emblem_01_0029',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0029_Flag.Tex_Emblem_01_0029_Flag',,0
34,10030,フラワーフレーム,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0030.Tex_Emblem_01_0030',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0030_Flag.Tex_Emblem_01_0030_Flag',,0
35,10031,クラウドフレーム,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0031.Tex_Emblem_01_0031',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0031_Flag.Tex_Emblem_01_0031_Flag',,0
36,10032,ソリディアフレーム,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0032.Tex_Emblem_01_0032',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0032_Flag.Tex_Emblem_01_0032_Flag',,0
37,10033,カーディナルフレーム,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0033.Tex_Emblem_01_0033',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0033_Flag.Tex_Emblem_01_0033_Flag',,0
38,10034,スクラッパーフレーム,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0034.Tex_Emblem_01_0034',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0034_Flag.Tex_Emblem_01_0034_Flag',,0
39,10035,サイトヘッドフレーム,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0035.Tex_Emblem_01_0035',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0035_Flag.Tex_Emblem_01_0035_Flag',,0
40,10036,シーユー・レイターフレーム,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0036.Tex_Emblem_01_0036',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0036_Flag.Tex_Emblem_01_0036_Flag',,0
41,10037,ゴールテン・ダーフレーム,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0037.Tex_Emblem_01_0037',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0037_Flag.Tex_Emblem_01_0037_Flag',,0
42,10038,アンゼロイフレーム,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0038.Tex_Emblem_01_0038',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0038_Flag.Tex_Emblem_01_0038_Flag',,0
43,10039,ディスドスフレーム,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0039.Tex_Emblem_01_0039',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0039_Flag.Tex_Emblem_01_0039_Flag',,0
44,10040,サブライガフレーム,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0040.Tex_Emblem_01_0040',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0040_Flag.Tex_Emblem_01_0040_Flag',,0
45,10041,ファルマコンフレーム,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0041.Tex_Emblem_01_0041',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0041_Flag.Tex_Emblem_01_0041_Flag',,0
46,10042,ラピスヘッジフレーム,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0042.Tex_Emblem_01_0042',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0042_Flag.Tex_Emblem_01_0042_Flag',,0
47,10043,パ・フェクトフレーム,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0043.Tex_Emblem_01_0043',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0043_Flag.Tex_Emblem_01_0043_Flag',,0
48,10044,エタニティフレーム,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0044.Tex_Emblem_01_0044',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0044_Flag.Tex_Emblem_01_0044_Flag',,0
49,10045,オキサイドフレーム,OutLine,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0045.Tex_Emblem_01_0045',Texture2D'/Game/GUI/Common/Tex/Emblem/01/Tex_Emblem_01_0045_Flag.Tex_Emblem_01_0045_Flag',,0
50,20001,アリエス,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0001.Tex_Emblem_02_0001',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0001_Flag.Tex_Emblem_02_0001_Flag',,0
51,20002,タウラス,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0002.Tex_Emblem_02_0002',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0002_Flag.Tex_Emblem_02_0002_Flag',,0
52,20003,ジェミニ,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0003.Tex_Emblem_02_0003',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0003_Flag.Tex_Emblem_02_0003_Flag',,0
53,20004,キャンサー,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0004.Tex_Emblem_02_0004',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0004_Flag.Tex_Emblem_02_0004_Flag',,0
54,20005,レオ,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0005.Tex_Emblem_02_0005',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0005_Flag.Tex_Emblem_02_0005_Flag',,0
55,20006,ヴァルゴ,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0006.Tex_Emblem_02_0006',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0006_Flag.Tex_Emblem_02_0006_Flag',,0
56,20007,リーブラ,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0007.Tex_Emblem_02_0007',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0007_Flag.Tex_Emblem_02_0007_Flag',,0
57,20008,スコルピオ,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0008.Tex_Emblem_02_0008',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0008_Flag.Tex_Emblem_02_0008_Flag',,0
58,20009,サジタリウス,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0009.Tex_Emblem_02_0009',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0009_Flag.Tex_Emblem_02_0009_Flag',,0
59,20010,カプリコーン,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0010.Tex_Emblem_02_0010',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0010_Flag.Tex_Emblem_02_0010_Flag',,0
60,20011,アクエリアス,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0011.Tex_Emblem_02_0011',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0011_Flag.Tex_Emblem_02_0011_Flag',,0
61,20012,ピスケス,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0012.Tex_Emblem_02_0012',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0012_Flag.Tex_Emblem_02_0012_Flag',,0
62,20013,1,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0013.Tex_Emblem_02_0013',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0013_Flag.Tex_Emblem_02_0013_Flag',,0
63,20014,2,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0014.Tex_Emblem_02_0014',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0014_Flag.Tex_Emblem_02_0014_Flag',,0
64,20015,3,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0015.Tex_Emblem_02_0015',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0015_Flag.Tex_Emblem_02_0015_Flag',,0
65,20016,4,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0016.Tex_Emblem_02_0016',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0016_Flag.Tex_Emblem_02_0016_Flag',,0
66,20017,5,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0017.Tex_Emblem_02_0017',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0017_Flag.Tex_Emblem_02_0017_Flag',,0
67,20018,6,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0018.Tex_Emblem_02_0018',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0018_Flag.Tex_Emblem_02_0018_Flag',,0
68,20019,7,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0019.Tex_Emblem_02_0019',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0019_Flag.Tex_Emblem_02_0019_Flag',,0
69,20020,8,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0020.Tex_Emblem_02_0020',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0020_Flag.Tex_Emblem_02_0020_Flag',,0
70,20021,9,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0021.Tex_Emblem_02_0021',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0021_Flag.Tex_Emblem_02_0021_Flag',,0
71,20022,10,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0022.Tex_Emblem_02_0022',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0022_Flag.Tex_Emblem_02_0022_Flag',,0
72,20023,ルーンｇ,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0023.Tex_Emblem_02_0023',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0023_Flag.Tex_Emblem_02_0023_Flag',,0
73,20024,ルーンｐ,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0024.Tex_Emblem_02_0024',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0024_Flag.Tex_Emblem_02_0024_Flag',,0
74,20025,ルーンｊ,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0025.Tex_Emblem_02_0025',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0025_Flag.Tex_Emblem_02_0025_Flag',,0
75,20026,ルーンｄ,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0026.Tex_Emblem_02_0026',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0026_Flag.Tex_Emblem_02_0026_Flag',,0
76,20027,ドラゴン,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0027.Tex_Emblem_02_0027',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0027_Flag.Tex_Emblem_02_0027_Flag',,0
77,20028,ドラゴンヘッド,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0028.Tex_Emblem_02_0028',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0028_Flag.Tex_Emblem_02_0028_Flag',,0
78,20029,ユニコーンヘッド,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0029.Tex_Emblem_02_0029',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0029_Flag.Tex_Emblem_02_0029_Flag',,0
79,20030,ポップユニコーン,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0030.Tex_Emblem_02_0030',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0030_Flag.Tex_Emblem_02_0030_Flag',,0
80,20031,フェニックス,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0031.Tex_Emblem_02_0031',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0031_Flag.Tex_Emblem_02_0031_Flag',,0
81,20032,イーグル,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0032.Tex_Emblem_02_0032',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0032_Flag.Tex_Emblem_02_0032_Flag',,0
82,20033,ピジョン,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0033.Tex_Emblem_02_0033',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0033_Flag.Tex_Emblem_02_0033_Flag',,0
83,20034,オウル,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0034.Tex_Emblem_02_0034',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0034_Flag.Tex_Emblem_02_0034_Flag',,0
84,20035,バタフライ,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0035.Tex_Emblem_02_0035',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0035_Flag.Tex_Emblem_02_0035_Flag',,0
85,20036,スコーピオン,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0036.Tex_Emblem_02_0036',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0036_Flag.Tex_Emblem_02_0036_Flag',,0
86,20037,ビー,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0037.Tex_Emblem_02_0037',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0037_Flag.Tex_Emblem_02_0037_Flag',,0
87,20038,スネークヘッド,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0038.Tex_Emblem_02_0038',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0038_Flag.Tex_Emblem_02_0038_Flag',,0
88,20039,ライオンヘッド,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0039.Tex_Emblem_02_0039',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0039_Flag.Tex_Emblem_02_0039_Flag',,0
89,20040,シャーク,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0040.Tex_Emblem_02_0040',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0040_Flag.Tex_Emblem_02_0040_Flag',,0
90,20041,ナインテイル,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0041.Tex_Emblem_02_0041',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0041_Flag.Tex_Emblem_02_0041_Flag',,0
91,20042,オシャレ猫,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0042.Tex_Emblem_02_0042',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0042_Flag.Tex_Emblem_02_0042_Flag',,0
92,20043,オシャレ犬,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0043.Tex_Emblem_02_0043',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0043_Flag.Tex_Emblem_02_0043_Flag',,0
93,20044,おすわり猫,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0044.Tex_Emblem_02_0044',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0044_Flag.Tex_Emblem_02_0044_Flag',,0
94,20045,うさぎ,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0045.Tex_Emblem_02_0045',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0045_Flag.Tex_Emblem_02_0045_Flag',,0
95,20046,猫,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0046.Tex_Emblem_02_0046',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0046_Flag.Tex_Emblem_02_0046_Flag',,0
96,20047,フライングひよこ,Main,False,True,Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0047.Tex_Emblem_02_0047',Texture2D'/Game/GUI/Common/Tex/Emblem/02/Tex_Emblem_02_0047_Flag.Tex_Emblem_02_0047_Flag',,0
