---,MissionId,MissionReleaseItemId,IntValue,TimeValue
131,111002,1,111001,0001-01-01 00:00:00
132,111002,11,0,2010-04-08 08:00:00
133,111003,1,111002,0001-01-01 00:00:00
134,111003,11,0,2010-04-08 08:00:00
135,112002,1,112001,0001-01-01 00:00:00
136,112002,11,0,2010-04-08 08:00:00
137,112003,1,112002,0001-01-01 00:00:00
138,112003,11,0,2010-04-08 08:00:00
139,113002,1,113001,0001-01-01 00:00:00
140,113002,11,0,2020-05-20 08:00:00
141,113003,1,113002,0001-01-01 00:00:00
142,113003,11,0,2020-05-20 08:00:00
143,114002,1,114001,0001-01-01 00:00:00
144,114002,11,0,2020-05-20 08:00:00
145,114003,1,114002,0001-01-01 00:00:00
146,114003,11,0,2020-05-20 08:00:00
147,115002,1,115001,0001-01-01 00:00:00
148,115002,11,0,2020-05-20 08:00:00
149,115003,1,115002,0001-01-01 00:00:00
150,115003,11,0,2020-05-20 08:00:00
151,116002,1,116001,0001-01-01 00:00:00
152,116002,11,0,2010-06-18 08:00:00
153,116003,1,116002,0001-01-01 00:00:00
154,116003,11,0,2010-06-19 08:00:00
155,117002,1,117001,0001-01-01 00:00:00
156,117002,11,0,2020-07-01 08:00:00
157,117003,1,117002,0001-01-01 00:00:00
158,117003,11,0,2020-07-01 08:00:00
159,118002,1,118001,0001-01-01 00:00:00
160,118002,11,0,2020-07-01 08:00:00
161,118003,1,118002,0001-01-01 00:00:00
162,118003,11,0,2020-07-01 08:00:00
163,119002,1,119001,0001-01-01 00:00:00
164,119002,11,0,2020-07-01 08:00:00
165,119003,1,119002,0001-01-01 00:00:00
166,119003,11,0,2020-07-01 08:00:00
167,120002,1,120001,0001-01-01 00:00:00
168,120003,1,120002,0001-01-01 00:00:00
169,121002,1,121001,0001-01-01 00:00:00
170,121003,1,121002,0001-01-01 00:00:00
171,122002,1,122001,0001-01-01 00:00:00
172,122003,1,122002,0001-01-01 00:00:00
173,122004,1,122003,0001-01-01 00:00:00
174,122005,1,122004,0001-01-01 00:00:00
175,122021,1,122011,0001-01-01 00:00:00
176,122022,1,122012,0001-01-01 00:00:00
177,122023,1,122013,0001-01-01 00:00:00
178,122102,1,122101,0001-01-01 00:00:00
179,122103,1,122102,0001-01-01 00:00:00
180,122104,1,122103,0001-01-01 00:00:00
181,122105,1,122104,0001-01-01 00:00:00
182,122106,1,122105,0001-01-01 00:00:00
183,123002,1,123001,0001-01-01 00:00:00
184,123002,11,0,2010-04-29 08:00:00
185,123003,1,123002,0001-01-01 00:00:00
186,123003,11,0,2010-04-29 08:00:00
187,123004,1,123003,0001-01-01 00:00:00
188,123004,11,0,2010-04-29 08:00:00
189,123005,1,123004,0001-01-01 00:00:00
190,123005,11,0,2010-04-29 08:00:00
191,125002,1,125001,0001-01-01 00:00:00
192,125003,1,125002,0001-01-01 00:00:00
193,125004,1,125003,0001-01-01 00:00:00
194,125005,1,125004,0001-01-01 00:00:00
195,125021,1,125011,0001-01-01 00:00:00
196,125022,1,125012,0001-01-01 00:00:00
197,125023,1,125013,0001-01-01 00:00:00
198,125102,1,125101,0001-01-01 00:00:00
199,125103,1,125102,0001-01-01 00:00:00
200,125104,1,125103,0001-01-01 00:00:00
201,125105,1,125104,0001-01-01 00:00:00
202,125106,1,125105,0001-01-01 00:00:00
203,126002,11,0,2020-05-01 08:00:00
204,126003,11,0,2020-05-01 08:00:00
205,127002,11,0,2020-05-01 08:00:00
206,127003,11,0,2020-05-01 08:00:00
207,128002,11,0,2020-05-01 08:00:00
208,128003,11,0,2020-05-01 08:00:00
209,128004,11,0,2020-05-01 08:00:00
210,128005,11,0,2020-05-01 08:00:00
211,129002,11,0,2020-05-01 08:00:00
212,129003,11,0,2020-05-01 08:00:00
213,129004,11,0,2020-05-01 08:00:00
214,129005,11,0,2020-05-01 08:00:00
215,130002,11,0,2020-05-01 08:00:00
216,130003,11,0,2020-05-01 08:00:00
217,130004,11,0,2020-05-01 08:00:00
218,131002,11,0,2020-05-01 08:00:00
219,131003,11,0,2020-05-01 08:00:00
220,132002,11,0,2020-05-01 08:00:00
221,132003,11,0,2020-05-01 08:00:00
222,132004,11,0,2020-05-01 08:00:00
223,132005,11,0,2020-05-01 08:00:00
224,133002,11,0,2020-05-01 08:00:00
225,133003,11,0,2020-05-01 08:00:00
226,133004,11,0,2020-05-01 08:00:00
227,134002,11,0,2020-05-01 08:00:00
228,134003,11,0,2020-05-01 08:00:00
229,135002,11,0,2020-05-01 08:00:00
230,135003,11,0,2020-05-01 08:00:00
231,136002,11,0,2020-05-01 08:00:00
232,136003,11,0,2020-05-01 08:00:00
233,137002,11,0,2020-05-01 08:00:00
234,137003,11,0,2020-05-01 08:00:00
235,137004,11,0,2020-05-01 08:00:00
236,138002,11,0,2020-05-01 08:00:00
237,138003,11,0,2020-05-01 08:00:00
238,138004,11,0,2020-05-01 08:00:00
239,138005,11,0,2020-05-01 08:00:00
240,139002,11,0,2020-05-01 08:00:00
241,139003,11,0,2020-05-01 08:00:00
242,139004,11,0,2020-05-01 08:00:00
243,140002,11,0,2020-05-01 08:00:00
244,140003,11,0,2020-05-01 08:00:00
245,141002,11,0,2020-05-01 08:00:00
246,141003,11,0,2020-05-01 08:00:00
247,141004,11,0,2020-05-01 08:00:00
248,142002,11,0,2020-05-01 08:00:00
249,142003,11,0,2020-05-01 08:00:00
250,142004,11,0,2020-05-01 08:00:00
251,142005,11,0,2020-05-01 08:00:00
252,143002,11,0,2020-05-01 08:00:00
253,143003,11,0,2020-05-01 08:00:00
254,143004,11,0,2020-05-01 08:00:00
255,144002,11,0,2020-05-01 08:00:00
256,144003,11,0,2020-05-01 08:00:00
257,145002,11,0,2020-05-01 08:00:00
258,145003,11,0,2020-05-01 08:00:00
259,145004,11,0,2020-05-01 08:00:00
260,146002,11,0,2020-05-01 08:00:00
261,146003,11,0,2020-05-01 08:00:00
262,146004,11,0,2020-05-01 08:00:00
263,146005,11,0,2020-05-01 08:00:00
264,147002,11,0,2020-05-01 08:00:00
265,147003,11,0,2020-05-01 08:00:00
266,147004,11,0,2020-05-01 08:00:00
267,148002,11,0,2020-05-01 08:00:00
268,148003,11,0,2020-05-01 08:00:00
269,149002,11,0,2020-05-01 08:00:00
270,149003,11,0,2020-05-01 08:00:00
271,149004,11,0,2020-05-01 08:00:00
272,150002,11,0,2020-05-01 08:00:00
273,150003,11,0,2020-05-01 08:00:00
274,150004,11,0,2020-05-01 08:00:00
275,150005,11,0,2020-05-01 08:00:00
276,151002,11,0,2020-05-01 08:00:00
277,151003,11,0,2020-05-01 08:00:00
278,151004,11,0,2020-05-01 08:00:00
279,152002,11,0,2020-05-01 08:00:00
280,152003,11,0,2020-05-01 08:00:00
281,153002,11,0,2020-05-01 08:00:00
282,153003,11,0,2020-05-01 08:00:00
283,153004,11,0,2020-05-01 08:00:00
284,154002,11,0,2020-05-01 08:00:00
285,154003,11,0,2020-05-01 08:00:00
286,154004,11,0,2020-05-01 08:00:00
287,154005,11,0,2020-05-01 08:00:00
288,155002,11,0,2020-05-01 08:00:00
289,155003,11,0,2020-05-01 08:00:00
290,155004,11,0,2020-05-01 08:00:00
291,156002,11,0,2020-05-01 08:00:00
292,156003,11,0,2020-05-01 08:00:00
293,157002,11,0,2020-05-01 08:00:00
294,157003,11,0,2020-05-01 08:00:00
295,157004,11,0,2020-05-01 08:00:00
296,158002,11,0,2020-05-01 08:00:00
297,158003,11,0,2020-05-01 08:00:00
298,158004,11,0,2020-05-01 08:00:00
299,158005,11,0,2020-05-01 08:00:00
300,159002,11,0,2020-05-01 08:00:00
301,159003,11,0,2020-05-01 08:00:00
302,159004,11,0,2020-05-01 08:00:00
303,160002,11,0,2020-05-01 08:00:00
304,160003,11,0,2020-05-01 08:00:00
305,161002,11,0,2020-05-01 08:00:00
306,161003,11,0,2020-05-01 08:00:00
307,161004,11,0,2020-05-01 08:00:00
308,162002,11,0,2020-05-01 08:00:00
309,162003,11,0,2020-05-01 08:00:00
310,162004,11,0,2020-05-01 08:00:00
311,162005,11,0,2020-05-01 08:00:00
312,163002,11,0,2020-05-01 08:00:00
313,163003,11,0,2020-05-01 08:00:00
314,163004,11,0,2020-05-01 08:00:00
315,164002,11,0,2020-05-01 08:00:00
316,164003,11,0,2020-05-01 08:00:00
317,165002,11,0,2020-05-01 08:00:00
318,165003,11,0,2020-05-01 08:00:00
319,165004,11,0,2020-05-01 08:00:00
320,166002,11,0,2020-05-01 08:00:00
321,166003,11,0,2020-05-01 08:00:00
322,166004,11,0,2020-05-01 08:00:00
323,166005,11,0,2020-05-01 08:00:00
324,167002,11,0,2020-05-01 08:00:00
325,167003,11,0,2020-05-01 08:00:00
326,167004,11,0,2020-05-01 08:00:00
327,168002,11,0,2020-05-01 08:00:00
328,168003,11,0,2020-05-01 08:00:00
329,169002,11,0,2020-05-01 08:00:00
330,169003,11,0,2020-05-01 08:00:00
331,169004,11,0,2020-05-01 08:00:00
332,170002,11,0,2020-05-01 08:00:00
333,170003,11,0,2020-05-01 08:00:00
334,170004,11,0,2020-05-01 08:00:00
335,170005,11,0,2020-05-01 08:00:00
336,171002,11,0,2020-05-01 08:00:00
337,171003,11,0,2020-05-01 08:00:00
338,171004,11,0,2020-05-01 08:00:00
339,172002,11,0,2020-05-01 08:00:00
340,172003,11,0,2020-05-01 08:00:00
341,173002,11,0,2020-05-01 08:00:00
342,173003,11,0,2020-05-01 08:00:00
343,173004,11,0,2020-05-01 08:00:00
344,174002,11,0,2020-05-01 08:00:00
345,174003,11,0,2020-05-01 08:00:00
346,174004,11,0,2020-05-01 08:00:00
347,174005,11,0,2020-05-01 08:00:00
348,175002,11,0,2020-05-01 08:00:00
349,175003,11,0,2020-05-01 08:00:00
350,175004,11,0,2020-05-01 08:00:00
351,176002,11,0,2020-05-01 08:00:00
352,176003,11,0,2020-05-01 08:00:00
353,177002,11,0,2020-05-01 08:00:00
354,177003,11,0,2020-05-01 08:00:00
355,177004,11,0,2020-05-01 08:00:00
356,178002,11,0,2020-05-01 08:00:00
357,178003,11,0,2020-05-01 08:00:00
358,178004,11,0,2020-05-01 08:00:00
359,178005,11,0,2020-05-01 08:00:00
360,179002,11,0,2020-05-01 08:00:00
361,179003,11,0,2020-05-01 08:00:00
362,179004,11,0,2020-05-01 08:00:00
363,180002,11,0,2020-05-01 08:00:00
364,180003,11,0,2020-05-01 08:00:00
365,181002,11,0,2020-05-01 08:00:00
366,181003,11,0,2020-05-01 08:00:00
367,181004,11,0,2020-05-01 08:00:00
368,182002,11,0,2020-05-01 08:00:00
369,182003,11,0,2020-05-01 08:00:00
370,182004,11,0,2020-05-01 08:00:00
371,182005,11,0,2020-05-01 08:00:00
372,183002,11,0,2020-05-01 08:00:00
373,183003,11,0,2020-05-01 08:00:00
374,183004,11,0,2020-05-01 08:00:00
375,184002,11,0,2020-05-01 08:00:00
376,184003,11,0,2020-05-01 08:00:00
377,185002,11,0,2020-05-01 08:00:00
378,185003,11,0,2020-05-01 08:00:00
379,185004,11,0,2020-05-01 08:00:00
380,186002,11,0,2020-05-01 08:00:00
381,186003,11,0,2020-05-01 08:00:00
382,186004,11,0,2020-05-01 08:00:00
383,186005,11,0,2020-05-01 08:00:00
384,187002,11,0,2020-05-01 08:00:00
385,187003,11,0,2020-05-01 08:00:00
386,187004,11,0,2020-05-01 08:00:00
387,188002,11,0,2020-05-01 08:00:00
388,188003,11,0,2020-05-01 08:00:00
389,189002,11,0,2020-05-01 08:00:00
390,189003,11,0,2020-05-01 08:00:00
391,189004,11,0,2020-05-01 08:00:00
392,190002,11,0,2020-05-01 08:00:00
393,190003,11,0,2020-05-01 08:00:00
394,190004,11,0,2020-05-01 08:00:00
395,190005,11,0,2020-05-01 08:00:00
396,191002,11,0,2020-05-01 08:00:00
397,191003,11,0,2020-05-01 08:00:00
398,191004,11,0,2020-05-01 08:00:00
399,192002,11,0,2020-05-01 08:00:00
400,192003,11,0,2020-05-01 08:00:00
401,193002,11,0,2020-05-01 08:00:00
402,193003,11,0,2020-05-01 08:00:00
403,193004,11,0,2020-05-01 08:00:00
404,193005,11,0,2020-05-01 08:00:00
405,193006,11,0,2020-05-01 08:00:00
406,193007,11,0,2020-05-01 08:00:00
407,194002,11,0,2020-05-01 08:00:00
408,194003,11,0,2020-05-01 08:00:00
409,194004,11,0,2020-05-01 08:00:00
410,194005,11,0,2020-05-01 08:00:00
411,195002,11,0,2020-05-01 08:00:00
412,195003,11,0,2020-05-01 08:00:00
413,196002,11,0,2020-05-01 08:00:00
414,196003,11,0,2020-05-01 08:00:00
415,196004,11,0,2020-05-01 08:00:00
416,196005,11,0,2020-05-01 08:00:00
417,196006,11,0,2020-05-01 08:00:00
418,196007,11,0,2020-05-01 08:00:00
419,197002,11,0,2020-05-01 08:00:00
420,197003,11,0,2020-05-01 08:00:00
421,197004,11,0,2020-05-01 08:00:00
422,197005,11,0,2020-05-01 08:00:00
423,198002,11,0,2020-05-01 08:00:00
424,198003,11,0,2020-05-01 08:00:00
425,199002,11,0,2020-05-01 08:00:00
426,199003,11,0,2020-05-01 08:00:00
427,199004,11,0,2020-05-01 08:00:00
428,199005,11,0,2020-05-01 08:00:00
429,199006,11,0,2020-05-01 08:00:00
430,199007,11,0,2020-05-01 08:00:00
431,200002,11,0,2020-05-01 08:00:00
432,200003,11,0,2020-05-01 08:00:00
433,200004,11,0,2020-05-01 08:00:00
434,200005,11,0,2020-05-01 08:00:00
435,201002,11,0,2020-05-01 08:00:00
436,201003,11,0,2020-05-01 08:00:00
437,202002,11,0,2020-05-01 08:00:00
438,202003,11,0,2020-05-01 08:00:00
439,202004,11,0,2020-05-01 08:00:00
440,202005,11,0,2020-05-01 08:00:00
441,202006,11,0,2020-05-01 08:00:00
442,202007,11,0,2020-05-01 08:00:00
443,203002,11,0,2020-05-01 08:00:00
444,203003,11,0,2020-05-01 08:00:00
445,203004,11,0,2020-05-01 08:00:00
446,203005,11,0,2020-05-01 08:00:00
447,204002,11,0,2020-05-01 08:00:00
448,204003,11,0,2020-05-01 08:00:00
449,205002,11,0,2020-05-01 08:00:00
450,205003,11,0,2020-05-01 08:00:00
451,205004,11,0,2020-05-01 08:00:00
452,205005,11,0,2020-05-01 08:00:00
453,205006,11,0,2020-05-01 08:00:00
454,205007,11,0,2020-05-01 08:00:00
455,206002,11,0,2020-05-01 08:00:00
456,206003,11,0,2020-05-01 08:00:00
457,206004,11,0,2020-05-01 08:00:00
458,206005,11,0,2020-05-01 08:00:00
459,207002,11,0,2020-05-01 08:00:00
460,207003,11,0,2020-05-01 08:00:00
461,208002,11,0,2020-05-01 08:00:00
462,208003,11,0,2020-05-01 08:00:00
463,208004,11,0,2020-05-01 08:00:00
464,208005,11,0,2020-05-01 08:00:00
465,208006,11,0,2020-05-01 08:00:00
466,208007,11,0,2020-05-01 08:00:00
467,209002,11,0,2020-05-01 08:00:00
468,209003,11,0,2020-05-01 08:00:00
469,209004,11,0,2020-05-01 08:00:00
470,209005,11,0,2020-05-01 08:00:00
471,210002,11,0,2020-05-01 08:00:00
472,210003,11,0,2020-05-01 08:00:00
473,100000001,11,0,2000-01-01 08:00:00
474,100000001,12,0,2010-12-21 06:00:00
475,100000002,11,0,2000-01-01 08:00:00
476,100000002,12,0,2010-12-21 06:00:00
477,100000003,1,100000001,0001-01-01 00:00:00
478,100000003,1,100000002,0001-01-01 00:00:00
479,100000004,1,100000003,0001-01-01 00:00:00
480,100000011,11,0,2000-01-01 08:00:00
481,100000011,12,0,2010-12-21 06:00:00
482,100000012,11,0,2000-01-01 08:00:00
483,100000012,12,0,2010-12-21 06:00:00
484,100000013,1,100000011,0001-01-01 00:00:00
485,100000013,1,100000012,0001-01-01 00:00:00
486,100000014,1,100000013,0001-01-01 00:00:00
487,100000021,11,0,2000-01-01 08:00:00
488,100000021,12,0,2010-12-21 06:00:00
489,100000022,11,0,2000-01-01 08:00:00
490,100000022,12,0,2010-12-21 06:00:00
491,100000023,1,100000021,0001-01-01 00:00:00
492,100000023,1,100000022,0001-01-01 00:00:00
493,100000024,1,100000023,0001-01-01 00:00:00
494,100000031,11,0,2000-01-01 08:00:00
495,100000031,12,0,2010-12-21 06:00:00
496,100000032,11,0,2000-01-01 08:00:00
497,100000032,12,0,2010-12-21 06:00:00
498,100000033,1,100000031,0001-01-01 00:00:00
499,100000033,1,100000032,0001-01-01 00:00:00
500,100000034,1,100000033,0001-01-01 00:00:00
501,100000041,11,0,2000-01-01 08:00:00
502,100000041,12,0,2010-12-21 06:00:00
503,100000042,11,0,2000-01-01 08:00:00
504,100000042,12,0,2010-12-21 06:00:00
505,100000043,1,100000041,0001-01-01 00:00:00
506,100000043,1,100000042,0001-01-01 00:00:00
507,100000044,1,100000043,0001-01-01 00:00:00
508,100000051,11,0,2000-01-01 08:00:00
509,100000051,12,0,2010-12-21 06:00:00
510,100000052,11,0,2000-01-01 08:00:00
511,100000052,12,0,2010-12-21 06:00:00
512,100000053,1,100000051,0001-01-01 00:00:00
513,100000053,1,100000052,0001-01-01 00:00:00
514,100000054,1,100000053,0001-01-01 00:00:00
515,100000061,11,0,2000-01-01 08:00:00
516,100000061,12,0,2010-12-21 06:00:00
517,100000062,11,0,2000-01-01 08:00:00
518,100000062,12,0,2010-12-21 06:00:00
519,100000063,1,100000061,0001-01-01 00:00:00
520,100000063,1,100000062,0001-01-01 00:00:00
521,100000064,1,100000063,0001-01-01 00:00:00
522,100000101,11,0,2000-01-01 08:00:00
523,100000101,12,0,2010-12-21 06:00:00
524,100000102,1,100000101,0001-01-01 00:00:00
525,100000103,1,100000102,0001-01-01 00:00:00
526,100000104,1,100000103,0001-01-01 00:00:00
527,100000105,1,100000104,0001-01-01 00:00:00
528,100000106,1,100000105,0001-01-01 00:00:00
529,100000107,1,100000106,0001-01-01 00:00:00
530,100000108,1,100000107,0001-01-01 00:00:00
531,100000109,1,100000108,0001-01-01 00:00:00
532,100000110,1,100000109,0001-01-01 00:00:00
533,100000200,11,0,2000-01-01 08:00:00
534,100000200,12,0,2010-12-21 06:00:00
535,100000201,11,0,2000-01-01 08:00:00
536,100000201,12,0,2010-12-21 06:00:00
537,100000202,11,0,2000-01-01 08:00:00
538,100000202,12,0,2010-12-21 06:00:00
539,100000203,11,0,2000-01-01 08:00:00
540,100000203,12,0,2010-12-21 06:00:00
541,100000204,11,0,2000-01-01 08:00:00
542,100000204,12,0,2010-12-21 06:00:00
543,100000205,11,0,2000-01-01 08:00:00
544,100000205,12,0,2010-12-21 06:00:00
545,100000206,11,0,2000-01-01 08:00:00
546,100000206,12,0,2010-12-21 06:00:00
547,100000207,11,0,2000-01-01 08:00:00
548,100000207,12,0,2010-12-21 06:00:00
549,100000208,11,0,2000-01-01 08:00:00
550,100000208,12,0,2010-12-21 06:00:00
551,100000209,11,0,2000-01-01 08:00:00
552,100000209,12,0,2010-12-21 06:00:00
553,100000210,11,0,2000-01-01 08:00:00
554,100000210,12,0,2010-12-21 06:00:00
555,100000211,11,0,2000-01-01 08:00:00
556,100000211,12,0,2010-12-21 06:00:00
557,100000212,11,0,2000-01-01 08:00:00
558,100000212,12,0,2010-12-21 06:00:00
559,100000213,11,0,2000-01-01 08:00:00
560,100000213,12,0,2010-12-21 06:00:00
561,100000214,11,0,2000-01-01 08:00:00
562,100000214,12,0,2010-12-21 06:00:00
563,100000215,12,0,2000-01-01 08:00:00
564,100000215,11,0,2010-12-21 06:00:00
565,100000216,12,0,2000-01-01 08:00:00
566,100000216,11,0,2010-12-21 06:00:00
567,100000217,12,0,2000-01-01 08:00:00
568,100000217,11,0,2010-12-21 06:00:00
569,100000218,12,0,2000-01-01 08:00:00
570,100000218,11,0,2010-12-21 06:00:00
571,100000219,12,0,2000-01-01 08:00:00
572,100000219,11,0,2010-12-21 06:00:00
