---,MechaPartColorId,Name,R,G,B,Roughness,Metallic,Texture,IsDefault
20,20,ディープマゼンタ,90,0,130,0.7,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_20.Tex_Custom_AR_Main_ColorIcon_20',False
21,21,マゼンタ,110,15,110,0.7,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_21.Tex_Custom_AR_Main_ColorIcon_21',False
22,22,ローズ,140,30,60,0.7,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_22.Tex_Custom_AR_Main_ColorIcon_22',False
23,23,モンザレッド,140,20,30,0.7,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_23.Tex_Custom_AR_Main_ColorIcon_23',False
24,24,イタリアンレッド,140,20,15,0.7,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_24.Tex_Custom_AR_Main_ColorIcon_24',False
25,25,ホワイト,130,130,130,0.5,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_26.Tex_Custom_AR_Main_ColorIcon_26',True
26,26,ブラック,15,15,15,0,0.65,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_25.Tex_Custom_AR_Main_ColorIcon_25',True
27,27,カッパー,218,100,0,0.1,0.7,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_27.Tex_Custom_AR_Main_ColorIcon_27',False
28,28,シルバー,255,255,255,0.1,0.9,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_28.Tex_Custom_AR_Main_ColorIcon_28',True
29,29,ゴールド,255,200,0,0.1,0.85,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_29.Tex_Custom_AR_Main_ColorIcon_29',True
30,30,ジルコニア,237,203,255,0,0.9,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_30.Tex_Custom_AR_Main_ColorIcon_30',False
31,31,グレーNO.1,30,30,30,0.5,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_31.Tex_Custom_AR_Main_ColorIcon_31',True
32,32,グレーNO.2,60,60,60,0.5,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_32.Tex_Custom_AR_Main_ColorIcon_32',True
33,33,グレーNO.3,90,90,90,0.5,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_33.Tex_Custom_AR_Main_ColorIcon_33',True
34,34,ワインレッド,90,30,28,0.7,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_34.Tex_Custom_AR_Main_ColorIcon_34',False
35,35,バーントアンバー,90,40,18,0.7,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_35.Tex_Custom_AR_Main_ColorIcon_35',False
36,36,マースイエロー,90,50,28,0.7,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_36.Tex_Custom_AR_Main_ColorIcon_36',False
37,37,ローシェンナ,85,65,35,0.7,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_37.Tex_Custom_AR_Main_ColorIcon_37',False
38,38,アッシュシェンナ,85,64,48,0.7,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_38.Tex_Custom_AR_Main_ColorIcon_38',False
39,39,シナバーグリーンライト,95,110,48,0.7,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_39.Tex_Custom_AR_Main_ColorIcon_39',False
40,40,シナバーグリーン,80,120,58,0.7,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_40.Tex_Custom_AR_Main_ColorIcon_40',False
41,41,ナイトリーフ,60,120,58,0.7,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_41.Tex_Custom_AR_Main_ColorIcon_41',False
42,42,ピーコックディープ,38,90,60,0.7,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_42.Tex_Custom_AR_Main_ColorIcon_42',False
43,43,シャドーエメラルド,28,70,60,0.7,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_43.Tex_Custom_AR_Main_ColorIcon_43',False
44,44,ダークホライズンブルー,40,70,90,0.7,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_44.Tex_Custom_AR_Main_ColorIcon_44',False
45,45,ダークターコイズ,30,60,90,0.7,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_45.Tex_Custom_AR_Main_ColorIcon_45',False
46,46,ナイトオーシャン,30,50,90,0.7,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_46.Tex_Custom_AR_Main_ColorIcon_46',False
47,47,ムーンライトブルー,40,40,90,0.7,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_47.Tex_Custom_AR_Main_ColorIcon_47',False
48,48,シャドーブルー,40,30,70,0.7,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_48.Tex_Custom_AR_Main_ColorIcon_48',False
49,49,シャドーパープル,40,30,60,0.7,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_49.Tex_Custom_AR_Main_ColorIcon_49',False
50,50,アッシュバイオレット,58,30,60,0.7,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_50.Tex_Custom_AR_Main_ColorIcon_50',False
51,51,コバルトバイオレット,58,20,40,0.7,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_51.Tex_Custom_AR_Main_ColorIcon_51',False
52,52,キナクリドンバイオレット,68,20,30,0.7,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_52.Tex_Custom_AR_Main_ColorIcon_52',False
53,53,ダークレッド,30,0,0,0.7,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_53.Tex_Custom_AR_Main_ColorIcon_53',False
54,54,ダークグリーン,0,20,0,0.7,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_54.Tex_Custom_AR_Main_ColorIcon_54',False
55,55,ダークブルー,10,10,30,0.7,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_55.Tex_Custom_AR_Main_ColorIcon_55',False
56,56,ダークバイオレット,30,10,30,0.7,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_56.Tex_Custom_AR_Main_ColorIcon_56',False
57,57,ダークイエロー,40,30,0,0.7,0.3,Texture2D'/Game/GUI/OutGame/Customize/texture/RoboCustomize/LineColor/Tex_Custom_AR_Main_ColorIcon_57.Tex_Custom_AR_Main_ColorIcon_57',False
